case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_limit_bytes-000000	limit-bytes	limit	UNDER_OK	samples/법제처/2016/limit-bytes-000000.hwp	법제처	2016	hwp	1014	1024	1	
u_limit_bytes-000001	limit-bytes	limit	UNDER_OK	samples/행정안전부/2016/limit-bytes-000001.hwpx	행정안전부	2016	hwpx	2038	2048	1	
u_limit_bytes-000002	limit-bytes	limit	UNDER_OK	samples/국세청/2016/limit-bytes-000002.hwp	국세청	2016	hwp	3062	3072	1	
u_limit_bytes-000003	limit-bytes	limit	UNDER_REJECT	samples/대법원/2016/limit-bytes-000003.hwpx	대법원	2016	hwpx	4086	4096	0	
u_limit_bytes-000004	limit-bytes	limit	OVER_REJECT	samples/특허청/2016/limit-bytes-000004.hwp	특허청	2016	hwp	5170	5120	0	
u_limit_bytes-000005	limit-bytes	limit	OVER_ACCEPTED	samples/교육부/2016/limit-bytes-000005.hwpx	교육부	2016	hwpx	6194	6144	1	
u_limit_bytes-000006	limit-bytes	limit	OVER_REJECT	samples/보건복지부/2016/limit-bytes-000006.hwp	보건복지부	2016	hwp	7218	7168	0	
u_limit_bytes-000007	limit-bytes	limit	UNDER_OK	samples/국토교통부/2016/limit-bytes-000007.hwpx	국토교통부	2016	hwpx	8182	8192	1	
u_limit_bytes-000008	limit-bytes	limit	UNDER_OK	samples/고용노동부/2016/limit-bytes-000008.hwp	고용노동부	2016	hwp	1014	1024	1	
u_limit_bytes-000009	limit-bytes	limit	UNDER_OK	samples/외교부/2016/limit-bytes-000009.hwpx	외교부	2016	hwpx	2038	2048	1	
u_limit_bytes-000010	limit-bytes	limit	UNDER_REJECT	samples/기획재정부/2016/limit-bytes-000010.hwp	기획재정부	2016	hwp	3062	3072	0	
u_limit_bytes-000011	limit-bytes	limit	OVER_REJECT	samples/공정거래위원회/2016/limit-bytes-000011.hwpx	공정거래위원회	2016	hwpx	4146	4096	0	
u_limit_bytes-000012	limit-bytes	limit	OVER_ACCEPTED	samples/금융위원회/2016/limit-bytes-000012.hwp	금융위원회	2016	hwp	5170	5120	1	
u_limit_bytes-000013	limit-bytes	limit	OVER_REJECT	samples/통계청/2016/limit-bytes-000013.hwpx	통계청	2016	hwpx	6194	6144	0	
u_limit_bytes-000014	limit-bytes	limit	UNDER_OK	samples/기상청/2016/limit-bytes-000014.hwp	기상청	2016	hwp	7158	7168	1	
u_limit_bytes-000015	limit-bytes	limit	UNDER_OK	samples/관세청/2016/limit-bytes-000015.hwpx	관세청	2016	hwpx	8182	8192	1	
u_limit_bytes-000016	limit-bytes	limit	UNDER_OK	samples/검찰청/2016/limit-bytes-000016.hwp	검찰청	2016	hwp	1014	1024	1	
u_limit_bytes-000017	limit-bytes	limit	UNDER_REJECT	samples/경찰청/2016/limit-bytes-000017.hwpx	경찰청	2016	hwpx	2038	2048	0	
u_limit_bytes-000018	limit-bytes	limit	OVER_REJECT	samples/소방청/2016/limit-bytes-000018.hwp	소방청	2016	hwp	3122	3072	0	
u_limit_bytes-000019	limit-bytes	limit	OVER_ACCEPTED	samples/병무청/2016/limit-bytes-000019.hwpx	병무청	2016	hwpx	4146	4096	1	
u_limit_bytes-000020	limit-bytes	limit	OVER_REJECT	samples/산림청/2016/limit-bytes-000020.hwp	산림청	2016	hwp	5170	5120	0	
u_limit_bytes-000021	limit-bytes	limit	UNDER_OK	samples/중소벤처기업부/2016/limit-bytes-000021.hwpx	중소벤처기업부	2016	hwpx	6134	6144	1	
u_limit_bytes-000022	limit-bytes	limit	UNDER_OK	samples/과학기술정보통신부/2016/limit-bytes-000022.hwp	과학기술정보통신부	2016	hwp	7158	7168	1	
u_limit_bytes-000023	limit-bytes	limit	UNDER_OK	samples/문화체육관광부/2016/limit-bytes-000023.hwpx	문화체육관광부	2016	hwpx	8182	8192	1	
u_limit_bytes-000024	limit-bytes	limit	UNDER_REJECT	samples/환경부/2016/limit-bytes-000024.hwp	환경부	2016	hwp	1014	1024	0	
u_limit_bytes-000025	limit-bytes	limit	OVER_REJECT	samples/해양수산부/2016/limit-bytes-000025.hwpx	해양수산부	2016	hwpx	2098	2048	0	
u_limit_bytes-000026	limit-bytes	limit	OVER_ACCEPTED	samples/서울특별시/2016/limit-bytes-000026.hwp	서울특별시	2016	hwp	3122	3072	1	
u_limit_bytes-000027	limit-bytes	limit	OVER_REJECT	samples/경기도/2016/limit-bytes-000027.hwpx	경기도	2016	hwpx	4146	4096	0	
u_limit_bytes-000028	limit-bytes	limit	UNDER_OK	samples/부산광역시/2016/limit-bytes-000028.hwp	부산광역시	2016	hwp	5110	5120	1	
u_limit_bytes-000029	limit-bytes	limit	UNDER_OK	samples/제주특별자치도/2016/limit-bytes-000029.hwpx	제주특별자치도	2016	hwpx	6134	6144	1	
u_limit_bytes-000030	limit-bytes	limit	UNDER_OK	samples/법제처/2017/limit-bytes-000030.hwp	법제처	2017	hwp	7158	7168	1	
u_limit_bytes-000031	limit-bytes	limit	UNDER_REJECT	samples/행정안전부/2017/limit-bytes-000031.hwpx	행정안전부	2017	hwpx	8182	8192	0	
u_limit_bytes-000032	limit-bytes	limit	OVER_REJECT	samples/국세청/2017/limit-bytes-000032.hwp	국세청	2017	hwp	1074	1024	0	
u_limit_bytes-000033	limit-bytes	limit	OVER_ACCEPTED	samples/대법원/2017/limit-bytes-000033.hwpx	대법원	2017	hwpx	2098	2048	1	
u_limit_bytes-000034	limit-bytes	limit	OVER_REJECT	samples/특허청/2017/limit-bytes-000034.hwp	특허청	2017	hwp	3122	3072	0	
u_limit_bytes-000035	limit-bytes	limit	UNDER_OK	samples/교육부/2017/limit-bytes-000035.hwpx	교육부	2017	hwpx	4086	4096	1	
u_limit_bytes-000036	limit-bytes	limit	UNDER_OK	samples/보건복지부/2017/limit-bytes-000036.hwp	보건복지부	2017	hwp	5110	5120	1	
u_limit_bytes-000037	limit-bytes	limit	UNDER_OK	samples/국토교통부/2017/limit-bytes-000037.hwpx	국토교통부	2017	hwpx	6134	6144	1	
u_limit_bytes-000038	limit-bytes	limit	UNDER_REJECT	samples/고용노동부/2017/limit-bytes-000038.hwp	고용노동부	2017	hwp	7158	7168	0	
