case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_mcp_serve-005000	mcp-serve	layer	ENV_OK	samples/산림청/2017/mcp-serve-005000.hwp	산림청	2017	hwp	0	0	0	
u_mcp_serve-005001	mcp-serve	layer	ENV_JUDGE	samples/중소벤처기업부/2017/mcp-serve-005001.hwpx	중소벤처기업부	2017	hwpx	0	0	1	
u_mcp_serve-005002	mcp-serve	layer	ENV_JUDGE	samples/과학기술정보통신부/2017/mcp-serve-005002.hwp	과학기술정보통신부	2017	hwp	0	0	2	
u_mcp_serve-005003	mcp-serve	layer	ENV_JUDGE	samples/문화체육관광부/2017/mcp-serve-005003.hwpx	문화체육관광부	2017	hwpx	0	0	3	
u_mcp_serve-005004	mcp-serve	layer	ENV_UNKNOWN	samples/환경부/2017/mcp-serve-005004.hwp	환경부	2017	hwp	0	0	9	
u_mcp_serve-005005	mcp-serve	layer	RPC_FAIL	samples/해양수산부/2017/mcp-serve-005005.hwpx	해양수산부	2017	hwpx	1	0	0	
u_mcp_serve-005006	mcp-serve	layer	TOOL_FAIL	samples/서울특별시/2017/mcp-serve-005006.hwp	서울특별시	2017	hwp	0	1	0	
u_mcp_serve-005007	mcp-serve	layer	ENV_OK	samples/경기도/2017/mcp-serve-005007.hwpx	경기도	2017	hwpx	0	0	0	
u_mcp_serve-005008	mcp-serve	layer	ENV_JUDGE	samples/부산광역시/2017/mcp-serve-005008.hwp	부산광역시	2017	hwp	0	0	1	
u_mcp_serve-005009	mcp-serve	layer	ENV_JUDGE	samples/제주특별자치도/2017/mcp-serve-005009.hwpx	제주특별자치도	2017	hwpx	0	0	2	
u_mcp_serve-005010	mcp-serve	layer	ENV_JUDGE	samples/법제처/2018/mcp-serve-005010.hwp	법제처	2018	hwp	0	0	3	
u_mcp_serve-005011	mcp-serve	layer	ENV_UNKNOWN	samples/행정안전부/2018/mcp-serve-005011.hwpx	행정안전부	2018	hwpx	0	0	9	
u_mcp_serve-005012	mcp-serve	layer	RPC_FAIL	samples/국세청/2018/mcp-serve-005012.hwp	국세청	2018	hwp	1	0	0	
u_mcp_serve-005013	mcp-serve	layer	TOOL_FAIL	samples/대법원/2018/mcp-serve-005013.hwpx	대법원	2018	hwpx	0	1	0	
u_mcp_serve-005014	mcp-serve	layer	ENV_OK	samples/특허청/2018/mcp-serve-005014.hwp	특허청	2018	hwp	0	0	0	
u_mcp_serve-005015	mcp-serve	layer	ENV_JUDGE	samples/교육부/2018/mcp-serve-005015.hwpx	교육부	2018	hwpx	0	0	1	
