case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_nols_2024-005000	nols-2024	trap	SAFE	samples/산림청/2017/nols-2024-005000.hwp	산림청	2017	hwp	2022	0	0	
u_nols_2024-005001	nols-2024	trap	SAFE	samples/중소벤처기업부/2017/nols-2024-005001.hwpx	중소벤처기업부	2017	hwpx	2023	1	0	
u_nols_2024-005002	nols-2024	trap	FLAGGED	samples/과학기술정보통신부/2017/nols-2024-005002.hwp	과학기술정보통신부	2017	hwp	2024	1	0	
u_nols_2024-005003	nols-2024	trap	TRAP	samples/문화체육관광부/2017/nols-2024-005003.hwpx	문화체육관광부	2017	hwpx	2025	1	1	
u_nols_2024-005004	nols-2024	trap	TRAP	samples/환경부/2017/nols-2024-005004.hwp	환경부	2017	hwp	2026	1	1	
u_nols_2024-005005	nols-2024	trap	SAFE	samples/해양수산부/2017/nols-2024-005005.hwpx	해양수산부	2017	hwpx	2020	0	0	
u_nols_2024-005006	nols-2024	trap	SAFE	samples/서울특별시/2017/nols-2024-005006.hwp	서울특별시	2017	hwp	2021	0	0	
u_nols_2024-005007	nols-2024	trap	SAFE	samples/경기도/2017/nols-2024-005007.hwpx	경기도	2017	hwpx	2022	0	0	
u_nols_2024-005008	nols-2024	trap	SAFE	samples/부산광역시/2017/nols-2024-005008.hwp	부산광역시	2017	hwp	2023	1	0	
u_nols_2024-005009	nols-2024	trap	FLAGGED	samples/제주특별자치도/2017/nols-2024-005009.hwpx	제주특별자치도	2017	hwpx	2024	1	0	
u_nols_2024-005010	nols-2024	trap	TRAP	samples/법제처/2018/nols-2024-005010.hwp	법제처	2018	hwp	2025	1	1	
u_nols_2024-005011	nols-2024	trap	TRAP	samples/행정안전부/2018/nols-2024-005011.hwpx	행정안전부	2018	hwpx	2026	1	1	
u_nols_2024-005012	nols-2024	trap	SAFE	samples/국세청/2018/nols-2024-005012.hwp	국세청	2018	hwp	2020	0	0	
u_nols_2024-005013	nols-2024	trap	SAFE	samples/대법원/2018/nols-2024-005013.hwpx	대법원	2018	hwpx	2021	0	0	
u_nols_2024-005014	nols-2024	trap	SAFE	samples/특허청/2018/nols-2024-005014.hwp	특허청	2018	hwp	2022	0	0	
u_nols_2024-005015	nols-2024	trap	SAFE	samples/교육부/2018/nols-2024-005015.hwpx	교육부	2018	hwpx	2023	1	0	
u_nols_2024-005016	nols-2024	trap	FLAGGED	samples/보건복지부/2018/nols-2024-005016.hwp	보건복지부	2018	hwp	2024	1	0	
u_nols_2024-005017	nols-2024	trap	TRAP	samples/국토교통부/2018/nols-2024-005017.hwpx	국토교통부	2018	hwpx	2025	1	1	
u_nols_2024-005018	nols-2024	trap	TRAP	samples/고용노동부/2018/nols-2024-005018.hwp	고용노동부	2018	hwp	2026	1	1	
u_nols_2024-005019	nols-2024	trap	SAFE	samples/외교부/2018/nols-2024-005019.hwpx	외교부	2018	hwpx	2020	0	0	
u_nols_2024-005020	nols-2024	trap	SAFE	samples/기획재정부/2018/nols-2024-005020.hwp	기획재정부	2018	hwp	2021	0	0	
u_nols_2024-005021	nols-2024	trap	SAFE	samples/공정거래위원회/2018/nols-2024-005021.hwpx	공정거래위원회	2018	hwpx	2022	0	0	
u_nols_2024-005022	nols-2024	trap	SAFE	samples/금융위원회/2018/nols-2024-005022.hwp	금융위원회	2018	hwp	2023	1	0	
u_nols_2024-005023	nols-2024	trap	FLAGGED	samples/통계청/2018/nols-2024-005023.hwpx	통계청	2018	hwpx	2024	1	0	
u_nols_2024-005024	nols-2024	trap	TRAP	samples/기상청/2018/nols-2024-005024.hwp	기상청	2018	hwp	2025	1	1	
u_nols_2024-005025	nols-2024	trap	TRAP	samples/관세청/2018/nols-2024-005025.hwpx	관세청	2018	hwpx	2026	1	1	
u_nols_2024-005026	nols-2024	trap	SAFE	samples/검찰청/2018/nols-2024-005026.hwp	검찰청	2018	hwp	2020	0	0	
u_nols_2024-005027	nols-2024	trap	SAFE	samples/경찰청/2018/nols-2024-005027.hwpx	경찰청	2018	hwpx	2021	0	0	
u_nols_2024-005028	nols-2024	trap	SAFE	samples/소방청/2018/nols-2024-005028.hwp	소방청	2018	hwp	2022	0	0	
