case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_recall_scope-010000	recall-scope	count_eq	COUNT_OK	samples/기획재정부/2019/recall-scope-010000.hwp	기획재정부	2019	hwp	16	16		
u_recall_scope-010001	recall-scope	count_eq	COUNT_DRIFT	samples/공정거래위원회/2019/recall-scope-010001.hwpx	공정거래위원회	2019	hwpx	17	18		
u_recall_scope-010002	recall-scope	count_eq	COUNT_DRIFT	samples/금융위원회/2019/recall-scope-010002.hwp	금융위원회	2019	hwp	18	17		
u_recall_scope-010003	recall-scope	count_eq	COUNT_OK	samples/통계청/2019/recall-scope-010003.hwpx	통계청	2019	hwpx	19	19		
u_recall_scope-010004	recall-scope	count_eq	COUNT_OK	samples/기상청/2019/recall-scope-010004.hwp	기상청	2019	hwp	20	20		
u_recall_scope-010005	recall-scope	count_eq	COUNT_OK	samples/관세청/2019/recall-scope-010005.hwpx	관세청	2019	hwpx	21	21		
u_recall_scope-010006	recall-scope	count_eq	COUNT_OK	samples/검찰청/2019/recall-scope-010006.hwp	검찰청	2019	hwp	22	22		
u_recall_scope-010007	recall-scope	count_eq	COUNT_OK	samples/경찰청/2019/recall-scope-010007.hwpx	경찰청	2019	hwpx	23	23		
u_recall_scope-010008	recall-scope	count_eq	COUNT_DRIFT	samples/소방청/2019/recall-scope-010008.hwp	소방청	2019	hwp	0	1		
u_recall_scope-010009	recall-scope	count_eq	COUNT_DRIFT	samples/병무청/2019/recall-scope-010009.hwpx	병무청	2019	hwpx	1	0		
u_recall_scope-010010	recall-scope	count_eq	COUNT_OK	samples/산림청/2019/recall-scope-010010.hwp	산림청	2019	hwp	2	2		
u_recall_scope-010011	recall-scope	count_eq	COUNT_OK	samples/중소벤처기업부/2019/recall-scope-010011.hwpx	중소벤처기업부	2019	hwpx	3	3		
u_recall_scope-010012	recall-scope	count_eq	COUNT_OK	samples/과학기술정보통신부/2019/recall-scope-010012.hwp	과학기술정보통신부	2019	hwp	4	4		
u_recall_scope-010013	recall-scope	count_eq	COUNT_OK	samples/문화체육관광부/2019/recall-scope-010013.hwpx	문화체육관광부	2019	hwpx	5	5		
u_recall_scope-010014	recall-scope	count_eq	COUNT_OK	samples/환경부/2019/recall-scope-010014.hwp	환경부	2019	hwp	6	6		
u_recall_scope-010015	recall-scope	count_eq	COUNT_DRIFT	samples/해양수산부/2019/recall-scope-010015.hwpx	해양수산부	2019	hwpx	7	8		
u_recall_scope-010016	recall-scope	count_eq	COUNT_DRIFT	samples/서울특별시/2019/recall-scope-010016.hwp	서울특별시	2019	hwp	8	7		
u_recall_scope-010017	recall-scope	count_eq	COUNT_OK	samples/경기도/2019/recall-scope-010017.hwpx	경기도	2019	hwpx	9	9		
u_recall_scope-010018	recall-scope	count_eq	COUNT_OK	samples/부산광역시/2019/recall-scope-010018.hwp	부산광역시	2019	hwp	10	10		
u_recall_scope-010019	recall-scope	count_eq	COUNT_OK	samples/제주특별자치도/2019/recall-scope-010019.hwpx	제주특별자치도	2019	hwpx	11	11		
u_recall_scope-010020	recall-scope	count_eq	COUNT_OK	samples/법제처/2020/recall-scope-010020.hwp	법제처	2020	hwp	12	12		
u_recall_scope-010021	recall-scope	count_eq	COUNT_OK	samples/행정안전부/2020/recall-scope-010021.hwpx	행정안전부	2020	hwpx	13	13		
u_recall_scope-010022	recall-scope	count_eq	COUNT_DRIFT	samples/국세청/2020/recall-scope-010022.hwp	국세청	2020	hwp	14	15		
u_recall_scope-010023	recall-scope	count_eq	COUNT_DRIFT	samples/대법원/2020/recall-scope-010023.hwpx	대법원	2020	hwpx	15	14		
u_recall_scope-010024	recall-scope	count_eq	COUNT_OK	samples/특허청/2020/recall-scope-010024.hwp	특허청	2020	hwp	16	16		
u_recall_scope-010025	recall-scope	count_eq	COUNT_OK	samples/교육부/2020/recall-scope-010025.hwpx	교육부	2020	hwpx	17	17		
u_recall_scope-010026	recall-scope	count_eq	COUNT_OK	samples/보건복지부/2020/recall-scope-010026.hwp	보건복지부	2020	hwp	18	18		
u_recall_scope-010027	recall-scope	count_eq	COUNT_OK	samples/국토교통부/2020/recall-scope-010027.hwpx	국토교통부	2020	hwpx	19	19		
u_recall_scope-010028	recall-scope	count_eq	COUNT_OK	samples/고용노동부/2020/recall-scope-010028.hwp	고용노동부	2020	hwp	20	20		
u_recall_scope-010029	recall-scope	count_eq	COUNT_DRIFT	samples/외교부/2020/recall-scope-010029.hwpx	외교부	2020	hwpx	21	22		
u_recall_scope-010030	recall-scope	count_eq	COUNT_DRIFT	samples/기획재정부/2020/recall-scope-010030.hwp	기획재정부	2020	hwp	22	21		
u_recall_scope-010031	recall-scope	count_eq	COUNT_OK	samples/공정거래위원회/2020/recall-scope-010031.hwpx	공정거래위원회	2020	hwpx	23	23		
u_recall_scope-010032	recall-scope	count_eq	COUNT_OK	samples/금융위원회/2020/recall-scope-010032.hwp	금융위원회	2020	hwp	0	0		
u_recall_scope-010033	recall-scope	count_eq	COUNT_OK	samples/통계청/2020/recall-scope-010033.hwpx	통계청	2020	hwpx	1	1		
u_recall_scope-010034	recall-scope	count_eq	COUNT_OK	samples/기상청/2020/recall-scope-010034.hwp	기상청	2020	hwp	2	2		
u_recall_scope-010035	recall-scope	count_eq	COUNT_OK	samples/관세청/2020/recall-scope-010035.hwpx	관세청	2020	hwpx	3	3		
u_recall_scope-010036	recall-scope	count_eq	COUNT_DRIFT	samples/검찰청/2020/recall-scope-010036.hwp	검찰청	2020	hwp	4	5		
u_recall_scope-010037	recall-scope	count_eq	COUNT_DRIFT	samples/경찰청/2020/recall-scope-010037.hwpx	경찰청	2020	hwpx	5	4		
u_recall_scope-010038	recall-scope	count_eq	COUNT_OK	samples/소방청/2020/recall-scope-010038.hwp	소방청	2020	hwp	6	6		
u_recall_scope-010039	recall-scope	count_eq	COUNT_OK	samples/병무청/2020/recall-scope-010039.hwpx	병무청	2020	hwpx	7	7		
u_recall_scope-010040	recall-scope	count_eq	COUNT_OK	samples/산림청/2020/recall-scope-010040.hwp	산림청	2020	hwp	8	8		
u_recall_scope-010041	recall-scope	count_eq	COUNT_OK	samples/중소벤처기업부/2020/recall-scope-010041.hwpx	중소벤처기업부	2020	hwpx	9	9		
u_recall_scope-010042	recall-scope	count_eq	COUNT_OK	samples/과학기술정보통신부/2020/recall-scope-010042.hwp	과학기술정보통신부	2020	hwp	10	10		
u_recall_scope-010043	recall-scope	count_eq	COUNT_DRIFT	samples/문화체육관광부/2020/recall-scope-010043.hwpx	문화체육관광부	2020	hwpx	11	12		
u_recall_scope-010044	recall-scope	count_eq	COUNT_DRIFT	samples/환경부/2020/recall-scope-010044.hwp	환경부	2020	hwp	12	11		
u_recall_scope-010045	recall-scope	count_eq	COUNT_OK	samples/해양수산부/2020/recall-scope-010045.hwpx	해양수산부	2020	hwpx	13	13		
u_recall_scope-010046	recall-scope	count_eq	COUNT_OK	samples/서울특별시/2020/recall-scope-010046.hwp	서울특별시	2020	hwp	14	14		
u_recall_scope-010047	recall-scope	count_eq	COUNT_OK	samples/경기도/2020/recall-scope-010047.hwpx	경기도	2020	hwpx	15	15		
u_recall_scope-010048	recall-scope	count_eq	COUNT_OK	samples/부산광역시/2020/recall-scope-010048.hwp	부산광역시	2020	hwp	16	16		
u_recall_scope-010049	recall-scope	count_eq	COUNT_OK	samples/제주특별자치도/2020/recall-scope-010049.hwpx	제주특별자치도	2020	hwpx	17	17		
u_recall_scope-010050	recall-scope	count_eq	COUNT_DRIFT	samples/법제처/2021/recall-scope-010050.hwp	법제처	2021	hwp	18	19		
u_recall_scope-010051	recall-scope	count_eq	COUNT_DRIFT	samples/행정안전부/2021/recall-scope-010051.hwpx	행정안전부	2021	hwpx	19	18		
