case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_recipe_fill-015000	recipe-fill	reread	NOT_EVIDENCE	samples/법제처/2021/recipe-fill-015000.hwp	법제처	2021	hwp	0	7	8	
u_recipe_fill-015001	recipe-fill	reread	REREAD_OK	samples/행정안전부/2021/recipe-fill-015001.hwpx	행정안전부	2021	hwpx	1	8	8	
u_recipe_fill-015002	recipe-fill	reread	REREAD_OK	samples/국세청/2021/recipe-fill-015002.hwp	국세청	2021	hwp	1	9	9	
u_recipe_fill-015003	recipe-fill	reread	REREAD_OK	samples/대법원/2021/recipe-fill-015003.hwpx	대법원	2021	hwpx	1	1	1	
u_recipe_fill-015004	recipe-fill	reread	REREAD_OK	samples/특허청/2021/recipe-fill-015004.hwp	특허청	2021	hwp	1	2	2	
u_recipe_fill-015005	recipe-fill	reread	REREAD_OK	samples/교육부/2021/recipe-fill-015005.hwpx	교육부	2021	hwpx	1	3	3	
u_recipe_fill-015006	recipe-fill	reread	REREAD_DRIFT	samples/보건복지부/2021/recipe-fill-015006.hwp	보건복지부	2021	hwp	1	4	5	
u_recipe_fill-015007	recipe-fill	reread	NOT_EVIDENCE	samples/국토교통부/2021/recipe-fill-015007.hwpx	국토교통부	2021	hwpx	0	5	6	
u_recipe_fill-015008	recipe-fill	reread	REREAD_OK	samples/고용노동부/2021/recipe-fill-015008.hwp	고용노동부	2021	hwp	1	6	6	
u_recipe_fill-015009	recipe-fill	reread	REREAD_OK	samples/외교부/2021/recipe-fill-015009.hwpx	외교부	2021	hwpx	1	7	7	
u_recipe_fill-015010	recipe-fill	reread	REREAD_OK	samples/기획재정부/2021/recipe-fill-015010.hwp	기획재정부	2021	hwp	1	8	8	
u_recipe_fill-015011	recipe-fill	reread	REREAD_OK	samples/공정거래위원회/2021/recipe-fill-015011.hwpx	공정거래위원회	2021	hwpx	1	9	9	
u_recipe_fill-015012	recipe-fill	reread	REREAD_OK	samples/금융위원회/2021/recipe-fill-015012.hwp	금융위원회	2021	hwp	1	1	1	
u_recipe_fill-015013	recipe-fill	reread	REREAD_DRIFT	samples/통계청/2021/recipe-fill-015013.hwpx	통계청	2021	hwpx	1	2	3	
u_recipe_fill-015014	recipe-fill	reread	NOT_EVIDENCE	samples/기상청/2021/recipe-fill-015014.hwp	기상청	2021	hwp	0	3	4	
u_recipe_fill-015015	recipe-fill	reread	REREAD_OK	samples/관세청/2021/recipe-fill-015015.hwpx	관세청	2021	hwpx	1	4	4	
u_recipe_fill-015016	recipe-fill	reread	REREAD_OK	samples/검찰청/2021/recipe-fill-015016.hwp	검찰청	2021	hwp	1	5	5	
u_recipe_fill-015017	recipe-fill	reread	REREAD_OK	samples/경찰청/2021/recipe-fill-015017.hwpx	경찰청	2021	hwpx	1	6	6	
u_recipe_fill-015018	recipe-fill	reread	REREAD_OK	samples/소방청/2021/recipe-fill-015018.hwp	소방청	2021	hwp	1	7	7	
u_recipe_fill-015019	recipe-fill	reread	REREAD_OK	samples/병무청/2021/recipe-fill-015019.hwpx	병무청	2021	hwpx	1	8	8	
u_recipe_fill-015020	recipe-fill	reread	REREAD_DRIFT	samples/산림청/2021/recipe-fill-015020.hwp	산림청	2021	hwp	1	9	10	
u_recipe_fill-015021	recipe-fill	reread	NOT_EVIDENCE	samples/중소벤처기업부/2021/recipe-fill-015021.hwpx	중소벤처기업부	2021	hwpx	0	1	2	
u_recipe_fill-015022	recipe-fill	reread	REREAD_OK	samples/과학기술정보통신부/2021/recipe-fill-015022.hwp	과학기술정보통신부	2021	hwp	1	2	2	
u_recipe_fill-015023	recipe-fill	reread	REREAD_OK	samples/문화체육관광부/2021/recipe-fill-015023.hwpx	문화체육관광부	2021	hwpx	1	3	3	
u_recipe_fill-015024	recipe-fill	reread	REREAD_OK	samples/환경부/2021/recipe-fill-015024.hwp	환경부	2021	hwp	1	4	4	
u_recipe_fill-015025	recipe-fill	reread	REREAD_OK	samples/해양수산부/2021/recipe-fill-015025.hwpx	해양수산부	2021	hwpx	1	5	5	
u_recipe_fill-015026	recipe-fill	reread	REREAD_OK	samples/서울특별시/2021/recipe-fill-015026.hwp	서울특별시	2021	hwp	1	6	6	
u_recipe_fill-015027	recipe-fill	reread	REREAD_DRIFT	samples/경기도/2021/recipe-fill-015027.hwpx	경기도	2021	hwpx	1	7	8	
u_recipe_fill-015028	recipe-fill	reread	NOT_EVIDENCE	samples/부산광역시/2021/recipe-fill-015028.hwp	부산광역시	2021	hwp	0	8	9	
u_recipe_fill-015029	recipe-fill	reread	REREAD_OK	samples/제주특별자치도/2021/recipe-fill-015029.hwpx	제주특별자치도	2021	hwpx	1	9	9	
u_recipe_fill-015030	recipe-fill	reread	REREAD_OK	samples/법제처/2022/recipe-fill-015030.hwp	법제처	2022	hwp	1	1	1	
