case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_recipe_mailmerge-005000	recipe-mailmerge	isolate	ISOLATED	samples/산림청/2017/recipe-mailmerge-005000.hwp	산림청	2017	hwp	3	3	0	0
u_recipe_mailmerge-005001	recipe-mailmerge	isolate	ISOLATED	samples/중소벤처기업부/2017/recipe-mailmerge-005001.hwpx	중소벤처기업부	2017	hwpx	4	4	0	0
u_recipe_mailmerge-005002	recipe-mailmerge	isolate	ISOLATED	samples/과학기술정보통신부/2017/recipe-mailmerge-005002.hwp	과학기술정보통신부	2017	hwp	6	5	1	0
u_recipe_mailmerge-005003	recipe-mailmerge	isolate	COUNT_DRIFT	samples/문화체육관광부/2017/recipe-mailmerge-005003.hwpx	문화체육관광부	2017	hwpx	8	6	1	0
u_recipe_mailmerge-005004	recipe-mailmerge	isolate	POISON	samples/환경부/2017/recipe-mailmerge-005004.hwp	환경부	2017	hwp	8	7	1	1
u_recipe_mailmerge-005005	recipe-mailmerge	isolate	ISOLATED	samples/해양수산부/2017/recipe-mailmerge-005005.hwpx	해양수산부	2017	hwpx	8	8	0	0
u_recipe_mailmerge-005006	recipe-mailmerge	isolate	ISOLATED	samples/서울특별시/2017/recipe-mailmerge-005006.hwp	서울특별시	2017	hwp	9	9	0	0
u_recipe_mailmerge-005007	recipe-mailmerge	isolate	ISOLATED	samples/경기도/2017/recipe-mailmerge-005007.hwpx	경기도	2017	hwpx	10	10	0	0
u_recipe_mailmerge-005008	recipe-mailmerge	isolate	ISOLATED	samples/부산광역시/2017/recipe-mailmerge-005008.hwp	부산광역시	2017	hwp	3	3	0	0
u_recipe_mailmerge-005009	recipe-mailmerge	isolate	ISOLATED	samples/제주특별자치도/2017/recipe-mailmerge-005009.hwpx	제주특별자치도	2017	hwpx	5	4	1	0
u_recipe_mailmerge-005010	recipe-mailmerge	isolate	COUNT_DRIFT	samples/법제처/2018/recipe-mailmerge-005010.hwp	법제처	2018	hwp	7	5	1	0
u_recipe_mailmerge-005011	recipe-mailmerge	isolate	POISON	samples/행정안전부/2018/recipe-mailmerge-005011.hwpx	행정안전부	2018	hwpx	7	6	1	1
u_recipe_mailmerge-005012	recipe-mailmerge	isolate	ISOLATED	samples/국세청/2018/recipe-mailmerge-005012.hwp	국세청	2018	hwp	7	7	0	0
u_recipe_mailmerge-005013	recipe-mailmerge	isolate	ISOLATED	samples/대법원/2018/recipe-mailmerge-005013.hwpx	대법원	2018	hwpx	8	8	0	0
u_recipe_mailmerge-005014	recipe-mailmerge	isolate	ISOLATED	samples/특허청/2018/recipe-mailmerge-005014.hwp	특허청	2018	hwp	9	9	0	0
u_recipe_mailmerge-005015	recipe-mailmerge	isolate	ISOLATED	samples/교육부/2018/recipe-mailmerge-005015.hwpx	교육부	2018	hwpx	10	10	0	0
u_recipe_mailmerge-005016	recipe-mailmerge	isolate	ISOLATED	samples/보건복지부/2018/recipe-mailmerge-005016.hwp	보건복지부	2018	hwp	4	3	1	0
u_recipe_mailmerge-005017	recipe-mailmerge	isolate	COUNT_DRIFT	samples/국토교통부/2018/recipe-mailmerge-005017.hwpx	국토교통부	2018	hwpx	6	4	1	0
u_recipe_mailmerge-005018	recipe-mailmerge	isolate	POISON	samples/고용노동부/2018/recipe-mailmerge-005018.hwp	고용노동부	2018	hwp	6	5	1	1
u_recipe_mailmerge-005019	recipe-mailmerge	isolate	ISOLATED	samples/외교부/2018/recipe-mailmerge-005019.hwpx	외교부	2018	hwpx	6	6	0	0
u_recipe_mailmerge-005020	recipe-mailmerge	isolate	ISOLATED	samples/기획재정부/2018/recipe-mailmerge-005020.hwp	기획재정부	2018	hwp	7	7	0	0
u_recipe_mailmerge-005021	recipe-mailmerge	isolate	ISOLATED	samples/공정거래위원회/2018/recipe-mailmerge-005021.hwpx	공정거래위원회	2018	hwpx	8	8	0	0
u_recipe_mailmerge-005022	recipe-mailmerge	isolate	ISOLATED	samples/금융위원회/2018/recipe-mailmerge-005022.hwp	금융위원회	2018	hwp	9	9	0	0
u_recipe_mailmerge-005023	recipe-mailmerge	isolate	ISOLATED	samples/통계청/2018/recipe-mailmerge-005023.hwpx	통계청	2018	hwpx	11	10	1	0
u_recipe_mailmerge-005024	recipe-mailmerge	isolate	COUNT_DRIFT	samples/기상청/2018/recipe-mailmerge-005024.hwp	기상청	2018	hwp	5	3	1	0
u_recipe_mailmerge-005025	recipe-mailmerge	isolate	POISON	samples/관세청/2018/recipe-mailmerge-005025.hwpx	관세청	2018	hwpx	5	4	1	1
u_recipe_mailmerge-005026	recipe-mailmerge	isolate	ISOLATED	samples/검찰청/2018/recipe-mailmerge-005026.hwp	검찰청	2018	hwp	5	5	0	0
u_recipe_mailmerge-005027	recipe-mailmerge	isolate	ISOLATED	samples/경찰청/2018/recipe-mailmerge-005027.hwpx	경찰청	2018	hwpx	6	6	0	0
u_recipe_mailmerge-005028	recipe-mailmerge	isolate	ISOLATED	samples/소방청/2018/recipe-mailmerge-005028.hwp	소방청	2018	hwp	7	7	0	0
u_recipe_mailmerge-005029	recipe-mailmerge	isolate	ISOLATED	samples/병무청/2018/recipe-mailmerge-005029.hwpx	병무청	2018	hwpx	8	8	0	0
u_recipe_mailmerge-005030	recipe-mailmerge	isolate	ISOLATED	samples/산림청/2018/recipe-mailmerge-005030.hwp	산림청	2018	hwp	10	9	1	0
u_recipe_mailmerge-005031	recipe-mailmerge	isolate	COUNT_DRIFT	samples/중소벤처기업부/2018/recipe-mailmerge-005031.hwpx	중소벤처기업부	2018	hwpx	12	10	1	0
u_recipe_mailmerge-005032	recipe-mailmerge	isolate	POISON	samples/과학기술정보통신부/2018/recipe-mailmerge-005032.hwp	과학기술정보통신부	2018	hwp	4	3	1	1
u_recipe_mailmerge-005033	recipe-mailmerge	isolate	ISOLATED	samples/문화체육관광부/2018/recipe-mailmerge-005033.hwpx	문화체육관광부	2018	hwpx	4	4	0	0
u_recipe_mailmerge-005034	recipe-mailmerge	isolate	ISOLATED	samples/환경부/2018/recipe-mailmerge-005034.hwp	환경부	2018	hwp	5	5	0	0
u_recipe_mailmerge-005035	recipe-mailmerge	isolate	ISOLATED	samples/해양수산부/2018/recipe-mailmerge-005035.hwpx	해양수산부	2018	hwpx	6	6	0	0
u_recipe_mailmerge-005036	recipe-mailmerge	isolate	ISOLATED	samples/서울특별시/2018/recipe-mailmerge-005036.hwp	서울특별시	2018	hwp	7	7	0	0
u_recipe_mailmerge-005037	recipe-mailmerge	isolate	ISOLATED	samples/경기도/2018/recipe-mailmerge-005037.hwpx	경기도	2018	hwpx	9	8	1	0
u_recipe_mailmerge-005038	recipe-mailmerge	isolate	COUNT_DRIFT	samples/부산광역시/2018/recipe-mailmerge-005038.hwp	부산광역시	2018	hwp	11	9	1	0
u_recipe_mailmerge-005039	recipe-mailmerge	isolate	POISON	samples/제주특별자치도/2018/recipe-mailmerge-005039.hwpx	제주특별자치도	2018	hwpx	11	10	1	1
u_recipe_mailmerge-005040	recipe-mailmerge	isolate	ISOLATED	samples/법제처/2019/recipe-mailmerge-005040.hwp	법제처	2019	hwp	3	3	0	0
u_recipe_mailmerge-005041	recipe-mailmerge	isolate	ISOLATED	samples/행정안전부/2019/recipe-mailmerge-005041.hwpx	행정안전부	2019	hwpx	4	4	0	0
u_recipe_mailmerge-005042	recipe-mailmerge	isolate	ISOLATED	samples/국세청/2019/recipe-mailmerge-005042.hwp	국세청	2019	hwp	5	5	0	0
u_recipe_mailmerge-005043	recipe-mailmerge	isolate	ISOLATED	samples/대법원/2019/recipe-mailmerge-005043.hwpx	대법원	2019	hwpx	6	6	0	0
u_recipe_mailmerge-005044	recipe-mailmerge	isolate	ISOLATED	samples/특허청/2019/recipe-mailmerge-005044.hwp	특허청	2019	hwp	8	7	1	0
u_recipe_mailmerge-005045	recipe-mailmerge	isolate	COUNT_DRIFT	samples/교육부/2019/recipe-mailmerge-005045.hwpx	교육부	2019	hwpx	10	8	1	0
u_recipe_mailmerge-005046	recipe-mailmerge	isolate	POISON	samples/보건복지부/2019/recipe-mailmerge-005046.hwp	보건복지부	2019	hwp	10	9	1	1
u_recipe_mailmerge-005047	recipe-mailmerge	isolate	ISOLATED	samples/국토교통부/2019/recipe-mailmerge-005047.hwpx	국토교통부	2019	hwpx	10	10	0	0
u_recipe_mailmerge-005048	recipe-mailmerge	isolate	ISOLATED	samples/고용노동부/2019/recipe-mailmerge-005048.hwp	고용노동부	2019	hwp	3	3	0	0
u_recipe_mailmerge-005049	recipe-mailmerge	isolate	ISOLATED	samples/외교부/2019/recipe-mailmerge-005049.hwpx	외교부	2019	hwpx	4	4	0	0
u_recipe_mailmerge-005050	recipe-mailmerge	isolate	ISOLATED	samples/기획재정부/2019/recipe-mailmerge-005050.hwp	기획재정부	2019	hwp	5	5	0	0
u_recipe_mailmerge-005051	recipe-mailmerge	isolate	ISOLATED	samples/공정거래위원회/2019/recipe-mailmerge-005051.hwpx	공정거래위원회	2019	hwpx	7	6	1	0
