case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_recipe_redact-010000	recipe-redact	redact	NOTHING_TO_CLEAR	samples/기획재정부/2019/recipe-redact-010000.hwp	기획재정부	2019	hwp	1	0	0	
u_recipe_redact-010001	recipe-redact	redact	STILL_PRESENT	samples/공정거래위원회/2019/recipe-redact-010001.hwpx	공정거래위원회	2019	hwpx	1	6	1	
u_recipe_redact-010002	recipe-redact	redact	NOT_EVIDENCE	samples/금융위원회/2019/recipe-redact-010002.hwp	금융위원회	2019	hwp	0	1	1	
u_recipe_redact-010003	recipe-redact	redact	CLEAR_OK	samples/통계청/2019/recipe-redact-010003.hwpx	통계청	2019	hwpx	1	2	0	
u_recipe_redact-010004	recipe-redact	redact	CLEAR_OK	samples/기상청/2019/recipe-redact-010004.hwp	기상청	2019	hwp	1	3	0	
u_recipe_redact-010005	recipe-redact	redact	CLEAR_OK	samples/관세청/2019/recipe-redact-010005.hwpx	관세청	2019	hwpx	1	4	0	
u_recipe_redact-010006	recipe-redact	redact	CLEAR_OK	samples/검찰청/2019/recipe-redact-010006.hwp	검찰청	2019	hwp	1	5	0	
u_recipe_redact-010007	recipe-redact	redact	NOTHING_TO_CLEAR	samples/경찰청/2019/recipe-redact-010007.hwpx	경찰청	2019	hwpx	1	0	0	
u_recipe_redact-010008	recipe-redact	redact	STILL_PRESENT	samples/소방청/2019/recipe-redact-010008.hwp	소방청	2019	hwp	1	1	1	
u_recipe_redact-010009	recipe-redact	redact	NOT_EVIDENCE	samples/병무청/2019/recipe-redact-010009.hwpx	병무청	2019	hwpx	0	2	1	
u_recipe_redact-010010	recipe-redact	redact	CLEAR_OK	samples/산림청/2019/recipe-redact-010010.hwp	산림청	2019	hwp	1	3	0	
u_recipe_redact-010011	recipe-redact	redact	CLEAR_OK	samples/중소벤처기업부/2019/recipe-redact-010011.hwpx	중소벤처기업부	2019	hwpx	1	4	0	
u_recipe_redact-010012	recipe-redact	redact	CLEAR_OK	samples/과학기술정보통신부/2019/recipe-redact-010012.hwp	과학기술정보통신부	2019	hwp	1	5	0	
u_recipe_redact-010013	recipe-redact	redact	CLEAR_OK	samples/문화체육관광부/2019/recipe-redact-010013.hwpx	문화체육관광부	2019	hwpx	1	6	0	
u_recipe_redact-010014	recipe-redact	redact	NOTHING_TO_CLEAR	samples/환경부/2019/recipe-redact-010014.hwp	환경부	2019	hwp	1	0	0	
u_recipe_redact-010015	recipe-redact	redact	STILL_PRESENT	samples/해양수산부/2019/recipe-redact-010015.hwpx	해양수산부	2019	hwpx	1	2	1	
u_recipe_redact-010016	recipe-redact	redact	NOT_EVIDENCE	samples/서울특별시/2019/recipe-redact-010016.hwp	서울특별시	2019	hwp	0	3	1	
u_recipe_redact-010017	recipe-redact	redact	CLEAR_OK	samples/경기도/2019/recipe-redact-010017.hwpx	경기도	2019	hwpx	1	4	0	
u_recipe_redact-010018	recipe-redact	redact	CLEAR_OK	samples/부산광역시/2019/recipe-redact-010018.hwp	부산광역시	2019	hwp	1	5	0	
u_recipe_redact-010019	recipe-redact	redact	CLEAR_OK	samples/제주특별자치도/2019/recipe-redact-010019.hwpx	제주특별자치도	2019	hwpx	1	6	0	
u_recipe_redact-010020	recipe-redact	redact	CLEAR_OK	samples/법제처/2020/recipe-redact-010020.hwp	법제처	2020	hwp	1	1	0	
u_recipe_redact-010021	recipe-redact	redact	NOTHING_TO_CLEAR	samples/행정안전부/2020/recipe-redact-010021.hwpx	행정안전부	2020	hwpx	1	0	0	
u_recipe_redact-010022	recipe-redact	redact	STILL_PRESENT	samples/국세청/2020/recipe-redact-010022.hwp	국세청	2020	hwp	1	3	1	
u_recipe_redact-010023	recipe-redact	redact	NOT_EVIDENCE	samples/대법원/2020/recipe-redact-010023.hwpx	대법원	2020	hwpx	0	4	1	
u_recipe_redact-010024	recipe-redact	redact	CLEAR_OK	samples/특허청/2020/recipe-redact-010024.hwp	특허청	2020	hwp	1	5	0	
u_recipe_redact-010025	recipe-redact	redact	CLEAR_OK	samples/교육부/2020/recipe-redact-010025.hwpx	교육부	2020	hwpx	1	6	0	
u_recipe_redact-010026	recipe-redact	redact	CLEAR_OK	samples/보건복지부/2020/recipe-redact-010026.hwp	보건복지부	2020	hwp	1	1	0	
u_recipe_redact-010027	recipe-redact	redact	CLEAR_OK	samples/국토교통부/2020/recipe-redact-010027.hwpx	국토교통부	2020	hwpx	1	2	0	
u_recipe_redact-010028	recipe-redact	redact	NOTHING_TO_CLEAR	samples/고용노동부/2020/recipe-redact-010028.hwp	고용노동부	2020	hwp	1	0	0	
u_recipe_redact-010029	recipe-redact	redact	STILL_PRESENT	samples/외교부/2020/recipe-redact-010029.hwpx	외교부	2020	hwpx	1	4	1	
u_recipe_redact-010030	recipe-redact	redact	NOT_EVIDENCE	samples/기획재정부/2020/recipe-redact-010030.hwp	기획재정부	2020	hwp	0	5	1	
u_recipe_redact-010031	recipe-redact	redact	CLEAR_OK	samples/공정거래위원회/2020/recipe-redact-010031.hwpx	공정거래위원회	2020	hwpx	1	6	0	
u_recipe_redact-010032	recipe-redact	redact	CLEAR_OK	samples/금융위원회/2020/recipe-redact-010032.hwp	금융위원회	2020	hwp	1	1	0	
u_recipe_redact-010033	recipe-redact	redact	CLEAR_OK	samples/통계청/2020/recipe-redact-010033.hwpx	통계청	2020	hwpx	1	2	0	
u_recipe_redact-010034	recipe-redact	redact	CLEAR_OK	samples/기상청/2020/recipe-redact-010034.hwp	기상청	2020	hwp	1	3	0	
u_recipe_redact-010035	recipe-redact	redact	NOTHING_TO_CLEAR	samples/관세청/2020/recipe-redact-010035.hwpx	관세청	2020	hwpx	1	0	0	
u_recipe_redact-010036	recipe-redact	redact	STILL_PRESENT	samples/검찰청/2020/recipe-redact-010036.hwp	검찰청	2020	hwp	1	5	1	
u_recipe_redact-010037	recipe-redact	redact	NOT_EVIDENCE	samples/경찰청/2020/recipe-redact-010037.hwpx	경찰청	2020	hwpx	0	6	1	
u_recipe_redact-010038	recipe-redact	redact	CLEAR_OK	samples/소방청/2020/recipe-redact-010038.hwp	소방청	2020	hwp	1	1	0	
u_recipe_redact-010039	recipe-redact	redact	CLEAR_OK	samples/병무청/2020/recipe-redact-010039.hwpx	병무청	2020	hwpx	1	2	0	
u_recipe_redact-010040	recipe-redact	redact	CLEAR_OK	samples/산림청/2020/recipe-redact-010040.hwp	산림청	2020	hwp	1	3	0	
u_recipe_redact-010041	recipe-redact	redact	CLEAR_OK	samples/중소벤처기업부/2020/recipe-redact-010041.hwpx	중소벤처기업부	2020	hwpx	1	4	0	
u_recipe_redact-010042	recipe-redact	redact	NOTHING_TO_CLEAR	samples/과학기술정보통신부/2020/recipe-redact-010042.hwp	과학기술정보통신부	2020	hwp	1	0	0	
u_recipe_redact-010043	recipe-redact	redact	STILL_PRESENT	samples/문화체육관광부/2020/recipe-redact-010043.hwpx	문화체육관광부	2020	hwpx	1	6	1	
u_recipe_redact-010044	recipe-redact	redact	NOT_EVIDENCE	samples/환경부/2020/recipe-redact-010044.hwp	환경부	2020	hwp	0	1	1	
u_recipe_redact-010045	recipe-redact	redact	CLEAR_OK	samples/해양수산부/2020/recipe-redact-010045.hwpx	해양수산부	2020	hwpx	1	2	0	
u_recipe_redact-010046	recipe-redact	redact	CLEAR_OK	samples/서울특별시/2020/recipe-redact-010046.hwp	서울특별시	2020	hwp	1	3	0	
u_recipe_redact-010047	recipe-redact	redact	CLEAR_OK	samples/경기도/2020/recipe-redact-010047.hwpx	경기도	2020	hwpx	1	4	0	
u_recipe_redact-010048	recipe-redact	redact	CLEAR_OK	samples/부산광역시/2020/recipe-redact-010048.hwp	부산광역시	2020	hwp	1	5	0	
u_recipe_redact-010049	recipe-redact	redact	NOTHING_TO_CLEAR	samples/제주특별자치도/2020/recipe-redact-010049.hwpx	제주특별자치도	2020	hwpx	1	0	0	
u_recipe_redact-010050	recipe-redact	redact	STILL_PRESENT	samples/법제처/2021/recipe-redact-010050.hwp	법제처	2021	hwp	1	1	1	
u_recipe_redact-010051	recipe-redact	redact	NOT_EVIDENCE	samples/행정안전부/2021/recipe-redact-010051.hwpx	행정안전부	2021	hwpx	0	2	1	
u_recipe_redact-010052	recipe-redact	redact	CLEAR_OK	samples/국세청/2021/recipe-redact-010052.hwp	국세청	2021	hwp	1	3	0	
u_recipe_redact-010053	recipe-redact	redact	CLEAR_OK	samples/대법원/2021/recipe-redact-010053.hwpx	대법원	2021	hwpx	1	4	0	
u_recipe_redact-010054	recipe-redact	redact	CLEAR_OK	samples/특허청/2021/recipe-redact-010054.hwp	특허청	2021	hwp	1	5	0	
u_recipe_redact-010055	recipe-redact	redact	CLEAR_OK	samples/교육부/2021/recipe-redact-010055.hwpx	교육부	2021	hwpx	1	6	0	
u_recipe_redact-010056	recipe-redact	redact	NOTHING_TO_CLEAR	samples/보건복지부/2021/recipe-redact-010056.hwp	보건복지부	2021	hwp	1	0	0	
u_recipe_redact-010057	recipe-redact	redact	STILL_PRESENT	samples/국토교통부/2021/recipe-redact-010057.hwpx	국토교통부	2021	hwpx	1	2	1	
u_recipe_redact-010058	recipe-redact	redact	NOT_EVIDENCE	samples/고용노동부/2021/recipe-redact-010058.hwp	고용노동부	2021	hwp	0	3	1	
u_recipe_redact-010059	recipe-redact	redact	CLEAR_OK	samples/외교부/2021/recipe-redact-010059.hwpx	외교부	2021	hwpx	1	4	0	
u_recipe_redact-010060	recipe-redact	redact	CLEAR_OK	samples/기획재정부/2021/recipe-redact-010060.hwp	기획재정부	2021	hwp	1	5	0	
u_recipe_redact-010061	recipe-redact	redact	CLEAR_OK	samples/공정거래위원회/2021/recipe-redact-010061.hwpx	공정거래위원회	2021	hwpx	1	6	0	
u_recipe_redact-010062	recipe-redact	redact	CLEAR_OK	samples/금융위원회/2021/recipe-redact-010062.hwp	금융위원회	2021	hwp	1	1	0	
