case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_recipe_table-005000	recipe-table	dims	DIM_OK	samples/산림청/2017/recipe-table-005000.hwp	산림청	2017	hwp	10	2	10	2
u_recipe_table-005001	recipe-table	dims	DIM_OK	samples/중소벤처기업부/2017/recipe-table-005001.hwpx	중소벤처기업부	2017	hwpx	11	2	11	2
u_recipe_table-005002	recipe-table	dims	DIM_OK	samples/과학기술정보통신부/2017/recipe-table-005002.hwp	과학기술정보통신부	2017	hwp	12	3	12	3
u_recipe_table-005003	recipe-table	dims	DIM_DRIFT	samples/문화체육관광부/2017/recipe-table-005003.hwpx	문화체육관광부	2017	hwpx	13	3	14	3
u_recipe_table-005004	recipe-table	dims	DIM_DRIFT	samples/환경부/2017/recipe-table-005004.hwp	환경부	2017	hwp	2	4	3	5
u_recipe_table-005005	recipe-table	dims	DIM_OK	samples/해양수산부/2017/recipe-table-005005.hwpx	해양수산부	2017	hwpx	3	4	3	4
u_recipe_table-005006	recipe-table	dims	DIM_OK	samples/서울특별시/2017/recipe-table-005006.hwp	서울특별시	2017	hwp	4	5	4	5
u_recipe_table-005007	recipe-table	dims	DIM_OK	samples/경기도/2017/recipe-table-005007.hwpx	경기도	2017	hwpx	5	5	5	5
u_recipe_table-005008	recipe-table	dims	DIM_OK	samples/부산광역시/2017/recipe-table-005008.hwp	부산광역시	2017	hwp	6	6	6	6
u_recipe_table-005009	recipe-table	dims	DIM_OK	samples/제주특별자치도/2017/recipe-table-005009.hwpx	제주특별자치도	2017	hwpx	7	6	7	6
u_recipe_table-005010	recipe-table	dims	DIM_DRIFT	samples/법제처/2018/recipe-table-005010.hwp	법제처	2018	hwp	8	7	9	7
u_recipe_table-005011	recipe-table	dims	DIM_DRIFT	samples/행정안전부/2018/recipe-table-005011.hwpx	행정안전부	2018	hwpx	9	7	10	8
u_recipe_table-005012	recipe-table	dims	DIM_OK	samples/국세청/2018/recipe-table-005012.hwp	국세청	2018	hwp	10	8	10	8
u_recipe_table-005013	recipe-table	dims	DIM_OK	samples/대법원/2018/recipe-table-005013.hwpx	대법원	2018	hwpx	11	8	11	8
u_recipe_table-005014	recipe-table	dims	DIM_OK	samples/특허청/2018/recipe-table-005014.hwp	특허청	2018	hwp	12	9	12	9
