case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_recipe_visual-015000	recipe-visual	px	STRUCT	samples/법제처/2021/recipe-visual-015000.hwp	법제처	2021	hwp	0	2	1	
u_recipe_visual-015001	recipe-visual	px	PX_OK	samples/행정안전부/2021/recipe-visual-015001.hwpx	행정안전부	2021	hwpx	0	3	0	
u_recipe_visual-015002	recipe-visual	px	PX_OK	samples/국세청/2021/recipe-visual-015002.hwp	국세청	2021	hwp	2	4	0	
u_recipe_visual-015003	recipe-visual	px	PX_OK	samples/대법원/2021/recipe-visual-015003.hwpx	대법원	2021	hwpx	0	5	0	
u_recipe_visual-015004	recipe-visual	px	PX_OK	samples/특허청/2021/recipe-visual-015004.hwp	특허청	2021	hwp	4	6	0	
u_recipe_visual-015005	recipe-visual	px	PX_OK	samples/교육부/2021/recipe-visual-015005.hwpx	교육부	2021	hwpx	1	7	0	
u_recipe_visual-015006	recipe-visual	px	PX_OK	samples/보건복지부/2021/recipe-visual-015006.hwp	보건복지부	2021	hwp	0	2	0	
u_recipe_visual-015007	recipe-visual	px	STRUCT	samples/국토교통부/2021/recipe-visual-015007.hwpx	국토교통부	2021	hwpx	6	3	1	
u_recipe_visual-015008	recipe-visual	px	PX_OK	samples/고용노동부/2021/recipe-visual-015008.hwp	고용노동부	2021	hwp	0	4	0	
u_recipe_visual-015009	recipe-visual	px	PX_FAIL	samples/외교부/2021/recipe-visual-015009.hwpx	외교부	2021	hwpx	6	5	0	
u_recipe_visual-015010	recipe-visual	px	PX_OK	samples/기획재정부/2021/recipe-visual-015010.hwp	기획재정부	2021	hwp	0	6	0	
u_recipe_visual-015011	recipe-visual	px	PX_OK	samples/공정거래위원회/2021/recipe-visual-015011.hwpx	공정거래위원회	2021	hwpx	7	7	0	
u_recipe_visual-015012	recipe-visual	px	PX_OK	samples/금융위원회/2021/recipe-visual-015012.hwp	금융위원회	2021	hwp	0	2	0	
u_recipe_visual-015013	recipe-visual	px	PX_FAIL	samples/통계청/2021/recipe-visual-015013.hwpx	통계청	2021	hwpx	5	3	0	
u_recipe_visual-015014	recipe-visual	px	STRUCT	samples/기상청/2021/recipe-visual-015014.hwp	기상청	2021	hwp	6	4	1	
u_recipe_visual-015015	recipe-visual	px	PX_OK	samples/관세청/2021/recipe-visual-015015.hwpx	관세청	2021	hwpx	3	5	0	
u_recipe_visual-015016	recipe-visual	px	PX_OK	samples/검찰청/2021/recipe-visual-015016.hwp	검찰청	2021	hwp	6	6	0	
u_recipe_visual-015017	recipe-visual	px	PX_OK	samples/경찰청/2021/recipe-visual-015017.hwpx	경찰청	2021	hwpx	2	7	0	
u_recipe_visual-015018	recipe-visual	px	PX_OK	samples/소방청/2021/recipe-visual-015018.hwp	소방청	2021	hwp	0	2	0	
u_recipe_visual-015019	recipe-visual	px	PX_FAIL	samples/병무청/2021/recipe-visual-015019.hwpx	병무청	2021	hwpx	4	3	0	
u_recipe_visual-015020	recipe-visual	px	PX_OK	samples/산림청/2021/recipe-visual-015020.hwp	산림청	2021	hwp	4	4	0	
u_recipe_visual-015021	recipe-visual	px	STRUCT	samples/중소벤처기업부/2021/recipe-visual-015021.hwpx	중소벤처기업부	2021	hwpx	0	5	1	
