case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_render_diff-005000	render-diff	px	PX_OK	samples/산림청/2017/render-diff-005000.hwp	산림청	2017	hwp	0	4	0	
u_render_diff-005001	render-diff	px	PX_FAIL	samples/중소벤처기업부/2017/render-diff-005001.hwpx	중소벤처기업부	2017	hwpx	6	5	0	
u_render_diff-005002	render-diff	px	PX_OK	samples/과학기술정보통신부/2017/render-diff-005002.hwp	과학기술정보통신부	2017	hwp	2	6	0	
u_render_diff-005003	render-diff	px	PX_FAIL	samples/문화체육관광부/2017/render-diff-005003.hwpx	문화체육관광부	2017	hwpx	9	7	0	
u_render_diff-005004	render-diff	px	STRUCT	samples/환경부/2017/render-diff-005004.hwp	환경부	2017	hwp	0	2	1	
u_render_diff-005005	render-diff	px	PX_OK	samples/해양수산부/2017/render-diff-005005.hwpx	해양수산부	2017	hwpx	0	3	0	
u_render_diff-005006	render-diff	px	PX_FAIL	samples/서울특별시/2017/render-diff-005006.hwp	서울특별시	2017	hwp	6	4	0	
u_render_diff-005007	render-diff	px	PX_OK	samples/경기도/2017/render-diff-005007.hwpx	경기도	2017	hwpx	3	5	0	
u_render_diff-005008	render-diff	px	PX_FAIL	samples/부산광역시/2017/render-diff-005008.hwp	부산광역시	2017	hwp	8	6	0	
u_render_diff-005009	render-diff	px	PX_OK	samples/제주특별자치도/2017/render-diff-005009.hwpx	제주특별자치도	2017	hwpx	4	7	0	
u_render_diff-005010	render-diff	px	PX_OK	samples/법제처/2018/render-diff-005010.hwp	법제처	2018	hwp	0	2	0	
u_render_diff-005011	render-diff	px	STRUCT	samples/행정안전부/2018/render-diff-005011.hwpx	행정안전부	2018	hwpx	6	3	1	
u_render_diff-005012	render-diff	px	PX_OK	samples/국세청/2018/render-diff-005012.hwp	국세청	2018	hwp	4	4	0	
u_render_diff-005013	render-diff	px	PX_OK	samples/대법원/2018/render-diff-005013.hwpx	대법원	2018	hwpx	0	5	0	
u_render_diff-005014	render-diff	px	PX_OK	samples/특허청/2018/render-diff-005014.hwp	특허청	2018	hwp	4	6	0	
u_render_diff-005015	render-diff	px	PX_FAIL	samples/교육부/2018/render-diff-005015.hwpx	교육부	2018	hwpx	10	7	0	
u_render_diff-005016	render-diff	px	PX_OK	samples/보건복지부/2018/render-diff-005016.hwp	보건복지부	2018	hwp	0	2	0	
u_render_diff-005017	render-diff	px	PX_FAIL	samples/국토교통부/2018/render-diff-005017.hwpx	국토교통부	2018	hwpx	5	3	0	
u_render_diff-005018	render-diff	px	STRUCT	samples/고용노동부/2018/render-diff-005018.hwp	고용노동부	2018	hwp	2	4	1	
u_render_diff-005019	render-diff	px	PX_FAIL	samples/외교부/2018/render-diff-005019.hwpx	외교부	2018	hwpx	6	5	0	
u_render_diff-005020	render-diff	px	PX_OK	samples/기획재정부/2018/render-diff-005020.hwp	기획재정부	2018	hwp	0	6	0	
u_render_diff-005021	render-diff	px	PX_OK	samples/공정거래위원회/2018/render-diff-005021.hwpx	공정거래위원회	2018	hwpx	5	7	0	
u_render_diff-005022	render-diff	px	PX_OK	samples/금융위원회/2018/render-diff-005022.hwp	금융위원회	2018	hwp	0	2	0	
u_render_diff-005023	render-diff	px	PX_FAIL	samples/통계청/2018/render-diff-005023.hwpx	통계청	2018	hwpx	4	3	0	
u_render_diff-005024	render-diff	px	PX_OK	samples/기상청/2018/render-diff-005024.hwp	기상청	2018	hwp	0	4	0	
u_render_diff-005025	render-diff	px	STRUCT	samples/관세청/2018/render-diff-005025.hwpx	관세청	2018	hwpx	3	5	1	
u_render_diff-005026	render-diff	px	PX_OK	samples/검찰청/2018/render-diff-005026.hwp	검찰청	2018	hwp	6	6	0	
u_render_diff-005027	render-diff	px	PX_OK	samples/경찰청/2018/render-diff-005027.hwpx	경찰청	2018	hwpx	0	7	0	
u_render_diff-005028	render-diff	px	PX_OK	samples/소방청/2018/render-diff-005028.hwp	소방청	2018	hwp	0	2	0	
u_render_diff-005029	render-diff	px	PX_OK	samples/병무청/2018/render-diff-005029.hwpx	병무청	2018	hwpx	3	3	0	
u_render_diff-005030	render-diff	px	PX_FAIL	samples/산림청/2018/render-diff-005030.hwp	산림청	2018	hwp	6	4	0	
u_render_diff-005031	render-diff	px	PX_OK	samples/중소벤처기업부/2018/render-diff-005031.hwpx	중소벤처기업부	2018	hwpx	0	5	0	
u_render_diff-005032	render-diff	px	STRUCT	samples/과학기술정보통신부/2018/render-diff-005032.hwp	과학기술정보통신부	2018	hwp	2	6	1	
u_render_diff-005033	render-diff	px	PX_OK	samples/문화체육관광부/2018/render-diff-005033.hwpx	문화체육관광부	2018	hwpx	6	7	0	
u_render_diff-005034	render-diff	px	PX_OK	samples/환경부/2018/render-diff-005034.hwp	환경부	2018	hwp	0	2	0	
u_render_diff-005035	render-diff	px	PX_OK	samples/해양수산부/2018/render-diff-005035.hwpx	해양수산부	2018	hwpx	2	3	0	
u_render_diff-005036	render-diff	px	PX_OK	samples/서울특별시/2018/render-diff-005036.hwp	서울특별시	2018	hwp	4	4	0	
u_render_diff-005037	render-diff	px	PX_FAIL	samples/경기도/2018/render-diff-005037.hwpx	경기도	2018	hwpx	6	5	0	
u_render_diff-005038	render-diff	px	PX_FAIL	samples/부산광역시/2018/render-diff-005038.hwp	부산광역시	2018	hwp	8	6	0	
u_render_diff-005039	render-diff	px	STRUCT	samples/제주특별자치도/2018/render-diff-005039.hwpx	제주특별자치도	2018	hwpx	1	7	1	
u_render_diff-005040	render-diff	px	PX_OK	samples/법제처/2019/render-diff-005040.hwp	법제처	2019	hwp	0	2	0	
u_render_diff-005041	render-diff	px	PX_OK	samples/행정안전부/2019/render-diff-005041.hwpx	행정안전부	2019	hwpx	1	3	0	
u_render_diff-005042	render-diff	px	PX_OK	samples/국세청/2019/render-diff-005042.hwp	국세청	2019	hwp	2	4	0	
