case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_run_cas-000000	run-cas	cas	CAS_OK	samples/법제처/2016/run-cas-000000.hwp	법제처	2016	hwp	1	0	4f40adf24fb5bb83573262b64663f9d35944616461713a803dcd703a32d052ba	4f40adf24fb5bb83573262b64663f9d35944616461713a803dcd703a32d052ba
u_run_cas-000001	run-cas	cas	CAS_OK	samples/행정안전부/2016/run-cas-000001.hwpx	행정안전부	2016	hwpx	1	0	a0e5f5786f8a2289d934ece125f2bb47720fdccff1ae4d014791df3f976f6151	a0e5f5786f8a2289d934ece125f2bb47720fdccff1ae4d014791df3f976f6151
u_run_cas-000002	run-cas	cas	CAS_OK	samples/국세청/2016/run-cas-000002.hwp	국세청	2016	hwp	1	0	1089c6d31d44c943b717caf675a30284118b2f8f472db62966df2f364c9a9cfd	1089c6d31d44c943b717caf675a30284118b2f8f472db62966df2f364c9a9cfd
u_run_cas-000003	run-cas	cas	CAS_MISMATCH	samples/대법원/2016/run-cas-000003.hwpx	대법원	2016	hwpx	1	0	0b5b105fd54a39ffbb987e5f60b99b2b07f9a850135a68db2ffccd02b583ceb5	47ed49d54f751f22c96e84b7fe369c1eef102ae4e83bd5f8335ce859cee7e664
u_run_cas-000004	run-cas	cas	USAGE	samples/특허청/2016/run-cas-000004.hwp	특허청	2016	hwp	1	0	zz	335b95ac4df9e4cb9d7ea32b46ea3e74de2609f47245bcac5071fca99481d391
u_run_cas-000005	run-cas	cas	SKIP	samples/교육부/2016/run-cas-000005.hwpx	교육부	2016	hwpx	0	0	dd7faee4c515b245b647a40b74bb7f503b7b0b13d2cba8207c8d93411ab0d1f3	9b77628e003c3a44b3bc09af45279e561115c24bad539fd3c25cc95a79726a3b
u_run_cas-000006	run-cas	cas	USAGE	samples/보건복지부/2016/run-cas-000006.hwp	보건복지부	2016	hwp	1	1	d6a5e589e0140abd9a94bd81d46b210b9f02e227cd64ab616aeee99ebe56d633	990724cee537cb9c4912f7cde2ef2102c41e142c84e7c39df8d850b794b0d6d7
u_run_cas-000007	run-cas	cas	CAS_OK	samples/국토교통부/2016/run-cas-000007.hwpx	국토교통부	2016	hwpx	1	0	9b32261a1f282f92015e55ff244be5e42558fd70654928ffcc108e892f9cc9e0	9b32261a1f282f92015e55ff244be5e42558fd70654928ffcc108e892f9cc9e0
u_run_cas-000008	run-cas	cas	CAS_OK	samples/고용노동부/2016/run-cas-000008.hwp	고용노동부	2016	hwp	1	0	075ae7a8884130d53bec7c456ca7265e7fd5f5569895e0ed12b2dacb870f5991	075ae7a8884130d53bec7c456ca7265e7fd5f5569895e0ed12b2dacb870f5991
u_run_cas-000009	run-cas	cas	CAS_OK	samples/외교부/2016/run-cas-000009.hwpx	외교부	2016	hwpx	1	0	ad89420283f2ea3b2367616b3380b95f10bf3be30fe1e125f38f09fb20f13c2f	ad89420283f2ea3b2367616b3380b95f10bf3be30fe1e125f38f09fb20f13c2f
u_run_cas-000010	run-cas	cas	CAS_MISMATCH	samples/기획재정부/2016/run-cas-000010.hwp	기획재정부	2016	hwp	1	0	ce301e9b4f07466d60d7ba640d6599210c9aa147f46bb0f315745c8253046433	0147a396de0294d9950043ec9c104907085e29afff5f8d36d6a90b0f39d2dfe8
u_run_cas-000011	run-cas	cas	USAGE	samples/공정거래위원회/2016/run-cas-000011.hwpx	공정거래위원회	2016	hwpx	1	0	zz	9c4ecf3beb4ff1324f1e6d77fc5c4e9b30699ef4ebb99a1157e3b3f4096fcb8b
u_run_cas-000012	run-cas	cas	SKIP	samples/금융위원회/2016/run-cas-000012.hwp	금융위원회	2016	hwp	0	0	fa4564317962498f4fcd6ed165cdcc9d010d99975a0173e5605d4b616bdde9bb	4bbfec80be16bcafbeffc8ae2ed01ce84459af39f0d0a0ea8928c93ae0506053
u_run_cas-000013	run-cas	cas	USAGE	samples/통계청/2016/run-cas-000013.hwpx	통계청	2016	hwpx	1	1	867faf082bbb467fae0772efd3eb00a5b8a4143b0185513ae3d88134c829039e	a4afb32fdd3ffdbefc3d672217d51c020fe12589af1bac2de6895284309c2887
u_run_cas-000014	run-cas	cas	CAS_OK	samples/기상청/2016/run-cas-000014.hwp	기상청	2016	hwp	1	0	878aea76a069d25f05d4a5c54c2f821f8c799b5ca8073d20637ebb4c49f49351	878aea76a069d25f05d4a5c54c2f821f8c799b5ca8073d20637ebb4c49f49351
u_run_cas-000015	run-cas	cas	CAS_OK	samples/관세청/2016/run-cas-000015.hwpx	관세청	2016	hwpx	1	0	42e6a2119ce567e59c3d01924b94b88900329fecb852ee4abd3a5914e772ee76	42e6a2119ce567e59c3d01924b94b88900329fecb852ee4abd3a5914e772ee76
u_run_cas-000016	run-cas	cas	CAS_OK	samples/검찰청/2016/run-cas-000016.hwp	검찰청	2016	hwp	1	0	df72b8a333ae425e230f6b6208b0709296004005bf31b4f56e08c6e8a5e2fd53	df72b8a333ae425e230f6b6208b0709296004005bf31b4f56e08c6e8a5e2fd53
u_run_cas-000017	run-cas	cas	CAS_MISMATCH	samples/경찰청/2016/run-cas-000017.hwpx	경찰청	2016	hwpx	1	0	1832469d2fff8fa6bae47c34bcdec73636c533d7ab96e0e8426fd1e5cc96d6d7	e62b41c182231afc3d037eb44b19df9decf246f995be235c619768e28e8ce65a
u_run_cas-000018	run-cas	cas	USAGE	samples/소방청/2016/run-cas-000018.hwp	소방청	2016	hwp	1	0	zz	a52628c38ef9dd533f951b401459e8e59000cc497d29cf2fdfd6c9637262bfe2
u_run_cas-000019	run-cas	cas	SKIP	samples/병무청/2016/run-cas-000019.hwpx	병무청	2016	hwpx	0	0	c0643b27e055c166064d783612386f64170509ea9e862665981f98d2aff0d99a	a29a2fcb0c2bdf7ba8d74c5558be48f6442a83d360013ba258d075104c95bc73
u_run_cas-000020	run-cas	cas	USAGE	samples/산림청/2016/run-cas-000020.hwp	산림청	2016	hwp	1	1	a2e7c1b10f6173a4e1aea61b8023169d2fe395dc4a26574d47477eea92bbd4e2	1c7e017834e7279a3d15ff90672d034b3e31160120bc0cc9705f91b1bf51a1a7
u_run_cas-000021	run-cas	cas	CAS_OK	samples/중소벤처기업부/2016/run-cas-000021.hwpx	중소벤처기업부	2016	hwpx	1	0	bd54a26085676777140a872d1fa3cb1411f981da054c8b167c259e47c5e86923	bd54a26085676777140a872d1fa3cb1411f981da054c8b167c259e47c5e86923
u_run_cas-000022	run-cas	cas	CAS_OK	samples/과학기술정보통신부/2016/run-cas-000022.hwp	과학기술정보통신부	2016	hwp	1	0	35d6b49fc26bc379026bcd0ef8ad4160cceb672f35d51c9bc53e77903fb95002	35d6b49fc26bc379026bcd0ef8ad4160cceb672f35d51c9bc53e77903fb95002
u_run_cas-000023	run-cas	cas	CAS_OK	samples/문화체육관광부/2016/run-cas-000023.hwpx	문화체육관광부	2016	hwpx	1	0	f2d7a3d046dc3b5fb614b1084b0d3be3385716a564698bd37dd21682f549ddc4	f2d7a3d046dc3b5fb614b1084b0d3be3385716a564698bd37dd21682f549ddc4
u_run_cas-000024	run-cas	cas	CAS_MISMATCH	samples/환경부/2016/run-cas-000024.hwp	환경부	2016	hwp	1	0	39db393db9a52af5ad1677c6493b4ded65028b28eb02b84648795e46fe76922d	91b6b7ac04cdd2d9cee455f146225769c332f26fc2da48cd3f784508acc16b5d
u_run_cas-000025	run-cas	cas	USAGE	samples/해양수산부/2016/run-cas-000025.hwpx	해양수산부	2016	hwpx	1	0	zz	07c821e9a90d8a6b0e88726aa9d63b221906db49db1def4e7edb1839aaeaf128
u_run_cas-000026	run-cas	cas	SKIP	samples/서울특별시/2016/run-cas-000026.hwp	서울특별시	2016	hwp	0	0	f1a181b74219772f644497baf32d79bf01a5ff79cdd39674fe1bc120f818bb16	086d9a6fd2467b54616d6eedea24bb9231c6a78041d938b2fc7000553d63150c
u_run_cas-000027	run-cas	cas	USAGE	samples/경기도/2016/run-cas-000027.hwpx	경기도	2016	hwpx	1	1	1d07e807cbb2da1d4e5d7c1d398076e319313761211c65a79bdab03b76cb886f	07928dd3ca241457eef3686f374704524325d05235b9af1a0111013159689ce2
