case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_run_usage-005000	run-usage	cas	CAS_OK	samples/산림청/2017/run-usage-005000.hwp	산림청	2017	hwp	1	0	cbb8151a97f155123f4fe9ace4556fd06e3fdd7fb7855873ece53683b68c71f6	cbb8151a97f155123f4fe9ace4556fd06e3fdd7fb7855873ece53683b68c71f6
u_run_usage-005001	run-usage	cas	CAS_MISMATCH	samples/중소벤처기업부/2017/run-usage-005001.hwpx	중소벤처기업부	2017	hwpx	1	0	3e6635a7489826e4cd7557ac7a8c9d98ab1306c63b69db53eb0ea582ad7148ba	3e6890a01876f990046b284bcaa9555f0d7b43c8fdaec66ee790f9cdff0883de
u_run_usage-005002	run-usage	cas	USAGE	samples/과학기술정보통신부/2017/run-usage-005002.hwp	과학기술정보통신부	2017	hwp	1	0	zz	355c4a6dfb1fe1fdef56a4c74d02002e0a23ff91290b9efc52653a2bb1ce2b98
u_run_usage-005003	run-usage	cas	SKIP	samples/문화체육관광부/2017/run-usage-005003.hwpx	문화체육관광부	2017	hwpx	0	0	a0689c229c8e1e2d2d86febe7f1ba85c57bf7b49f9543ae3c2184e5da961603e	f494230e43f9a426977b1acb4014627b15cc4c3f36122c437f4b792443ee3aa1
u_run_usage-005004	run-usage	cas	USAGE	samples/환경부/2017/run-usage-005004.hwp	환경부	2017	hwp	1	1	d99ae79b4ca790ef4b6b13a0aea5a25614a4f79c260dc3b1ce5085c30e98f768	bd59f222c7fd750da85100c59988d0a8919f0003ed9443e04f3ba9f79a8583cd
u_run_usage-005005	run-usage	cas	CAS_OK	samples/해양수산부/2017/run-usage-005005.hwpx	해양수산부	2017	hwpx	1	0	376b50014cca8207f2f54517767a905bcdee9146ebd27230e56b20a97bcc63b9	376b50014cca8207f2f54517767a905bcdee9146ebd27230e56b20a97bcc63b9
u_run_usage-005006	run-usage	cas	CAS_OK	samples/서울특별시/2017/run-usage-005006.hwp	서울특별시	2017	hwp	1	0	5c6e0a345cbe8f5f83e3b8124cb73262def74c8a7aec6894805422be97abb686	5c6e0a345cbe8f5f83e3b8124cb73262def74c8a7aec6894805422be97abb686
u_run_usage-005007	run-usage	cas	CAS_OK	samples/경기도/2017/run-usage-005007.hwpx	경기도	2017	hwpx	1	0	c77a47bcb8c2a1dfcfd3b535149b3e64e569f813c6ed79a64728e9df98fd96fe	c77a47bcb8c2a1dfcfd3b535149b3e64e569f813c6ed79a64728e9df98fd96fe
u_run_usage-005008	run-usage	cas	CAS_MISMATCH	samples/부산광역시/2017/run-usage-005008.hwp	부산광역시	2017	hwp	1	0	dbf36148452a5b4ba4db461969be79390c0d3554b62c77e636ca275c1fca5ccd	6977a2b5d1f4ab483543bd429da7fb4b6cd8a8791d99a35ac1f610364a84b7dd
u_run_usage-005009	run-usage	cas	USAGE	samples/제주특별자치도/2017/run-usage-005009.hwpx	제주특별자치도	2017	hwpx	1	0	zz	350bfbaedc21a16e76aef7a93963aa2d69c699a8c89051ab8083e1b3339a694f
u_run_usage-005010	run-usage	cas	SKIP	samples/법제처/2018/run-usage-005010.hwp	법제처	2018	hwp	0	0	67c10ba3506ce56d1f40d32c0c1a681b54badd3d65d81aa379e96e5bfc074dfd	5c01126f2ddb89d89a3351aa90c149198ef316e0fd822cdc318270c2002169d9
u_run_usage-005011	run-usage	cas	USAGE	samples/행정안전부/2018/run-usage-005011.hwpx	행정안전부	2018	hwpx	1	1	1d2fe401ca836d562192b83122df60df14adf49bd1c144c20e025d8882f28671	bb9efc01e79263fed8a14532fc87238e59884bcadb7c22ffaa7f75cb2124cefa
u_run_usage-005012	run-usage	cas	CAS_OK	samples/국세청/2018/run-usage-005012.hwp	국세청	2018	hwp	1	0	8c582204d7a1c2902c1e039c66b6749d6fe081e2002147fcd55daeece09b758e	8c582204d7a1c2902c1e039c66b6749d6fe081e2002147fcd55daeece09b758e
u_run_usage-005013	run-usage	cas	CAS_OK	samples/대법원/2018/run-usage-005013.hwpx	대법원	2018	hwpx	1	0	d45fc666dcb5de6e5e12bf8a75039e530de22c3a20531ebf8cd8d7370803dede	d45fc666dcb5de6e5e12bf8a75039e530de22c3a20531ebf8cd8d7370803dede
u_run_usage-005014	run-usage	cas	CAS_OK	samples/특허청/2018/run-usage-005014.hwp	특허청	2018	hwp	1	0	f49cef0e97e16c9dabfae98ddfb65caedad2d305673f94181cb0c41effc94ada	f49cef0e97e16c9dabfae98ddfb65caedad2d305673f94181cb0c41effc94ada
u_run_usage-005015	run-usage	cas	CAS_MISMATCH	samples/교육부/2018/run-usage-005015.hwpx	교육부	2018	hwpx	1	0	343f86551c4ce98079ef367d7b9724b58fd3e0200d9bc26e4ac2dc96dcc81830	7ce15ae247cc66ffc9ae6775219b9da9109258c9b541fb72587f421130c0a0c7
u_run_usage-005016	run-usage	cas	USAGE	samples/보건복지부/2018/run-usage-005016.hwp	보건복지부	2018	hwp	1	0	zz	72a79f2708769d769df47c268a35144733609d425fa763b09fd408ac03852b0d
u_run_usage-005017	run-usage	cas	SKIP	samples/국토교통부/2018/run-usage-005017.hwpx	국토교통부	2018	hwpx	0	0	50d8196fab645d98617ea4b50135a1eeefb4811f8b22fbe14f00ed256f00a28f	e9dcab14051ab42bdd6744d738997c372312ef8efbbaa794a65e33847642bcf5
u_run_usage-005018	run-usage	cas	USAGE	samples/고용노동부/2018/run-usage-005018.hwp	고용노동부	2018	hwp	1	1	4b43cbd69926e56fe88c7302403a5e79c3364fb4f937e25cb10f441255c16fd1	c5e5de3b1c9ba3428376cd1cd8b0a296527aba1bf6d22d188d18d97125a02b0a
u_run_usage-005019	run-usage	cas	CAS_OK	samples/외교부/2018/run-usage-005019.hwpx	외교부	2018	hwpx	1	0	c03430bd899e0c77509750099de8f13f08055cdd072dad89e8a418e63b170e53	c03430bd899e0c77509750099de8f13f08055cdd072dad89e8a418e63b170e53
u_run_usage-005020	run-usage	cas	CAS_OK	samples/기획재정부/2018/run-usage-005020.hwp	기획재정부	2018	hwp	1	0	84d61363d214e490e82f2188833bbcb03dcc7918237b5a7ceb27b6aea05519db	84d61363d214e490e82f2188833bbcb03dcc7918237b5a7ceb27b6aea05519db
u_run_usage-005021	run-usage	cas	CAS_OK	samples/공정거래위원회/2018/run-usage-005021.hwpx	공정거래위원회	2018	hwpx	1	0	a781b7f81cc01a4f8b88be5dd022019b0d5e6f26bc374f4974df9adb1e7f94f9	a781b7f81cc01a4f8b88be5dd022019b0d5e6f26bc374f4974df9adb1e7f94f9
u_run_usage-005022	run-usage	cas	CAS_MISMATCH	samples/금융위원회/2018/run-usage-005022.hwp	금융위원회	2018	hwp	1	0	a6194106d9937128d59c942ce5fce2c10c53f66419f2020f9d170836a4801b91	b82526d028951c361a8db814bedd021cf110d3c8d156718f838e143b823c68f3
u_run_usage-005023	run-usage	cas	USAGE	samples/통계청/2018/run-usage-005023.hwpx	통계청	2018	hwpx	1	0	zz	0b3127407263c48345c277c117e10cb9754f0661508580b6afba2c32860a7292
u_run_usage-005024	run-usage	cas	SKIP	samples/기상청/2018/run-usage-005024.hwp	기상청	2018	hwp	0	0	f591ad94909f178081b8d587c46e91a37da7cd1202fd07383d03897214b802d9	c27ce27797f776b09c3f8e7b1269d970af94379de36a429bd81694635a1f04cb
u_run_usage-005025	run-usage	cas	USAGE	samples/관세청/2018/run-usage-005025.hwpx	관세청	2018	hwpx	1	1	cccbe3b75a0f6de42a115f036103afd43a1a7219051bfa0f56b3030a79655b3f	9002a7ad1a238512918dc1305673f489d13a664cb7afdf405aad88566f9bf59d
