case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_scaffold-005000	scaffold	count_eq	COUNT_OK	samples/산림청/2017/scaffold-005000.hwp	산림청	2017	hwp	8	8		
u_scaffold-005001	scaffold	count_eq	COUNT_OK	samples/중소벤처기업부/2017/scaffold-005001.hwpx	중소벤처기업부	2017	hwpx	9	9		
u_scaffold-005002	scaffold	count_eq	COUNT_OK	samples/과학기술정보통신부/2017/scaffold-005002.hwp	과학기술정보통신부	2017	hwp	10	10		
u_scaffold-005003	scaffold	count_eq	COUNT_DRIFT	samples/문화체육관광부/2017/scaffold-005003.hwpx	문화체육관광부	2017	hwpx	11	12		
u_scaffold-005004	scaffold	count_eq	COUNT_DRIFT	samples/환경부/2017/scaffold-005004.hwp	환경부	2017	hwp	12	11		
u_scaffold-005005	scaffold	count_eq	COUNT_OK	samples/해양수산부/2017/scaffold-005005.hwpx	해양수산부	2017	hwpx	13	13		
u_scaffold-005006	scaffold	count_eq	COUNT_OK	samples/서울특별시/2017/scaffold-005006.hwp	서울특별시	2017	hwp	14	14		
u_scaffold-005007	scaffold	count_eq	COUNT_OK	samples/경기도/2017/scaffold-005007.hwpx	경기도	2017	hwpx	15	15		
u_scaffold-005008	scaffold	count_eq	COUNT_OK	samples/부산광역시/2017/scaffold-005008.hwp	부산광역시	2017	hwp	16	16		
u_scaffold-005009	scaffold	count_eq	COUNT_OK	samples/제주특별자치도/2017/scaffold-005009.hwpx	제주특별자치도	2017	hwpx	17	17		
u_scaffold-005010	scaffold	count_eq	COUNT_DRIFT	samples/법제처/2018/scaffold-005010.hwp	법제처	2018	hwp	18	19		
u_scaffold-005011	scaffold	count_eq	COUNT_DRIFT	samples/행정안전부/2018/scaffold-005011.hwpx	행정안전부	2018	hwpx	19	18		
u_scaffold-005012	scaffold	count_eq	COUNT_OK	samples/국세청/2018/scaffold-005012.hwp	국세청	2018	hwp	20	20		
u_scaffold-005013	scaffold	count_eq	COUNT_OK	samples/대법원/2018/scaffold-005013.hwpx	대법원	2018	hwpx	21	21		
u_scaffold-005014	scaffold	count_eq	COUNT_OK	samples/특허청/2018/scaffold-005014.hwp	특허청	2018	hwp	22	22		
u_scaffold-005015	scaffold	count_eq	COUNT_OK	samples/교육부/2018/scaffold-005015.hwpx	교육부	2018	hwpx	23	23		
u_scaffold-005016	scaffold	count_eq	COUNT_OK	samples/보건복지부/2018/scaffold-005016.hwp	보건복지부	2018	hwp	0	0		
u_scaffold-005017	scaffold	count_eq	COUNT_DRIFT	samples/국토교통부/2018/scaffold-005017.hwpx	국토교통부	2018	hwpx	1	2		
u_scaffold-005018	scaffold	count_eq	COUNT_DRIFT	samples/고용노동부/2018/scaffold-005018.hwp	고용노동부	2018	hwp	2	1		
u_scaffold-005019	scaffold	count_eq	COUNT_OK	samples/외교부/2018/scaffold-005019.hwpx	외교부	2018	hwpx	3	3		
u_scaffold-005020	scaffold	count_eq	COUNT_OK	samples/기획재정부/2018/scaffold-005020.hwp	기획재정부	2018	hwp	4	4		
u_scaffold-005021	scaffold	count_eq	COUNT_OK	samples/공정거래위원회/2018/scaffold-005021.hwpx	공정거래위원회	2018	hwpx	5	5		
u_scaffold-005022	scaffold	count_eq	COUNT_OK	samples/금융위원회/2018/scaffold-005022.hwp	금융위원회	2018	hwp	6	6		
u_scaffold-005023	scaffold	count_eq	COUNT_OK	samples/통계청/2018/scaffold-005023.hwpx	통계청	2018	hwpx	7	7		
u_scaffold-005024	scaffold	count_eq	COUNT_DRIFT	samples/기상청/2018/scaffold-005024.hwp	기상청	2018	hwp	8	9		
u_scaffold-005025	scaffold	count_eq	COUNT_DRIFT	samples/관세청/2018/scaffold-005025.hwpx	관세청	2018	hwpx	9	8		
u_scaffold-005026	scaffold	count_eq	COUNT_OK	samples/검찰청/2018/scaffold-005026.hwp	검찰청	2018	hwp	10	10		
u_scaffold-005027	scaffold	count_eq	COUNT_OK	samples/경찰청/2018/scaffold-005027.hwpx	경찰청	2018	hwpx	11	11		
u_scaffold-005028	scaffold	count_eq	COUNT_OK	samples/소방청/2018/scaffold-005028.hwp	소방청	2018	hwp	12	12		
u_scaffold-005029	scaffold	count_eq	COUNT_OK	samples/병무청/2018/scaffold-005029.hwpx	병무청	2018	hwpx	13	13		
u_scaffold-005030	scaffold	count_eq	COUNT_OK	samples/산림청/2018/scaffold-005030.hwp	산림청	2018	hwp	14	14		
u_scaffold-005031	scaffold	count_eq	COUNT_DRIFT	samples/중소벤처기업부/2018/scaffold-005031.hwpx	중소벤처기업부	2018	hwpx	15	16		
u_scaffold-005032	scaffold	count_eq	COUNT_DRIFT	samples/과학기술정보통신부/2018/scaffold-005032.hwp	과학기술정보통신부	2018	hwp	16	15		
u_scaffold-005033	scaffold	count_eq	COUNT_OK	samples/문화체육관광부/2018/scaffold-005033.hwpx	문화체육관광부	2018	hwpx	17	17		
u_scaffold-005034	scaffold	count_eq	COUNT_OK	samples/환경부/2018/scaffold-005034.hwp	환경부	2018	hwp	18	18		
u_scaffold-005035	scaffold	count_eq	COUNT_OK	samples/해양수산부/2018/scaffold-005035.hwpx	해양수산부	2018	hwpx	19	19		
u_scaffold-005036	scaffold	count_eq	COUNT_OK	samples/서울특별시/2018/scaffold-005036.hwp	서울특별시	2018	hwp	20	20		
u_scaffold-005037	scaffold	count_eq	COUNT_OK	samples/경기도/2018/scaffold-005037.hwpx	경기도	2018	hwpx	21	21		
u_scaffold-005038	scaffold	count_eq	COUNT_DRIFT	samples/부산광역시/2018/scaffold-005038.hwp	부산광역시	2018	hwp	22	23		
u_scaffold-005039	scaffold	count_eq	COUNT_DRIFT	samples/제주특별자치도/2018/scaffold-005039.hwpx	제주특별자치도	2018	hwpx	23	22		
u_scaffold-005040	scaffold	count_eq	COUNT_OK	samples/법제처/2019/scaffold-005040.hwp	법제처	2019	hwp	0	0		
u_scaffold-005041	scaffold	count_eq	COUNT_OK	samples/행정안전부/2019/scaffold-005041.hwpx	행정안전부	2019	hwpx	1	1		
u_scaffold-005042	scaffold	count_eq	COUNT_OK	samples/국세청/2019/scaffold-005042.hwp	국세청	2019	hwp	2	2		
u_scaffold-005043	scaffold	count_eq	COUNT_OK	samples/대법원/2019/scaffold-005043.hwpx	대법원	2019	hwpx	3	3		
u_scaffold-005044	scaffold	count_eq	COUNT_OK	samples/특허청/2019/scaffold-005044.hwp	특허청	2019	hwp	4	4		
u_scaffold-005045	scaffold	count_eq	COUNT_DRIFT	samples/교육부/2019/scaffold-005045.hwpx	교육부	2019	hwpx	5	6		
u_scaffold-005046	scaffold	count_eq	COUNT_DRIFT	samples/보건복지부/2019/scaffold-005046.hwp	보건복지부	2019	hwp	6	5		
u_scaffold-005047	scaffold	count_eq	COUNT_OK	samples/국토교통부/2019/scaffold-005047.hwpx	국토교통부	2019	hwpx	7	7		
u_scaffold-005048	scaffold	count_eq	COUNT_OK	samples/고용노동부/2019/scaffold-005048.hwp	고용노동부	2019	hwp	8	8		
u_scaffold-005049	scaffold	count_eq	COUNT_OK	samples/외교부/2019/scaffold-005049.hwpx	외교부	2019	hwpx	9	9		
u_scaffold-005050	scaffold	count_eq	COUNT_OK	samples/기획재정부/2019/scaffold-005050.hwp	기획재정부	2019	hwp	10	10		
u_scaffold-005051	scaffold	count_eq	COUNT_OK	samples/공정거래위원회/2019/scaffold-005051.hwpx	공정거래위원회	2019	hwpx	11	11		
u_scaffold-005052	scaffold	count_eq	COUNT_DRIFT	samples/금융위원회/2019/scaffold-005052.hwp	금융위원회	2019	hwp	12	13		
u_scaffold-005053	scaffold	count_eq	COUNT_DRIFT	samples/통계청/2019/scaffold-005053.hwpx	통계청	2019	hwpx	13	12		
u_scaffold-005054	scaffold	count_eq	COUNT_OK	samples/기상청/2019/scaffold-005054.hwp	기상청	2019	hwp	14	14		
