case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_scan-010000	scan	signal	ANOMALY	samples/기획재정부/2019/scan-010000.hwp	기획재정부	2019	hwp	2	1		
u_scan-010001	scan	signal	ANOMALY	samples/공정거래위원회/2019/scan-010001.hwpx	공정거래위원회	2019	hwpx	3	1		
u_scan-010002	scan	signal	SIGNAL_LIE	samples/금융위원회/2019/scan-010002.hwp	금융위원회	2019	hwp	4	0		
u_scan-010003	scan	signal	CLEAN	samples/통계청/2019/scan-010003.hwpx	통계청	2019	hwpx	0	0		
u_scan-010004	scan	signal	CLEAN	samples/기상청/2019/scan-010004.hwp	기상청	2019	hwp	0	0		
u_scan-010005	scan	signal	CLEAN	samples/관세청/2019/scan-010005.hwpx	관세청	2019	hwpx	0	0		
u_scan-010006	scan	signal	ANOMALY	samples/검찰청/2019/scan-010006.hwp	검찰청	2019	hwp	8	1		
u_scan-010007	scan	signal	ANOMALY	samples/경찰청/2019/scan-010007.hwpx	경찰청	2019	hwpx	9	1		
u_scan-010008	scan	signal	ANOMALY	samples/소방청/2019/scan-010008.hwp	소방청	2019	hwp	1	1		
u_scan-010009	scan	signal	SIGNAL_LIE	samples/병무청/2019/scan-010009.hwpx	병무청	2019	hwpx	2	0		
u_scan-010010	scan	signal	CLEAN	samples/산림청/2019/scan-010010.hwp	산림청	2019	hwp	0	0		
u_scan-010011	scan	signal	CLEAN	samples/중소벤처기업부/2019/scan-010011.hwpx	중소벤처기업부	2019	hwpx	0	0		
u_scan-010012	scan	signal	CLEAN	samples/과학기술정보통신부/2019/scan-010012.hwp	과학기술정보통신부	2019	hwp	0	0		
u_scan-010013	scan	signal	ANOMALY	samples/문화체육관광부/2019/scan-010013.hwpx	문화체육관광부	2019	hwpx	6	1		
u_scan-010014	scan	signal	ANOMALY	samples/환경부/2019/scan-010014.hwp	환경부	2019	hwp	7	1		
u_scan-010015	scan	signal	ANOMALY	samples/해양수산부/2019/scan-010015.hwpx	해양수산부	2019	hwpx	8	1		
u_scan-010016	scan	signal	SIGNAL_LIE	samples/서울특별시/2019/scan-010016.hwp	서울특별시	2019	hwp	9	0		
u_scan-010017	scan	signal	CLEAN	samples/경기도/2019/scan-010017.hwpx	경기도	2019	hwpx	0	0		
u_scan-010018	scan	signal	CLEAN	samples/부산광역시/2019/scan-010018.hwp	부산광역시	2019	hwp	0	0		
u_scan-010019	scan	signal	CLEAN	samples/제주특별자치도/2019/scan-010019.hwpx	제주특별자치도	2019	hwpx	0	0		
u_scan-010020	scan	signal	ANOMALY	samples/법제처/2020/scan-010020.hwp	법제처	2020	hwp	4	1		
u_scan-010021	scan	signal	ANOMALY	samples/행정안전부/2020/scan-010021.hwpx	행정안전부	2020	hwpx	5	1		
u_scan-010022	scan	signal	ANOMALY	samples/국세청/2020/scan-010022.hwp	국세청	2020	hwp	6	1		
u_scan-010023	scan	signal	SIGNAL_LIE	samples/대법원/2020/scan-010023.hwpx	대법원	2020	hwpx	7	0		
u_scan-010024	scan	signal	CLEAN	samples/특허청/2020/scan-010024.hwp	특허청	2020	hwp	0	0		
u_scan-010025	scan	signal	CLEAN	samples/교육부/2020/scan-010025.hwpx	교육부	2020	hwpx	0	0		
u_scan-010026	scan	signal	CLEAN	samples/보건복지부/2020/scan-010026.hwp	보건복지부	2020	hwp	0	0		
u_scan-010027	scan	signal	ANOMALY	samples/국토교통부/2020/scan-010027.hwpx	국토교통부	2020	hwpx	2	1		
u_scan-010028	scan	signal	ANOMALY	samples/고용노동부/2020/scan-010028.hwp	고용노동부	2020	hwp	3	1		
u_scan-010029	scan	signal	ANOMALY	samples/외교부/2020/scan-010029.hwpx	외교부	2020	hwpx	4	1		
u_scan-010030	scan	signal	SIGNAL_LIE	samples/기획재정부/2020/scan-010030.hwp	기획재정부	2020	hwp	5	0		
u_scan-010031	scan	signal	CLEAN	samples/공정거래위원회/2020/scan-010031.hwpx	공정거래위원회	2020	hwpx	0	0		
u_scan-010032	scan	signal	CLEAN	samples/금융위원회/2020/scan-010032.hwp	금융위원회	2020	hwp	0	0		
u_scan-010033	scan	signal	CLEAN	samples/통계청/2020/scan-010033.hwpx	통계청	2020	hwpx	0	0		
u_scan-010034	scan	signal	ANOMALY	samples/기상청/2020/scan-010034.hwp	기상청	2020	hwp	9	1		
u_scan-010035	scan	signal	ANOMALY	samples/관세청/2020/scan-010035.hwpx	관세청	2020	hwpx	1	1		
u_scan-010036	scan	signal	ANOMALY	samples/검찰청/2020/scan-010036.hwp	검찰청	2020	hwp	2	1		
u_scan-010037	scan	signal	SIGNAL_LIE	samples/경찰청/2020/scan-010037.hwpx	경찰청	2020	hwpx	3	0		
u_scan-010038	scan	signal	CLEAN	samples/소방청/2020/scan-010038.hwp	소방청	2020	hwp	0	0		
u_scan-010039	scan	signal	CLEAN	samples/병무청/2020/scan-010039.hwpx	병무청	2020	hwpx	0	0		
u_scan-010040	scan	signal	CLEAN	samples/산림청/2020/scan-010040.hwp	산림청	2020	hwp	0	0		
u_scan-010041	scan	signal	ANOMALY	samples/중소벤처기업부/2020/scan-010041.hwpx	중소벤처기업부	2020	hwpx	7	1		
u_scan-010042	scan	signal	ANOMALY	samples/과학기술정보통신부/2020/scan-010042.hwp	과학기술정보통신부	2020	hwp	8	1		
u_scan-010043	scan	signal	ANOMALY	samples/문화체육관광부/2020/scan-010043.hwpx	문화체육관광부	2020	hwpx	9	1		
u_scan-010044	scan	signal	SIGNAL_LIE	samples/환경부/2020/scan-010044.hwp	환경부	2020	hwp	1	0		
u_scan-010045	scan	signal	CLEAN	samples/해양수산부/2020/scan-010045.hwpx	해양수산부	2020	hwpx	0	0		
u_scan-010046	scan	signal	CLEAN	samples/서울특별시/2020/scan-010046.hwp	서울특별시	2020	hwp	0	0		
u_scan-010047	scan	signal	CLEAN	samples/경기도/2020/scan-010047.hwpx	경기도	2020	hwpx	0	0		
u_scan-010048	scan	signal	ANOMALY	samples/부산광역시/2020/scan-010048.hwp	부산광역시	2020	hwp	5	1		
u_scan-010049	scan	signal	ANOMALY	samples/제주특별자치도/2020/scan-010049.hwpx	제주특별자치도	2020	hwpx	6	1		
u_scan-010050	scan	signal	ANOMALY	samples/법제처/2021/scan-010050.hwp	법제처	2021	hwp	7	1		
u_scan-010051	scan	signal	SIGNAL_LIE	samples/행정안전부/2021/scan-010051.hwpx	행정안전부	2021	hwpx	8	0		
u_scan-010052	scan	signal	CLEAN	samples/국세청/2021/scan-010052.hwp	국세청	2021	hwp	0	0		
u_scan-010053	scan	signal	CLEAN	samples/대법원/2021/scan-010053.hwpx	대법원	2021	hwpx	0	0		
u_scan-010054	scan	signal	CLEAN	samples/특허청/2021/scan-010054.hwp	특허청	2021	hwp	0	0		
u_scan-010055	scan	signal	ANOMALY	samples/교육부/2021/scan-010055.hwpx	교육부	2021	hwpx	3	1		
u_scan-010056	scan	signal	ANOMALY	samples/보건복지부/2021/scan-010056.hwp	보건복지부	2021	hwp	4	1		
u_scan-010057	scan	signal	ANOMALY	samples/국토교통부/2021/scan-010057.hwpx	국토교통부	2021	hwpx	5	1		
u_scan-010058	scan	signal	SIGNAL_LIE	samples/고용노동부/2021/scan-010058.hwp	고용노동부	2021	hwp	6	0		
u_scan-010059	scan	signal	CLEAN	samples/외교부/2021/scan-010059.hwpx	외교부	2021	hwpx	0	0		
u_scan-010060	scan	signal	CLEAN	samples/기획재정부/2021/scan-010060.hwp	기획재정부	2021	hwp	0	0		
u_scan-010061	scan	signal	CLEAN	samples/공정거래위원회/2021/scan-010061.hwpx	공정거래위원회	2021	hwpx	0	0		
u_scan-010062	scan	signal	ANOMALY	samples/금융위원회/2021/scan-010062.hwp	금융위원회	2021	hwp	1	1		
u_scan-010063	scan	signal	ANOMALY	samples/통계청/2021/scan-010063.hwpx	통계청	2021	hwpx	2	1		
u_scan-010064	scan	signal	ANOMALY	samples/기상청/2021/scan-010064.hwp	기상청	2021	hwp	3	1		
u_scan-010065	scan	signal	SIGNAL_LIE	samples/관세청/2021/scan-010065.hwpx	관세청	2021	hwpx	4	0		
u_scan-010066	scan	signal	CLEAN	samples/검찰청/2021/scan-010066.hwp	검찰청	2021	hwp	0	0		
u_scan-010067	scan	signal	CLEAN	samples/경찰청/2021/scan-010067.hwpx	경찰청	2021	hwpx	0	0		
u_scan-010068	scan	signal	CLEAN	samples/소방청/2021/scan-010068.hwp	소방청	2021	hwp	0	0		
u_scan-010069	scan	signal	ANOMALY	samples/병무청/2021/scan-010069.hwpx	병무청	2021	hwpx	8	1		
u_scan-010070	scan	signal	ANOMALY	samples/산림청/2021/scan-010070.hwp	산림청	2021	hwp	9	1		
u_scan-010071	scan	signal	ANOMALY	samples/중소벤처기업부/2021/scan-010071.hwpx	중소벤처기업부	2021	hwpx	1	1		
u_scan-010072	scan	signal	SIGNAL_LIE	samples/과학기술정보통신부/2021/scan-010072.hwp	과학기술정보통신부	2021	hwp	2	0		
u_scan-010073	scan	signal	CLEAN	samples/문화체육관광부/2021/scan-010073.hwpx	문화체육관광부	2021	hwpx	0	0		
u_scan-010074	scan	signal	CLEAN	samples/환경부/2021/scan-010074.hwp	환경부	2021	hwp	0	0		
u_scan-010075	scan	signal	CLEAN	samples/해양수산부/2021/scan-010075.hwpx	해양수산부	2021	hwpx	0	0		
