case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_search-005000	search	search	SEARCH_OK	samples/산림청/2017/search-005000.hwp	산림청	2017	hwp	5	5	2	16
u_search-005001	search	search	SEARCH_OK	samples/중소벤처기업부/2017/search-005001.hwpx	중소벤처기업부	2017	hwpx	6	6	3	17
u_search-005002	search	search	SEARCH_OK	samples/과학기술정보통신부/2017/search-005002.hwp	과학기술정보통신부	2017	hwp	7	7	4	18
u_search-005003	search	search	COUNT_DRIFT	samples/문화체육관광부/2017/search-005003.hwpx	문화체육관광부	2017	hwpx	9	8	5	19
u_search-005004	search	search	COUNT_DRIFT	samples/환경부/2017/search-005004.hwp	환경부	2017	hwp	10	9	9	8
u_search-005005	search	search	SEARCH_OK	samples/해양수산부/2017/search-005005.hwpx	해양수산부	2017	hwpx	10	10	7	9
u_search-005006	search	search	SEARCH_OK	samples/서울특별시/2017/search-005006.hwp	서울특별시	2017	hwp	11	11	8	10
u_search-005007	search	search	SEARCH_OK	samples/경기도/2017/search-005007.hwpx	경기도	2017	hwpx	12	12	9	11
u_search-005008	search	search	SEARCH_OK	samples/부산광역시/2017/search-005008.hwp	부산광역시	2017	hwp	13	13	10	12
u_search-005009	search	search	SEARCH_OK	samples/제주특별자치도/2017/search-005009.hwpx	제주특별자치도	2017	hwpx	14	14	11	13
u_search-005010	search	search	COUNT_DRIFT	samples/법제처/2018/search-005010.hwp	법제처	2018	hwp	1	0	12	14
u_search-005011	search	search	COUNT_DRIFT	samples/행정안전부/2018/search-005011.hwpx	행정안전부	2018	hwpx	2	1	16	15
u_search-005012	search	search	SEARCH_OK	samples/국세청/2018/search-005012.hwp	국세청	2018	hwp	2	2	14	16
u_search-005013	search	search	SEARCH_OK	samples/대법원/2018/search-005013.hwpx	대법원	2018	hwpx	3	3	15	17
u_search-005014	search	search	SEARCH_OK	samples/특허청/2018/search-005014.hwp	특허청	2018	hwp	4	4	16	18
u_search-005015	search	search	SEARCH_OK	samples/교육부/2018/search-005015.hwpx	교육부	2018	hwpx	5	5	0	19
u_search-005016	search	search	SEARCH_OK	samples/보건복지부/2018/search-005016.hwp	보건복지부	2018	hwp	6	6	1	8
u_search-005017	search	search	COUNT_DRIFT	samples/국토교통부/2018/search-005017.hwpx	국토교통부	2018	hwpx	8	7	2	9
u_search-005018	search	search	COUNT_DRIFT	samples/고용노동부/2018/search-005018.hwp	고용노동부	2018	hwp	9	8	11	10
u_search-005019	search	search	SEARCH_OK	samples/외교부/2018/search-005019.hwpx	외교부	2018	hwpx	9	9	4	11
u_search-005020	search	search	SEARCH_OK	samples/기획재정부/2018/search-005020.hwp	기획재정부	2018	hwp	10	10	5	12
u_search-005021	search	search	SEARCH_OK	samples/공정거래위원회/2018/search-005021.hwpx	공정거래위원회	2018	hwpx	11	11	6	13
u_search-005022	search	search	SEARCH_OK	samples/금융위원회/2018/search-005022.hwp	금융위원회	2018	hwp	12	12	7	14
u_search-005023	search	search	SEARCH_OK	samples/통계청/2018/search-005023.hwpx	통계청	2018	hwpx	13	13	8	15
u_search-005024	search	search	COUNT_DRIFT	samples/기상청/2018/search-005024.hwp	기상청	2018	hwp	15	14	9	16
u_search-005025	search	search	COUNT_DRIFT	samples/관세청/2018/search-005025.hwpx	관세청	2018	hwpx	1	0	18	17
u_search-005026	search	search	SEARCH_OK	samples/검찰청/2018/search-005026.hwp	검찰청	2018	hwp	1	1	11	18
u_search-005027	search	search	SEARCH_OK	samples/경찰청/2018/search-005027.hwpx	경찰청	2018	hwpx	2	2	12	19
u_search-005028	search	search	SEARCH_OK	samples/소방청/2018/search-005028.hwp	소방청	2018	hwp	3	3	5	8
u_search-005029	search	search	SEARCH_OK	samples/병무청/2018/search-005029.hwpx	병무청	2018	hwpx	4	4	5	9
u_search-005030	search	search	SEARCH_OK	samples/산림청/2018/search-005030.hwp	산림청	2018	hwp	5	5	5	10
u_search-005031	search	search	COUNT_DRIFT	samples/중소벤처기업부/2018/search-005031.hwpx	중소벤처기업부	2018	hwpx	7	6	5	11
u_search-005032	search	search	COUNT_DRIFT	samples/과학기술정보통신부/2018/search-005032.hwp	과학기술정보통신부	2018	hwp	8	7	13	12
u_search-005033	search	search	SEARCH_OK	samples/문화체육관광부/2018/search-005033.hwpx	문화체육관광부	2018	hwpx	8	8	1	13
u_search-005034	search	search	SEARCH_OK	samples/환경부/2018/search-005034.hwp	환경부	2018	hwp	9	9	2	14
u_search-005035	search	search	SEARCH_OK	samples/해양수산부/2018/search-005035.hwpx	해양수산부	2018	hwpx	10	10	3	15
u_search-005036	search	search	SEARCH_OK	samples/서울특별시/2018/search-005036.hwp	서울특별시	2018	hwp	11	11	4	16
u_search-005037	search	search	SEARCH_OK	samples/경기도/2018/search-005037.hwpx	경기도	2018	hwpx	12	12	5	17
u_search-005038	search	search	COUNT_DRIFT	samples/부산광역시/2018/search-005038.hwp	부산광역시	2018	hwp	14	13	6	18
u_search-005039	search	search	COUNT_DRIFT	samples/제주특별자치도/2018/search-005039.hwpx	제주특별자치도	2018	hwpx	15	14	20	19
u_search-005040	search	search	SEARCH_OK	samples/법제처/2019/search-005040.hwp	법제처	2019	hwp	0	0	0	8
u_search-005041	search	search	SEARCH_OK	samples/행정안전부/2019/search-005041.hwpx	행정안전부	2019	hwpx	1	1	0	9
u_search-005042	search	search	SEARCH_OK	samples/국세청/2019/search-005042.hwp	국세청	2019	hwp	2	2	0	10
u_search-005043	search	search	SEARCH_OK	samples/대법원/2019/search-005043.hwpx	대법원	2019	hwpx	3	3	0	11
u_search-005044	search	search	SEARCH_OK	samples/특허청/2019/search-005044.hwp	특허청	2019	hwp	4	4	0	12
u_search-005045	search	search	COUNT_DRIFT	samples/교육부/2019/search-005045.hwpx	교육부	2019	hwpx	6	5	0	13
u_search-005046	search	search	COUNT_DRIFT	samples/보건복지부/2019/search-005046.hwp	보건복지부	2019	hwp	7	6	15	14
u_search-005047	search	search	SEARCH_OK	samples/국토교통부/2019/search-005047.hwpx	국토교통부	2019	hwpx	7	7	0	15
u_search-005048	search	search	SEARCH_OK	samples/고용노동부/2019/search-005048.hwp	고용노동부	2019	hwp	8	8	0	16
u_search-005049	search	search	SEARCH_OK	samples/외교부/2019/search-005049.hwpx	외교부	2019	hwpx	9	9	0	17
u_search-005050	search	search	SEARCH_OK	samples/기획재정부/2019/search-005050.hwp	기획재정부	2019	hwp	10	10	1	18
u_search-005051	search	search	SEARCH_OK	samples/공정거래위원회/2019/search-005051.hwpx	공정거래위원회	2019	hwpx	11	11	2	19
u_search-005052	search	search	COUNT_DRIFT	samples/금융위원회/2019/search-005052.hwp	금융위원회	2019	hwp	13	12	3	8
u_search-005053	search	search	COUNT_DRIFT	samples/통계청/2019/search-005053.hwpx	통계청	2019	hwpx	14	13	10	9
u_search-005054	search	search	SEARCH_OK	samples/기상청/2019/search-005054.hwp	기상청	2019	hwp	14	14	5	10
u_search-005055	search	search	SEARCH_OK	samples/관세청/2019/search-005055.hwpx	관세청	2019	hwpx	0	0	6	11
u_search-005056	search	search	SEARCH_OK	samples/검찰청/2019/search-005056.hwp	검찰청	2019	hwp	1	1	7	12
u_search-005057	search	search	SEARCH_OK	samples/경찰청/2019/search-005057.hwpx	경찰청	2019	hwpx	2	2	8	13
u_search-005058	search	search	SEARCH_OK	samples/소방청/2019/search-005058.hwp	소방청	2019	hwp	3	3	9	14
u_search-005059	search	search	COUNT_DRIFT	samples/병무청/2019/search-005059.hwpx	병무청	2019	hwpx	5	4	10	15
u_search-005060	search	search	COUNT_DRIFT	samples/산림청/2019/search-005060.hwp	산림청	2019	hwp	6	5	17	16
u_search-005061	search	search	SEARCH_OK	samples/중소벤처기업부/2019/search-005061.hwpx	중소벤처기업부	2019	hwpx	6	6	12	17
u_search-005062	search	search	SEARCH_OK	samples/과학기술정보통신부/2019/search-005062.hwp	과학기술정보통신부	2019	hwp	7	7	13	18
u_search-005063	search	search	SEARCH_OK	samples/문화체육관광부/2019/search-005063.hwpx	문화체육관광부	2019	hwpx	8	8	14	19
u_search-005064	search	search	SEARCH_OK	samples/환경부/2019/search-005064.hwp	환경부	2019	hwp	9	9	7	8
u_search-005065	search	search	SEARCH_OK	samples/해양수산부/2019/search-005065.hwpx	해양수산부	2019	hwpx	10	10	7	9
u_search-005066	search	search	COUNT_DRIFT	samples/서울특별시/2019/search-005066.hwp	서울특별시	2019	hwp	12	11	0	10
u_search-005067	search	search	COUNT_DRIFT	samples/경기도/2019/search-005067.hwpx	경기도	2019	hwpx	13	12	12	11
u_search-005068	search	search	SEARCH_OK	samples/부산광역시/2019/search-005068.hwp	부산광역시	2019	hwp	13	13	2	12
u_search-005069	search	search	SEARCH_OK	samples/제주특별자치도/2019/search-005069.hwpx	제주특별자치도	2019	hwpx	14	14	3	13
u_search-005070	search	search	SEARCH_OK	samples/법제처/2020/search-005070.hwp	법제처	2020	hwp	0	0	4	14
u_search-005071	search	search	SEARCH_OK	samples/행정안전부/2020/search-005071.hwpx	행정안전부	2020	hwpx	1	1	5	15
u_search-005072	search	search	SEARCH_OK	samples/국세청/2020/search-005072.hwp	국세청	2020	hwp	2	2	6	16
u_search-005073	search	search	COUNT_DRIFT	samples/대법원/2020/search-005073.hwpx	대법원	2020	hwpx	4	3	7	17
u_search-005074	search	search	COUNT_DRIFT	samples/특허청/2020/search-005074.hwp	특허청	2020	hwp	5	4	19	18
