case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_settle-010000	settle	rate	RATE_OK	samples/기획재정부/2019/settle-010000.hwp	기획재정부	2019	hwp	0	1		
u_settle-010001	settle	rate	RATE_OK	samples/공정거래위원회/2019/settle-010001.hwpx	공정거래위원회	2019	hwpx	1	2		
u_settle-010002	settle	rate	RATE_IMPOSSIBLE	samples/금융위원회/2019/settle-010002.hwp	금융위원회	2019	hwp	4	3		
u_settle-010003	settle	rate	RATE_OK	samples/통계청/2019/settle-010003.hwpx	통계청	2019	hwpx	4	4		
u_settle-010004	settle	rate	RATE_OK	samples/기상청/2019/settle-010004.hwp	기상청	2019	hwp	5	5		
u_settle-010005	settle	rate	RATE_OK	samples/관세청/2019/settle-010005.hwpx	관세청	2019	hwpx	6	6		
u_settle-010006	settle	rate	RATE_OK	samples/검찰청/2019/settle-010006.hwp	검찰청	2019	hwp	7	7		
u_settle-010007	settle	rate	RATE_OK	samples/경찰청/2019/settle-010007.hwpx	경찰청	2019	hwpx	7	8		
u_settle-010008	settle	rate	RATE_OK	samples/소방청/2019/settle-010008.hwp	소방청	2019	hwp	0	9		
u_settle-010009	settle	rate	RATE_IMPOSSIBLE	samples/병무청/2019/settle-010009.hwpx	병무청	2019	hwpx	11	10		
u_settle-010010	settle	rate	RATE_OK	samples/산림청/2019/settle-010010.hwp	산림청	2019	hwp	11	11		
u_settle-010011	settle	rate	RATE_OK	samples/중소벤처기업부/2019/settle-010011.hwpx	중소벤처기업부	2019	hwpx	12	12		
u_settle-010012	settle	rate	RATE_OK	samples/과학기술정보통신부/2019/settle-010012.hwp	과학기술정보통신부	2019	hwp	13	13		
u_settle-010013	settle	rate	RATE_OK	samples/문화체육관광부/2019/settle-010013.hwpx	문화체육관광부	2019	hwpx	14	14		
u_settle-010014	settle	rate	RATE_OK	samples/환경부/2019/settle-010014.hwp	환경부	2019	hwp	9	15		
u_settle-010015	settle	rate	RATE_OK	samples/해양수산부/2019/settle-010015.hwpx	해양수산부	2019	hwpx	15	16		
u_settle-010016	settle	rate	RATE_IMPOSSIBLE	samples/서울특별시/2019/settle-010016.hwp	서울특별시	2019	hwp	18	17		
u_settle-010017	settle	rate	RATE_OK	samples/경기도/2019/settle-010017.hwpx	경기도	2019	hwpx	18	18		
u_settle-010018	settle	rate	RATE_OK	samples/부산광역시/2019/settle-010018.hwp	부산광역시	2019	hwp	19	19		
u_settle-010019	settle	rate	RATE_OK	samples/제주특별자치도/2019/settle-010019.hwpx	제주특별자치도	2019	hwpx	20	20		
u_settle-010020	settle	rate	RATE_OK	samples/법제처/2020/settle-010020.hwp	법제처	2020	hwp	1	1		
u_settle-010021	settle	rate	RATE_OK	samples/행정안전부/2020/settle-010021.hwpx	행정안전부	2020	hwpx	1	2		
u_settle-010022	settle	rate	RATE_OK	samples/국세청/2020/settle-010022.hwp	국세청	2020	hwp	2	3		
u_settle-010023	settle	rate	RATE_IMPOSSIBLE	samples/대법원/2020/settle-010023.hwpx	대법원	2020	hwpx	5	4		
u_settle-010024	settle	rate	RATE_OK	samples/특허청/2020/settle-010024.hwp	특허청	2020	hwp	5	5		
u_settle-010025	settle	rate	RATE_OK	samples/교육부/2020/settle-010025.hwpx	교육부	2020	hwpx	6	6		
u_settle-010026	settle	rate	RATE_OK	samples/보건복지부/2020/settle-010026.hwp	보건복지부	2020	hwp	7	7		
u_settle-010027	settle	rate	RATE_OK	samples/국토교통부/2020/settle-010027.hwpx	국토교통부	2020	hwpx	8	8		
u_settle-010028	settle	rate	RATE_OK	samples/고용노동부/2020/settle-010028.hwp	고용노동부	2020	hwp	2	9		
u_settle-010029	settle	rate	RATE_OK	samples/외교부/2020/settle-010029.hwpx	외교부	2020	hwpx	9	10		
u_settle-010030	settle	rate	RATE_IMPOSSIBLE	samples/기획재정부/2020/settle-010030.hwp	기획재정부	2020	hwp	12	11		
u_settle-010031	settle	rate	RATE_OK	samples/공정거래위원회/2020/settle-010031.hwpx	공정거래위원회	2020	hwpx	12	12		
u_settle-010032	settle	rate	RATE_OK	samples/금융위원회/2020/settle-010032.hwp	금융위원회	2020	hwp	13	13		
u_settle-010033	settle	rate	RATE_OK	samples/통계청/2020/settle-010033.hwpx	통계청	2020	hwpx	14	14		
u_settle-010034	settle	rate	RATE_OK	samples/기상청/2020/settle-010034.hwp	기상청	2020	hwp	15	15		
u_settle-010035	settle	rate	RATE_OK	samples/관세청/2020/settle-010035.hwpx	관세청	2020	hwpx	3	16		
u_settle-010036	settle	rate	RATE_OK	samples/검찰청/2020/settle-010036.hwp	검찰청	2020	hwp	6	17		
u_settle-010037	settle	rate	RATE_IMPOSSIBLE	samples/경찰청/2020/settle-010037.hwpx	경찰청	2020	hwpx	19	18		
u_settle-010038	settle	rate	RATE_OK	samples/소방청/2020/settle-010038.hwp	소방청	2020	hwp	19	19		
u_settle-010039	settle	rate	RATE_OK	samples/병무청/2020/settle-010039.hwpx	병무청	2020	hwpx	20	20		
u_settle-010040	settle	rate	RATE_OK	samples/산림청/2020/settle-010040.hwp	산림청	2020	hwp	1	1		
u_settle-010041	settle	rate	RATE_OK	samples/중소벤처기업부/2020/settle-010041.hwpx	중소벤처기업부	2020	hwpx	2	2		
u_settle-010042	settle	rate	RATE_OK	samples/과학기술정보통신부/2020/settle-010042.hwp	과학기술정보통신부	2020	hwp	1	3		
u_settle-010043	settle	rate	RATE_OK	samples/문화체육관광부/2020/settle-010043.hwpx	문화체육관광부	2020	hwpx	3	4		
u_settle-010044	settle	rate	RATE_IMPOSSIBLE	samples/환경부/2020/settle-010044.hwp	환경부	2020	hwp	6	5		
u_settle-010045	settle	rate	RATE_OK	samples/해양수산부/2020/settle-010045.hwpx	해양수산부	2020	hwpx	6	6		
u_settle-010046	settle	rate	RATE_OK	samples/서울특별시/2020/settle-010046.hwp	서울특별시	2020	hwp	7	7		
u_settle-010047	settle	rate	RATE_OK	samples/경기도/2020/settle-010047.hwpx	경기도	2020	hwpx	8	8		
u_settle-010048	settle	rate	RATE_OK	samples/부산광역시/2020/settle-010048.hwp	부산광역시	2020	hwp	9	9		
u_settle-010049	settle	rate	RATE_OK	samples/제주특별자치도/2020/settle-010049.hwpx	제주특별자치도	2020	hwpx	9	10		
u_settle-010050	settle	rate	RATE_OK	samples/법제처/2021/settle-010050.hwp	법제처	2021	hwp	7	11		
u_settle-010051	settle	rate	RATE_IMPOSSIBLE	samples/행정안전부/2021/settle-010051.hwpx	행정안전부	2021	hwpx	13	12		
u_settle-010052	settle	rate	RATE_OK	samples/국세청/2021/settle-010052.hwp	국세청	2021	hwp	13	13		
u_settle-010053	settle	rate	RATE_OK	samples/대법원/2021/settle-010053.hwpx	대법원	2021	hwpx	14	14		
u_settle-010054	settle	rate	RATE_OK	samples/특허청/2021/settle-010054.hwp	특허청	2021	hwp	15	15		
u_settle-010055	settle	rate	RATE_OK	samples/교육부/2021/settle-010055.hwpx	교육부	2021	hwpx	16	16		
u_settle-010056	settle	rate	RATE_OK	samples/보건복지부/2021/settle-010056.hwp	보건복지부	2021	hwp	9	17		
u_settle-010057	settle	rate	RATE_OK	samples/국토교통부/2021/settle-010057.hwpx	국토교통부	2021	hwpx	13	18		
u_settle-010058	settle	rate	RATE_IMPOSSIBLE	samples/고용노동부/2021/settle-010058.hwp	고용노동부	2021	hwp	20	19		
u_settle-010059	settle	rate	RATE_OK	samples/외교부/2021/settle-010059.hwpx	외교부	2021	hwpx	20	20		
u_settle-010060	settle	rate	RATE_OK	samples/기획재정부/2021/settle-010060.hwp	기획재정부	2021	hwp	1	1		
u_settle-010061	settle	rate	RATE_OK	samples/공정거래위원회/2021/settle-010061.hwpx	공정거래위원회	2021	hwpx	2	2		
u_settle-010062	settle	rate	RATE_OK	samples/금융위원회/2021/settle-010062.hwp	금융위원회	2021	hwp	3	3		
u_settle-010063	settle	rate	RATE_OK	samples/통계청/2021/settle-010063.hwpx	통계청	2021	hwpx	3	4		
