case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_skill_bulk-010000	skill-bulk	isolate	ISOLATED	samples/기획재정부/2019/skill-bulk-010000.hwp	기획재정부	2019	hwp	4	3	1	0
u_skill_bulk-010001	skill-bulk	isolate	COUNT_DRIFT	samples/공정거래위원회/2019/skill-bulk-010001.hwpx	공정거래위원회	2019	hwpx	6	4	1	0
u_skill_bulk-010002	skill-bulk	isolate	POISON	samples/금융위원회/2019/skill-bulk-010002.hwp	금융위원회	2019	hwp	6	5	1	1
u_skill_bulk-010003	skill-bulk	isolate	ISOLATED	samples/통계청/2019/skill-bulk-010003.hwpx	통계청	2019	hwpx	6	6	0	0
u_skill_bulk-010004	skill-bulk	isolate	ISOLATED	samples/기상청/2019/skill-bulk-010004.hwp	기상청	2019	hwp	7	7	0	0
u_skill_bulk-010005	skill-bulk	isolate	ISOLATED	samples/관세청/2019/skill-bulk-010005.hwpx	관세청	2019	hwpx	8	8	0	0
u_skill_bulk-010006	skill-bulk	isolate	ISOLATED	samples/검찰청/2019/skill-bulk-010006.hwp	검찰청	2019	hwp	9	9	0	0
u_skill_bulk-010007	skill-bulk	isolate	ISOLATED	samples/경찰청/2019/skill-bulk-010007.hwpx	경찰청	2019	hwpx	11	10	1	0
u_skill_bulk-010008	skill-bulk	isolate	COUNT_DRIFT	samples/소방청/2019/skill-bulk-010008.hwp	소방청	2019	hwp	5	3	1	0
u_skill_bulk-010009	skill-bulk	isolate	POISON	samples/병무청/2019/skill-bulk-010009.hwpx	병무청	2019	hwpx	5	4	1	1
u_skill_bulk-010010	skill-bulk	isolate	ISOLATED	samples/산림청/2019/skill-bulk-010010.hwp	산림청	2019	hwp	5	5	0	0
u_skill_bulk-010011	skill-bulk	isolate	ISOLATED	samples/중소벤처기업부/2019/skill-bulk-010011.hwpx	중소벤처기업부	2019	hwpx	6	6	0	0
