case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_skill_receipt-015000	skill-receipt	triad	HASH_DEFECT	samples/법제처/2021/skill-receipt-015000.hwp	법제처	2021	hwp	92e739ddcd855482dcea5994e5f6c6cb83016aa4bca7ef7197c70c24276c0eac	497a18fdfeaf22f9e9a1052f3bcaf1754e7e03f2021b6d894595f1ccb49aaa3b	nope	
u_skill_receipt-015001	skill-receipt	triad	TRIAD_OK	samples/행정안전부/2021/skill-receipt-015001.hwpx	행정안전부	2021	hwpx	1be2d6256fed9902d2fb3db21ab8f5b5f6094149aca58fb248b0acb81defa83e	193ec0853c6ef3afa2205f10b087620072fc50ac78e71012dc595641d7f853a0	cbc4c88721ceb95424df2b864b0d62a799f3164a52d813e635fd1d8fec45c00c	
u_skill_receipt-015002	skill-receipt	triad	TRIAD_OK	samples/국세청/2021/skill-receipt-015002.hwp	국세청	2021	hwp	40fc78beb7532968d32603c39dd172c3bea7ab5d5afebe8f96b9ff6b6a692a2c	18b4d9082ab9f7aeb5160abbbcae9dd41a5c69977e79f5313d425f380d327ca1	ba2d913187319c6950c91fefef1f2d685dd88b3fece5ac66652f41dabb88508d	
u_skill_receipt-015003	skill-receipt	triad	TRIAD_OK	samples/대법원/2021/skill-receipt-015003.hwpx	대법원	2021	hwpx	cb554dda3bd77dc00371d39919499227b4b9086e0062e25015cb70516947a10a	ef333775510f1b992e4e3d78a8b4e94a6f00574d93c03c5b83a5b6d5a6675522	4ab8bfed4bbc7594bc69a9c0ba350024d41db20409be6b029c7d007d7cee4a5a	
u_skill_receipt-015004	skill-receipt	triad	TRIAD_OK	samples/특허청/2021/skill-receipt-015004.hwp	특허청	2021	hwp	a1b56c92e374ae382dfed520a22fe7eda312997dc1a9489d95597614b61235a1	be3f18f14ed0f59961985f7832ca06f2e07d358eff0ce786a0e528b0ab7ee7ed	435dc0a80e3e0780b05ae7784d350ecedaea27083e83a23a45134538d0203c01	
u_skill_receipt-015005	skill-receipt	triad	TRIAD_OK	samples/교육부/2021/skill-receipt-015005.hwpx	교육부	2021	hwpx	b692e2aa1e3fb463d08200b7f274e3b65af1602b9c7977504c4a67e9613bbd17	98a07589c7c45e30166f7fc69f489729d0abaab90ec195718e1bf458c0b155da	57bbdc09be7af82763908bc457e6f9cbb67e6df52543074fe3e419a6b65cbc4b	
u_skill_receipt-015006	skill-receipt	triad	TRIAD_MISS	samples/보건복지부/2021/skill-receipt-015006.hwp	보건복지부	2021	hwp		af51e91b5d5cc8f877e522d8c757d70c0b48f969f85acaafc869eed9bd77e8ed	84f2b5d4b1fbe1818d015026fdb3838c78282346c9e9b9f5fd2b8fe480591272	
u_skill_receipt-015007	skill-receipt	triad	HASH_DEFECT	samples/국토교통부/2021/skill-receipt-015007.hwpx	국토교통부	2021	hwpx	3fa26ea2cb96addd29ea10287dbe5b17a156e90321112687b0ea93d58b112b1a	b2b3ac7374e9828b9b87fcb26b1490806424c026cab902703a2cd41097e84d4c	nope	
u_skill_receipt-015008	skill-receipt	triad	TRIAD_OK	samples/고용노동부/2021/skill-receipt-015008.hwp	고용노동부	2021	hwp	5660788c93579640ad79211dc209338ee92d14969ff29ab7807fbb2cd76c275b	a6dd9be0642176df1642a4845bd515d9af2c221d3c457a95150c4a6f20b457d0	0e9be2273ea5bf8ba2f851a1ea1879c1ba8d045743650a1f7eaea9ebd87169fd	
u_skill_receipt-015009	skill-receipt	triad	TRIAD_OK	samples/외교부/2021/skill-receipt-015009.hwpx	외교부	2021	hwpx	4ec31c271863b921b5def4f0d50fa49b563885344f1e6b6e4394b7bbefe4207e	ddb715ea17e228bd347fa16036d49d6fabbf98a679971b7806cdfb73c78b1216	fa1fc8be1c8f12ca67767f894abfdb8532bc408d9002e32b9e2c172ee2bc8c4f	
u_skill_receipt-015010	skill-receipt	triad	TRIAD_OK	samples/기획재정부/2021/skill-receipt-015010.hwp	기획재정부	2021	hwp	8501e21e82c5dd643141b3e17660648a0d92d55f9a03fdf07ede2e360ff3b868	bdf53ad186069ad36fc99fc12ff6ac5f849266c496fa65de4674b57d4929ec7e	bdc90e886dd528e8a2157f750d62e11e2b72318a594df2f631d230082f7c7469	
u_skill_receipt-015011	skill-receipt	triad	TRIAD_OK	samples/공정거래위원회/2021/skill-receipt-015011.hwpx	공정거래위원회	2021	hwpx	73cc12e4193a47a5c94c2bc5ac42372ae6d6ce0f830cfd46d805a4b1c9ce39f8	c162992ac49b22f3e44c3602eea826da390737856f1892e46567b84c11a6cb37	448ed782c588a5121014f06b46f6d097ce3038c55144ec1efed955fc39447c71	
u_skill_receipt-015012	skill-receipt	triad	TRIAD_OK	samples/금융위원회/2021/skill-receipt-015012.hwp	금융위원회	2021	hwp	ae6eea0775b3f9f6a37e1732c0f258658a71797cd50f3acda633329188a63766	b48e487c999085d81e1fe896165f42c9338660d43dcb3d5217d7f85a00aa3361	fe9ae4674395dcbde38e13f2c736c93e8c4c0763810e1973d819119de240bba0	
u_skill_receipt-015013	skill-receipt	triad	TRIAD_MISS	samples/통계청/2021/skill-receipt-015013.hwpx	통계청	2021	hwpx		20e3699c5249bf274b610301074c890179e9624cb9a0adf15533cf6c8a6a625e	e34b342f291f603b1fbec92fbe0e4533a05a547189ef9fa3fd9e81f9db5477f0	
u_skill_receipt-015014	skill-receipt	triad	HASH_DEFECT	samples/기상청/2021/skill-receipt-015014.hwp	기상청	2021	hwp	ccea4d4bd4292f50c71e8f00b630ad3baebbb84cbc18870f06cf4a9c977079df	6d689a1917516176884adca4b9e7703ce0b3d914ad691b0439de2b86075ea892	nope	
u_skill_receipt-015015	skill-receipt	triad	TRIAD_OK	samples/관세청/2021/skill-receipt-015015.hwpx	관세청	2021	hwpx	b16d79fb19a5986938b0da111938319a78f58ab24f1e2e3842d56d3018b88140	d792cccc4faf3f0690b4251a8fbc05904bf7e358dbaf7ae558075c5db96c790e	7fbf3ed7e65d335831ff8f923290dbcb908fcca96e6765631401b30272b8ab85	
u_skill_receipt-015016	skill-receipt	triad	TRIAD_OK	samples/검찰청/2021/skill-receipt-015016.hwp	검찰청	2021	hwp	5696f7e5344ff13971c79feabc4b2f14e6964515ea31bf51410d1f3ef891ed64	4b1cee5b7d9cdf461d850a80a7f956a52cf6fd83cb1c5b5688f5f90cde25f666	5a028973089794653502b1f3f57ad3b49dc111b8c4b7fd4cfb0c2284498f0b35	
u_skill_receipt-015017	skill-receipt	triad	TRIAD_OK	samples/경찰청/2021/skill-receipt-015017.hwpx	경찰청	2021	hwpx	137f729f87b0a35f2b49bfbfd59e8cc57b19eedaa23e30553f4a53ccfb236204	33630181e10ca8247afbcb489132e5a7b4d32856a731d95a2c215d04f4e6b92d	848b6b8cb6918d190f65c4230da07e4ede832d4c6f0de1336b1c0de981d4f2b9	
u_skill_receipt-015018	skill-receipt	triad	TRIAD_OK	samples/소방청/2021/skill-receipt-015018.hwp	소방청	2021	hwp	271134ab8c04cd14137eb4098fe576200bac35a0f396f25c63d7f00d08507434	ff018c05fde3a55d9cf21396a12b0d299253ad80b5129343a6f6a0ec4b3968b1	c244f0bf21e4e7df332be544c7e8d9f429cc2068af9f6da3f10f8ae00ecfc934	
u_skill_receipt-015019	skill-receipt	triad	TRIAD_OK	samples/병무청/2021/skill-receipt-015019.hwpx	병무청	2021	hwpx	45377fd5ec5acbae584305d900673a7c091ba42e7a79a555dc9f422030b6182b	8bb6760867d3d615cf73a97191ceb3f1aa20a5476f3ef97f345c8df912df596c	4ee6c571630bcaf76a4330497653ef14e688c7580b9ab120fcea6724c51f1017	
u_skill_receipt-015020	skill-receipt	triad	TRIAD_MISS	samples/산림청/2021/skill-receipt-015020.hwp	산림청	2021	hwp		d259bb55fa864236370ac02a66e3d0867c9aa46370c1b4b8799e7894d791fd77	0305e35bf8299d77009cc8e4a5dba0629decaeef359e0554778308be1d7ef0e5	
u_skill_receipt-015021	skill-receipt	triad	HASH_DEFECT	samples/중소벤처기업부/2021/skill-receipt-015021.hwpx	중소벤처기업부	2021	hwpx	c8eda72c5a32f1ebede49736e6093a77e5454a4314040918dc4141333f10c520	51007c94a4099879df73964de2382a63dd966c97fb89ec80e85fbcbc383d7a12	nope	
u_skill_receipt-015022	skill-receipt	triad	TRIAD_OK	samples/과학기술정보통신부/2021/skill-receipt-015022.hwp	과학기술정보통신부	2021	hwp	26495c469b8d10c9af00b3e86a4a964781843110d2bb4c58b93ccd9046f96253	e73c1730e63cca4d00fe24bfd96b0c1685ccf117a8b6b9ea27fa2143fad7f1f3	b0d08cfd897af47d46ad4e2f616e390775d163602d1d217b26ba36120f99e1d1	
u_skill_receipt-015023	skill-receipt	triad	TRIAD_OK	samples/문화체육관광부/2021/skill-receipt-015023.hwpx	문화체육관광부	2021	hwpx	644dcccf0a511ef26f6c4080df0cb12f4a46c88c1bf6c88ceb3bb93e01602220	5b49c5d1bf25572ed825f689eb33ba62b955ca5d128c180f68d4daab9a921631	1eb09dbeeecfa97e892dd57898ad8b0abc7b2f593e312a18b125f09fbea90c0e	
u_skill_receipt-015024	skill-receipt	triad	TRIAD_OK	samples/환경부/2021/skill-receipt-015024.hwp	환경부	2021	hwp	73513a2fd01bf5ff8363b630b1263e9a5a570c758a9a1b062c42ddbf7f82bb79	0c802900f777ac17eb9fc3005cef02716f19019cb76c33aceefee7f2e9969296	8281c83448da5665d326d1258634fcc8effda24d97f21ff929ecee956cb49c89	
u_skill_receipt-015025	skill-receipt	triad	TRIAD_OK	samples/해양수산부/2021/skill-receipt-015025.hwpx	해양수산부	2021	hwpx	72430c4af8dd4ce71fb9bf4c83401605cefe57e1601c36aea492cdafef1d8185	9da5c8ba3b919314e42dc420f205e338de26c821772ef4e56ea7af64443b8f42	ac6da2906c76ab1ad8ca3bace285c94d4f288c8ff73cdc2bb246fb927de72e0c	
u_skill_receipt-015026	skill-receipt	triad	TRIAD_OK	samples/서울특별시/2021/skill-receipt-015026.hwp	서울특별시	2021	hwp	4224a69a42151fc47e21eecca8cf4d968bab88f9a36fd5e96c4d5fc07fa24fcf	320385377b7170879db010682db15abd78c5ec5142397af97b46b7cb9be46d02	e83d02f16b4a51c56bd80313571c47c2d1a58662c38a1444f990476ad0abf6fb	
u_skill_receipt-015027	skill-receipt	triad	TRIAD_MISS	samples/경기도/2021/skill-receipt-015027.hwpx	경기도	2021	hwpx		531dff87f3048c387f8726a019b3f4b118df1b2ed3aceee9b1c5c75c99ac6429	16bacd40f5f8408c0935859c4c25a50adca3e2daf6b6118cab13ee1e38a2cd3a	
u_skill_receipt-015028	skill-receipt	triad	HASH_DEFECT	samples/부산광역시/2021/skill-receipt-015028.hwp	부산광역시	2021	hwp	3ed995427c06a7605bffcf085338594a932499d3b7f49580bb0d5b79309be64c	914f0ad8085c63e12f0b6186ba126c0999e5c933613d34a995d0af533d348983	nope	
u_skill_receipt-015029	skill-receipt	triad	TRIAD_OK	samples/제주특별자치도/2021/skill-receipt-015029.hwpx	제주특별자치도	2021	hwpx	7038781638467cc57cdea75e536eef644064027cde6c71d309efed53385ec2c4	34e47b79abba52d52318fe6ce0e7abdff7902daa29ce95421d55625b91741e63	cb911b4f41809d7469a4c542a5460b4ad26d126c0c6ea8056e862584e984ddb7	
u_skill_receipt-015030	skill-receipt	triad	TRIAD_OK	samples/법제처/2022/skill-receipt-015030.hwp	법제처	2022	hwp	d9be3a1db0a809942ea7fa975ce6781fee9b42f4251bf954eb54cb69a2b60029	1cd9b9a09a7ac385314183593e37e2171f3fa6edd87c5ce0528e036cae5c4270	8a81ecf18cc2ba73f952b4ed34cb357213e6c5da9824c5940a519fcbd5c4465a	
u_skill_receipt-015031	skill-receipt	triad	TRIAD_OK	samples/행정안전부/2022/skill-receipt-015031.hwpx	행정안전부	2022	hwpx	09f7485f59e0cb93d7991cd241c8014e0210292dc513f75f58b21079316f7760	8818d1148360facb8a01d621af7850a90c07d8c3aebd958072ddef4468a4da06	6fd116ff40dc8257fb14cb842efde72c70c4a6ca2d4647d27c995604e7733484	
u_skill_receipt-015032	skill-receipt	triad	TRIAD_OK	samples/국세청/2022/skill-receipt-015032.hwp	국세청	2022	hwp	29daad775237cba6a093afc27d8457483482b0c49ae0950a1360553403217beb	a11472124c40080c5482fd3729b6dacd4073c3edef19586bc1ec59e4694678b3	e63368871c12bee033d18351105afbbe25523d1fc1583e66cbfb80f2d688e0cc	
u_skill_receipt-015033	skill-receipt	triad	TRIAD_OK	samples/대법원/2022/skill-receipt-015033.hwpx	대법원	2022	hwpx	57fcb28ff3cc490bb876098deed077176ebab0ea7a26ef7370afa9f8849ead3f	aa41f4f4263f73127a392adab56c7d0356963efe6a192c1f672bcefcb76d32f6	706789f252a46e57dc1ed237da3a2e8aa338c773cea66baeee25667765345ae8	
u_skill_receipt-015034	skill-receipt	triad	TRIAD_MISS	samples/특허청/2022/skill-receipt-015034.hwp	특허청	2022	hwp		ac78cb4807f207512eaf803c87ce3a395bc78923c106925264830a22d49db662	0237c3c7e6591d8648995eeb8e6ff3cc7d50b6b41a2fecad3fe923b0b6cee957	
u_skill_receipt-015035	skill-receipt	triad	HASH_DEFECT	samples/교육부/2022/skill-receipt-015035.hwpx	교육부	2022	hwpx	c7fc56062fd78769833dff96e7a87d66f7b9fb74101e48d5d81395f3cddc0f7c	e1e6990454f35bf82ff6370080424b1954402b66584a1b92238f4a11898bc53e	nope	
u_skill_receipt-015036	skill-receipt	triad	TRIAD_OK	samples/보건복지부/2022/skill-receipt-015036.hwp	보건복지부	2022	hwp	9e076f4533bf53964a94c5b7bccce66e11851d3fa5ec5ae9b78bf1659ed4b701	f810df82036d9a5f2c3e6b7cc1b404d5eb9ebb5c0eb2115c5754e21e530b6822	27c0e99c74871e5334b30b2125c66e8f015ff3cbaab9e154d4d70c176e8e27d4	
u_skill_receipt-015037	skill-receipt	triad	TRIAD_OK	samples/국토교통부/2022/skill-receipt-015037.hwpx	국토교통부	2022	hwpx	ace9dbde017a1329d1c9b280bb2b43f78e604a9fd66baf97fa06a17772499efd	9546971ee912676c944441f5453befdd823d1edc2c52d00e0e95dbd47c4df25c	b7e188dd80161e42ae3e3bd4b0d27f619ee59ed1233e6798ab6e9a5a01fbf2d0	
u_skill_receipt-015038	skill-receipt	triad	TRIAD_OK	samples/고용노동부/2022/skill-receipt-015038.hwp	고용노동부	2022	hwp	dcd7a10965c19b08560863646aeba5e854e261cd1f780dd730310b7eabd4bd6e	854c66ede8b1bc62150f5e0a49893d4cbb9531223262cb77c3d7cd1eb874a1e2	46569393bec0233ab2297ca5fce9c4312198c99f270ffec2468531735ff9c720	
u_skill_receipt-015039	skill-receipt	triad	TRIAD_OK	samples/외교부/2022/skill-receipt-015039.hwpx	외교부	2022	hwpx	6659eba2add9d4b8ad3464c6f7cf669f0b662ce6a351d0492517101e9dd6a7f0	fbe67d36ca87800ea71f1a974b48891a6fdd196cc376347c31736f7e969cb48c	8a7963944d8ab2eef7c5fc7c6c5b4d6cbf5f7283b0ab99a88a71982d6a9057cf	
u_skill_receipt-015040	skill-receipt	triad	TRIAD_OK	samples/기획재정부/2022/skill-receipt-015040.hwp	기획재정부	2022	hwp	676ef082872677316dad0ab104c404ec3db33cdf01fc5d1698ca1cadedebe0f2	08d40c2afddc8a0fa90cd060c9c863f090a3727cdb54930f7b54313548571cfd	093f09da9a8abc6d7d8ff52fdcba06cfab1016b6664ba13d1cbd7366c97d0907	
u_skill_receipt-015041	skill-receipt	triad	TRIAD_MISS	samples/공정거래위원회/2022/skill-receipt-015041.hwpx	공정거래위원회	2022	hwpx		7fbd4df38f8ee9907f403f81e0fc1e85519e035f620b518e97fed539261a82f4	79b2a945c42e59e1ae2c63e60877e4f190e43e22ec738f732ea98dd1def2e337	
u_skill_receipt-015042	skill-receipt	triad	HASH_DEFECT	samples/금융위원회/2022/skill-receipt-015042.hwp	금융위원회	2022	hwp	73262faab549def3f695249f06a097bb93fbe33dd5b31e3b1c04957af0b8f0bc	e79389b665794232179cfc075eeadb7f105d1426bb98c3d7e760ab0c079b8cf0	nope	
u_skill_receipt-015043	skill-receipt	triad	TRIAD_OK	samples/통계청/2022/skill-receipt-015043.hwpx	통계청	2022	hwpx	0b915d7b55953c996844114144ba59520ae06b1ad9c63526314b62dd85af5632	28c220e2300d0e259f5739fbf79529d73aa00527527165906548f091c55938b8	31de41c7a9c5172b865554a669ec9569b2f6d060629151da3246c24dbc7ab57f	
u_skill_receipt-015044	skill-receipt	triad	TRIAD_OK	samples/기상청/2022/skill-receipt-015044.hwp	기상청	2022	hwp	c480566cfc5264a69ae106f8e373de3f43479a77198b66392779ee8a078e7ff5	739b2b085a0f907529fef2ab77e2c59f026252aa215971dacb408ff54688b59b	1cb0626284613483e9ea5ff487d493b89895977abaad7631b78564ea763846c7	
u_skill_receipt-015045	skill-receipt	triad	TRIAD_OK	samples/관세청/2022/skill-receipt-015045.hwpx	관세청	2022	hwpx	661c36c48f409ad71f16d19d79f44bfd51f7b6539e6b7da51025e2d30605bba0	a091b259d48299cfeefbcc6076db08023af93e79464d17f2c9029df916b823a3	3a2d2d0c5b390658891264f5177efb34399ddd1584e732fff547a240dbb7722f	
u_skill_receipt-015046	skill-receipt	triad	TRIAD_OK	samples/검찰청/2022/skill-receipt-015046.hwp	검찰청	2022	hwp	aba9ae983016744a3b69e8919d2d8295cf2e34256018a63cb92a47bb4b51d284	c97bf2dafe5f0d04c606dc68be70d421260a8509a5b13edeb91f3070137ce9a0	0e807066dccbeb64211ab36d85afdf93f8d29883ba1870c1452f93075c3c1ca6	
u_skill_receipt-015047	skill-receipt	triad	TRIAD_OK	samples/경찰청/2022/skill-receipt-015047.hwpx	경찰청	2022	hwpx	c0e4727d6c2d03561e868d54a40c1f16c25798b8ee03995c60c0063a9cd6b16f	1e567debb0f2b1d1d9c6e61f6b5d6bf5b3ff44fc838ae643e05c36a2efd62a6e	e4434856501f25a74802f9de229e85f6f238421962e0d03d8892b4364a2c3f1e	
u_skill_receipt-015048	skill-receipt	triad	TRIAD_MISS	samples/소방청/2022/skill-receipt-015048.hwp	소방청	2022	hwp		ab45912bf12f477ff7d4be39c68218b0f858943c61644f3ee1be908493aa842a	9444815ab3429f4e8c0cebfd35fbbcaf1ae6bbb48dccf941d6fd89c068134f38	
u_skill_receipt-015049	skill-receipt	triad	HASH_DEFECT	samples/병무청/2022/skill-receipt-015049.hwpx	병무청	2022	hwpx	1571efe59ba80e57235cf2ff5dbac651674cc1c5c140399b592ecd6d7c53e056	70695165bfd88b18c970ca76aeee4faba17216a4d177b436071fcdb49ac13d33	nope	
u_skill_receipt-015050	skill-receipt	triad	TRIAD_OK	samples/산림청/2022/skill-receipt-015050.hwp	산림청	2022	hwp	ce4f1b759acdb964a896c0f92c19908bee3e2c1392787afb15c40035750794d0	d9817882559c9a3776d7b04ef96e87b8d3fc1ea9962b3be6c386eff91c3acaca	12dd2de3b15242bf91cf3e0081eea48f65d9e0673b5f26736667ddf5a644f1b4	
u_skill_receipt-015051	skill-receipt	triad	TRIAD_OK	samples/중소벤처기업부/2022/skill-receipt-015051.hwpx	중소벤처기업부	2022	hwpx	26e34abdf66273d563d47a11b2dff9ffc988114c26026fb420dcebf4854c72a8	1445645374e3bdfb62e8d3648cf85d47d99bcf6f4cc2406b5d17241c1717f97a	7b526d77eb063197d69428e57d5964c91402ceb28d3eb1a76588c4d42e6e2519	
u_skill_receipt-015052	skill-receipt	triad	TRIAD_OK	samples/과학기술정보통신부/2022/skill-receipt-015052.hwp	과학기술정보통신부	2022	hwp	edef650d75183020657d3941d0d5a1e1898466566bd9830910b268a48a80c7c4	28c0aeaef4498ba4c3172862c391d1b48e732abfe4795eebd615a845d8200654	60ddce520432296d8e854abf469f64607a59bd6228a045eefe88d5005b14641d	
