case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_table_to_csv-010000	table-to-csv	dims	DIM_OK	samples/기획재정부/2019/table-to-csv-010000.hwp	기획재정부	2019	hwp	6	2	6	2
u_table_to_csv-010001	table-to-csv	dims	DIM_DRIFT	samples/공정거래위원회/2019/table-to-csv-010001.hwpx	공정거래위원회	2019	hwpx	7	2	8	2
u_table_to_csv-010002	table-to-csv	dims	DIM_DRIFT	samples/금융위원회/2019/table-to-csv-010002.hwp	금융위원회	2019	hwp	8	3	9	4
u_table_to_csv-010003	table-to-csv	dims	DIM_OK	samples/통계청/2019/table-to-csv-010003.hwpx	통계청	2019	hwpx	9	3	9	3
u_table_to_csv-010004	table-to-csv	dims	DIM_OK	samples/기상청/2019/table-to-csv-010004.hwp	기상청	2019	hwp	10	4	10	4
u_table_to_csv-010005	table-to-csv	dims	DIM_OK	samples/관세청/2019/table-to-csv-010005.hwpx	관세청	2019	hwpx	11	4	11	4
u_table_to_csv-010006	table-to-csv	dims	DIM_OK	samples/검찰청/2019/table-to-csv-010006.hwp	검찰청	2019	hwp	12	5	12	5
u_table_to_csv-010007	table-to-csv	dims	DIM_OK	samples/경찰청/2019/table-to-csv-010007.hwpx	경찰청	2019	hwpx	13	5	13	5
u_table_to_csv-010008	table-to-csv	dims	DIM_DRIFT	samples/소방청/2019/table-to-csv-010008.hwp	소방청	2019	hwp	2	6	3	6
u_table_to_csv-010009	table-to-csv	dims	DIM_DRIFT	samples/병무청/2019/table-to-csv-010009.hwpx	병무청	2019	hwpx	3	6	4	7
u_table_to_csv-010010	table-to-csv	dims	DIM_OK	samples/산림청/2019/table-to-csv-010010.hwp	산림청	2019	hwp	4	7	4	7
u_table_to_csv-010011	table-to-csv	dims	DIM_OK	samples/중소벤처기업부/2019/table-to-csv-010011.hwpx	중소벤처기업부	2019	hwpx	5	7	5	7
u_table_to_csv-010012	table-to-csv	dims	DIM_OK	samples/과학기술정보통신부/2019/table-to-csv-010012.hwp	과학기술정보통신부	2019	hwp	6	8	6	8
u_table_to_csv-010013	table-to-csv	dims	DIM_OK	samples/문화체육관광부/2019/table-to-csv-010013.hwpx	문화체육관광부	2019	hwpx	7	8	7	8
u_table_to_csv-010014	table-to-csv	dims	DIM_OK	samples/환경부/2019/table-to-csv-010014.hwp	환경부	2019	hwp	8	9	8	9
u_table_to_csv-010015	table-to-csv	dims	DIM_DRIFT	samples/해양수산부/2019/table-to-csv-010015.hwpx	해양수산부	2019	hwpx	9	9	10	9
u_table_to_csv-010016	table-to-csv	dims	DIM_DRIFT	samples/서울특별시/2019/table-to-csv-010016.hwp	서울특별시	2019	hwp	10	10	11	11
u_table_to_csv-010017	table-to-csv	dims	DIM_OK	samples/경기도/2019/table-to-csv-010017.hwpx	경기도	2019	hwpx	11	10	11	10
u_table_to_csv-010018	table-to-csv	dims	DIM_OK	samples/부산광역시/2019/table-to-csv-010018.hwp	부산광역시	2019	hwp	12	11	12	11
u_table_to_csv-010019	table-to-csv	dims	DIM_OK	samples/제주특별자치도/2019/table-to-csv-010019.hwpx	제주특별자치도	2019	hwpx	13	11	13	11
u_table_to_csv-010020	table-to-csv	dims	DIM_OK	samples/법제처/2020/table-to-csv-010020.hwp	법제처	2020	hwp	2	2	2	2
u_table_to_csv-010021	table-to-csv	dims	DIM_OK	samples/행정안전부/2020/table-to-csv-010021.hwpx	행정안전부	2020	hwpx	3	2	3	2
u_table_to_csv-010022	table-to-csv	dims	DIM_DRIFT	samples/국세청/2020/table-to-csv-010022.hwp	국세청	2020	hwp	4	3	5	3
u_table_to_csv-010023	table-to-csv	dims	DIM_DRIFT	samples/대법원/2020/table-to-csv-010023.hwpx	대법원	2020	hwpx	5	3	6	4
u_table_to_csv-010024	table-to-csv	dims	DIM_OK	samples/특허청/2020/table-to-csv-010024.hwp	특허청	2020	hwp	6	4	6	4
u_table_to_csv-010025	table-to-csv	dims	DIM_OK	samples/교육부/2020/table-to-csv-010025.hwpx	교육부	2020	hwpx	7	4	7	4
u_table_to_csv-010026	table-to-csv	dims	DIM_OK	samples/보건복지부/2020/table-to-csv-010026.hwp	보건복지부	2020	hwp	8	5	8	5
u_table_to_csv-010027	table-to-csv	dims	DIM_OK	samples/국토교통부/2020/table-to-csv-010027.hwpx	국토교통부	2020	hwpx	9	5	9	5
u_table_to_csv-010028	table-to-csv	dims	DIM_OK	samples/고용노동부/2020/table-to-csv-010028.hwp	고용노동부	2020	hwp	10	6	10	6
u_table_to_csv-010029	table-to-csv	dims	DIM_DRIFT	samples/외교부/2020/table-to-csv-010029.hwpx	외교부	2020	hwpx	11	6	12	6
u_table_to_csv-010030	table-to-csv	dims	DIM_DRIFT	samples/기획재정부/2020/table-to-csv-010030.hwp	기획재정부	2020	hwp	12	7	13	8
u_table_to_csv-010031	table-to-csv	dims	DIM_OK	samples/공정거래위원회/2020/table-to-csv-010031.hwpx	공정거래위원회	2020	hwpx	13	7	13	7
u_table_to_csv-010032	table-to-csv	dims	DIM_OK	samples/금융위원회/2020/table-to-csv-010032.hwp	금융위원회	2020	hwp	2	8	2	8
u_table_to_csv-010033	table-to-csv	dims	DIM_OK	samples/통계청/2020/table-to-csv-010033.hwpx	통계청	2020	hwpx	3	8	3	8
u_table_to_csv-010034	table-to-csv	dims	DIM_OK	samples/기상청/2020/table-to-csv-010034.hwp	기상청	2020	hwp	4	9	4	9
u_table_to_csv-010035	table-to-csv	dims	DIM_OK	samples/관세청/2020/table-to-csv-010035.hwpx	관세청	2020	hwpx	5	9	5	9
u_table_to_csv-010036	table-to-csv	dims	DIM_DRIFT	samples/검찰청/2020/table-to-csv-010036.hwp	검찰청	2020	hwp	6	10	7	10
u_table_to_csv-010037	table-to-csv	dims	DIM_DRIFT	samples/경찰청/2020/table-to-csv-010037.hwpx	경찰청	2020	hwpx	7	10	8	11
u_table_to_csv-010038	table-to-csv	dims	DIM_OK	samples/소방청/2020/table-to-csv-010038.hwp	소방청	2020	hwp	8	11	8	11
u_table_to_csv-010039	table-to-csv	dims	DIM_OK	samples/병무청/2020/table-to-csv-010039.hwpx	병무청	2020	hwpx	9	11	9	11
u_table_to_csv-010040	table-to-csv	dims	DIM_OK	samples/산림청/2020/table-to-csv-010040.hwp	산림청	2020	hwp	10	2	10	2
u_table_to_csv-010041	table-to-csv	dims	DIM_OK	samples/중소벤처기업부/2020/table-to-csv-010041.hwpx	중소벤처기업부	2020	hwpx	11	2	11	2
u_table_to_csv-010042	table-to-csv	dims	DIM_OK	samples/과학기술정보통신부/2020/table-to-csv-010042.hwp	과학기술정보통신부	2020	hwp	12	3	12	3
u_table_to_csv-010043	table-to-csv	dims	DIM_DRIFT	samples/문화체육관광부/2020/table-to-csv-010043.hwpx	문화체육관광부	2020	hwpx	13	3	14	3
u_table_to_csv-010044	table-to-csv	dims	DIM_DRIFT	samples/환경부/2020/table-to-csv-010044.hwp	환경부	2020	hwp	2	4	3	5
u_table_to_csv-010045	table-to-csv	dims	DIM_OK	samples/해양수산부/2020/table-to-csv-010045.hwpx	해양수산부	2020	hwpx	3	4	3	4
u_table_to_csv-010046	table-to-csv	dims	DIM_OK	samples/서울특별시/2020/table-to-csv-010046.hwp	서울특별시	2020	hwp	4	5	4	5
u_table_to_csv-010047	table-to-csv	dims	DIM_OK	samples/경기도/2020/table-to-csv-010047.hwpx	경기도	2020	hwpx	5	5	5	5
u_table_to_csv-010048	table-to-csv	dims	DIM_OK	samples/부산광역시/2020/table-to-csv-010048.hwp	부산광역시	2020	hwp	6	6	6	6
u_table_to_csv-010049	table-to-csv	dims	DIM_OK	samples/제주특별자치도/2020/table-to-csv-010049.hwpx	제주특별자치도	2020	hwpx	7	6	7	6
u_table_to_csv-010050	table-to-csv	dims	DIM_DRIFT	samples/법제처/2021/table-to-csv-010050.hwp	법제처	2021	hwp	8	7	9	7
u_table_to_csv-010051	table-to-csv	dims	DIM_DRIFT	samples/행정안전부/2021/table-to-csv-010051.hwpx	행정안전부	2021	hwpx	9	7	10	8
u_table_to_csv-010052	table-to-csv	dims	DIM_OK	samples/국세청/2021/table-to-csv-010052.hwp	국세청	2021	hwp	10	8	10	8
u_table_to_csv-010053	table-to-csv	dims	DIM_OK	samples/대법원/2021/table-to-csv-010053.hwpx	대법원	2021	hwpx	11	8	11	8
u_table_to_csv-010054	table-to-csv	dims	DIM_OK	samples/특허청/2021/table-to-csv-010054.hwp	특허청	2021	hwp	12	9	12	9
u_table_to_csv-010055	table-to-csv	dims	DIM_OK	samples/교육부/2021/table-to-csv-010055.hwpx	교육부	2021	hwpx	13	9	13	9
u_table_to_csv-010056	table-to-csv	dims	DIM_OK	samples/보건복지부/2021/table-to-csv-010056.hwp	보건복지부	2021	hwp	2	10	2	10
u_table_to_csv-010057	table-to-csv	dims	DIM_DRIFT	samples/국토교통부/2021/table-to-csv-010057.hwpx	국토교통부	2021	hwpx	3	10	4	10
u_table_to_csv-010058	table-to-csv	dims	DIM_DRIFT	samples/고용노동부/2021/table-to-csv-010058.hwp	고용노동부	2021	hwp	4	11	5	12
u_table_to_csv-010059	table-to-csv	dims	DIM_OK	samples/외교부/2021/table-to-csv-010059.hwpx	외교부	2021	hwpx	5	11	5	11
u_table_to_csv-010060	table-to-csv	dims	DIM_OK	samples/기획재정부/2021/table-to-csv-010060.hwp	기획재정부	2021	hwp	6	2	6	2
u_table_to_csv-010061	table-to-csv	dims	DIM_OK	samples/공정거래위원회/2021/table-to-csv-010061.hwpx	공정거래위원회	2021	hwpx	7	2	7	2
u_table_to_csv-010062	table-to-csv	dims	DIM_OK	samples/금융위원회/2021/table-to-csv-010062.hwp	금융위원회	2021	hwp	8	3	8	3
u_table_to_csv-010063	table-to-csv	dims	DIM_OK	samples/통계청/2021/table-to-csv-010063.hwpx	통계청	2021	hwpx	9	3	9	3
