case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_thumbnail-015000	thumbnail	bytes	EMPTY_OUTPUT	samples/법제처/2021/thumbnail-015000.hwp	법제처	2021	hwp	0	1		
u_thumbnail-015001	thumbnail	bytes	BYTES_OK	samples/행정안전부/2021/thumbnail-015001.hwpx	행정안전부	2021	hwpx	13	0		
u_thumbnail-015002	thumbnail	bytes	BYTES_OK	samples/국세청/2021/thumbnail-015002.hwp	국세청	2021	hwp	14	0		
u_thumbnail-015003	thumbnail	bytes	BYTES_OK	samples/대법원/2021/thumbnail-015003.hwpx	대법원	2021	hwpx	15	0		
u_thumbnail-015004	thumbnail	bytes	BYTES_OK	samples/특허청/2021/thumbnail-015004.hwp	특허청	2021	hwp	16	0		
u_thumbnail-015005	thumbnail	bytes	BYTES_OK	samples/교육부/2021/thumbnail-015005.hwpx	교육부	2021	hwpx	17	0		
u_thumbnail-015006	thumbnail	bytes	ZERO_BYTES	samples/보건복지부/2021/thumbnail-015006.hwp	보건복지부	2021	hwp	0	0		
u_thumbnail-015007	thumbnail	bytes	EMPTY_OUTPUT	samples/국토교통부/2021/thumbnail-015007.hwpx	국토교통부	2021	hwpx	0	1		
u_thumbnail-015008	thumbnail	bytes	BYTES_OK	samples/고용노동부/2021/thumbnail-015008.hwp	고용노동부	2021	hwp	20	0		
u_thumbnail-015009	thumbnail	bytes	BYTES_OK	samples/외교부/2021/thumbnail-015009.hwpx	외교부	2021	hwpx	21	0		
u_thumbnail-015010	thumbnail	bytes	BYTES_OK	samples/기획재정부/2021/thumbnail-015010.hwp	기획재정부	2021	hwp	22	0		
u_thumbnail-015011	thumbnail	bytes	BYTES_OK	samples/공정거래위원회/2021/thumbnail-015011.hwpx	공정거래위원회	2021	hwpx	23	0		
u_thumbnail-015012	thumbnail	bytes	BYTES_OK	samples/금융위원회/2021/thumbnail-015012.hwp	금융위원회	2021	hwp	24	0		
u_thumbnail-015013	thumbnail	bytes	ZERO_BYTES	samples/통계청/2021/thumbnail-015013.hwpx	통계청	2021	hwpx	0	0		
u_thumbnail-015014	thumbnail	bytes	EMPTY_OUTPUT	samples/기상청/2021/thumbnail-015014.hwp	기상청	2021	hwp	0	1		
