case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_verify-005000	verify	diff	DIFF_OK	samples/산림청/2017/verify-005000.hwp	산림청	2017	hwp	0	0		
u_verify-005001	verify	diff	DIFF_OK	samples/중소벤처기업부/2017/verify-005001.hwpx	중소벤처기업부	2017	hwpx	1	1		
u_verify-005002	verify	diff	DIFF_OK	samples/과학기술정보통신부/2017/verify-005002.hwp	과학기술정보통신부	2017	hwp	2	2		
u_verify-005003	verify	diff	COUNT_DRIFT	samples/문화체육관광부/2017/verify-005003.hwpx	문화체육관광부	2017	hwpx	4	3		
u_verify-005004	verify	diff	COUNT_DRIFT	samples/환경부/2017/verify-005004.hwp	환경부	2017	hwp	5	4		
u_verify-005005	verify	diff	DIFF_OK	samples/해양수산부/2017/verify-005005.hwpx	해양수산부	2017	hwpx	5	5		
u_verify-005006	verify	diff	DIFF_OK	samples/서울특별시/2017/verify-005006.hwp	서울특별시	2017	hwp	6	6		
u_verify-005007	verify	diff	DIFF_OK	samples/경기도/2017/verify-005007.hwpx	경기도	2017	hwpx	7	7		
u_verify-005008	verify	diff	DIFF_OK	samples/부산광역시/2017/verify-005008.hwp	부산광역시	2017	hwp	8	8		
u_verify-005009	verify	diff	DIFF_OK	samples/제주특별자치도/2017/verify-005009.hwpx	제주특별자치도	2017	hwpx	9	9		
u_verify-005010	verify	diff	COUNT_DRIFT	samples/법제처/2018/verify-005010.hwp	법제처	2018	hwp	11	10		
u_verify-005011	verify	diff	COUNT_DRIFT	samples/행정안전부/2018/verify-005011.hwpx	행정안전부	2018	hwpx	12	11		
u_verify-005012	verify	diff	DIFF_OK	samples/국세청/2018/verify-005012.hwp	국세청	2018	hwp	12	12		
u_verify-005013	verify	diff	DIFF_OK	samples/대법원/2018/verify-005013.hwpx	대법원	2018	hwpx	13	13		
u_verify-005014	verify	diff	DIFF_OK	samples/특허청/2018/verify-005014.hwp	특허청	2018	hwp	14	14		
u_verify-005015	verify	diff	DIFF_OK	samples/교육부/2018/verify-005015.hwpx	교육부	2018	hwpx	15	15		
u_verify-005016	verify	diff	DIFF_OK	samples/보건복지부/2018/verify-005016.hwp	보건복지부	2018	hwp	16	16		
u_verify-005017	verify	diff	COUNT_DRIFT	samples/국토교통부/2018/verify-005017.hwpx	국토교통부	2018	hwpx	18	17		
u_verify-005018	verify	diff	COUNT_DRIFT	samples/고용노동부/2018/verify-005018.hwp	고용노동부	2018	hwp	19	18		
u_verify-005019	verify	diff	DIFF_OK	samples/외교부/2018/verify-005019.hwpx	외교부	2018	hwpx	19	19		
u_verify-005020	verify	diff	DIFF_OK	samples/기획재정부/2018/verify-005020.hwp	기획재정부	2018	hwp	0	0		
u_verify-005021	verify	diff	DIFF_OK	samples/공정거래위원회/2018/verify-005021.hwpx	공정거래위원회	2018	hwpx	1	1		
u_verify-005022	verify	diff	DIFF_OK	samples/금융위원회/2018/verify-005022.hwp	금융위원회	2018	hwp	2	2		
u_verify-005023	verify	diff	DIFF_OK	samples/통계청/2018/verify-005023.hwpx	통계청	2018	hwpx	3	3		
u_verify-005024	verify	diff	COUNT_DRIFT	samples/기상청/2018/verify-005024.hwp	기상청	2018	hwp	5	4		
u_verify-005025	verify	diff	COUNT_DRIFT	samples/관세청/2018/verify-005025.hwpx	관세청	2018	hwpx	6	5		
u_verify-005026	verify	diff	DIFF_OK	samples/검찰청/2018/verify-005026.hwp	검찰청	2018	hwp	6	6		
u_verify-005027	verify	diff	DIFF_OK	samples/경찰청/2018/verify-005027.hwpx	경찰청	2018	hwpx	7	7		
u_verify-005028	verify	diff	DIFF_OK	samples/소방청/2018/verify-005028.hwp	소방청	2018	hwp	8	8		
u_verify-005029	verify	diff	DIFF_OK	samples/병무청/2018/verify-005029.hwpx	병무청	2018	hwpx	9	9		
u_verify-005030	verify	diff	DIFF_OK	samples/산림청/2018/verify-005030.hwp	산림청	2018	hwp	10	10		
u_verify-005031	verify	diff	COUNT_DRIFT	samples/중소벤처기업부/2018/verify-005031.hwpx	중소벤처기업부	2018	hwpx	12	11		
u_verify-005032	verify	diff	COUNT_DRIFT	samples/과학기술정보통신부/2018/verify-005032.hwp	과학기술정보통신부	2018	hwp	13	12		
u_verify-005033	verify	diff	DIFF_OK	samples/문화체육관광부/2018/verify-005033.hwpx	문화체육관광부	2018	hwpx	13	13		
u_verify-005034	verify	diff	DIFF_OK	samples/환경부/2018/verify-005034.hwp	환경부	2018	hwp	14	14		
u_verify-005035	verify	diff	DIFF_OK	samples/해양수산부/2018/verify-005035.hwpx	해양수산부	2018	hwpx	15	15		
u_verify-005036	verify	diff	DIFF_OK	samples/서울특별시/2018/verify-005036.hwp	서울특별시	2018	hwp	16	16		
u_verify-005037	verify	diff	DIFF_OK	samples/경기도/2018/verify-005037.hwpx	경기도	2018	hwpx	17	17		
u_verify-005038	verify	diff	COUNT_DRIFT	samples/부산광역시/2018/verify-005038.hwp	부산광역시	2018	hwp	19	18		
u_verify-005039	verify	diff	COUNT_DRIFT	samples/제주특별자치도/2018/verify-005039.hwpx	제주특별자치도	2018	hwpx	20	19		
u_verify-005040	verify	diff	DIFF_OK	samples/법제처/2019/verify-005040.hwp	법제처	2019	hwp	0	0		
u_verify-005041	verify	diff	DIFF_OK	samples/행정안전부/2019/verify-005041.hwpx	행정안전부	2019	hwpx	1	1		
u_verify-005042	verify	diff	DIFF_OK	samples/국세청/2019/verify-005042.hwp	국세청	2019	hwp	2	2		
u_verify-005043	verify	diff	DIFF_OK	samples/대법원/2019/verify-005043.hwpx	대법원	2019	hwpx	3	3		
u_verify-005044	verify	diff	DIFF_OK	samples/특허청/2019/verify-005044.hwp	특허청	2019	hwp	4	4		
u_verify-005045	verify	diff	COUNT_DRIFT	samples/교육부/2019/verify-005045.hwpx	교육부	2019	hwpx	6	5		
u_verify-005046	verify	diff	COUNT_DRIFT	samples/보건복지부/2019/verify-005046.hwp	보건복지부	2019	hwp	7	6		
u_verify-005047	verify	diff	DIFF_OK	samples/국토교통부/2019/verify-005047.hwpx	국토교통부	2019	hwpx	7	7		
u_verify-005048	verify	diff	DIFF_OK	samples/고용노동부/2019/verify-005048.hwp	고용노동부	2019	hwp	8	8		
u_verify-005049	verify	diff	DIFF_OK	samples/외교부/2019/verify-005049.hwpx	외교부	2019	hwpx	9	9		
u_verify-005050	verify	diff	DIFF_OK	samples/기획재정부/2019/verify-005050.hwp	기획재정부	2019	hwp	10	10		
u_verify-005051	verify	diff	DIFF_OK	samples/공정거래위원회/2019/verify-005051.hwpx	공정거래위원회	2019	hwpx	11	11		
u_verify-005052	verify	diff	COUNT_DRIFT	samples/금융위원회/2019/verify-005052.hwp	금융위원회	2019	hwp	13	12		
u_verify-005053	verify	diff	COUNT_DRIFT	samples/통계청/2019/verify-005053.hwpx	통계청	2019	hwpx	14	13		
u_verify-005054	verify	diff	DIFF_OK	samples/기상청/2019/verify-005054.hwp	기상청	2019	hwp	14	14		
u_verify-005055	verify	diff	DIFF_OK	samples/관세청/2019/verify-005055.hwpx	관세청	2019	hwpx	15	15		
u_verify-005056	verify	diff	DIFF_OK	samples/검찰청/2019/verify-005056.hwp	검찰청	2019	hwp	16	16		
u_verify-005057	verify	diff	DIFF_OK	samples/경찰청/2019/verify-005057.hwpx	경찰청	2019	hwpx	17	17		
u_verify-005058	verify	diff	DIFF_OK	samples/소방청/2019/verify-005058.hwp	소방청	2019	hwp	18	18		
u_verify-005059	verify	diff	COUNT_DRIFT	samples/병무청/2019/verify-005059.hwpx	병무청	2019	hwpx	20	19		
u_verify-005060	verify	diff	COUNT_DRIFT	samples/산림청/2019/verify-005060.hwp	산림청	2019	hwp	1	0		
u_verify-005061	verify	diff	DIFF_OK	samples/중소벤처기업부/2019/verify-005061.hwpx	중소벤처기업부	2019	hwpx	1	1		
u_verify-005062	verify	diff	DIFF_OK	samples/과학기술정보통신부/2019/verify-005062.hwp	과학기술정보통신부	2019	hwp	2	2		
u_verify-005063	verify	diff	DIFF_OK	samples/문화체육관광부/2019/verify-005063.hwpx	문화체육관광부	2019	hwpx	3	3		
u_verify-005064	verify	diff	DIFF_OK	samples/환경부/2019/verify-005064.hwp	환경부	2019	hwp	4	4		
u_verify-005065	verify	diff	DIFF_OK	samples/해양수산부/2019/verify-005065.hwpx	해양수산부	2019	hwpx	5	5		
u_verify-005066	verify	diff	COUNT_DRIFT	samples/서울특별시/2019/verify-005066.hwp	서울특별시	2019	hwp	7	6		
u_verify-005067	verify	diff	COUNT_DRIFT	samples/경기도/2019/verify-005067.hwpx	경기도	2019	hwpx	8	7		
u_verify-005068	verify	diff	DIFF_OK	samples/부산광역시/2019/verify-005068.hwp	부산광역시	2019	hwp	8	8		
u_verify-005069	verify	diff	DIFF_OK	samples/제주특별자치도/2019/verify-005069.hwpx	제주특별자치도	2019	hwpx	9	9		
u_verify-005070	verify	diff	DIFF_OK	samples/법제처/2020/verify-005070.hwp	법제처	2020	hwp	10	10		
