case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_verify_signature-000000	verify-signature	avail	UNAVAIL_OK	samples/법제처/2016/verify-signature-000000.hwp	법제처	2016	hwp	0	2		
u_verify_signature-000001	verify-signature	avail	UNAVAIL_LIE	samples/행정안전부/2016/verify-signature-000001.hwpx	행정안전부	2016	hwpx	0	0		
u_verify_signature-000002	verify-signature	avail	UNAVAIL_LIE	samples/국세청/2016/verify-signature-000002.hwp	국세청	2016	hwp	0	1		
u_verify_signature-000003	verify-signature	avail	AVAIL_RUN	samples/대법원/2016/verify-signature-000003.hwpx	대법원	2016	hwpx	1	0		
u_verify_signature-000004	verify-signature	avail	AVAIL_RUN	samples/특허청/2016/verify-signature-000004.hwp	특허청	2016	hwp	1	3		
u_verify_signature-000005	verify-signature	avail	FALSE_UNAVAIL	samples/교육부/2016/verify-signature-000005.hwpx	교육부	2016	hwpx	1	2		
u_verify_signature-000006	verify-signature	avail	EXIT_UNKNOWN	samples/보건복지부/2016/verify-signature-000006.hwp	보건복지부	2016	hwp	1	9		
u_verify_signature-000007	verify-signature	avail	UNAVAIL_OK	samples/국토교통부/2016/verify-signature-000007.hwpx	국토교통부	2016	hwpx	0	2		
u_verify_signature-000008	verify-signature	avail	UNAVAIL_LIE	samples/고용노동부/2016/verify-signature-000008.hwp	고용노동부	2016	hwp	0	0		
u_verify_signature-000009	verify-signature	avail	UNAVAIL_LIE	samples/외교부/2016/verify-signature-000009.hwpx	외교부	2016	hwpx	0	1		
u_verify_signature-000010	verify-signature	avail	AVAIL_RUN	samples/기획재정부/2016/verify-signature-000010.hwp	기획재정부	2016	hwp	1	0		
u_verify_signature-000011	verify-signature	avail	AVAIL_RUN	samples/공정거래위원회/2016/verify-signature-000011.hwpx	공정거래위원회	2016	hwpx	1	3		
u_verify_signature-000012	verify-signature	avail	FALSE_UNAVAIL	samples/금융위원회/2016/verify-signature-000012.hwp	금융위원회	2016	hwp	1	2		
u_verify_signature-000013	verify-signature	avail	EXIT_UNKNOWN	samples/통계청/2016/verify-signature-000013.hwpx	통계청	2016	hwpx	1	9		
u_verify_signature-000014	verify-signature	avail	UNAVAIL_OK	samples/기상청/2016/verify-signature-000014.hwp	기상청	2016	hwp	0	2		
u_verify_signature-000015	verify-signature	avail	UNAVAIL_LIE	samples/관세청/2016/verify-signature-000015.hwpx	관세청	2016	hwpx	0	0		
u_verify_signature-000016	verify-signature	avail	UNAVAIL_LIE	samples/검찰청/2016/verify-signature-000016.hwp	검찰청	2016	hwp	0	1		
u_verify_signature-000017	verify-signature	avail	AVAIL_RUN	samples/경찰청/2016/verify-signature-000017.hwpx	경찰청	2016	hwpx	1	0		
u_verify_signature-000018	verify-signature	avail	AVAIL_RUN	samples/소방청/2016/verify-signature-000018.hwp	소방청	2016	hwp	1	3		
u_verify_signature-000019	verify-signature	avail	FALSE_UNAVAIL	samples/병무청/2016/verify-signature-000019.hwpx	병무청	2016	hwpx	1	2		
u_verify_signature-000020	verify-signature	avail	EXIT_UNKNOWN	samples/산림청/2016/verify-signature-000020.hwp	산림청	2016	hwp	1	9		
u_verify_signature-000021	verify-signature	avail	UNAVAIL_OK	samples/중소벤처기업부/2016/verify-signature-000021.hwpx	중소벤처기업부	2016	hwpx	0	2		
u_verify_signature-000022	verify-signature	avail	UNAVAIL_LIE	samples/과학기술정보통신부/2016/verify-signature-000022.hwp	과학기술정보통신부	2016	hwp	0	0		
u_verify_signature-000023	verify-signature	avail	UNAVAIL_LIE	samples/문화체육관광부/2016/verify-signature-000023.hwpx	문화체육관광부	2016	hwpx	0	1		
u_verify_signature-000024	verify-signature	avail	AVAIL_RUN	samples/환경부/2016/verify-signature-000024.hwp	환경부	2016	hwp	1	0		
u_verify_signature-000025	verify-signature	avail	AVAIL_RUN	samples/해양수산부/2016/verify-signature-000025.hwpx	해양수산부	2016	hwpx	1	3		
u_verify_signature-000026	verify-signature	avail	FALSE_UNAVAIL	samples/서울특별시/2016/verify-signature-000026.hwp	서울특별시	2016	hwp	1	2		
u_verify_signature-000027	verify-signature	avail	EXIT_UNKNOWN	samples/경기도/2016/verify-signature-000027.hwpx	경기도	2016	hwpx	1	9		
u_verify_signature-000028	verify-signature	avail	UNAVAIL_OK	samples/부산광역시/2016/verify-signature-000028.hwp	부산광역시	2016	hwp	0	2		
u_verify_signature-000029	verify-signature	avail	UNAVAIL_LIE	samples/제주특별자치도/2016/verify-signature-000029.hwpx	제주특별자치도	2016	hwpx	0	0		
u_verify_signature-000030	verify-signature	avail	UNAVAIL_LIE	samples/법제처/2017/verify-signature-000030.hwp	법제처	2017	hwp	0	1		
u_verify_signature-000031	verify-signature	avail	AVAIL_RUN	samples/행정안전부/2017/verify-signature-000031.hwpx	행정안전부	2017	hwpx	1	0		
u_verify_signature-000032	verify-signature	avail	AVAIL_RUN	samples/국세청/2017/verify-signature-000032.hwp	국세청	2017	hwp	1	3		
u_verify_signature-000033	verify-signature	avail	FALSE_UNAVAIL	samples/대법원/2017/verify-signature-000033.hwpx	대법원	2017	hwpx	1	2		
u_verify_signature-000034	verify-signature	avail	EXIT_UNKNOWN	samples/특허청/2017/verify-signature-000034.hwp	특허청	2017	hwp	1	9		
u_verify_signature-000035	verify-signature	avail	UNAVAIL_OK	samples/교육부/2017/verify-signature-000035.hwpx	교육부	2017	hwpx	0	2		
u_verify_signature-000036	verify-signature	avail	UNAVAIL_LIE	samples/보건복지부/2017/verify-signature-000036.hwp	보건복지부	2017	hwp	0	0		
u_verify_signature-000037	verify-signature	avail	UNAVAIL_LIE	samples/국토교통부/2017/verify-signature-000037.hwpx	국토교통부	2017	hwpx	0	1		
u_verify_signature-000038	verify-signature	avail	AVAIL_RUN	samples/고용노동부/2017/verify-signature-000038.hwp	고용노동부	2017	hwp	1	0		
u_verify_signature-000039	verify-signature	avail	AVAIL_RUN	samples/외교부/2017/verify-signature-000039.hwpx	외교부	2017	hwpx	1	3		
u_verify_signature-000040	verify-signature	avail	FALSE_UNAVAIL	samples/기획재정부/2017/verify-signature-000040.hwp	기획재정부	2017	hwp	1	2		
u_verify_signature-000041	verify-signature	avail	EXIT_UNKNOWN	samples/공정거래위원회/2017/verify-signature-000041.hwpx	공정거래위원회	2017	hwpx	1	9		
u_verify_signature-000042	verify-signature	avail	UNAVAIL_OK	samples/금융위원회/2017/verify-signature-000042.hwp	금융위원회	2017	hwp	0	2		
u_verify_signature-000043	verify-signature	avail	UNAVAIL_LIE	samples/통계청/2017/verify-signature-000043.hwpx	통계청	2017	hwpx	0	0		
u_verify_signature-000044	verify-signature	avail	UNAVAIL_LIE	samples/기상청/2017/verify-signature-000044.hwp	기상청	2017	hwp	0	1		
u_verify_signature-000045	verify-signature	avail	AVAIL_RUN	samples/관세청/2017/verify-signature-000045.hwpx	관세청	2017	hwpx	1	0		
u_verify_signature-000046	verify-signature	avail	AVAIL_RUN	samples/검찰청/2017/verify-signature-000046.hwp	검찰청	2017	hwp	1	3		
u_verify_signature-000047	verify-signature	avail	FALSE_UNAVAIL	samples/경찰청/2017/verify-signature-000047.hwpx	경찰청	2017	hwpx	1	2		
u_verify_signature-000048	verify-signature	avail	EXIT_UNKNOWN	samples/소방청/2017/verify-signature-000048.hwp	소방청	2017	hwp	1	9		
u_verify_signature-000049	verify-signature	avail	UNAVAIL_OK	samples/병무청/2017/verify-signature-000049.hwpx	병무청	2017	hwpx	0	2		
