case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_agent_surface_session-000000	agent-surface-session	lease	SESSION_CLOSED	samples/wave2/법제처/2016/agent-surface-session-000000.hwp	법제처	2016	hwp	0	0	0	
w2_agent_surface_session-000001	agent-surface-session	lease	SESSION_CLOSED	samples/wave2/행정안전부/2016/agent-surface-session-000001.hwpx	행정안전부	2016	hwpx	0	0	3	
w2_agent_surface_session-000002	agent-surface-session	lease	LEASE_STALE	samples/wave2/국세청/2016/agent-surface-session-000002.hwp	국세청	2016	hwp	1	1	0	
w2_agent_surface_session-000003	agent-surface-session	lease	LEASE_OK	samples/wave2/대법원/2016/agent-surface-session-000003.hwpx	대법원	2016	hwpx	1	0	0	
w2_agent_surface_session-000004	agent-surface-session	lease	LEASE_FAIL	samples/wave2/특허청/2016/agent-surface-session-000004.hwp	특허청	2016	hwp	1	0	1	
w2_agent_surface_session-000005	agent-surface-session	lease	LEASE_FAIL	samples/wave2/교육부/2016/agent-surface-session-000005.hwpx	교육부	2016	hwpx	1	0	2	
w2_agent_surface_session-000006	agent-surface-session	lease	EXIT_UNKNOWN	samples/wave2/보건복지부/2016/agent-surface-session-000006.hwp	보건복지부	2016	hwp	1	0	9	
w2_agent_surface_session-000007	agent-surface-session	lease	SESSION_CLOSED	samples/wave2/국토교통부/2016/agent-surface-session-000007.hwpx	국토교통부	2016	hwpx	0	0	0	
w2_agent_surface_session-000008	agent-surface-session	lease	SESSION_CLOSED	samples/wave2/고용노동부/2016/agent-surface-session-000008.hwp	고용노동부	2016	hwp	0	0	3	
w2_agent_surface_session-000009	agent-surface-session	lease	LEASE_STALE	samples/wave2/외교부/2016/agent-surface-session-000009.hwpx	외교부	2016	hwpx	1	1	0	
w2_agent_surface_session-000010	agent-surface-session	lease	LEASE_OK	samples/wave2/기획재정부/2016/agent-surface-session-000010.hwp	기획재정부	2016	hwp	1	0	0	
w2_agent_surface_session-000011	agent-surface-session	lease	LEASE_FAIL	samples/wave2/공정거래위원회/2016/agent-surface-session-000011.hwpx	공정거래위원회	2016	hwpx	1	0	1	
w2_agent_surface_session-000012	agent-surface-session	lease	LEASE_FAIL	samples/wave2/금융위원회/2016/agent-surface-session-000012.hwp	금융위원회	2016	hwp	1	0	2	
w2_agent_surface_session-000013	agent-surface-session	lease	EXIT_UNKNOWN	samples/wave2/통계청/2016/agent-surface-session-000013.hwpx	통계청	2016	hwpx	1	0	9	
w2_agent_surface_session-000014	agent-surface-session	lease	SESSION_CLOSED	samples/wave2/기상청/2016/agent-surface-session-000014.hwp	기상청	2016	hwp	0	0	0	
w2_agent_surface_session-000015	agent-surface-session	lease	SESSION_CLOSED	samples/wave2/관세청/2016/agent-surface-session-000015.hwpx	관세청	2016	hwpx	0	0	3	
w2_agent_surface_session-000016	agent-surface-session	lease	LEASE_STALE	samples/wave2/검찰청/2016/agent-surface-session-000016.hwp	검찰청	2016	hwp	1	1	0	
w2_agent_surface_session-000017	agent-surface-session	lease	LEASE_OK	samples/wave2/경찰청/2016/agent-surface-session-000017.hwpx	경찰청	2016	hwpx	1	0	0	
w2_agent_surface_session-000018	agent-surface-session	lease	LEASE_FAIL	samples/wave2/소방청/2016/agent-surface-session-000018.hwp	소방청	2016	hwp	1	0	1	
