case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_batch_stderr_isolate-010000	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/기획재정부/2019/batch-stderr-isolate-010000.hwp	기획재정부	2019	hwp	4	3	1	0
w2_batch_stderr_isolate-010001	batch-stderr-isolate	isolate	COUNT_DRIFT	samples/wave2/공정거래위원회/2019/batch-stderr-isolate-010001.hwpx	공정거래위원회	2019	hwpx	6	4	1	0
w2_batch_stderr_isolate-010002	batch-stderr-isolate	isolate	POISON	samples/wave2/금융위원회/2019/batch-stderr-isolate-010002.hwp	금융위원회	2019	hwp	6	5	1	1
w2_batch_stderr_isolate-010003	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/통계청/2019/batch-stderr-isolate-010003.hwpx	통계청	2019	hwpx	6	6	0	0
w2_batch_stderr_isolate-010004	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/기상청/2019/batch-stderr-isolate-010004.hwp	기상청	2019	hwp	7	7	0	0
w2_batch_stderr_isolate-010005	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/관세청/2019/batch-stderr-isolate-010005.hwpx	관세청	2019	hwpx	8	8	0	0
w2_batch_stderr_isolate-010006	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/검찰청/2019/batch-stderr-isolate-010006.hwp	검찰청	2019	hwp	9	9	0	0
w2_batch_stderr_isolate-010007	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/경찰청/2019/batch-stderr-isolate-010007.hwpx	경찰청	2019	hwpx	11	10	1	0
w2_batch_stderr_isolate-010008	batch-stderr-isolate	isolate	COUNT_DRIFT	samples/wave2/소방청/2019/batch-stderr-isolate-010008.hwp	소방청	2019	hwp	5	3	1	0
w2_batch_stderr_isolate-010009	batch-stderr-isolate	isolate	POISON	samples/wave2/병무청/2019/batch-stderr-isolate-010009.hwpx	병무청	2019	hwpx	5	4	1	1
w2_batch_stderr_isolate-010010	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/산림청/2019/batch-stderr-isolate-010010.hwp	산림청	2019	hwp	5	5	0	0
w2_batch_stderr_isolate-010011	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/중소벤처기업부/2019/batch-stderr-isolate-010011.hwpx	중소벤처기업부	2019	hwpx	6	6	0	0
w2_batch_stderr_isolate-010012	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/과학기술정보통신부/2019/batch-stderr-isolate-010012.hwp	과학기술정보통신부	2019	hwp	7	7	0	0
w2_batch_stderr_isolate-010013	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/문화체육관광부/2019/batch-stderr-isolate-010013.hwpx	문화체육관광부	2019	hwpx	8	8	0	0
w2_batch_stderr_isolate-010014	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/환경부/2019/batch-stderr-isolate-010014.hwp	환경부	2019	hwp	10	9	1	0
w2_batch_stderr_isolate-010015	batch-stderr-isolate	isolate	COUNT_DRIFT	samples/wave2/해양수산부/2019/batch-stderr-isolate-010015.hwpx	해양수산부	2019	hwpx	12	10	1	0
w2_batch_stderr_isolate-010016	batch-stderr-isolate	isolate	POISON	samples/wave2/서울특별시/2019/batch-stderr-isolate-010016.hwp	서울특별시	2019	hwp	4	3	1	1
w2_batch_stderr_isolate-010017	batch-stderr-isolate	isolate	ISOLATED	samples/wave2/경기도/2019/batch-stderr-isolate-010017.hwpx	경기도	2019	hwpx	4	4	0	0
