case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_chief_route-010000	chief-route	route	ROUTE_OK	samples/wave2/기획재정부/2019/chief-route-010000.hwp	기획재정부	2019	hwp	fde			
w2_chief_route-010001	chief-route	route	ROUTE_OK	samples/wave2/공정거래위원회/2019/chief-route-010001.hwpx	공정거래위원회	2019	hwpx	pdf			
w2_chief_route-010002	chief-route	route	ROUTE_UNKNOWN	samples/wave2/금융위원회/2019/chief-route-010002.hwp	금융위원회	2019	hwp	email			
w2_chief_route-010003	chief-route	route	ROUTE_OK	samples/wave2/통계청/2019/chief-route-010003.hwpx	통계청	2019	hwpx	pdf			
w2_chief_route-010004	chief-route	route	ROUTE_OK	samples/wave2/기상청/2019/chief-route-010004.hwp	기상청	2019	hwp	fill			
w2_chief_route-010005	chief-route	route	ROUTE_OK	samples/wave2/관세청/2019/chief-route-010005.hwpx	관세청	2019	hwpx	table			
w2_chief_route-010006	chief-route	route	ROUTE_OK	samples/wave2/검찰청/2019/chief-route-010006.hwp	검찰청	2019	hwp	needs-agent			
w2_chief_route-010007	chief-route	route	ROUTE_OK	samples/wave2/경찰청/2019/chief-route-010007.hwpx	경찰청	2019	hwpx	fde			
w2_chief_route-010008	chief-route	route	ROUTE_OK	samples/wave2/소방청/2019/chief-route-010008.hwp	소방청	2019	hwp	pdf			
w2_chief_route-010009	chief-route	route	ROUTE_UNKNOWN	samples/wave2/병무청/2019/chief-route-010009.hwpx	병무청	2019	hwpx	email			
w2_chief_route-010010	chief-route	route	ROUTE_OK	samples/wave2/산림청/2019/chief-route-010010.hwp	산림청	2019	hwp	pdf			
w2_chief_route-010011	chief-route	route	ROUTE_OK	samples/wave2/중소벤처기업부/2019/chief-route-010011.hwpx	중소벤처기업부	2019	hwpx	fill			
w2_chief_route-010012	chief-route	route	ROUTE_OK	samples/wave2/과학기술정보통신부/2019/chief-route-010012.hwp	과학기술정보통신부	2019	hwp	table			
w2_chief_route-010013	chief-route	route	ROUTE_OK	samples/wave2/문화체육관광부/2019/chief-route-010013.hwpx	문화체육관광부	2019	hwpx	needs-agent			
w2_chief_route-010014	chief-route	route	ROUTE_OK	samples/wave2/환경부/2019/chief-route-010014.hwp	환경부	2019	hwp	fde			
w2_chief_route-010015	chief-route	route	ROUTE_OK	samples/wave2/해양수산부/2019/chief-route-010015.hwpx	해양수산부	2019	hwpx	pdf			
w2_chief_route-010016	chief-route	route	ROUTE_UNKNOWN	samples/wave2/서울특별시/2019/chief-route-010016.hwp	서울특별시	2019	hwp	email			
w2_chief_route-010017	chief-route	route	ROUTE_OK	samples/wave2/경기도/2019/chief-route-010017.hwpx	경기도	2019	hwpx	pdf			
w2_chief_route-010018	chief-route	route	ROUTE_OK	samples/wave2/부산광역시/2019/chief-route-010018.hwp	부산광역시	2019	hwp	fill			
w2_chief_route-010019	chief-route	route	ROUTE_OK	samples/wave2/제주특별자치도/2019/chief-route-010019.hwpx	제주특별자치도	2019	hwpx	table			
w2_chief_route-010020	chief-route	route	ROUTE_OK	samples/wave2/법제처/2020/chief-route-010020.hwp	법제처	2020	hwp	needs-agent			
w2_chief_route-010021	chief-route	route	ROUTE_OK	samples/wave2/행정안전부/2020/chief-route-010021.hwpx	행정안전부	2020	hwpx	fde			
w2_chief_route-010022	chief-route	route	ROUTE_OK	samples/wave2/국세청/2020/chief-route-010022.hwp	국세청	2020	hwp	pdf			
w2_chief_route-010023	chief-route	route	ROUTE_UNKNOWN	samples/wave2/대법원/2020/chief-route-010023.hwpx	대법원	2020	hwpx	email			
w2_chief_route-010024	chief-route	route	ROUTE_OK	samples/wave2/특허청/2020/chief-route-010024.hwp	특허청	2020	hwp	pdf			
w2_chief_route-010025	chief-route	route	ROUTE_OK	samples/wave2/교육부/2020/chief-route-010025.hwpx	교육부	2020	hwpx	fill			
w2_chief_route-010026	chief-route	route	ROUTE_OK	samples/wave2/보건복지부/2020/chief-route-010026.hwp	보건복지부	2020	hwp	table			
w2_chief_route-010027	chief-route	route	ROUTE_OK	samples/wave2/국토교통부/2020/chief-route-010027.hwpx	국토교통부	2020	hwpx	needs-agent			
w2_chief_route-010028	chief-route	route	ROUTE_OK	samples/wave2/고용노동부/2020/chief-route-010028.hwp	고용노동부	2020	hwp	fde			
w2_chief_route-010029	chief-route	route	ROUTE_OK	samples/wave2/외교부/2020/chief-route-010029.hwpx	외교부	2020	hwpx	pdf			
w2_chief_route-010030	chief-route	route	ROUTE_UNKNOWN	samples/wave2/기획재정부/2020/chief-route-010030.hwp	기획재정부	2020	hwp	email			
w2_chief_route-010031	chief-route	route	ROUTE_OK	samples/wave2/공정거래위원회/2020/chief-route-010031.hwpx	공정거래위원회	2020	hwpx	pdf			
w2_chief_route-010032	chief-route	route	ROUTE_OK	samples/wave2/금융위원회/2020/chief-route-010032.hwp	금융위원회	2020	hwp	fill			
w2_chief_route-010033	chief-route	route	ROUTE_OK	samples/wave2/통계청/2020/chief-route-010033.hwpx	통계청	2020	hwpx	table			
w2_chief_route-010034	chief-route	route	ROUTE_OK	samples/wave2/기상청/2020/chief-route-010034.hwp	기상청	2020	hwp	needs-agent			
w2_chief_route-010035	chief-route	route	ROUTE_OK	samples/wave2/관세청/2020/chief-route-010035.hwpx	관세청	2020	hwpx	fde			
w2_chief_route-010036	chief-route	route	ROUTE_OK	samples/wave2/검찰청/2020/chief-route-010036.hwp	검찰청	2020	hwp	pdf			
w2_chief_route-010037	chief-route	route	ROUTE_UNKNOWN	samples/wave2/경찰청/2020/chief-route-010037.hwpx	경찰청	2020	hwpx	email			
w2_chief_route-010038	chief-route	route	ROUTE_OK	samples/wave2/소방청/2020/chief-route-010038.hwp	소방청	2020	hwp	pdf			
w2_chief_route-010039	chief-route	route	ROUTE_OK	samples/wave2/병무청/2020/chief-route-010039.hwpx	병무청	2020	hwpx	fill			
w2_chief_route-010040	chief-route	route	ROUTE_OK	samples/wave2/산림청/2020/chief-route-010040.hwp	산림청	2020	hwp	table			
w2_chief_route-010041	chief-route	route	ROUTE_OK	samples/wave2/중소벤처기업부/2020/chief-route-010041.hwpx	중소벤처기업부	2020	hwpx	needs-agent			
w2_chief_route-010042	chief-route	route	ROUTE_OK	samples/wave2/과학기술정보통신부/2020/chief-route-010042.hwp	과학기술정보통신부	2020	hwp	fde			
w2_chief_route-010043	chief-route	route	ROUTE_OK	samples/wave2/문화체육관광부/2020/chief-route-010043.hwpx	문화체육관광부	2020	hwpx	pdf			
w2_chief_route-010044	chief-route	route	ROUTE_UNKNOWN	samples/wave2/환경부/2020/chief-route-010044.hwp	환경부	2020	hwp	email			
