case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_chrome_print-010000	chrome-print	bytes	BYTES_OK	samples/wave2/기획재정부/2019/chrome-print-010000.hwp	기획재정부	2019	hwp	12	0		
w2_chrome_print-010001	chrome-print	bytes	ZERO_BYTES	samples/wave2/공정거래위원회/2019/chrome-print-010001.hwpx	공정거래위원회	2019	hwpx	0	0		
w2_chrome_print-010002	chrome-print	bytes	EMPTY_OUTPUT	samples/wave2/금융위원회/2019/chrome-print-010002.hwp	금융위원회	2019	hwp	0	1		
w2_chrome_print-010003	chrome-print	bytes	BYTES_OK	samples/wave2/통계청/2019/chrome-print-010003.hwpx	통계청	2019	hwpx	15	0		
w2_chrome_print-010004	chrome-print	bytes	BYTES_OK	samples/wave2/기상청/2019/chrome-print-010004.hwp	기상청	2019	hwp	16	0		
w2_chrome_print-010005	chrome-print	bytes	BYTES_OK	samples/wave2/관세청/2019/chrome-print-010005.hwpx	관세청	2019	hwpx	17	0		
w2_chrome_print-010006	chrome-print	bytes	BYTES_OK	samples/wave2/검찰청/2019/chrome-print-010006.hwp	검찰청	2019	hwp	18	0		
w2_chrome_print-010007	chrome-print	bytes	BYTES_OK	samples/wave2/경찰청/2019/chrome-print-010007.hwpx	경찰청	2019	hwpx	19	0		
w2_chrome_print-010008	chrome-print	bytes	ZERO_BYTES	samples/wave2/소방청/2019/chrome-print-010008.hwp	소방청	2019	hwp	0	0		
w2_chrome_print-010009	chrome-print	bytes	EMPTY_OUTPUT	samples/wave2/병무청/2019/chrome-print-010009.hwpx	병무청	2019	hwpx	0	1		
w2_chrome_print-010010	chrome-print	bytes	BYTES_OK	samples/wave2/산림청/2019/chrome-print-010010.hwp	산림청	2019	hwp	22	0		
w2_chrome_print-010011	chrome-print	bytes	BYTES_OK	samples/wave2/중소벤처기업부/2019/chrome-print-010011.hwpx	중소벤처기업부	2019	hwpx	23	0		
w2_chrome_print-010012	chrome-print	bytes	BYTES_OK	samples/wave2/과학기술정보통신부/2019/chrome-print-010012.hwp	과학기술정보통신부	2019	hwp	24	0		
w2_chrome_print-010013	chrome-print	bytes	BYTES_OK	samples/wave2/문화체육관광부/2019/chrome-print-010013.hwpx	문화체육관광부	2019	hwpx	25	0		
w2_chrome_print-010014	chrome-print	bytes	BYTES_OK	samples/wave2/환경부/2019/chrome-print-010014.hwp	환경부	2019	hwp	26	0		
w2_chrome_print-010015	chrome-print	bytes	ZERO_BYTES	samples/wave2/해양수산부/2019/chrome-print-010015.hwpx	해양수산부	2019	hwpx	0	0		
w2_chrome_print-010016	chrome-print	bytes	EMPTY_OUTPUT	samples/wave2/서울특별시/2019/chrome-print-010016.hwp	서울특별시	2019	hwp	0	1		
w2_chrome_print-010017	chrome-print	bytes	BYTES_OK	samples/wave2/경기도/2019/chrome-print-010017.hwpx	경기도	2019	hwpx	29	0		
w2_chrome_print-010018	chrome-print	bytes	BYTES_OK	samples/wave2/부산광역시/2019/chrome-print-010018.hwp	부산광역시	2019	hwp	30	0		
w2_chrome_print-010019	chrome-print	bytes	BYTES_OK	samples/wave2/제주특별자치도/2019/chrome-print-010019.hwpx	제주특별자치도	2019	hwpx	31	0		
w2_chrome_print-010020	chrome-print	bytes	BYTES_OK	samples/wave2/법제처/2020/chrome-print-010020.hwp	법제처	2020	hwp	32	0		
w2_chrome_print-010021	chrome-print	bytes	BYTES_OK	samples/wave2/행정안전부/2020/chrome-print-010021.hwpx	행정안전부	2020	hwpx	33	0		
w2_chrome_print-010022	chrome-print	bytes	ZERO_BYTES	samples/wave2/국세청/2020/chrome-print-010022.hwp	국세청	2020	hwp	0	0		
w2_chrome_print-010023	chrome-print	bytes	EMPTY_OUTPUT	samples/wave2/대법원/2020/chrome-print-010023.hwpx	대법원	2020	hwpx	0	1		
w2_chrome_print-010024	chrome-print	bytes	BYTES_OK	samples/wave2/특허청/2020/chrome-print-010024.hwp	특허청	2020	hwp	36	0		
w2_chrome_print-010025	chrome-print	bytes	BYTES_OK	samples/wave2/교육부/2020/chrome-print-010025.hwpx	교육부	2020	hwpx	37	0		
w2_chrome_print-010026	chrome-print	bytes	BYTES_OK	samples/wave2/보건복지부/2020/chrome-print-010026.hwp	보건복지부	2020	hwp	38	0		
w2_chrome_print-010027	chrome-print	bytes	BYTES_OK	samples/wave2/국토교통부/2020/chrome-print-010027.hwpx	국토교통부	2020	hwpx	39	0		
w2_chrome_print-010028	chrome-print	bytes	BYTES_OK	samples/wave2/고용노동부/2020/chrome-print-010028.hwp	고용노동부	2020	hwp	40	0		
w2_chrome_print-010029	chrome-print	bytes	ZERO_BYTES	samples/wave2/외교부/2020/chrome-print-010029.hwpx	외교부	2020	hwpx	0	0		
w2_chrome_print-010030	chrome-print	bytes	EMPTY_OUTPUT	samples/wave2/기획재정부/2020/chrome-print-010030.hwp	기획재정부	2020	hwp	0	1		
w2_chrome_print-010031	chrome-print	bytes	BYTES_OK	samples/wave2/공정거래위원회/2020/chrome-print-010031.hwpx	공정거래위원회	2020	hwpx	43	0		
w2_chrome_print-010032	chrome-print	bytes	BYTES_OK	samples/wave2/금융위원회/2020/chrome-print-010032.hwp	금융위원회	2020	hwp	44	0		
w2_chrome_print-010033	chrome-print	bytes	BYTES_OK	samples/wave2/통계청/2020/chrome-print-010033.hwpx	통계청	2020	hwpx	45	0		
