case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_desk_open-010000	desk-open	avail	AVAIL_RUN	samples/wave2/기획재정부/2019/desk-open-010000.hwp	기획재정부	2019	hwp	1	3		
w2_desk_open-010001	desk-open	avail	FALSE_UNAVAIL	samples/wave2/공정거래위원회/2019/desk-open-010001.hwpx	공정거래위원회	2019	hwpx	1	2		
w2_desk_open-010002	desk-open	avail	EXIT_UNKNOWN	samples/wave2/금융위원회/2019/desk-open-010002.hwp	금융위원회	2019	hwp	1	9		
w2_desk_open-010003	desk-open	avail	UNAVAIL_OK	samples/wave2/통계청/2019/desk-open-010003.hwpx	통계청	2019	hwpx	0	2		
w2_desk_open-010004	desk-open	avail	UNAVAIL_LIE	samples/wave2/기상청/2019/desk-open-010004.hwp	기상청	2019	hwp	0	0		
w2_desk_open-010005	desk-open	avail	UNAVAIL_LIE	samples/wave2/관세청/2019/desk-open-010005.hwpx	관세청	2019	hwpx	0	1		
w2_desk_open-010006	desk-open	avail	AVAIL_RUN	samples/wave2/검찰청/2019/desk-open-010006.hwp	검찰청	2019	hwp	1	0		
w2_desk_open-010007	desk-open	avail	AVAIL_RUN	samples/wave2/경찰청/2019/desk-open-010007.hwpx	경찰청	2019	hwpx	1	3		
w2_desk_open-010008	desk-open	avail	FALSE_UNAVAIL	samples/wave2/소방청/2019/desk-open-010008.hwp	소방청	2019	hwp	1	2		
w2_desk_open-010009	desk-open	avail	EXIT_UNKNOWN	samples/wave2/병무청/2019/desk-open-010009.hwpx	병무청	2019	hwpx	1	9		
w2_desk_open-010010	desk-open	avail	UNAVAIL_OK	samples/wave2/산림청/2019/desk-open-010010.hwp	산림청	2019	hwp	0	2		
w2_desk_open-010011	desk-open	avail	UNAVAIL_LIE	samples/wave2/중소벤처기업부/2019/desk-open-010011.hwpx	중소벤처기업부	2019	hwpx	0	0		
w2_desk_open-010012	desk-open	avail	UNAVAIL_LIE	samples/wave2/과학기술정보통신부/2019/desk-open-010012.hwp	과학기술정보통신부	2019	hwp	0	1		
w2_desk_open-010013	desk-open	avail	AVAIL_RUN	samples/wave2/문화체육관광부/2019/desk-open-010013.hwpx	문화체육관광부	2019	hwpx	1	0		
w2_desk_open-010014	desk-open	avail	AVAIL_RUN	samples/wave2/환경부/2019/desk-open-010014.hwp	환경부	2019	hwp	1	3		
w2_desk_open-010015	desk-open	avail	FALSE_UNAVAIL	samples/wave2/해양수산부/2019/desk-open-010015.hwpx	해양수산부	2019	hwpx	1	2		
w2_desk_open-010016	desk-open	avail	EXIT_UNKNOWN	samples/wave2/서울특별시/2019/desk-open-010016.hwp	서울특별시	2019	hwp	1	9		
w2_desk_open-010017	desk-open	avail	UNAVAIL_OK	samples/wave2/경기도/2019/desk-open-010017.hwpx	경기도	2019	hwpx	0	2		
w2_desk_open-010018	desk-open	avail	UNAVAIL_LIE	samples/wave2/부산광역시/2019/desk-open-010018.hwp	부산광역시	2019	hwp	0	0		
w2_desk_open-010019	desk-open	avail	UNAVAIL_LIE	samples/wave2/제주특별자치도/2019/desk-open-010019.hwpx	제주특별자치도	2019	hwpx	0	1		
w2_desk_open-010020	desk-open	avail	AVAIL_RUN	samples/wave2/법제처/2020/desk-open-010020.hwp	법제처	2020	hwp	1	0		
w2_desk_open-010021	desk-open	avail	AVAIL_RUN	samples/wave2/행정안전부/2020/desk-open-010021.hwpx	행정안전부	2020	hwpx	1	3		
w2_desk_open-010022	desk-open	avail	FALSE_UNAVAIL	samples/wave2/국세청/2020/desk-open-010022.hwp	국세청	2020	hwp	1	2		
w2_desk_open-010023	desk-open	avail	EXIT_UNKNOWN	samples/wave2/대법원/2020/desk-open-010023.hwpx	대법원	2020	hwpx	1	9		
w2_desk_open-010024	desk-open	avail	UNAVAIL_OK	samples/wave2/특허청/2020/desk-open-010024.hwp	특허청	2020	hwp	0	2		
w2_desk_open-010025	desk-open	avail	UNAVAIL_LIE	samples/wave2/교육부/2020/desk-open-010025.hwpx	교육부	2020	hwpx	0	0		
w2_desk_open-010026	desk-open	avail	UNAVAIL_LIE	samples/wave2/보건복지부/2020/desk-open-010026.hwp	보건복지부	2020	hwp	0	1		
w2_desk_open-010027	desk-open	avail	AVAIL_RUN	samples/wave2/국토교통부/2020/desk-open-010027.hwpx	국토교통부	2020	hwpx	1	0		
w2_desk_open-010028	desk-open	avail	AVAIL_RUN	samples/wave2/고용노동부/2020/desk-open-010028.hwp	고용노동부	2020	hwp	1	3		
w2_desk_open-010029	desk-open	avail	FALSE_UNAVAIL	samples/wave2/외교부/2020/desk-open-010029.hwpx	외교부	2020	hwpx	1	2		
w2_desk_open-010030	desk-open	avail	EXIT_UNKNOWN	samples/wave2/기획재정부/2020/desk-open-010030.hwp	기획재정부	2020	hwp	1	9		
w2_desk_open-010031	desk-open	avail	UNAVAIL_OK	samples/wave2/공정거래위원회/2020/desk-open-010031.hwpx	공정거래위원회	2020	hwpx	0	2		
w2_desk_open-010032	desk-open	avail	UNAVAIL_LIE	samples/wave2/금융위원회/2020/desk-open-010032.hwp	금융위원회	2020	hwp	0	0		
w2_desk_open-010033	desk-open	avail	UNAVAIL_LIE	samples/wave2/통계청/2020/desk-open-010033.hwpx	통계청	2020	hwpx	0	1		
w2_desk_open-010034	desk-open	avail	AVAIL_RUN	samples/wave2/기상청/2020/desk-open-010034.hwp	기상청	2020	hwp	1	0		
w2_desk_open-010035	desk-open	avail	AVAIL_RUN	samples/wave2/관세청/2020/desk-open-010035.hwpx	관세청	2020	hwpx	1	3		
w2_desk_open-010036	desk-open	avail	FALSE_UNAVAIL	samples/wave2/검찰청/2020/desk-open-010036.hwp	검찰청	2020	hwp	1	2		
w2_desk_open-010037	desk-open	avail	EXIT_UNKNOWN	samples/wave2/경찰청/2020/desk-open-010037.hwpx	경찰청	2020	hwpx	1	9		
w2_desk_open-010038	desk-open	avail	UNAVAIL_OK	samples/wave2/소방청/2020/desk-open-010038.hwp	소방청	2020	hwp	0	2		
w2_desk_open-010039	desk-open	avail	UNAVAIL_LIE	samples/wave2/병무청/2020/desk-open-010039.hwpx	병무청	2020	hwpx	0	0		
w2_desk_open-010040	desk-open	avail	UNAVAIL_LIE	samples/wave2/산림청/2020/desk-open-010040.hwp	산림청	2020	hwp	0	1		
w2_desk_open-010041	desk-open	avail	AVAIL_RUN	samples/wave2/중소벤처기업부/2020/desk-open-010041.hwpx	중소벤처기업부	2020	hwpx	1	0		
w2_desk_open-010042	desk-open	avail	AVAIL_RUN	samples/wave2/과학기술정보통신부/2020/desk-open-010042.hwp	과학기술정보통신부	2020	hwp	1	3		
w2_desk_open-010043	desk-open	avail	FALSE_UNAVAIL	samples/wave2/문화체육관광부/2020/desk-open-010043.hwpx	문화체육관광부	2020	hwpx	1	2		
w2_desk_open-010044	desk-open	avail	EXIT_UNKNOWN	samples/wave2/환경부/2020/desk-open-010044.hwp	환경부	2020	hwp	1	9		
w2_desk_open-010045	desk-open	avail	UNAVAIL_OK	samples/wave2/해양수산부/2020/desk-open-010045.hwpx	해양수산부	2020	hwpx	0	2		
w2_desk_open-010046	desk-open	avail	UNAVAIL_LIE	samples/wave2/서울특별시/2020/desk-open-010046.hwp	서울특별시	2020	hwp	0	0		
w2_desk_open-010047	desk-open	avail	UNAVAIL_LIE	samples/wave2/경기도/2020/desk-open-010047.hwpx	경기도	2020	hwpx	0	1		
w2_desk_open-010048	desk-open	avail	AVAIL_RUN	samples/wave2/부산광역시/2020/desk-open-010048.hwp	부산광역시	2020	hwp	1	0		
w2_desk_open-010049	desk-open	avail	AVAIL_RUN	samples/wave2/제주특별자치도/2020/desk-open-010049.hwpx	제주특별자치도	2020	hwpx	1	3		
w2_desk_open-010050	desk-open	avail	FALSE_UNAVAIL	samples/wave2/법제처/2021/desk-open-010050.hwp	법제처	2021	hwp	1	2		
w2_desk_open-010051	desk-open	avail	EXIT_UNKNOWN	samples/wave2/행정안전부/2021/desk-open-010051.hwpx	행정안전부	2021	hwpx	1	9		
w2_desk_open-010052	desk-open	avail	UNAVAIL_OK	samples/wave2/국세청/2021/desk-open-010052.hwp	국세청	2021	hwp	0	2		
w2_desk_open-010053	desk-open	avail	UNAVAIL_LIE	samples/wave2/대법원/2021/desk-open-010053.hwpx	대법원	2021	hwpx	0	0		
w2_desk_open-010054	desk-open	avail	UNAVAIL_LIE	samples/wave2/특허청/2021/desk-open-010054.hwp	특허청	2021	hwp	0	1		
w2_desk_open-010055	desk-open	avail	AVAIL_RUN	samples/wave2/교육부/2021/desk-open-010055.hwpx	교육부	2021	hwpx	1	0		
w2_desk_open-010056	desk-open	avail	AVAIL_RUN	samples/wave2/보건복지부/2021/desk-open-010056.hwp	보건복지부	2021	hwp	1	3		
w2_desk_open-010057	desk-open	avail	FALSE_UNAVAIL	samples/wave2/국토교통부/2021/desk-open-010057.hwpx	국토교통부	2021	hwpx	1	2		
w2_desk_open-010058	desk-open	avail	EXIT_UNKNOWN	samples/wave2/고용노동부/2021/desk-open-010058.hwp	고용노동부	2021	hwp	1	9		
w2_desk_open-010059	desk-open	avail	UNAVAIL_OK	samples/wave2/외교부/2021/desk-open-010059.hwpx	외교부	2021	hwpx	0	2		
w2_desk_open-010060	desk-open	avail	UNAVAIL_LIE	samples/wave2/기획재정부/2021/desk-open-010060.hwp	기획재정부	2021	hwp	0	0		
w2_desk_open-010061	desk-open	avail	UNAVAIL_LIE	samples/wave2/공정거래위원회/2021/desk-open-010061.hwpx	공정거래위원회	2021	hwpx	0	1		
w2_desk_open-010062	desk-open	avail	AVAIL_RUN	samples/wave2/금융위원회/2021/desk-open-010062.hwp	금융위원회	2021	hwp	1	0		
w2_desk_open-010063	desk-open	avail	AVAIL_RUN	samples/wave2/통계청/2021/desk-open-010063.hwpx	통계청	2021	hwpx	1	3		
w2_desk_open-010064	desk-open	avail	FALSE_UNAVAIL	samples/wave2/기상청/2021/desk-open-010064.hwp	기상청	2021	hwp	1	2		
w2_desk_open-010065	desk-open	avail	EXIT_UNKNOWN	samples/wave2/관세청/2021/desk-open-010065.hwpx	관세청	2021	hwpx	1	9		
w2_desk_open-010066	desk-open	avail	UNAVAIL_OK	samples/wave2/검찰청/2021/desk-open-010066.hwp	검찰청	2021	hwp	0	2		
w2_desk_open-010067	desk-open	avail	UNAVAIL_LIE	samples/wave2/경찰청/2021/desk-open-010067.hwpx	경찰청	2021	hwpx	0	0		
w2_desk_open-010068	desk-open	avail	UNAVAIL_LIE	samples/wave2/소방청/2021/desk-open-010068.hwp	소방청	2021	hwp	0	1		
w2_desk_open-010069	desk-open	avail	AVAIL_RUN	samples/wave2/병무청/2021/desk-open-010069.hwpx	병무청	2021	hwpx	1	0		
w2_desk_open-010070	desk-open	avail	AVAIL_RUN	samples/wave2/산림청/2021/desk-open-010070.hwp	산림청	2021	hwp	1	3		
w2_desk_open-010071	desk-open	avail	FALSE_UNAVAIL	samples/wave2/중소벤처기업부/2021/desk-open-010071.hwpx	중소벤처기업부	2021	hwpx	1	2		
w2_desk_open-010072	desk-open	avail	EXIT_UNKNOWN	samples/wave2/과학기술정보통신부/2021/desk-open-010072.hwp	과학기술정보통신부	2021	hwp	1	9		
w2_desk_open-010073	desk-open	avail	UNAVAIL_OK	samples/wave2/문화체육관광부/2021/desk-open-010073.hwpx	문화체육관광부	2021	hwpx	0	2		
