case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_digest_input_cas-010000	digest-input-cas	cas	USAGE	samples/wave2/기획재정부/2019/digest-input-cas-010000.hwp	기획재정부	2019	hwp	1	0	zz	7bc44a2a183e138546503caf5b86eb0d32960c372352cdec98361d5cd5241f7d
w2_digest_input_cas-010001	digest-input-cas	cas	SKIP	samples/wave2/공정거래위원회/2019/digest-input-cas-010001.hwpx	공정거래위원회	2019	hwpx	0	0	2908557791c2d3eeb1efd1e4f226af721cbb68c86837d3a673ac68de338e3c18	35802b3af5c87737965031446984f702e48269ff5dea1a623495c881dcd4739c
w2_digest_input_cas-010002	digest-input-cas	cas	USAGE	samples/wave2/금융위원회/2019/digest-input-cas-010002.hwp	금융위원회	2019	hwp	1	1	a7abbd81f16f72fdfd5d28068ff5a6cf36f0d62285d3d2819d8c9c77a9f7ea75	fc9392f55a098dd4553ea6acf5fca79991b4fd3dfcf7e919c70da6f617d84718
w2_digest_input_cas-010003	digest-input-cas	cas	CAS_OK	samples/wave2/통계청/2019/digest-input-cas-010003.hwpx	통계청	2019	hwpx	1	0	ea7636cac0ced9f052bc8160a3afe06392bfc198ccc68ebda7b24fe7a7d689f3	ea7636cac0ced9f052bc8160a3afe06392bfc198ccc68ebda7b24fe7a7d689f3
w2_digest_input_cas-010004	digest-input-cas	cas	CAS_OK	samples/wave2/기상청/2019/digest-input-cas-010004.hwp	기상청	2019	hwp	1	0	98c3d9488e39ddacf3f2656ea6dae35ce8a76110c8d154ee329c4f9b1c78c537	98c3d9488e39ddacf3f2656ea6dae35ce8a76110c8d154ee329c4f9b1c78c537
w2_digest_input_cas-010005	digest-input-cas	cas	CAS_OK	samples/wave2/관세청/2019/digest-input-cas-010005.hwpx	관세청	2019	hwpx	1	0	98562ec07c439553b12206b5290395f3fc9ec69bf313b4c0439d861d056cfa0b	98562ec07c439553b12206b5290395f3fc9ec69bf313b4c0439d861d056cfa0b
w2_digest_input_cas-010006	digest-input-cas	cas	CAS_MISMATCH	samples/wave2/검찰청/2019/digest-input-cas-010006.hwp	검찰청	2019	hwp	1	0	c4220fb8898764ebbdc730eb078ac2447436c2937361cede86f6ca476288e0a0	b9d920166b40dc6079c919e0b40c6888ab719b7ad622c29637172773d73ee910
w2_digest_input_cas-010007	digest-input-cas	cas	USAGE	samples/wave2/경찰청/2019/digest-input-cas-010007.hwpx	경찰청	2019	hwpx	1	0	zz	4a89ad0601ad9b62739d6d822efd136f60c26685b5cfe80a2a04a24a68cb4f46
w2_digest_input_cas-010008	digest-input-cas	cas	SKIP	samples/wave2/소방청/2019/digest-input-cas-010008.hwp	소방청	2019	hwp	0	0	29b34e42bf23e79fa634c29551fa7115663e2529fb6f48d2940975d547d4461e	d08c0835c4936ca782eb676606e96584d07356e71182c45ec05ebe20ea1783d1
w2_digest_input_cas-010009	digest-input-cas	cas	USAGE	samples/wave2/병무청/2019/digest-input-cas-010009.hwpx	병무청	2019	hwpx	1	1	5c1fb0de52c62e124a63972e05c9b2f1e0dada9e0efd8847f656a3c62aa9c2e2	982302a64f06a98b1a463dddef049418ae4788a66400a4d849f9e6f7431b8db1
w2_digest_input_cas-010010	digest-input-cas	cas	CAS_OK	samples/wave2/산림청/2019/digest-input-cas-010010.hwp	산림청	2019	hwp	1	0	a3113fe3bf60b02a59c671686fcedb67d686bf2f23eb2d2aa16b559f2809008f	a3113fe3bf60b02a59c671686fcedb67d686bf2f23eb2d2aa16b559f2809008f
w2_digest_input_cas-010011	digest-input-cas	cas	CAS_OK	samples/wave2/중소벤처기업부/2019/digest-input-cas-010011.hwpx	중소벤처기업부	2019	hwpx	1	0	9b0ecacc201afabce79281e61f02191efb5cdff89bc974712b681847605e6c61	9b0ecacc201afabce79281e61f02191efb5cdff89bc974712b681847605e6c61
w2_digest_input_cas-010012	digest-input-cas	cas	CAS_OK	samples/wave2/과학기술정보통신부/2019/digest-input-cas-010012.hwp	과학기술정보통신부	2019	hwp	1	0	f31b3f1c0caddef8dae10a5764826082f82c7d5c2182f43544fb2f6784cd3829	f31b3f1c0caddef8dae10a5764826082f82c7d5c2182f43544fb2f6784cd3829
w2_digest_input_cas-010013	digest-input-cas	cas	CAS_MISMATCH	samples/wave2/문화체육관광부/2019/digest-input-cas-010013.hwpx	문화체육관광부	2019	hwpx	1	0	d6a317b43133db29a42c65d97340b0fe786a290d7a1c36fd8886d575736ed2ce	33cf2e8eeb62332485727b1b260042e137d74a11e118e5e2540284edff4031e1
w2_digest_input_cas-010014	digest-input-cas	cas	USAGE	samples/wave2/환경부/2019/digest-input-cas-010014.hwp	환경부	2019	hwp	1	0	zz	25fa7fd7b2a579c4dbab8ffdffc19c8dbc1614f0f53227d0e83a1f9c427550dc
w2_digest_input_cas-010015	digest-input-cas	cas	SKIP	samples/wave2/해양수산부/2019/digest-input-cas-010015.hwpx	해양수산부	2019	hwpx	0	0	4657c6e97ce6496c96e61abec065f42f5aef34daa03f21cc3f8100f81014aa2c	b2c361ccd25429a13072d7e1e2ec4afcfb10554bc3d6f2b0ce499e1866178635
