case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_doc_triage-000000	doc-triage	order	ORDER_OK	samples/wave2/법제처/2016/doc-triage-000000.hwp	법제처	2016	hwp	-1	0		
w2_doc_triage-000001	doc-triage	order	ORDER_OK	samples/wave2/행정안전부/2016/doc-triage-000001.hwpx	행정안전부	2016	hwpx	0	1		
w2_doc_triage-000002	doc-triage	order	ORDER_OK	samples/wave2/국세청/2016/doc-triage-000002.hwp	국세청	2016	hwp	1	2		
w2_doc_triage-000003	doc-triage	order	ORDER_OK	samples/wave2/대법원/2016/doc-triage-000003.hwpx	대법원	2016	hwpx	2	3		
w2_doc_triage-000004	doc-triage	order	ORDER_OK	samples/wave2/특허청/2016/doc-triage-000004.hwp	특허청	2016	hwp	3	4		
w2_doc_triage-000005	doc-triage	order	ORDER_GAP	samples/wave2/교육부/2016/doc-triage-000005.hwpx	교육부	2016	hwpx	6	5		
w2_doc_triage-000006	doc-triage	order	ORDER_GAP	samples/wave2/보건복지부/2016/doc-triage-000006.hwp	보건복지부	2016	hwp	4	6		
w2_doc_triage-000007	doc-triage	order	ORDER_OK	samples/wave2/국토교통부/2016/doc-triage-000007.hwpx	국토교통부	2016	hwpx	6	7		
w2_doc_triage-000008	doc-triage	order	ORDER_OK	samples/wave2/고용노동부/2016/doc-triage-000008.hwp	고용노동부	2016	hwp	7	8		
w2_doc_triage-000009	doc-triage	order	ORDER_OK	samples/wave2/외교부/2016/doc-triage-000009.hwpx	외교부	2016	hwpx	8	9		
w2_doc_triage-000010	doc-triage	order	ORDER_OK	samples/wave2/기획재정부/2016/doc-triage-000010.hwp	기획재정부	2016	hwp	9	10		
w2_doc_triage-000011	doc-triage	order	ORDER_OK	samples/wave2/공정거래위원회/2016/doc-triage-000011.hwpx	공정거래위원회	2016	hwpx	10	11		
w2_doc_triage-000012	doc-triage	order	ORDER_GAP	samples/wave2/금융위원회/2016/doc-triage-000012.hwp	금융위원회	2016	hwp	13	12		
w2_doc_triage-000013	doc-triage	order	ORDER_GAP	samples/wave2/통계청/2016/doc-triage-000013.hwpx	통계청	2016	hwpx	11	13		
w2_doc_triage-000014	doc-triage	order	ORDER_OK	samples/wave2/기상청/2016/doc-triage-000014.hwp	기상청	2016	hwp	13	14		
w2_doc_triage-000015	doc-triage	order	ORDER_OK	samples/wave2/관세청/2016/doc-triage-000015.hwpx	관세청	2016	hwpx	14	15		
w2_doc_triage-000016	doc-triage	order	ORDER_OK	samples/wave2/검찰청/2016/doc-triage-000016.hwp	검찰청	2016	hwp	-1	0		
w2_doc_triage-000017	doc-triage	order	ORDER_OK	samples/wave2/경찰청/2016/doc-triage-000017.hwpx	경찰청	2016	hwpx	0	1		
w2_doc_triage-000018	doc-triage	order	ORDER_OK	samples/wave2/소방청/2016/doc-triage-000018.hwp	소방청	2016	hwp	1	2		
w2_doc_triage-000019	doc-triage	order	ORDER_GAP	samples/wave2/병무청/2016/doc-triage-000019.hwpx	병무청	2016	hwpx	4	3		
w2_doc_triage-000020	doc-triage	order	ORDER_GAP	samples/wave2/산림청/2016/doc-triage-000020.hwp	산림청	2016	hwp	2	4		
w2_doc_triage-000021	doc-triage	order	ORDER_OK	samples/wave2/중소벤처기업부/2016/doc-triage-000021.hwpx	중소벤처기업부	2016	hwpx	4	5		
w2_doc_triage-000022	doc-triage	order	ORDER_OK	samples/wave2/과학기술정보통신부/2016/doc-triage-000022.hwp	과학기술정보통신부	2016	hwp	5	6		
w2_doc_triage-000023	doc-triage	order	ORDER_OK	samples/wave2/문화체육관광부/2016/doc-triage-000023.hwpx	문화체육관광부	2016	hwpx	6	7		
w2_doc_triage-000024	doc-triage	order	ORDER_OK	samples/wave2/환경부/2016/doc-triage-000024.hwp	환경부	2016	hwp	7	8		
w2_doc_triage-000025	doc-triage	order	ORDER_OK	samples/wave2/해양수산부/2016/doc-triage-000025.hwpx	해양수산부	2016	hwpx	8	9		
w2_doc_triage-000026	doc-triage	order	ORDER_GAP	samples/wave2/서울특별시/2016/doc-triage-000026.hwp	서울특별시	2016	hwp	11	10		
w2_doc_triage-000027	doc-triage	order	ORDER_GAP	samples/wave2/경기도/2016/doc-triage-000027.hwpx	경기도	2016	hwpx	9	11		
w2_doc_triage-000028	doc-triage	order	ORDER_OK	samples/wave2/부산광역시/2016/doc-triage-000028.hwp	부산광역시	2016	hwp	11	12		
w2_doc_triage-000029	doc-triage	order	ORDER_OK	samples/wave2/제주특별자치도/2016/doc-triage-000029.hwpx	제주특별자치도	2016	hwpx	12	13		
w2_doc_triage-000030	doc-triage	order	ORDER_OK	samples/wave2/법제처/2017/doc-triage-000030.hwp	법제처	2017	hwp	13	14		
w2_doc_triage-000031	doc-triage	order	ORDER_OK	samples/wave2/행정안전부/2017/doc-triage-000031.hwpx	행정안전부	2017	hwpx	14	15		
w2_doc_triage-000032	doc-triage	order	ORDER_OK	samples/wave2/국세청/2017/doc-triage-000032.hwp	국세청	2017	hwp	-1	0		
w2_doc_triage-000033	doc-triage	order	ORDER_GAP	samples/wave2/대법원/2017/doc-triage-000033.hwpx	대법원	2017	hwpx	2	1		
w2_doc_triage-000034	doc-triage	order	ORDER_GAP	samples/wave2/특허청/2017/doc-triage-000034.hwp	특허청	2017	hwp	0	2		
w2_doc_triage-000035	doc-triage	order	ORDER_OK	samples/wave2/교육부/2017/doc-triage-000035.hwpx	교육부	2017	hwpx	2	3		
w2_doc_triage-000036	doc-triage	order	ORDER_OK	samples/wave2/보건복지부/2017/doc-triage-000036.hwp	보건복지부	2017	hwp	3	4		
w2_doc_triage-000037	doc-triage	order	ORDER_OK	samples/wave2/국토교통부/2017/doc-triage-000037.hwpx	국토교통부	2017	hwpx	4	5		
w2_doc_triage-000038	doc-triage	order	ORDER_OK	samples/wave2/고용노동부/2017/doc-triage-000038.hwp	고용노동부	2017	hwp	5	6		
w2_doc_triage-000039	doc-triage	order	ORDER_OK	samples/wave2/외교부/2017/doc-triage-000039.hwpx	외교부	2017	hwpx	6	7		
w2_doc_triage-000040	doc-triage	order	ORDER_GAP	samples/wave2/기획재정부/2017/doc-triage-000040.hwp	기획재정부	2017	hwp	9	8		
w2_doc_triage-000041	doc-triage	order	ORDER_GAP	samples/wave2/공정거래위원회/2017/doc-triage-000041.hwpx	공정거래위원회	2017	hwpx	7	9		
w2_doc_triage-000042	doc-triage	order	ORDER_OK	samples/wave2/금융위원회/2017/doc-triage-000042.hwp	금융위원회	2017	hwp	9	10		
w2_doc_triage-000043	doc-triage	order	ORDER_OK	samples/wave2/통계청/2017/doc-triage-000043.hwpx	통계청	2017	hwpx	10	11		
w2_doc_triage-000044	doc-triage	order	ORDER_OK	samples/wave2/기상청/2017/doc-triage-000044.hwp	기상청	2017	hwp	11	12		
w2_doc_triage-000045	doc-triage	order	ORDER_OK	samples/wave2/관세청/2017/doc-triage-000045.hwpx	관세청	2017	hwpx	12	13		
w2_doc_triage-000046	doc-triage	order	ORDER_OK	samples/wave2/검찰청/2017/doc-triage-000046.hwp	검찰청	2017	hwp	13	14		
w2_doc_triage-000047	doc-triage	order	ORDER_GAP	samples/wave2/경찰청/2017/doc-triage-000047.hwpx	경찰청	2017	hwpx	16	15		
w2_doc_triage-000048	doc-triage	order	USAGE	samples/wave2/소방청/2017/doc-triage-000048.hwp	소방청	2017	hwp	-2	0		
w2_doc_triage-000049	doc-triage	order	ORDER_OK	samples/wave2/병무청/2017/doc-triage-000049.hwpx	병무청	2017	hwpx	0	1		
w2_doc_triage-000050	doc-triage	order	ORDER_OK	samples/wave2/산림청/2017/doc-triage-000050.hwp	산림청	2017	hwp	1	2		
w2_doc_triage-000051	doc-triage	order	ORDER_OK	samples/wave2/중소벤처기업부/2017/doc-triage-000051.hwpx	중소벤처기업부	2017	hwpx	2	3		
w2_doc_triage-000052	doc-triage	order	ORDER_OK	samples/wave2/과학기술정보통신부/2017/doc-triage-000052.hwp	과학기술정보통신부	2017	hwp	3	4		
w2_doc_triage-000053	doc-triage	order	ORDER_OK	samples/wave2/문화체육관광부/2017/doc-triage-000053.hwpx	문화체육관광부	2017	hwpx	4	5		
w2_doc_triage-000054	doc-triage	order	ORDER_GAP	samples/wave2/환경부/2017/doc-triage-000054.hwp	환경부	2017	hwp	7	6		
w2_doc_triage-000055	doc-triage	order	ORDER_GAP	samples/wave2/해양수산부/2017/doc-triage-000055.hwpx	해양수산부	2017	hwpx	5	7		
w2_doc_triage-000056	doc-triage	order	ORDER_OK	samples/wave2/서울특별시/2017/doc-triage-000056.hwp	서울특별시	2017	hwp	7	8		
w2_doc_triage-000057	doc-triage	order	ORDER_OK	samples/wave2/경기도/2017/doc-triage-000057.hwpx	경기도	2017	hwpx	8	9		
w2_doc_triage-000058	doc-triage	order	ORDER_OK	samples/wave2/부산광역시/2017/doc-triage-000058.hwp	부산광역시	2017	hwp	9	10		
w2_doc_triage-000059	doc-triage	order	ORDER_OK	samples/wave2/제주특별자치도/2017/doc-triage-000059.hwpx	제주특별자치도	2017	hwpx	10	11		
w2_doc_triage-000060	doc-triage	order	ORDER_OK	samples/wave2/법제처/2018/doc-triage-000060.hwp	법제처	2018	hwp	11	12		
w2_doc_triage-000061	doc-triage	order	ORDER_GAP	samples/wave2/행정안전부/2018/doc-triage-000061.hwpx	행정안전부	2018	hwpx	14	13		
w2_doc_triage-000062	doc-triage	order	ORDER_GAP	samples/wave2/국세청/2018/doc-triage-000062.hwp	국세청	2018	hwp	12	14		
w2_doc_triage-000063	doc-triage	order	ORDER_OK	samples/wave2/대법원/2018/doc-triage-000063.hwpx	대법원	2018	hwpx	14	15		
w2_doc_triage-000064	doc-triage	order	ORDER_OK	samples/wave2/특허청/2018/doc-triage-000064.hwp	특허청	2018	hwp	-1	0		
w2_doc_triage-000065	doc-triage	order	ORDER_OK	samples/wave2/교육부/2018/doc-triage-000065.hwpx	교육부	2018	hwpx	0	1		
w2_doc_triage-000066	doc-triage	order	ORDER_OK	samples/wave2/보건복지부/2018/doc-triage-000066.hwp	보건복지부	2018	hwp	1	2		
w2_doc_triage-000067	doc-triage	order	ORDER_OK	samples/wave2/국토교통부/2018/doc-triage-000067.hwpx	국토교통부	2018	hwpx	2	3		
w2_doc_triage-000068	doc-triage	order	ORDER_GAP	samples/wave2/고용노동부/2018/doc-triage-000068.hwp	고용노동부	2018	hwp	5	4		
w2_doc_triage-000069	doc-triage	order	ORDER_GAP	samples/wave2/외교부/2018/doc-triage-000069.hwpx	외교부	2018	hwpx	3	5		
w2_doc_triage-000070	doc-triage	order	ORDER_OK	samples/wave2/기획재정부/2018/doc-triage-000070.hwp	기획재정부	2018	hwp	5	6		
w2_doc_triage-000071	doc-triage	order	ORDER_OK	samples/wave2/공정거래위원회/2018/doc-triage-000071.hwpx	공정거래위원회	2018	hwpx	6	7		
w2_doc_triage-000072	doc-triage	order	ORDER_OK	samples/wave2/금융위원회/2018/doc-triage-000072.hwp	금융위원회	2018	hwp	7	8		
w2_doc_triage-000073	doc-triage	order	ORDER_OK	samples/wave2/통계청/2018/doc-triage-000073.hwpx	통계청	2018	hwpx	8	9		
w2_doc_triage-000074	doc-triage	order	ORDER_OK	samples/wave2/기상청/2018/doc-triage-000074.hwp	기상청	2018	hwp	9	10		
w2_doc_triage-000075	doc-triage	order	ORDER_GAP	samples/wave2/관세청/2018/doc-triage-000075.hwpx	관세청	2018	hwpx	12	11		
w2_doc_triage-000076	doc-triage	order	ORDER_GAP	samples/wave2/검찰청/2018/doc-triage-000076.hwp	검찰청	2018	hwp	10	12		
w2_doc_triage-000077	doc-triage	order	ORDER_OK	samples/wave2/경찰청/2018/doc-triage-000077.hwpx	경찰청	2018	hwpx	12	13		
w2_doc_triage-000078	doc-triage	order	ORDER_OK	samples/wave2/소방청/2018/doc-triage-000078.hwp	소방청	2018	hwp	13	14		
w2_doc_triage-000079	doc-triage	order	ORDER_OK	samples/wave2/병무청/2018/doc-triage-000079.hwpx	병무청	2018	hwpx	14	15		
w2_doc_triage-000080	doc-triage	order	ORDER_OK	samples/wave2/산림청/2018/doc-triage-000080.hwp	산림청	2018	hwp	-1	0		
w2_doc_triage-000081	doc-triage	order	ORDER_OK	samples/wave2/중소벤처기업부/2018/doc-triage-000081.hwpx	중소벤처기업부	2018	hwpx	0	1		
w2_doc_triage-000082	doc-triage	order	ORDER_GAP	samples/wave2/과학기술정보통신부/2018/doc-triage-000082.hwp	과학기술정보통신부	2018	hwp	3	2		
w2_doc_triage-000083	doc-triage	order	ORDER_GAP	samples/wave2/문화체육관광부/2018/doc-triage-000083.hwpx	문화체육관광부	2018	hwpx	1	3		
w2_doc_triage-000084	doc-triage	order	ORDER_OK	samples/wave2/환경부/2018/doc-triage-000084.hwp	환경부	2018	hwp	3	4		
w2_doc_triage-000085	doc-triage	order	ORDER_OK	samples/wave2/해양수산부/2018/doc-triage-000085.hwpx	해양수산부	2018	hwpx	4	5		
w2_doc_triage-000086	doc-triage	order	ORDER_OK	samples/wave2/서울특별시/2018/doc-triage-000086.hwp	서울특별시	2018	hwp	5	6		
w2_doc_triage-000087	doc-triage	order	ORDER_OK	samples/wave2/경기도/2018/doc-triage-000087.hwpx	경기도	2018	hwpx	6	7		
w2_doc_triage-000088	doc-triage	order	ORDER_OK	samples/wave2/부산광역시/2018/doc-triage-000088.hwp	부산광역시	2018	hwp	7	8		
w2_doc_triage-000089	doc-triage	order	ORDER_GAP	samples/wave2/제주특별자치도/2018/doc-triage-000089.hwpx	제주특별자치도	2018	hwpx	10	9		
w2_doc_triage-000090	doc-triage	order	ORDER_GAP	samples/wave2/법제처/2019/doc-triage-000090.hwp	법제처	2019	hwp	8	10		
w2_doc_triage-000091	doc-triage	order	ORDER_OK	samples/wave2/행정안전부/2019/doc-triage-000091.hwpx	행정안전부	2019	hwpx	10	11		
w2_doc_triage-000092	doc-triage	order	ORDER_OK	samples/wave2/국세청/2019/doc-triage-000092.hwp	국세청	2019	hwp	11	12		
w2_doc_triage-000093	doc-triage	order	ORDER_OK	samples/wave2/대법원/2019/doc-triage-000093.hwpx	대법원	2019	hwpx	12	13		
w2_doc_triage-000094	doc-triage	order	ORDER_OK	samples/wave2/특허청/2019/doc-triage-000094.hwp	특허청	2019	hwp	13	14		
w2_doc_triage-000095	doc-triage	order	ORDER_OK	samples/wave2/교육부/2019/doc-triage-000095.hwpx	교육부	2019	hwpx	14	15		
w2_doc_triage-000096	doc-triage	order	ORDER_GAP	samples/wave2/보건복지부/2019/doc-triage-000096.hwp	보건복지부	2019	hwp	1	0		
w2_doc_triage-000097	doc-triage	order	ORDER_GAP	samples/wave2/국토교통부/2019/doc-triage-000097.hwpx	국토교통부	2019	hwpx	-1	1		
w2_doc_triage-000098	doc-triage	order	ORDER_OK	samples/wave2/고용노동부/2019/doc-triage-000098.hwp	고용노동부	2019	hwp	1	2		
w2_doc_triage-000099	doc-triage	order	ORDER_OK	samples/wave2/외교부/2019/doc-triage-000099.hwpx	외교부	2019	hwpx	2	3		
w2_doc_triage-000100	doc-triage	order	ORDER_OK	samples/wave2/기획재정부/2019/doc-triage-000100.hwp	기획재정부	2019	hwp	3	4		
w2_doc_triage-000101	doc-triage	order	ORDER_OK	samples/wave2/공정거래위원회/2019/doc-triage-000101.hwpx	공정거래위원회	2019	hwpx	4	5		
w2_doc_triage-000102	doc-triage	order	ORDER_OK	samples/wave2/금융위원회/2019/doc-triage-000102.hwp	금융위원회	2019	hwp	5	6		
w2_doc_triage-000103	doc-triage	order	ORDER_GAP	samples/wave2/통계청/2019/doc-triage-000103.hwpx	통계청	2019	hwpx	8	7		
w2_doc_triage-000104	doc-triage	order	ORDER_GAP	samples/wave2/기상청/2019/doc-triage-000104.hwp	기상청	2019	hwp	6	8		
w2_doc_triage-000105	doc-triage	order	ORDER_OK	samples/wave2/관세청/2019/doc-triage-000105.hwpx	관세청	2019	hwpx	8	9		
w2_doc_triage-000106	doc-triage	order	ORDER_OK	samples/wave2/검찰청/2019/doc-triage-000106.hwp	검찰청	2019	hwp	9	10		
w2_doc_triage-000107	doc-triage	order	ORDER_OK	samples/wave2/경찰청/2019/doc-triage-000107.hwpx	경찰청	2019	hwpx	10	11		
w2_doc_triage-000108	doc-triage	order	ORDER_OK	samples/wave2/소방청/2019/doc-triage-000108.hwp	소방청	2019	hwp	11	12		
w2_doc_triage-000109	doc-triage	order	ORDER_OK	samples/wave2/병무청/2019/doc-triage-000109.hwpx	병무청	2019	hwpx	12	13		
w2_doc_triage-000110	doc-triage	order	ORDER_GAP	samples/wave2/산림청/2019/doc-triage-000110.hwp	산림청	2019	hwp	15	14		
w2_doc_triage-000111	doc-triage	order	ORDER_GAP	samples/wave2/중소벤처기업부/2019/doc-triage-000111.hwpx	중소벤처기업부	2019	hwpx	13	15		
w2_doc_triage-000112	doc-triage	order	ORDER_OK	samples/wave2/과학기술정보통신부/2019/doc-triage-000112.hwp	과학기술정보통신부	2019	hwp	-1	0		
w2_doc_triage-000113	doc-triage	order	ORDER_OK	samples/wave2/문화체육관광부/2019/doc-triage-000113.hwpx	문화체육관광부	2019	hwpx	0	1		
w2_doc_triage-000114	doc-triage	order	ORDER_OK	samples/wave2/환경부/2019/doc-triage-000114.hwp	환경부	2019	hwp	1	2		
w2_doc_triage-000115	doc-triage	order	ORDER_OK	samples/wave2/해양수산부/2019/doc-triage-000115.hwpx	해양수산부	2019	hwpx	2	3		
w2_doc_triage-000116	doc-triage	order	ORDER_OK	samples/wave2/서울특별시/2019/doc-triage-000116.hwp	서울특별시	2019	hwp	3	4		
w2_doc_triage-000117	doc-triage	order	ORDER_GAP	samples/wave2/경기도/2019/doc-triage-000117.hwpx	경기도	2019	hwpx	6	5		
w2_doc_triage-000118	doc-triage	order	ORDER_GAP	samples/wave2/부산광역시/2019/doc-triage-000118.hwp	부산광역시	2019	hwp	4	6		
w2_doc_triage-000119	doc-triage	order	ORDER_OK	samples/wave2/제주특별자치도/2019/doc-triage-000119.hwpx	제주특별자치도	2019	hwpx	6	7		
w2_doc_triage-000120	doc-triage	order	ORDER_OK	samples/wave2/법제처/2020/doc-triage-000120.hwp	법제처	2020	hwp	7	8		
w2_doc_triage-000121	doc-triage	order	ORDER_OK	samples/wave2/행정안전부/2020/doc-triage-000121.hwpx	행정안전부	2020	hwpx	8	9		
w2_doc_triage-000122	doc-triage	order	ORDER_OK	samples/wave2/국세청/2020/doc-triage-000122.hwp	국세청	2020	hwp	9	10		
w2_doc_triage-000123	doc-triage	order	ORDER_OK	samples/wave2/대법원/2020/doc-triage-000123.hwpx	대법원	2020	hwpx	10	11		
w2_doc_triage-000124	doc-triage	order	ORDER_GAP	samples/wave2/특허청/2020/doc-triage-000124.hwp	특허청	2020	hwp	13	12		
w2_doc_triage-000125	doc-triage	order	ORDER_GAP	samples/wave2/교육부/2020/doc-triage-000125.hwpx	교육부	2020	hwpx	11	13		
w2_doc_triage-000126	doc-triage	order	ORDER_OK	samples/wave2/보건복지부/2020/doc-triage-000126.hwp	보건복지부	2020	hwp	13	14		
w2_doc_triage-000127	doc-triage	order	ORDER_OK	samples/wave2/국토교통부/2020/doc-triage-000127.hwpx	국토교통부	2020	hwpx	14	15		
w2_doc_triage-000128	doc-triage	order	ORDER_OK	samples/wave2/고용노동부/2020/doc-triage-000128.hwp	고용노동부	2020	hwp	-1	0		
w2_doc_triage-000129	doc-triage	order	ORDER_OK	samples/wave2/외교부/2020/doc-triage-000129.hwpx	외교부	2020	hwpx	0	1		
w2_doc_triage-000130	doc-triage	order	ORDER_OK	samples/wave2/기획재정부/2020/doc-triage-000130.hwp	기획재정부	2020	hwp	1	2		
w2_doc_triage-000131	doc-triage	order	ORDER_GAP	samples/wave2/공정거래위원회/2020/doc-triage-000131.hwpx	공정거래위원회	2020	hwpx	4	3		
w2_doc_triage-000132	doc-triage	order	ORDER_GAP	samples/wave2/금융위원회/2020/doc-triage-000132.hwp	금융위원회	2020	hwp	2	4		
w2_doc_triage-000133	doc-triage	order	ORDER_OK	samples/wave2/통계청/2020/doc-triage-000133.hwpx	통계청	2020	hwpx	4	5		
w2_doc_triage-000134	doc-triage	order	ORDER_OK	samples/wave2/기상청/2020/doc-triage-000134.hwp	기상청	2020	hwp	5	6		
w2_doc_triage-000135	doc-triage	order	ORDER_OK	samples/wave2/관세청/2020/doc-triage-000135.hwpx	관세청	2020	hwpx	6	7		
w2_doc_triage-000136	doc-triage	order	ORDER_OK	samples/wave2/검찰청/2020/doc-triage-000136.hwp	검찰청	2020	hwp	7	8		
w2_doc_triage-000137	doc-triage	order	ORDER_OK	samples/wave2/경찰청/2020/doc-triage-000137.hwpx	경찰청	2020	hwpx	8	9		
w2_doc_triage-000138	doc-triage	order	ORDER_GAP	samples/wave2/소방청/2020/doc-triage-000138.hwp	소방청	2020	hwp	11	10		
w2_doc_triage-000139	doc-triage	order	ORDER_GAP	samples/wave2/병무청/2020/doc-triage-000139.hwpx	병무청	2020	hwpx	9	11		
w2_doc_triage-000140	doc-triage	order	ORDER_OK	samples/wave2/산림청/2020/doc-triage-000140.hwp	산림청	2020	hwp	11	12		
w2_doc_triage-000141	doc-triage	order	ORDER_OK	samples/wave2/중소벤처기업부/2020/doc-triage-000141.hwpx	중소벤처기업부	2020	hwpx	12	13		
w2_doc_triage-000142	doc-triage	order	ORDER_OK	samples/wave2/과학기술정보통신부/2020/doc-triage-000142.hwp	과학기술정보통신부	2020	hwp	13	14		
w2_doc_triage-000143	doc-triage	order	ORDER_OK	samples/wave2/문화체육관광부/2020/doc-triage-000143.hwpx	문화체육관광부	2020	hwpx	14	15		
w2_doc_triage-000144	doc-triage	order	ORDER_OK	samples/wave2/환경부/2020/doc-triage-000144.hwp	환경부	2020	hwp	-1	0		
w2_doc_triage-000145	doc-triage	order	ORDER_GAP	samples/wave2/해양수산부/2020/doc-triage-000145.hwpx	해양수산부	2020	hwpx	2	1		
w2_doc_triage-000146	doc-triage	order	ORDER_GAP	samples/wave2/서울특별시/2020/doc-triage-000146.hwp	서울특별시	2020	hwp	0	2		
w2_doc_triage-000147	doc-triage	order	ORDER_OK	samples/wave2/경기도/2020/doc-triage-000147.hwpx	경기도	2020	hwpx	2	3		
w2_doc_triage-000148	doc-triage	order	ORDER_OK	samples/wave2/부산광역시/2020/doc-triage-000148.hwp	부산광역시	2020	hwp	3	4		
w2_doc_triage-000149	doc-triage	order	ORDER_OK	samples/wave2/제주특별자치도/2020/doc-triage-000149.hwpx	제주특별자치도	2020	hwpx	4	5		
w2_doc_triage-000150	doc-triage	order	ORDER_OK	samples/wave2/법제처/2021/doc-triage-000150.hwp	법제처	2021	hwp	5	6		
w2_doc_triage-000151	doc-triage	order	ORDER_OK	samples/wave2/행정안전부/2021/doc-triage-000151.hwpx	행정안전부	2021	hwpx	6	7		
w2_doc_triage-000152	doc-triage	order	ORDER_GAP	samples/wave2/국세청/2021/doc-triage-000152.hwp	국세청	2021	hwp	9	8		
w2_doc_triage-000153	doc-triage	order	ORDER_GAP	samples/wave2/대법원/2021/doc-triage-000153.hwpx	대법원	2021	hwpx	7	9		
w2_doc_triage-000154	doc-triage	order	ORDER_OK	samples/wave2/특허청/2021/doc-triage-000154.hwp	특허청	2021	hwp	9	10		
w2_doc_triage-000155	doc-triage	order	ORDER_OK	samples/wave2/교육부/2021/doc-triage-000155.hwpx	교육부	2021	hwpx	10	11		
w2_doc_triage-000156	doc-triage	order	ORDER_OK	samples/wave2/보건복지부/2021/doc-triage-000156.hwp	보건복지부	2021	hwp	11	12		
w2_doc_triage-000157	doc-triage	order	ORDER_OK	samples/wave2/국토교통부/2021/doc-triage-000157.hwpx	국토교통부	2021	hwpx	12	13		
w2_doc_triage-000158	doc-triage	order	ORDER_OK	samples/wave2/고용노동부/2021/doc-triage-000158.hwp	고용노동부	2021	hwp	13	14		
w2_doc_triage-000159	doc-triage	order	ORDER_GAP	samples/wave2/외교부/2021/doc-triage-000159.hwpx	외교부	2021	hwpx	16	15		
w2_doc_triage-000160	doc-triage	order	USAGE	samples/wave2/기획재정부/2021/doc-triage-000160.hwp	기획재정부	2021	hwp	-2	0		
