case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_docdiff_page-000000	docdiff-page	diff	DIFF_OK	samples/wave2/법제처/2016/docdiff-page-000000.hwp	법제처	2016	hwp	0	0		
w2_docdiff_page-000001	docdiff-page	diff	DIFF_OK	samples/wave2/행정안전부/2016/docdiff-page-000001.hwpx	행정안전부	2016	hwpx	1	1		
w2_docdiff_page-000002	docdiff-page	diff	DIFF_OK	samples/wave2/국세청/2016/docdiff-page-000002.hwp	국세청	2016	hwp	2	2		
w2_docdiff_page-000003	docdiff-page	diff	DIFF_OK	samples/wave2/대법원/2016/docdiff-page-000003.hwpx	대법원	2016	hwpx	3	3		
w2_docdiff_page-000004	docdiff-page	diff	DIFF_OK	samples/wave2/특허청/2016/docdiff-page-000004.hwp	특허청	2016	hwp	4	4		
w2_docdiff_page-000005	docdiff-page	diff	COUNT_DRIFT	samples/wave2/교육부/2016/docdiff-page-000005.hwpx	교육부	2016	hwpx	6	5		
w2_docdiff_page-000006	docdiff-page	diff	COUNT_DRIFT	samples/wave2/보건복지부/2016/docdiff-page-000006.hwp	보건복지부	2016	hwp	7	6		
w2_docdiff_page-000007	docdiff-page	diff	DIFF_OK	samples/wave2/국토교통부/2016/docdiff-page-000007.hwpx	국토교통부	2016	hwpx	7	7		
w2_docdiff_page-000008	docdiff-page	diff	DIFF_OK	samples/wave2/고용노동부/2016/docdiff-page-000008.hwp	고용노동부	2016	hwp	8	8		
w2_docdiff_page-000009	docdiff-page	diff	DIFF_OK	samples/wave2/외교부/2016/docdiff-page-000009.hwpx	외교부	2016	hwpx	9	9		
w2_docdiff_page-000010	docdiff-page	diff	DIFF_OK	samples/wave2/기획재정부/2016/docdiff-page-000010.hwp	기획재정부	2016	hwp	10	10		
w2_docdiff_page-000011	docdiff-page	diff	DIFF_OK	samples/wave2/공정거래위원회/2016/docdiff-page-000011.hwpx	공정거래위원회	2016	hwpx	11	11		
w2_docdiff_page-000012	docdiff-page	diff	COUNT_DRIFT	samples/wave2/금융위원회/2016/docdiff-page-000012.hwp	금융위원회	2016	hwp	13	12		
w2_docdiff_page-000013	docdiff-page	diff	COUNT_DRIFT	samples/wave2/통계청/2016/docdiff-page-000013.hwpx	통계청	2016	hwpx	14	13		
w2_docdiff_page-000014	docdiff-page	diff	DIFF_OK	samples/wave2/기상청/2016/docdiff-page-000014.hwp	기상청	2016	hwp	14	14		
w2_docdiff_page-000015	docdiff-page	diff	DIFF_OK	samples/wave2/관세청/2016/docdiff-page-000015.hwpx	관세청	2016	hwpx	15	15		
w2_docdiff_page-000016	docdiff-page	diff	DIFF_OK	samples/wave2/검찰청/2016/docdiff-page-000016.hwp	검찰청	2016	hwp	16	16		
w2_docdiff_page-000017	docdiff-page	diff	DIFF_OK	samples/wave2/경찰청/2016/docdiff-page-000017.hwpx	경찰청	2016	hwpx	17	17		
w2_docdiff_page-000018	docdiff-page	diff	DIFF_OK	samples/wave2/소방청/2016/docdiff-page-000018.hwp	소방청	2016	hwp	18	18		
w2_docdiff_page-000019	docdiff-page	diff	COUNT_DRIFT	samples/wave2/병무청/2016/docdiff-page-000019.hwpx	병무청	2016	hwpx	20	19		
w2_docdiff_page-000020	docdiff-page	diff	COUNT_DRIFT	samples/wave2/산림청/2016/docdiff-page-000020.hwp	산림청	2016	hwp	1	0		
w2_docdiff_page-000021	docdiff-page	diff	DIFF_OK	samples/wave2/중소벤처기업부/2016/docdiff-page-000021.hwpx	중소벤처기업부	2016	hwpx	1	1		
w2_docdiff_page-000022	docdiff-page	diff	DIFF_OK	samples/wave2/과학기술정보통신부/2016/docdiff-page-000022.hwp	과학기술정보통신부	2016	hwp	2	2		
w2_docdiff_page-000023	docdiff-page	diff	DIFF_OK	samples/wave2/문화체육관광부/2016/docdiff-page-000023.hwpx	문화체육관광부	2016	hwpx	3	3		
w2_docdiff_page-000024	docdiff-page	diff	DIFF_OK	samples/wave2/환경부/2016/docdiff-page-000024.hwp	환경부	2016	hwp	4	4		
w2_docdiff_page-000025	docdiff-page	diff	DIFF_OK	samples/wave2/해양수산부/2016/docdiff-page-000025.hwpx	해양수산부	2016	hwpx	5	5		
w2_docdiff_page-000026	docdiff-page	diff	COUNT_DRIFT	samples/wave2/서울특별시/2016/docdiff-page-000026.hwp	서울특별시	2016	hwp	7	6		
w2_docdiff_page-000027	docdiff-page	diff	COUNT_DRIFT	samples/wave2/경기도/2016/docdiff-page-000027.hwpx	경기도	2016	hwpx	8	7		
w2_docdiff_page-000028	docdiff-page	diff	DIFF_OK	samples/wave2/부산광역시/2016/docdiff-page-000028.hwp	부산광역시	2016	hwp	8	8		
w2_docdiff_page-000029	docdiff-page	diff	DIFF_OK	samples/wave2/제주특별자치도/2016/docdiff-page-000029.hwpx	제주특별자치도	2016	hwpx	9	9		
w2_docdiff_page-000030	docdiff-page	diff	DIFF_OK	samples/wave2/법제처/2017/docdiff-page-000030.hwp	법제처	2017	hwp	10	10		
w2_docdiff_page-000031	docdiff-page	diff	DIFF_OK	samples/wave2/행정안전부/2017/docdiff-page-000031.hwpx	행정안전부	2017	hwpx	11	11		
w2_docdiff_page-000032	docdiff-page	diff	DIFF_OK	samples/wave2/국세청/2017/docdiff-page-000032.hwp	국세청	2017	hwp	12	12		
w2_docdiff_page-000033	docdiff-page	diff	COUNT_DRIFT	samples/wave2/대법원/2017/docdiff-page-000033.hwpx	대법원	2017	hwpx	14	13		
w2_docdiff_page-000034	docdiff-page	diff	COUNT_DRIFT	samples/wave2/특허청/2017/docdiff-page-000034.hwp	특허청	2017	hwp	15	14		
w2_docdiff_page-000035	docdiff-page	diff	DIFF_OK	samples/wave2/교육부/2017/docdiff-page-000035.hwpx	교육부	2017	hwpx	15	15		
w2_docdiff_page-000036	docdiff-page	diff	DIFF_OK	samples/wave2/보건복지부/2017/docdiff-page-000036.hwp	보건복지부	2017	hwp	16	16		
w2_docdiff_page-000037	docdiff-page	diff	DIFF_OK	samples/wave2/국토교통부/2017/docdiff-page-000037.hwpx	국토교통부	2017	hwpx	17	17		
w2_docdiff_page-000038	docdiff-page	diff	DIFF_OK	samples/wave2/고용노동부/2017/docdiff-page-000038.hwp	고용노동부	2017	hwp	18	18		
w2_docdiff_page-000039	docdiff-page	diff	DIFF_OK	samples/wave2/외교부/2017/docdiff-page-000039.hwpx	외교부	2017	hwpx	19	19		
w2_docdiff_page-000040	docdiff-page	diff	COUNT_DRIFT	samples/wave2/기획재정부/2017/docdiff-page-000040.hwp	기획재정부	2017	hwp	1	0		
w2_docdiff_page-000041	docdiff-page	diff	COUNT_DRIFT	samples/wave2/공정거래위원회/2017/docdiff-page-000041.hwpx	공정거래위원회	2017	hwpx	2	1		
w2_docdiff_page-000042	docdiff-page	diff	DIFF_OK	samples/wave2/금융위원회/2017/docdiff-page-000042.hwp	금융위원회	2017	hwp	2	2		
w2_docdiff_page-000043	docdiff-page	diff	DIFF_OK	samples/wave2/통계청/2017/docdiff-page-000043.hwpx	통계청	2017	hwpx	3	3		
w2_docdiff_page-000044	docdiff-page	diff	DIFF_OK	samples/wave2/기상청/2017/docdiff-page-000044.hwp	기상청	2017	hwp	4	4		
w2_docdiff_page-000045	docdiff-page	diff	DIFF_OK	samples/wave2/관세청/2017/docdiff-page-000045.hwpx	관세청	2017	hwpx	5	5		
w2_docdiff_page-000046	docdiff-page	diff	DIFF_OK	samples/wave2/검찰청/2017/docdiff-page-000046.hwp	검찰청	2017	hwp	6	6		
w2_docdiff_page-000047	docdiff-page	diff	COUNT_DRIFT	samples/wave2/경찰청/2017/docdiff-page-000047.hwpx	경찰청	2017	hwpx	8	7		
w2_docdiff_page-000048	docdiff-page	diff	COUNT_DRIFT	samples/wave2/소방청/2017/docdiff-page-000048.hwp	소방청	2017	hwp	9	8		
w2_docdiff_page-000049	docdiff-page	diff	DIFF_OK	samples/wave2/병무청/2017/docdiff-page-000049.hwpx	병무청	2017	hwpx	9	9		
w2_docdiff_page-000050	docdiff-page	diff	DIFF_OK	samples/wave2/산림청/2017/docdiff-page-000050.hwp	산림청	2017	hwp	10	10		
w2_docdiff_page-000051	docdiff-page	diff	DIFF_OK	samples/wave2/중소벤처기업부/2017/docdiff-page-000051.hwpx	중소벤처기업부	2017	hwpx	11	11		
w2_docdiff_page-000052	docdiff-page	diff	DIFF_OK	samples/wave2/과학기술정보통신부/2017/docdiff-page-000052.hwp	과학기술정보통신부	2017	hwp	12	12		
w2_docdiff_page-000053	docdiff-page	diff	DIFF_OK	samples/wave2/문화체육관광부/2017/docdiff-page-000053.hwpx	문화체육관광부	2017	hwpx	13	13		
w2_docdiff_page-000054	docdiff-page	diff	COUNT_DRIFT	samples/wave2/환경부/2017/docdiff-page-000054.hwp	환경부	2017	hwp	15	14		
w2_docdiff_page-000055	docdiff-page	diff	COUNT_DRIFT	samples/wave2/해양수산부/2017/docdiff-page-000055.hwpx	해양수산부	2017	hwpx	16	15		
w2_docdiff_page-000056	docdiff-page	diff	DIFF_OK	samples/wave2/서울특별시/2017/docdiff-page-000056.hwp	서울특별시	2017	hwp	16	16		
w2_docdiff_page-000057	docdiff-page	diff	DIFF_OK	samples/wave2/경기도/2017/docdiff-page-000057.hwpx	경기도	2017	hwpx	17	17		
w2_docdiff_page-000058	docdiff-page	diff	DIFF_OK	samples/wave2/부산광역시/2017/docdiff-page-000058.hwp	부산광역시	2017	hwp	18	18		
w2_docdiff_page-000059	docdiff-page	diff	DIFF_OK	samples/wave2/제주특별자치도/2017/docdiff-page-000059.hwpx	제주특별자치도	2017	hwpx	19	19		
w2_docdiff_page-000060	docdiff-page	diff	DIFF_OK	samples/wave2/법제처/2018/docdiff-page-000060.hwp	법제처	2018	hwp	0	0		
w2_docdiff_page-000061	docdiff-page	diff	COUNT_DRIFT	samples/wave2/행정안전부/2018/docdiff-page-000061.hwpx	행정안전부	2018	hwpx	2	1		
w2_docdiff_page-000062	docdiff-page	diff	COUNT_DRIFT	samples/wave2/국세청/2018/docdiff-page-000062.hwp	국세청	2018	hwp	3	2		
w2_docdiff_page-000063	docdiff-page	diff	DIFF_OK	samples/wave2/대법원/2018/docdiff-page-000063.hwpx	대법원	2018	hwpx	3	3		
w2_docdiff_page-000064	docdiff-page	diff	DIFF_OK	samples/wave2/특허청/2018/docdiff-page-000064.hwp	특허청	2018	hwp	4	4		
w2_docdiff_page-000065	docdiff-page	diff	DIFF_OK	samples/wave2/교육부/2018/docdiff-page-000065.hwpx	교육부	2018	hwpx	5	5		
