case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_apply_cell_style-015000	edit-apply-cell-style	coord	COORD_OOB	samples/wave2/법제처/2021/edit-apply-cell-style-015000.hwp	법제처	2021	hwp	2	7	2	6
w2_edit_apply_cell_style-015001	edit-apply-cell-style	coord	COORD_OK	samples/wave2/행정안전부/2021/edit-apply-cell-style-015001.hwpx	행정안전부	2021	hwpx	1	2	3	6
w2_edit_apply_cell_style-015002	edit-apply-cell-style	coord	COORD_OK	samples/wave2/국세청/2021/edit-apply-cell-style-015002.hwp	국세청	2021	hwp	2	2	4	7
w2_edit_apply_cell_style-015003	edit-apply-cell-style	coord	COORD_OK	samples/wave2/대법원/2021/edit-apply-cell-style-015003.hwpx	대법원	2021	hwpx	3	3	5	7
w2_edit_apply_cell_style-015004	edit-apply-cell-style	coord	COORD_OK	samples/wave2/특허청/2021/edit-apply-cell-style-015004.hwp	특허청	2021	hwp	4	1	6	8
w2_edit_apply_cell_style-015005	edit-apply-cell-style	coord	COORD_OK	samples/wave2/교육부/2021/edit-apply-cell-style-015005.hwpx	교육부	2021	hwpx	4	1	7	8
w2_edit_apply_cell_style-015006	edit-apply-cell-style	coord	COORD_OOB	samples/wave2/보건복지부/2021/edit-apply-cell-style-015006.hwp	보건복지부	2021	hwp	9	7	8	9
w2_edit_apply_cell_style-015007	edit-apply-cell-style	coord	COORD_OOB	samples/wave2/국토교통부/2021/edit-apply-cell-style-015007.hwpx	국토교통부	2021	hwpx	9	10	9	9
w2_edit_apply_cell_style-015008	edit-apply-cell-style	coord	COORD_OK	samples/wave2/고용노동부/2021/edit-apply-cell-style-015008.hwp	고용노동부	2021	hwp	8	0	10	2
w2_edit_apply_cell_style-015009	edit-apply-cell-style	coord	COORD_OK	samples/wave2/외교부/2021/edit-apply-cell-style-015009.hwpx	외교부	2021	hwpx	5	1	11	2
w2_edit_apply_cell_style-015010	edit-apply-cell-style	coord	COORD_OK	samples/wave2/기획재정부/2021/edit-apply-cell-style-015010.hwp	기획재정부	2021	hwp	0	2	2	3
