case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_apply_char_format-010000	edit-apply-char-format	reread	REREAD_OK	samples/wave2/기획재정부/2019/edit-apply-char-format-010000.hwp	기획재정부	2019	hwp	1	2	2	
w2_edit_apply_char_format-010001	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/공정거래위원회/2019/edit-apply-char-format-010001.hwpx	공정거래위원회	2019	hwpx	1	3	4	
w2_edit_apply_char_format-010002	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/금융위원회/2019/edit-apply-char-format-010002.hwp	금융위원회	2019	hwp	0	4	5	
w2_edit_apply_char_format-010003	edit-apply-char-format	reread	REREAD_OK	samples/wave2/통계청/2019/edit-apply-char-format-010003.hwpx	통계청	2019	hwpx	1	5	5	
w2_edit_apply_char_format-010004	edit-apply-char-format	reread	REREAD_OK	samples/wave2/기상청/2019/edit-apply-char-format-010004.hwp	기상청	2019	hwp	1	6	6	
w2_edit_apply_char_format-010005	edit-apply-char-format	reread	REREAD_OK	samples/wave2/관세청/2019/edit-apply-char-format-010005.hwpx	관세청	2019	hwpx	1	7	7	
w2_edit_apply_char_format-010006	edit-apply-char-format	reread	REREAD_OK	samples/wave2/검찰청/2019/edit-apply-char-format-010006.hwp	검찰청	2019	hwp	1	8	8	
w2_edit_apply_char_format-010007	edit-apply-char-format	reread	REREAD_OK	samples/wave2/경찰청/2019/edit-apply-char-format-010007.hwpx	경찰청	2019	hwpx	1	9	9	
w2_edit_apply_char_format-010008	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/소방청/2019/edit-apply-char-format-010008.hwp	소방청	2019	hwp	1	1	2	
w2_edit_apply_char_format-010009	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/병무청/2019/edit-apply-char-format-010009.hwpx	병무청	2019	hwpx	0	2	3	
w2_edit_apply_char_format-010010	edit-apply-char-format	reread	REREAD_OK	samples/wave2/산림청/2019/edit-apply-char-format-010010.hwp	산림청	2019	hwp	1	3	3	
w2_edit_apply_char_format-010011	edit-apply-char-format	reread	REREAD_OK	samples/wave2/중소벤처기업부/2019/edit-apply-char-format-010011.hwpx	중소벤처기업부	2019	hwpx	1	4	4	
w2_edit_apply_char_format-010012	edit-apply-char-format	reread	REREAD_OK	samples/wave2/과학기술정보통신부/2019/edit-apply-char-format-010012.hwp	과학기술정보통신부	2019	hwp	1	5	5	
w2_edit_apply_char_format-010013	edit-apply-char-format	reread	REREAD_OK	samples/wave2/문화체육관광부/2019/edit-apply-char-format-010013.hwpx	문화체육관광부	2019	hwpx	1	6	6	
w2_edit_apply_char_format-010014	edit-apply-char-format	reread	REREAD_OK	samples/wave2/환경부/2019/edit-apply-char-format-010014.hwp	환경부	2019	hwp	1	7	7	
w2_edit_apply_char_format-010015	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/해양수산부/2019/edit-apply-char-format-010015.hwpx	해양수산부	2019	hwpx	1	8	9	
w2_edit_apply_char_format-010016	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/서울특별시/2019/edit-apply-char-format-010016.hwp	서울특별시	2019	hwp	0	9	10	
w2_edit_apply_char_format-010017	edit-apply-char-format	reread	REREAD_OK	samples/wave2/경기도/2019/edit-apply-char-format-010017.hwpx	경기도	2019	hwpx	1	1	1	
w2_edit_apply_char_format-010018	edit-apply-char-format	reread	REREAD_OK	samples/wave2/부산광역시/2019/edit-apply-char-format-010018.hwp	부산광역시	2019	hwp	1	2	2	
w2_edit_apply_char_format-010019	edit-apply-char-format	reread	REREAD_OK	samples/wave2/제주특별자치도/2019/edit-apply-char-format-010019.hwpx	제주특별자치도	2019	hwpx	1	3	3	
w2_edit_apply_char_format-010020	edit-apply-char-format	reread	REREAD_OK	samples/wave2/법제처/2020/edit-apply-char-format-010020.hwp	법제처	2020	hwp	1	4	4	
w2_edit_apply_char_format-010021	edit-apply-char-format	reread	REREAD_OK	samples/wave2/행정안전부/2020/edit-apply-char-format-010021.hwpx	행정안전부	2020	hwpx	1	5	5	
w2_edit_apply_char_format-010022	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/국세청/2020/edit-apply-char-format-010022.hwp	국세청	2020	hwp	1	6	7	
w2_edit_apply_char_format-010023	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/대법원/2020/edit-apply-char-format-010023.hwpx	대법원	2020	hwpx	0	7	8	
w2_edit_apply_char_format-010024	edit-apply-char-format	reread	REREAD_OK	samples/wave2/특허청/2020/edit-apply-char-format-010024.hwp	특허청	2020	hwp	1	8	8	
w2_edit_apply_char_format-010025	edit-apply-char-format	reread	REREAD_OK	samples/wave2/교육부/2020/edit-apply-char-format-010025.hwpx	교육부	2020	hwpx	1	9	9	
w2_edit_apply_char_format-010026	edit-apply-char-format	reread	REREAD_OK	samples/wave2/보건복지부/2020/edit-apply-char-format-010026.hwp	보건복지부	2020	hwp	1	1	1	
w2_edit_apply_char_format-010027	edit-apply-char-format	reread	REREAD_OK	samples/wave2/국토교통부/2020/edit-apply-char-format-010027.hwpx	국토교통부	2020	hwpx	1	2	2	
w2_edit_apply_char_format-010028	edit-apply-char-format	reread	REREAD_OK	samples/wave2/고용노동부/2020/edit-apply-char-format-010028.hwp	고용노동부	2020	hwp	1	3	3	
w2_edit_apply_char_format-010029	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/외교부/2020/edit-apply-char-format-010029.hwpx	외교부	2020	hwpx	1	4	5	
w2_edit_apply_char_format-010030	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/기획재정부/2020/edit-apply-char-format-010030.hwp	기획재정부	2020	hwp	0	5	6	
w2_edit_apply_char_format-010031	edit-apply-char-format	reread	REREAD_OK	samples/wave2/공정거래위원회/2020/edit-apply-char-format-010031.hwpx	공정거래위원회	2020	hwpx	1	6	6	
w2_edit_apply_char_format-010032	edit-apply-char-format	reread	REREAD_OK	samples/wave2/금융위원회/2020/edit-apply-char-format-010032.hwp	금융위원회	2020	hwp	1	7	7	
w2_edit_apply_char_format-010033	edit-apply-char-format	reread	REREAD_OK	samples/wave2/통계청/2020/edit-apply-char-format-010033.hwpx	통계청	2020	hwpx	1	8	8	
w2_edit_apply_char_format-010034	edit-apply-char-format	reread	REREAD_OK	samples/wave2/기상청/2020/edit-apply-char-format-010034.hwp	기상청	2020	hwp	1	9	9	
w2_edit_apply_char_format-010035	edit-apply-char-format	reread	REREAD_OK	samples/wave2/관세청/2020/edit-apply-char-format-010035.hwpx	관세청	2020	hwpx	1	1	1	
w2_edit_apply_char_format-010036	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/검찰청/2020/edit-apply-char-format-010036.hwp	검찰청	2020	hwp	1	2	3	
w2_edit_apply_char_format-010037	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/경찰청/2020/edit-apply-char-format-010037.hwpx	경찰청	2020	hwpx	0	3	4	
w2_edit_apply_char_format-010038	edit-apply-char-format	reread	REREAD_OK	samples/wave2/소방청/2020/edit-apply-char-format-010038.hwp	소방청	2020	hwp	1	4	4	
w2_edit_apply_char_format-010039	edit-apply-char-format	reread	REREAD_OK	samples/wave2/병무청/2020/edit-apply-char-format-010039.hwpx	병무청	2020	hwpx	1	5	5	
w2_edit_apply_char_format-010040	edit-apply-char-format	reread	REREAD_OK	samples/wave2/산림청/2020/edit-apply-char-format-010040.hwp	산림청	2020	hwp	1	6	6	
w2_edit_apply_char_format-010041	edit-apply-char-format	reread	REREAD_OK	samples/wave2/중소벤처기업부/2020/edit-apply-char-format-010041.hwpx	중소벤처기업부	2020	hwpx	1	7	7	
w2_edit_apply_char_format-010042	edit-apply-char-format	reread	REREAD_OK	samples/wave2/과학기술정보통신부/2020/edit-apply-char-format-010042.hwp	과학기술정보통신부	2020	hwp	1	8	8	
w2_edit_apply_char_format-010043	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/문화체육관광부/2020/edit-apply-char-format-010043.hwpx	문화체육관광부	2020	hwpx	1	9	10	
w2_edit_apply_char_format-010044	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/환경부/2020/edit-apply-char-format-010044.hwp	환경부	2020	hwp	0	1	2	
w2_edit_apply_char_format-010045	edit-apply-char-format	reread	REREAD_OK	samples/wave2/해양수산부/2020/edit-apply-char-format-010045.hwpx	해양수산부	2020	hwpx	1	2	2	
w2_edit_apply_char_format-010046	edit-apply-char-format	reread	REREAD_OK	samples/wave2/서울특별시/2020/edit-apply-char-format-010046.hwp	서울특별시	2020	hwp	1	3	3	
w2_edit_apply_char_format-010047	edit-apply-char-format	reread	REREAD_OK	samples/wave2/경기도/2020/edit-apply-char-format-010047.hwpx	경기도	2020	hwpx	1	4	4	
w2_edit_apply_char_format-010048	edit-apply-char-format	reread	REREAD_OK	samples/wave2/부산광역시/2020/edit-apply-char-format-010048.hwp	부산광역시	2020	hwp	1	5	5	
w2_edit_apply_char_format-010049	edit-apply-char-format	reread	REREAD_OK	samples/wave2/제주특별자치도/2020/edit-apply-char-format-010049.hwpx	제주특별자치도	2020	hwpx	1	6	6	
w2_edit_apply_char_format-010050	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/법제처/2021/edit-apply-char-format-010050.hwp	법제처	2021	hwp	1	7	8	
w2_edit_apply_char_format-010051	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/행정안전부/2021/edit-apply-char-format-010051.hwpx	행정안전부	2021	hwpx	0	8	9	
w2_edit_apply_char_format-010052	edit-apply-char-format	reread	REREAD_OK	samples/wave2/국세청/2021/edit-apply-char-format-010052.hwp	국세청	2021	hwp	1	9	9	
w2_edit_apply_char_format-010053	edit-apply-char-format	reread	REREAD_OK	samples/wave2/대법원/2021/edit-apply-char-format-010053.hwpx	대법원	2021	hwpx	1	1	1	
w2_edit_apply_char_format-010054	edit-apply-char-format	reread	REREAD_OK	samples/wave2/특허청/2021/edit-apply-char-format-010054.hwp	특허청	2021	hwp	1	2	2	
w2_edit_apply_char_format-010055	edit-apply-char-format	reread	REREAD_OK	samples/wave2/교육부/2021/edit-apply-char-format-010055.hwpx	교육부	2021	hwpx	1	3	3	
w2_edit_apply_char_format-010056	edit-apply-char-format	reread	REREAD_OK	samples/wave2/보건복지부/2021/edit-apply-char-format-010056.hwp	보건복지부	2021	hwp	1	4	4	
w2_edit_apply_char_format-010057	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/국토교통부/2021/edit-apply-char-format-010057.hwpx	국토교통부	2021	hwpx	1	5	6	
w2_edit_apply_char_format-010058	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/고용노동부/2021/edit-apply-char-format-010058.hwp	고용노동부	2021	hwp	0	6	7	
w2_edit_apply_char_format-010059	edit-apply-char-format	reread	REREAD_OK	samples/wave2/외교부/2021/edit-apply-char-format-010059.hwpx	외교부	2021	hwpx	1	7	7	
w2_edit_apply_char_format-010060	edit-apply-char-format	reread	REREAD_OK	samples/wave2/기획재정부/2021/edit-apply-char-format-010060.hwp	기획재정부	2021	hwp	1	8	8	
w2_edit_apply_char_format-010061	edit-apply-char-format	reread	REREAD_OK	samples/wave2/공정거래위원회/2021/edit-apply-char-format-010061.hwpx	공정거래위원회	2021	hwpx	1	9	9	
w2_edit_apply_char_format-010062	edit-apply-char-format	reread	REREAD_OK	samples/wave2/금융위원회/2021/edit-apply-char-format-010062.hwp	금융위원회	2021	hwp	1	1	1	
w2_edit_apply_char_format-010063	edit-apply-char-format	reread	REREAD_OK	samples/wave2/통계청/2021/edit-apply-char-format-010063.hwpx	통계청	2021	hwpx	1	2	2	
w2_edit_apply_char_format-010064	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/기상청/2021/edit-apply-char-format-010064.hwp	기상청	2021	hwp	1	3	4	
w2_edit_apply_char_format-010065	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/관세청/2021/edit-apply-char-format-010065.hwpx	관세청	2021	hwpx	0	4	5	
w2_edit_apply_char_format-010066	edit-apply-char-format	reread	REREAD_OK	samples/wave2/검찰청/2021/edit-apply-char-format-010066.hwp	검찰청	2021	hwp	1	5	5	
w2_edit_apply_char_format-010067	edit-apply-char-format	reread	REREAD_OK	samples/wave2/경찰청/2021/edit-apply-char-format-010067.hwpx	경찰청	2021	hwpx	1	6	6	
w2_edit_apply_char_format-010068	edit-apply-char-format	reread	REREAD_OK	samples/wave2/소방청/2021/edit-apply-char-format-010068.hwp	소방청	2021	hwp	1	7	7	
w2_edit_apply_char_format-010069	edit-apply-char-format	reread	REREAD_OK	samples/wave2/병무청/2021/edit-apply-char-format-010069.hwpx	병무청	2021	hwpx	1	8	8	
w2_edit_apply_char_format-010070	edit-apply-char-format	reread	REREAD_OK	samples/wave2/산림청/2021/edit-apply-char-format-010070.hwp	산림청	2021	hwp	1	9	9	
w2_edit_apply_char_format-010071	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/중소벤처기업부/2021/edit-apply-char-format-010071.hwpx	중소벤처기업부	2021	hwpx	1	1	2	
w2_edit_apply_char_format-010072	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/과학기술정보통신부/2021/edit-apply-char-format-010072.hwp	과학기술정보통신부	2021	hwp	0	2	3	
w2_edit_apply_char_format-010073	edit-apply-char-format	reread	REREAD_OK	samples/wave2/문화체육관광부/2021/edit-apply-char-format-010073.hwpx	문화체육관광부	2021	hwpx	1	3	3	
w2_edit_apply_char_format-010074	edit-apply-char-format	reread	REREAD_OK	samples/wave2/환경부/2021/edit-apply-char-format-010074.hwp	환경부	2021	hwp	1	4	4	
w2_edit_apply_char_format-010075	edit-apply-char-format	reread	REREAD_OK	samples/wave2/해양수산부/2021/edit-apply-char-format-010075.hwpx	해양수산부	2021	hwpx	1	5	5	
w2_edit_apply_char_format-010076	edit-apply-char-format	reread	REREAD_OK	samples/wave2/서울특별시/2021/edit-apply-char-format-010076.hwp	서울특별시	2021	hwp	1	6	6	
w2_edit_apply_char_format-010077	edit-apply-char-format	reread	REREAD_OK	samples/wave2/경기도/2021/edit-apply-char-format-010077.hwpx	경기도	2021	hwpx	1	7	7	
w2_edit_apply_char_format-010078	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/부산광역시/2021/edit-apply-char-format-010078.hwp	부산광역시	2021	hwp	1	8	9	
w2_edit_apply_char_format-010079	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/제주특별자치도/2021/edit-apply-char-format-010079.hwpx	제주특별자치도	2021	hwpx	0	9	10	
w2_edit_apply_char_format-010080	edit-apply-char-format	reread	REREAD_OK	samples/wave2/법제처/2022/edit-apply-char-format-010080.hwp	법제처	2022	hwp	1	1	1	
w2_edit_apply_char_format-010081	edit-apply-char-format	reread	REREAD_OK	samples/wave2/행정안전부/2022/edit-apply-char-format-010081.hwpx	행정안전부	2022	hwpx	1	2	2	
w2_edit_apply_char_format-010082	edit-apply-char-format	reread	REREAD_OK	samples/wave2/국세청/2022/edit-apply-char-format-010082.hwp	국세청	2022	hwp	1	3	3	
w2_edit_apply_char_format-010083	edit-apply-char-format	reread	REREAD_OK	samples/wave2/대법원/2022/edit-apply-char-format-010083.hwpx	대법원	2022	hwpx	1	4	4	
w2_edit_apply_char_format-010084	edit-apply-char-format	reread	REREAD_OK	samples/wave2/특허청/2022/edit-apply-char-format-010084.hwp	특허청	2022	hwp	1	5	5	
w2_edit_apply_char_format-010085	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/교육부/2022/edit-apply-char-format-010085.hwpx	교육부	2022	hwpx	1	6	7	
w2_edit_apply_char_format-010086	edit-apply-char-format	reread	NOT_EVIDENCE	samples/wave2/보건복지부/2022/edit-apply-char-format-010086.hwp	보건복지부	2022	hwp	0	7	8	
w2_edit_apply_char_format-010087	edit-apply-char-format	reread	REREAD_OK	samples/wave2/국토교통부/2022/edit-apply-char-format-010087.hwpx	국토교통부	2022	hwpx	1	8	8	
w2_edit_apply_char_format-010088	edit-apply-char-format	reread	REREAD_OK	samples/wave2/고용노동부/2022/edit-apply-char-format-010088.hwp	고용노동부	2022	hwp	1	9	9	
w2_edit_apply_char_format-010089	edit-apply-char-format	reread	REREAD_OK	samples/wave2/외교부/2022/edit-apply-char-format-010089.hwpx	외교부	2022	hwpx	1	1	1	
w2_edit_apply_char_format-010090	edit-apply-char-format	reread	REREAD_OK	samples/wave2/기획재정부/2022/edit-apply-char-format-010090.hwp	기획재정부	2022	hwp	1	2	2	
w2_edit_apply_char_format-010091	edit-apply-char-format	reread	REREAD_OK	samples/wave2/공정거래위원회/2022/edit-apply-char-format-010091.hwpx	공정거래위원회	2022	hwpx	1	3	3	
w2_edit_apply_char_format-010092	edit-apply-char-format	reread	REREAD_DRIFT	samples/wave2/금융위원회/2022/edit-apply-char-format-010092.hwp	금융위원회	2022	hwp	1	4	5	
