case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_apply_endnote_shape-010000	edit-apply-endnote-shape	reread	REREAD_OK	samples/wave2/기획재정부/2019/edit-apply-endnote-shape-010000.hwp	기획재정부	2019	hwp	1	2	2	
w2_edit_apply_endnote_shape-010001	edit-apply-endnote-shape	reread	REREAD_DRIFT	samples/wave2/공정거래위원회/2019/edit-apply-endnote-shape-010001.hwpx	공정거래위원회	2019	hwpx	1	3	4	
w2_edit_apply_endnote_shape-010002	edit-apply-endnote-shape	reread	NOT_EVIDENCE	samples/wave2/금융위원회/2019/edit-apply-endnote-shape-010002.hwp	금융위원회	2019	hwp	0	4	5	
w2_edit_apply_endnote_shape-010003	edit-apply-endnote-shape	reread	REREAD_OK	samples/wave2/통계청/2019/edit-apply-endnote-shape-010003.hwpx	통계청	2019	hwpx	1	5	5	
w2_edit_apply_endnote_shape-010004	edit-apply-endnote-shape	reread	REREAD_OK	samples/wave2/기상청/2019/edit-apply-endnote-shape-010004.hwp	기상청	2019	hwp	1	6	6	
w2_edit_apply_endnote_shape-010005	edit-apply-endnote-shape	reread	REREAD_OK	samples/wave2/관세청/2019/edit-apply-endnote-shape-010005.hwpx	관세청	2019	hwpx	1	7	7	
w2_edit_apply_endnote_shape-010006	edit-apply-endnote-shape	reread	REREAD_OK	samples/wave2/검찰청/2019/edit-apply-endnote-shape-010006.hwp	검찰청	2019	hwp	1	8	8	
w2_edit_apply_endnote_shape-010007	edit-apply-endnote-shape	reread	REREAD_OK	samples/wave2/경찰청/2019/edit-apply-endnote-shape-010007.hwpx	경찰청	2019	hwpx	1	9	9	
w2_edit_apply_endnote_shape-010008	edit-apply-endnote-shape	reread	REREAD_DRIFT	samples/wave2/소방청/2019/edit-apply-endnote-shape-010008.hwp	소방청	2019	hwp	1	1	2	
w2_edit_apply_endnote_shape-010009	edit-apply-endnote-shape	reread	NOT_EVIDENCE	samples/wave2/병무청/2019/edit-apply-endnote-shape-010009.hwpx	병무청	2019	hwpx	0	2	3	
w2_edit_apply_endnote_shape-010010	edit-apply-endnote-shape	reread	REREAD_OK	samples/wave2/산림청/2019/edit-apply-endnote-shape-010010.hwp	산림청	2019	hwp	1	3	3	
w2_edit_apply_endnote_shape-010011	edit-apply-endnote-shape	reread	REREAD_OK	samples/wave2/중소벤처기업부/2019/edit-apply-endnote-shape-010011.hwpx	중소벤처기업부	2019	hwpx	1	4	4	
w2_edit_apply_endnote_shape-010012	edit-apply-endnote-shape	reread	REREAD_OK	samples/wave2/과학기술정보통신부/2019/edit-apply-endnote-shape-010012.hwp	과학기술정보통신부	2019	hwp	1	5	5	
w2_edit_apply_endnote_shape-010013	edit-apply-endnote-shape	reread	REREAD_OK	samples/wave2/문화체육관광부/2019/edit-apply-endnote-shape-010013.hwpx	문화체육관광부	2019	hwpx	1	6	6	
w2_edit_apply_endnote_shape-010014	edit-apply-endnote-shape	reread	REREAD_OK	samples/wave2/환경부/2019/edit-apply-endnote-shape-010014.hwp	환경부	2019	hwp	1	7	7	
w2_edit_apply_endnote_shape-010015	edit-apply-endnote-shape	reread	REREAD_DRIFT	samples/wave2/해양수산부/2019/edit-apply-endnote-shape-010015.hwpx	해양수산부	2019	hwpx	1	8	9	
w2_edit_apply_endnote_shape-010016	edit-apply-endnote-shape	reread	NOT_EVIDENCE	samples/wave2/서울특별시/2019/edit-apply-endnote-shape-010016.hwp	서울특별시	2019	hwp	0	9	10	
