case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_apply_hf_template-015000	edit-apply-hf-template	reread	NOT_EVIDENCE	samples/wave2/법제처/2021/edit-apply-hf-template-015000.hwp	법제처	2021	hwp	0	7	8	
w2_edit_apply_hf_template-015001	edit-apply-hf-template	reread	REREAD_OK	samples/wave2/행정안전부/2021/edit-apply-hf-template-015001.hwpx	행정안전부	2021	hwpx	1	8	8	
w2_edit_apply_hf_template-015002	edit-apply-hf-template	reread	REREAD_OK	samples/wave2/국세청/2021/edit-apply-hf-template-015002.hwp	국세청	2021	hwp	1	9	9	
w2_edit_apply_hf_template-015003	edit-apply-hf-template	reread	REREAD_OK	samples/wave2/대법원/2021/edit-apply-hf-template-015003.hwpx	대법원	2021	hwpx	1	1	1	
w2_edit_apply_hf_template-015004	edit-apply-hf-template	reread	REREAD_OK	samples/wave2/특허청/2021/edit-apply-hf-template-015004.hwp	특허청	2021	hwp	1	2	2	
w2_edit_apply_hf_template-015005	edit-apply-hf-template	reread	REREAD_OK	samples/wave2/교육부/2021/edit-apply-hf-template-015005.hwpx	교육부	2021	hwpx	1	3	3	
w2_edit_apply_hf_template-015006	edit-apply-hf-template	reread	REREAD_DRIFT	samples/wave2/보건복지부/2021/edit-apply-hf-template-015006.hwp	보건복지부	2021	hwp	1	4	5	
w2_edit_apply_hf_template-015007	edit-apply-hf-template	reread	NOT_EVIDENCE	samples/wave2/국토교통부/2021/edit-apply-hf-template-015007.hwpx	국토교통부	2021	hwpx	0	5	6	
w2_edit_apply_hf_template-015008	edit-apply-hf-template	reread	REREAD_OK	samples/wave2/고용노동부/2021/edit-apply-hf-template-015008.hwp	고용노동부	2021	hwp	1	6	6	
w2_edit_apply_hf_template-015009	edit-apply-hf-template	reread	REREAD_OK	samples/wave2/외교부/2021/edit-apply-hf-template-015009.hwpx	외교부	2021	hwpx	1	7	7	
