case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_apply_para_format_in_footnote-010000	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/기획재정부/2019/edit-apply-para-format-in-footnote-010000.hwp	기획재정부	2019	hwp	1	2	2	
w2_edit_apply_para_format_in_footnote-010001	edit-apply-para-format-in-footnote	reread	REREAD_DRIFT	samples/wave2/공정거래위원회/2019/edit-apply-para-format-in-footnote-010001.hwpx	공정거래위원회	2019	hwpx	1	3	4	
w2_edit_apply_para_format_in_footnote-010002	edit-apply-para-format-in-footnote	reread	NOT_EVIDENCE	samples/wave2/금융위원회/2019/edit-apply-para-format-in-footnote-010002.hwp	금융위원회	2019	hwp	0	4	5	
w2_edit_apply_para_format_in_footnote-010003	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/통계청/2019/edit-apply-para-format-in-footnote-010003.hwpx	통계청	2019	hwpx	1	5	5	
w2_edit_apply_para_format_in_footnote-010004	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/기상청/2019/edit-apply-para-format-in-footnote-010004.hwp	기상청	2019	hwp	1	6	6	
w2_edit_apply_para_format_in_footnote-010005	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/관세청/2019/edit-apply-para-format-in-footnote-010005.hwpx	관세청	2019	hwpx	1	7	7	
w2_edit_apply_para_format_in_footnote-010006	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/검찰청/2019/edit-apply-para-format-in-footnote-010006.hwp	검찰청	2019	hwp	1	8	8	
w2_edit_apply_para_format_in_footnote-010007	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/경찰청/2019/edit-apply-para-format-in-footnote-010007.hwpx	경찰청	2019	hwpx	1	9	9	
w2_edit_apply_para_format_in_footnote-010008	edit-apply-para-format-in-footnote	reread	REREAD_DRIFT	samples/wave2/소방청/2019/edit-apply-para-format-in-footnote-010008.hwp	소방청	2019	hwp	1	1	2	
w2_edit_apply_para_format_in_footnote-010009	edit-apply-para-format-in-footnote	reread	NOT_EVIDENCE	samples/wave2/병무청/2019/edit-apply-para-format-in-footnote-010009.hwpx	병무청	2019	hwpx	0	2	3	
w2_edit_apply_para_format_in_footnote-010010	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/산림청/2019/edit-apply-para-format-in-footnote-010010.hwp	산림청	2019	hwp	1	3	3	
w2_edit_apply_para_format_in_footnote-010011	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/중소벤처기업부/2019/edit-apply-para-format-in-footnote-010011.hwpx	중소벤처기업부	2019	hwpx	1	4	4	
w2_edit_apply_para_format_in_footnote-010012	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/과학기술정보통신부/2019/edit-apply-para-format-in-footnote-010012.hwp	과학기술정보통신부	2019	hwp	1	5	5	
w2_edit_apply_para_format_in_footnote-010013	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/문화체육관광부/2019/edit-apply-para-format-in-footnote-010013.hwpx	문화체육관광부	2019	hwpx	1	6	6	
w2_edit_apply_para_format_in_footnote-010014	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/환경부/2019/edit-apply-para-format-in-footnote-010014.hwp	환경부	2019	hwp	1	7	7	
w2_edit_apply_para_format_in_footnote-010015	edit-apply-para-format-in-footnote	reread	REREAD_DRIFT	samples/wave2/해양수산부/2019/edit-apply-para-format-in-footnote-010015.hwpx	해양수산부	2019	hwpx	1	8	9	
w2_edit_apply_para_format_in_footnote-010016	edit-apply-para-format-in-footnote	reread	NOT_EVIDENCE	samples/wave2/서울특별시/2019/edit-apply-para-format-in-footnote-010016.hwp	서울특별시	2019	hwp	0	9	10	
w2_edit_apply_para_format_in_footnote-010017	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/경기도/2019/edit-apply-para-format-in-footnote-010017.hwpx	경기도	2019	hwpx	1	1	1	
w2_edit_apply_para_format_in_footnote-010018	edit-apply-para-format-in-footnote	reread	REREAD_OK	samples/wave2/부산광역시/2019/edit-apply-para-format-in-footnote-010018.hwp	부산광역시	2019	hwp	1	2	2	
