case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_delete_paragraph-015000	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/법제처/2021/edit-delete-paragraph-015000.hwp	법제처	2021	hwp	2	1	0	0
w2_edit_delete_paragraph-015001	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/행정안전부/2021/edit-delete-paragraph-015001.hwpx	행정안전부	2021	hwpx	3	2	5	1
w2_edit_delete_paragraph-015002	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/국세청/2021/edit-delete-paragraph-015002.hwp	국세청	2021	hwp	4	3	7	1
w2_edit_delete_paragraph-015003	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/대법원/2021/edit-delete-paragraph-015003.hwpx	대법원	2021	hwpx	5	1	6	1
w2_edit_delete_paragraph-015004	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/특허청/2021/edit-delete-paragraph-015004.hwp	특허청	2021	hwp	6	2	9	1
w2_edit_delete_paragraph-015005	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/교육부/2021/edit-delete-paragraph-015005.hwpx	교육부	2021	hwpx	7	3	4	0
w2_edit_delete_paragraph-015006	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/보건복지부/2021/edit-delete-paragraph-015006.hwp	보건복지부	2021	hwp	8	1	7	0
w2_edit_delete_paragraph-015007	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/국토교통부/2021/edit-delete-paragraph-015007.hwpx	국토교통부	2021	hwpx	9	2	6	0
w2_edit_delete_paragraph-015008	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/고용노동부/2021/edit-delete-paragraph-015008.hwp	고용노동부	2021	hwp	10	3	13	1
w2_edit_delete_paragraph-015009	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/외교부/2021/edit-delete-paragraph-015009.hwpx	외교부	2021	hwpx	11	1	12	1
w2_edit_delete_paragraph-015010	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/기획재정부/2021/edit-delete-paragraph-015010.hwp	기획재정부	2021	hwp	12	2	14	1
w2_edit_delete_paragraph-015011	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/공정거래위원회/2021/edit-delete-paragraph-015011.hwpx	공정거래위원회	2021	hwpx	13	3	17	1
w2_edit_delete_paragraph-015012	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/금융위원회/2021/edit-delete-paragraph-015012.hwp	금융위원회	2021	hwp	14	1	13	0
w2_edit_delete_paragraph-015013	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/통계청/2021/edit-delete-paragraph-015013.hwpx	통계청	2021	hwpx	15	2	13	0
w2_edit_delete_paragraph-015014	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/기상청/2021/edit-delete-paragraph-015014.hwp	기상청	2021	hwp	16	3	12	0
w2_edit_delete_paragraph-015015	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/관세청/2021/edit-delete-paragraph-015015.hwpx	관세청	2021	hwpx	17	1	18	1
w2_edit_delete_paragraph-015016	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/검찰청/2021/edit-delete-paragraph-015016.hwp	검찰청	2021	hwp	18	2	20	1
w2_edit_delete_paragraph-015017	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/경찰청/2021/edit-delete-paragraph-015017.hwpx	경찰청	2021	hwpx	19	3	22	1
w2_edit_delete_paragraph-015018	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/소방청/2021/edit-delete-paragraph-015018.hwp	소방청	2021	hwp	20	1	22	1
w2_edit_delete_paragraph-015019	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/병무청/2021/edit-delete-paragraph-015019.hwpx	병무청	2021	hwpx	21	2	19	0
w2_edit_delete_paragraph-015020	edit-delete-paragraph	mutate	USAGE	samples/wave2/산림청/2021/edit-delete-paragraph-015020.hwp	산림청	2021	hwp	2	3	-1	0
w2_edit_delete_paragraph-015021	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/중소벤처기업부/2021/edit-delete-paragraph-015021.hwpx	중소벤처기업부	2021	hwpx	3	1	1	0
w2_edit_delete_paragraph-015022	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/과학기술정보통신부/2021/edit-delete-paragraph-015022.hwp	과학기술정보통신부	2021	hwp	4	2	6	1
w2_edit_delete_paragraph-015023	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/문화체육관광부/2021/edit-delete-paragraph-015023.hwpx	문화체육관광부	2021	hwpx	5	3	8	1
w2_edit_delete_paragraph-015024	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/환경부/2021/edit-delete-paragraph-015024.hwp	환경부	2021	hwp	6	1	7	1
w2_edit_delete_paragraph-015025	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/해양수산부/2021/edit-delete-paragraph-015025.hwpx	해양수산부	2021	hwpx	7	2	10	1
w2_edit_delete_paragraph-015026	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/서울특별시/2021/edit-delete-paragraph-015026.hwp	서울특별시	2021	hwp	8	3	5	0
w2_edit_delete_paragraph-015027	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/경기도/2021/edit-delete-paragraph-015027.hwpx	경기도	2021	hwpx	9	1	8	0
w2_edit_delete_paragraph-015028	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/부산광역시/2021/edit-delete-paragraph-015028.hwp	부산광역시	2021	hwp	10	2	7	0
w2_edit_delete_paragraph-015029	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/제주특별자치도/2021/edit-delete-paragraph-015029.hwpx	제주특별자치도	2021	hwpx	11	3	14	1
w2_edit_delete_paragraph-015030	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/법제처/2022/edit-delete-paragraph-015030.hwp	법제처	2022	hwp	12	1	13	1
w2_edit_delete_paragraph-015031	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/행정안전부/2022/edit-delete-paragraph-015031.hwpx	행정안전부	2022	hwpx	13	2	15	1
w2_edit_delete_paragraph-015032	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/국세청/2022/edit-delete-paragraph-015032.hwp	국세청	2022	hwp	14	3	18	1
w2_edit_delete_paragraph-015033	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/대법원/2022/edit-delete-paragraph-015033.hwpx	대법원	2022	hwpx	15	1	14	0
w2_edit_delete_paragraph-015034	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/특허청/2022/edit-delete-paragraph-015034.hwp	특허청	2022	hwp	16	2	14	0
w2_edit_delete_paragraph-015035	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/교육부/2022/edit-delete-paragraph-015035.hwpx	교육부	2022	hwpx	17	3	13	0
w2_edit_delete_paragraph-015036	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/보건복지부/2022/edit-delete-paragraph-015036.hwp	보건복지부	2022	hwp	18	1	19	1
w2_edit_delete_paragraph-015037	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/국토교통부/2022/edit-delete-paragraph-015037.hwpx	국토교통부	2022	hwpx	19	2	21	1
w2_edit_delete_paragraph-015038	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/고용노동부/2022/edit-delete-paragraph-015038.hwp	고용노동부	2022	hwp	20	3	23	1
w2_edit_delete_paragraph-015039	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/외교부/2022/edit-delete-paragraph-015039.hwpx	외교부	2022	hwpx	21	1	23	1
w2_edit_delete_paragraph-015040	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/기획재정부/2022/edit-delete-paragraph-015040.hwp	기획재정부	2022	hwp	2	2	0	0
w2_edit_delete_paragraph-015041	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/공정거래위원회/2022/edit-delete-paragraph-015041.hwpx	공정거래위원회	2022	hwpx	3	3	0	0
w2_edit_delete_paragraph-015042	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/금융위원회/2022/edit-delete-paragraph-015042.hwp	금융위원회	2022	hwp	4	1	2	0
w2_edit_delete_paragraph-015043	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/통계청/2022/edit-delete-paragraph-015043.hwpx	통계청	2022	hwpx	5	2	7	1
w2_edit_delete_paragraph-015044	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/기상청/2022/edit-delete-paragraph-015044.hwp	기상청	2022	hwp	6	3	9	1
w2_edit_delete_paragraph-015045	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/관세청/2022/edit-delete-paragraph-015045.hwpx	관세청	2022	hwpx	7	1	8	1
w2_edit_delete_paragraph-015046	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/검찰청/2022/edit-delete-paragraph-015046.hwp	검찰청	2022	hwp	8	2	11	1
w2_edit_delete_paragraph-015047	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/경찰청/2022/edit-delete-paragraph-015047.hwpx	경찰청	2022	hwpx	9	3	6	0
w2_edit_delete_paragraph-015048	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/소방청/2022/edit-delete-paragraph-015048.hwp	소방청	2022	hwp	10	1	9	0
w2_edit_delete_paragraph-015049	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/병무청/2022/edit-delete-paragraph-015049.hwpx	병무청	2022	hwpx	11	2	8	0
w2_edit_delete_paragraph-015050	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/산림청/2022/edit-delete-paragraph-015050.hwp	산림청	2022	hwp	12	3	15	1
w2_edit_delete_paragraph-015051	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/중소벤처기업부/2022/edit-delete-paragraph-015051.hwpx	중소벤처기업부	2022	hwpx	13	1	14	1
w2_edit_delete_paragraph-015052	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/과학기술정보통신부/2022/edit-delete-paragraph-015052.hwp	과학기술정보통신부	2022	hwp	14	2	16	1
w2_edit_delete_paragraph-015053	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/문화체육관광부/2022/edit-delete-paragraph-015053.hwpx	문화체육관광부	2022	hwpx	15	3	19	1
w2_edit_delete_paragraph-015054	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/환경부/2022/edit-delete-paragraph-015054.hwp	환경부	2022	hwp	16	1	15	0
w2_edit_delete_paragraph-015055	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/해양수산부/2022/edit-delete-paragraph-015055.hwpx	해양수산부	2022	hwpx	17	2	15	0
w2_edit_delete_paragraph-015056	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/서울특별시/2022/edit-delete-paragraph-015056.hwp	서울특별시	2022	hwp	18	3	14	0
w2_edit_delete_paragraph-015057	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/경기도/2022/edit-delete-paragraph-015057.hwpx	경기도	2022	hwpx	19	1	20	1
w2_edit_delete_paragraph-015058	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/부산광역시/2022/edit-delete-paragraph-015058.hwp	부산광역시	2022	hwp	20	2	22	1
w2_edit_delete_paragraph-015059	edit-delete-paragraph	mutate	MUTATE_OK	samples/wave2/제주특별자치도/2022/edit-delete-paragraph-015059.hwpx	제주특별자치도	2022	hwpx	21	3	24	1
w2_edit_delete_paragraph-015060	edit-delete-paragraph	mutate	MUTATE_DRIFT	samples/wave2/법제처/2023/edit-delete-paragraph-015060.hwp	법제처	2023	hwp	2	1	4	1
