case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_insert_column_break-010000	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/기획재정부/2019/edit-insert-column-break-010000.hwp	기획재정부	2019	hwp	2	2	0	0
w2_edit_insert_column_break-010001	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/공정거래위원회/2019/edit-insert-column-break-010001.hwpx	공정거래위원회	2019	hwpx	3	3	0	0
w2_edit_insert_column_break-010002	edit-insert-column-break	mutate	MUTATE_DRIFT	samples/wave2/금융위원회/2019/edit-insert-column-break-010002.hwp	금융위원회	2019	hwp	4	1	2	0
w2_edit_insert_column_break-010003	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/통계청/2019/edit-insert-column-break-010003.hwpx	통계청	2019	hwpx	5	2	7	1
w2_edit_insert_column_break-010004	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/기상청/2019/edit-insert-column-break-010004.hwp	기상청	2019	hwp	6	3	9	1
w2_edit_insert_column_break-010005	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/관세청/2019/edit-insert-column-break-010005.hwpx	관세청	2019	hwpx	7	1	8	1
w2_edit_insert_column_break-010006	edit-insert-column-break	mutate	MUTATE_DRIFT	samples/wave2/검찰청/2019/edit-insert-column-break-010006.hwp	검찰청	2019	hwp	8	2	11	1
w2_edit_insert_column_break-010007	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/경찰청/2019/edit-insert-column-break-010007.hwpx	경찰청	2019	hwpx	9	3	6	0
w2_edit_insert_column_break-010008	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/소방청/2019/edit-insert-column-break-010008.hwp	소방청	2019	hwp	10	1	9	0
w2_edit_insert_column_break-010009	edit-insert-column-break	mutate	MUTATE_DRIFT	samples/wave2/병무청/2019/edit-insert-column-break-010009.hwpx	병무청	2019	hwpx	11	2	8	0
w2_edit_insert_column_break-010010	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/산림청/2019/edit-insert-column-break-010010.hwp	산림청	2019	hwp	12	3	15	1
w2_edit_insert_column_break-010011	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/중소벤처기업부/2019/edit-insert-column-break-010011.hwpx	중소벤처기업부	2019	hwpx	13	1	14	1
w2_edit_insert_column_break-010012	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/과학기술정보통신부/2019/edit-insert-column-break-010012.hwp	과학기술정보통신부	2019	hwp	14	2	16	1
w2_edit_insert_column_break-010013	edit-insert-column-break	mutate	MUTATE_DRIFT	samples/wave2/문화체육관광부/2019/edit-insert-column-break-010013.hwpx	문화체육관광부	2019	hwpx	15	3	19	1
w2_edit_insert_column_break-010014	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/환경부/2019/edit-insert-column-break-010014.hwp	환경부	2019	hwp	16	1	15	0
w2_edit_insert_column_break-010015	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/해양수산부/2019/edit-insert-column-break-010015.hwpx	해양수산부	2019	hwpx	17	2	15	0
w2_edit_insert_column_break-010016	edit-insert-column-break	mutate	MUTATE_DRIFT	samples/wave2/서울특별시/2019/edit-insert-column-break-010016.hwp	서울특별시	2019	hwp	18	3	14	0
w2_edit_insert_column_break-010017	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/경기도/2019/edit-insert-column-break-010017.hwpx	경기도	2019	hwpx	19	1	20	1
w2_edit_insert_column_break-010018	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/부산광역시/2019/edit-insert-column-break-010018.hwp	부산광역시	2019	hwp	20	2	22	1
w2_edit_insert_column_break-010019	edit-insert-column-break	mutate	MUTATE_OK	samples/wave2/제주특별자치도/2019/edit-insert-column-break-010019.hwpx	제주특별자치도	2019	hwpx	21	3	24	1
