case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_insert_equation-005000	edit-insert-equation	parse	PARSE_OK	samples/wave2/산림청/2017/edit-insert-equation-005000.hwp	산림청	2017	hwp	0	1		
w2_edit_insert_equation-005001	edit-insert-equation	parse	PARSE_OK	samples/wave2/중소벤처기업부/2017/edit-insert-equation-005001.hwpx	중소벤처기업부	2017	hwpx	1	1		
w2_edit_insert_equation-005002	edit-insert-equation	parse	PARSE_OK	samples/wave2/과학기술정보통신부/2017/edit-insert-equation-005002.hwp	과학기술정보통신부	2017	hwp	1	1		
w2_edit_insert_equation-005003	edit-insert-equation	parse	PARSE_DROP	samples/wave2/문화체육관광부/2017/edit-insert-equation-005003.hwpx	문화체육관광부	2017	hwpx	1	0		
w2_edit_insert_equation-005004	edit-insert-equation	parse	PARSE_DROP	samples/wave2/환경부/2017/edit-insert-equation-005004.hwp	환경부	2017	hwp	1	0		
w2_edit_insert_equation-005005	edit-insert-equation	parse	PARSE_OK	samples/wave2/해양수산부/2017/edit-insert-equation-005005.hwpx	해양수산부	2017	hwpx	0	1		
w2_edit_insert_equation-005006	edit-insert-equation	parse	PARSE_OK	samples/wave2/서울특별시/2017/edit-insert-equation-005006.hwp	서울특별시	2017	hwp	0	1		
w2_edit_insert_equation-005007	edit-insert-equation	parse	PARSE_OK	samples/wave2/경기도/2017/edit-insert-equation-005007.hwpx	경기도	2017	hwpx	0	1		
w2_edit_insert_equation-005008	edit-insert-equation	parse	PARSE_OK	samples/wave2/부산광역시/2017/edit-insert-equation-005008.hwp	부산광역시	2017	hwp	1	1		
w2_edit_insert_equation-005009	edit-insert-equation	parse	PARSE_OK	samples/wave2/제주특별자치도/2017/edit-insert-equation-005009.hwpx	제주특별자치도	2017	hwpx	1	1		
w2_edit_insert_equation-005010	edit-insert-equation	parse	PARSE_DROP	samples/wave2/법제처/2018/edit-insert-equation-005010.hwp	법제처	2018	hwp	1	0		
w2_edit_insert_equation-005011	edit-insert-equation	parse	PARSE_DROP	samples/wave2/행정안전부/2018/edit-insert-equation-005011.hwpx	행정안전부	2018	hwpx	1	0		
w2_edit_insert_equation-005012	edit-insert-equation	parse	PARSE_OK	samples/wave2/국세청/2018/edit-insert-equation-005012.hwp	국세청	2018	hwp	0	1		
w2_edit_insert_equation-005013	edit-insert-equation	parse	PARSE_OK	samples/wave2/대법원/2018/edit-insert-equation-005013.hwpx	대법원	2018	hwpx	0	1		
w2_edit_insert_equation-005014	edit-insert-equation	parse	PARSE_OK	samples/wave2/특허청/2018/edit-insert-equation-005014.hwp	특허청	2018	hwp	0	1		
w2_edit_insert_equation-005015	edit-insert-equation	parse	PARSE_OK	samples/wave2/교육부/2018/edit-insert-equation-005015.hwpx	교육부	2018	hwpx	1	1		
w2_edit_insert_equation-005016	edit-insert-equation	parse	PARSE_OK	samples/wave2/보건복지부/2018/edit-insert-equation-005016.hwp	보건복지부	2018	hwp	1	1		
w2_edit_insert_equation-005017	edit-insert-equation	parse	PARSE_DROP	samples/wave2/국토교통부/2018/edit-insert-equation-005017.hwpx	국토교통부	2018	hwpx	1	0		
w2_edit_insert_equation-005018	edit-insert-equation	parse	PARSE_DROP	samples/wave2/고용노동부/2018/edit-insert-equation-005018.hwp	고용노동부	2018	hwp	1	0		
w2_edit_insert_equation-005019	edit-insert-equation	parse	PARSE_OK	samples/wave2/외교부/2018/edit-insert-equation-005019.hwpx	외교부	2018	hwpx	0	1		
w2_edit_insert_equation-005020	edit-insert-equation	parse	PARSE_OK	samples/wave2/기획재정부/2018/edit-insert-equation-005020.hwp	기획재정부	2018	hwp	0	1		
w2_edit_insert_equation-005021	edit-insert-equation	parse	PARSE_OK	samples/wave2/공정거래위원회/2018/edit-insert-equation-005021.hwpx	공정거래위원회	2018	hwpx	0	1		
w2_edit_insert_equation-005022	edit-insert-equation	parse	PARSE_OK	samples/wave2/금융위원회/2018/edit-insert-equation-005022.hwp	금융위원회	2018	hwp	1	1		
w2_edit_insert_equation-005023	edit-insert-equation	parse	PARSE_OK	samples/wave2/통계청/2018/edit-insert-equation-005023.hwpx	통계청	2018	hwpx	1	1		
w2_edit_insert_equation-005024	edit-insert-equation	parse	PARSE_DROP	samples/wave2/기상청/2018/edit-insert-equation-005024.hwp	기상청	2018	hwp	1	0		
w2_edit_insert_equation-005025	edit-insert-equation	parse	PARSE_DROP	samples/wave2/관세청/2018/edit-insert-equation-005025.hwpx	관세청	2018	hwpx	1	0		
w2_edit_insert_equation-005026	edit-insert-equation	parse	PARSE_OK	samples/wave2/검찰청/2018/edit-insert-equation-005026.hwp	검찰청	2018	hwp	0	1		
w2_edit_insert_equation-005027	edit-insert-equation	parse	PARSE_OK	samples/wave2/경찰청/2018/edit-insert-equation-005027.hwpx	경찰청	2018	hwpx	0	1		
w2_edit_insert_equation-005028	edit-insert-equation	parse	PARSE_OK	samples/wave2/소방청/2018/edit-insert-equation-005028.hwp	소방청	2018	hwp	0	1		
w2_edit_insert_equation-005029	edit-insert-equation	parse	PARSE_OK	samples/wave2/병무청/2018/edit-insert-equation-005029.hwpx	병무청	2018	hwpx	1	1		
w2_edit_insert_equation-005030	edit-insert-equation	parse	PARSE_OK	samples/wave2/산림청/2018/edit-insert-equation-005030.hwp	산림청	2018	hwp	1	1		
w2_edit_insert_equation-005031	edit-insert-equation	parse	PARSE_DROP	samples/wave2/중소벤처기업부/2018/edit-insert-equation-005031.hwpx	중소벤처기업부	2018	hwpx	1	0		
w2_edit_insert_equation-005032	edit-insert-equation	parse	PARSE_DROP	samples/wave2/과학기술정보통신부/2018/edit-insert-equation-005032.hwp	과학기술정보통신부	2018	hwp	1	0		
w2_edit_insert_equation-005033	edit-insert-equation	parse	PARSE_OK	samples/wave2/문화체육관광부/2018/edit-insert-equation-005033.hwpx	문화체육관광부	2018	hwpx	0	1		
w2_edit_insert_equation-005034	edit-insert-equation	parse	PARSE_OK	samples/wave2/환경부/2018/edit-insert-equation-005034.hwp	환경부	2018	hwp	0	1		
w2_edit_insert_equation-005035	edit-insert-equation	parse	PARSE_OK	samples/wave2/해양수산부/2018/edit-insert-equation-005035.hwpx	해양수산부	2018	hwpx	0	1		
w2_edit_insert_equation-005036	edit-insert-equation	parse	PARSE_OK	samples/wave2/서울특별시/2018/edit-insert-equation-005036.hwp	서울특별시	2018	hwp	1	1		
w2_edit_insert_equation-005037	edit-insert-equation	parse	PARSE_OK	samples/wave2/경기도/2018/edit-insert-equation-005037.hwpx	경기도	2018	hwpx	1	1		
w2_edit_insert_equation-005038	edit-insert-equation	parse	PARSE_DROP	samples/wave2/부산광역시/2018/edit-insert-equation-005038.hwp	부산광역시	2018	hwp	1	0		
w2_edit_insert_equation-005039	edit-insert-equation	parse	PARSE_DROP	samples/wave2/제주특별자치도/2018/edit-insert-equation-005039.hwpx	제주특별자치도	2018	hwpx	1	0		
w2_edit_insert_equation-005040	edit-insert-equation	parse	PARSE_OK	samples/wave2/법제처/2019/edit-insert-equation-005040.hwp	법제처	2019	hwp	0	1		
w2_edit_insert_equation-005041	edit-insert-equation	parse	PARSE_OK	samples/wave2/행정안전부/2019/edit-insert-equation-005041.hwpx	행정안전부	2019	hwpx	0	1		
w2_edit_insert_equation-005042	edit-insert-equation	parse	PARSE_OK	samples/wave2/국세청/2019/edit-insert-equation-005042.hwp	국세청	2019	hwp	0	1		
w2_edit_insert_equation-005043	edit-insert-equation	parse	PARSE_OK	samples/wave2/대법원/2019/edit-insert-equation-005043.hwpx	대법원	2019	hwpx	1	1		
w2_edit_insert_equation-005044	edit-insert-equation	parse	PARSE_OK	samples/wave2/특허청/2019/edit-insert-equation-005044.hwp	특허청	2019	hwp	1	1		
w2_edit_insert_equation-005045	edit-insert-equation	parse	PARSE_DROP	samples/wave2/교육부/2019/edit-insert-equation-005045.hwpx	교육부	2019	hwpx	1	0		
w2_edit_insert_equation-005046	edit-insert-equation	parse	PARSE_DROP	samples/wave2/보건복지부/2019/edit-insert-equation-005046.hwp	보건복지부	2019	hwp	1	0		
w2_edit_insert_equation-005047	edit-insert-equation	parse	PARSE_OK	samples/wave2/국토교통부/2019/edit-insert-equation-005047.hwpx	국토교통부	2019	hwpx	0	1		
w2_edit_insert_equation-005048	edit-insert-equation	parse	PARSE_OK	samples/wave2/고용노동부/2019/edit-insert-equation-005048.hwp	고용노동부	2019	hwp	0	1		
w2_edit_insert_equation-005049	edit-insert-equation	parse	PARSE_OK	samples/wave2/외교부/2019/edit-insert-equation-005049.hwpx	외교부	2019	hwpx	0	1		
w2_edit_insert_equation-005050	edit-insert-equation	parse	PARSE_OK	samples/wave2/기획재정부/2019/edit-insert-equation-005050.hwp	기획재정부	2019	hwp	1	1		
w2_edit_insert_equation-005051	edit-insert-equation	parse	PARSE_OK	samples/wave2/공정거래위원회/2019/edit-insert-equation-005051.hwpx	공정거래위원회	2019	hwpx	1	1		
w2_edit_insert_equation-005052	edit-insert-equation	parse	PARSE_DROP	samples/wave2/금융위원회/2019/edit-insert-equation-005052.hwp	금융위원회	2019	hwp	1	0		
w2_edit_insert_equation-005053	edit-insert-equation	parse	PARSE_DROP	samples/wave2/통계청/2019/edit-insert-equation-005053.hwpx	통계청	2019	hwpx	1	0		
w2_edit_insert_equation-005054	edit-insert-equation	parse	PARSE_OK	samples/wave2/기상청/2019/edit-insert-equation-005054.hwp	기상청	2019	hwp	0	1		
w2_edit_insert_equation-005055	edit-insert-equation	parse	PARSE_OK	samples/wave2/관세청/2019/edit-insert-equation-005055.hwpx	관세청	2019	hwpx	0	1		
w2_edit_insert_equation-005056	edit-insert-equation	parse	PARSE_OK	samples/wave2/검찰청/2019/edit-insert-equation-005056.hwp	검찰청	2019	hwp	0	1		
w2_edit_insert_equation-005057	edit-insert-equation	parse	PARSE_OK	samples/wave2/경찰청/2019/edit-insert-equation-005057.hwpx	경찰청	2019	hwpx	1	1		
w2_edit_insert_equation-005058	edit-insert-equation	parse	PARSE_OK	samples/wave2/소방청/2019/edit-insert-equation-005058.hwp	소방청	2019	hwp	1	1		
w2_edit_insert_equation-005059	edit-insert-equation	parse	PARSE_DROP	samples/wave2/병무청/2019/edit-insert-equation-005059.hwpx	병무청	2019	hwpx	1	0		
w2_edit_insert_equation-005060	edit-insert-equation	parse	PARSE_DROP	samples/wave2/산림청/2019/edit-insert-equation-005060.hwp	산림청	2019	hwp	1	0		
w2_edit_insert_equation-005061	edit-insert-equation	parse	PARSE_OK	samples/wave2/중소벤처기업부/2019/edit-insert-equation-005061.hwpx	중소벤처기업부	2019	hwpx	0	1		
w2_edit_insert_equation-005062	edit-insert-equation	parse	PARSE_OK	samples/wave2/과학기술정보통신부/2019/edit-insert-equation-005062.hwp	과학기술정보통신부	2019	hwp	0	1		
w2_edit_insert_equation-005063	edit-insert-equation	parse	PARSE_OK	samples/wave2/문화체육관광부/2019/edit-insert-equation-005063.hwpx	문화체육관광부	2019	hwpx	0	1		
w2_edit_insert_equation-005064	edit-insert-equation	parse	PARSE_OK	samples/wave2/환경부/2019/edit-insert-equation-005064.hwp	환경부	2019	hwp	1	1		
w2_edit_insert_equation-005065	edit-insert-equation	parse	PARSE_OK	samples/wave2/해양수산부/2019/edit-insert-equation-005065.hwpx	해양수산부	2019	hwpx	1	1		
w2_edit_insert_equation-005066	edit-insert-equation	parse	PARSE_DROP	samples/wave2/서울특별시/2019/edit-insert-equation-005066.hwp	서울특별시	2019	hwp	1	0		
w2_edit_insert_equation-005067	edit-insert-equation	parse	PARSE_DROP	samples/wave2/경기도/2019/edit-insert-equation-005067.hwpx	경기도	2019	hwpx	1	0		
w2_edit_insert_equation-005068	edit-insert-equation	parse	PARSE_OK	samples/wave2/부산광역시/2019/edit-insert-equation-005068.hwp	부산광역시	2019	hwp	0	1		
w2_edit_insert_equation-005069	edit-insert-equation	parse	PARSE_OK	samples/wave2/제주특별자치도/2019/edit-insert-equation-005069.hwpx	제주특별자치도	2019	hwpx	0	1		
