case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_insert_header_footer_text-000000	edit-insert-header-footer-text	reread	REREAD_OK	samples/wave2/법제처/2016/edit-insert-header-footer-text-000000.hwp	법제처	2016	hwp	1	1	1	
w2_edit_insert_header_footer_text-000001	edit-insert-header-footer-text	reread	REREAD_OK	samples/wave2/행정안전부/2016/edit-insert-header-footer-text-000001.hwpx	행정안전부	2016	hwpx	1	2	2	
w2_edit_insert_header_footer_text-000002	edit-insert-header-footer-text	reread	REREAD_OK	samples/wave2/국세청/2016/edit-insert-header-footer-text-000002.hwp	국세청	2016	hwp	1	3	3	
w2_edit_insert_header_footer_text-000003	edit-insert-header-footer-text	reread	REREAD_OK	samples/wave2/대법원/2016/edit-insert-header-footer-text-000003.hwpx	대법원	2016	hwpx	1	4	4	
w2_edit_insert_header_footer_text-000004	edit-insert-header-footer-text	reread	REREAD_OK	samples/wave2/특허청/2016/edit-insert-header-footer-text-000004.hwp	특허청	2016	hwp	1	5	5	
w2_edit_insert_header_footer_text-000005	edit-insert-header-footer-text	reread	REREAD_DRIFT	samples/wave2/교육부/2016/edit-insert-header-footer-text-000005.hwpx	교육부	2016	hwpx	1	6	7	
w2_edit_insert_header_footer_text-000006	edit-insert-header-footer-text	reread	NOT_EVIDENCE	samples/wave2/보건복지부/2016/edit-insert-header-footer-text-000006.hwp	보건복지부	2016	hwp	0	7	8	
w2_edit_insert_header_footer_text-000007	edit-insert-header-footer-text	reread	REREAD_OK	samples/wave2/국토교통부/2016/edit-insert-header-footer-text-000007.hwpx	국토교통부	2016	hwpx	1	8	8	
w2_edit_insert_header_footer_text-000008	edit-insert-header-footer-text	reread	REREAD_OK	samples/wave2/고용노동부/2016/edit-insert-header-footer-text-000008.hwp	고용노동부	2016	hwp	1	9	9	
w2_edit_insert_header_footer_text-000009	edit-insert-header-footer-text	reread	REREAD_OK	samples/wave2/외교부/2016/edit-insert-header-footer-text-000009.hwpx	외교부	2016	hwpx	1	1	1	
