case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_insert_image-005000	edit-insert-image	bytes	BYTES_OK	samples/wave2/산림청/2017/edit-insert-image-005000.hwp	산림청	2017	hwp	12	0		
w2_edit_insert_image-005001	edit-insert-image	bytes	BYTES_OK	samples/wave2/중소벤처기업부/2017/edit-insert-image-005001.hwpx	중소벤처기업부	2017	hwpx	13	0		
w2_edit_insert_image-005002	edit-insert-image	bytes	BYTES_OK	samples/wave2/과학기술정보통신부/2017/edit-insert-image-005002.hwp	과학기술정보통신부	2017	hwp	14	0		
w2_edit_insert_image-005003	edit-insert-image	bytes	ZERO_BYTES	samples/wave2/문화체육관광부/2017/edit-insert-image-005003.hwpx	문화체육관광부	2017	hwpx	0	0		
w2_edit_insert_image-005004	edit-insert-image	bytes	EMPTY_OUTPUT	samples/wave2/환경부/2017/edit-insert-image-005004.hwp	환경부	2017	hwp	0	1		
w2_edit_insert_image-005005	edit-insert-image	bytes	BYTES_OK	samples/wave2/해양수산부/2017/edit-insert-image-005005.hwpx	해양수산부	2017	hwpx	17	0		
w2_edit_insert_image-005006	edit-insert-image	bytes	BYTES_OK	samples/wave2/서울특별시/2017/edit-insert-image-005006.hwp	서울특별시	2017	hwp	18	0		
w2_edit_insert_image-005007	edit-insert-image	bytes	BYTES_OK	samples/wave2/경기도/2017/edit-insert-image-005007.hwpx	경기도	2017	hwpx	19	0		
w2_edit_insert_image-005008	edit-insert-image	bytes	BYTES_OK	samples/wave2/부산광역시/2017/edit-insert-image-005008.hwp	부산광역시	2017	hwp	20	0		
w2_edit_insert_image-005009	edit-insert-image	bytes	BYTES_OK	samples/wave2/제주특별자치도/2017/edit-insert-image-005009.hwpx	제주특별자치도	2017	hwpx	21	0		
w2_edit_insert_image-005010	edit-insert-image	bytes	ZERO_BYTES	samples/wave2/법제처/2018/edit-insert-image-005010.hwp	법제처	2018	hwp	0	0		
w2_edit_insert_image-005011	edit-insert-image	bytes	EMPTY_OUTPUT	samples/wave2/행정안전부/2018/edit-insert-image-005011.hwpx	행정안전부	2018	hwpx	0	1		
w2_edit_insert_image-005012	edit-insert-image	bytes	BYTES_OK	samples/wave2/국세청/2018/edit-insert-image-005012.hwp	국세청	2018	hwp	24	0		
w2_edit_insert_image-005013	edit-insert-image	bytes	BYTES_OK	samples/wave2/대법원/2018/edit-insert-image-005013.hwpx	대법원	2018	hwpx	25	0		
