case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_insert_page_break-005000	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/산림청/2017/edit-insert-page-break-005000.hwp	산림청	2017	hwp	2	3	5	1
w2_edit_insert_page_break-005001	edit-insert-page-break	mutate	MUTATE_DRIFT	samples/wave2/중소벤처기업부/2017/edit-insert-page-break-005001.hwpx	중소벤처기업부	2017	hwpx	3	1	5	1
w2_edit_insert_page_break-005002	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/과학기술정보통신부/2017/edit-insert-page-break-005002.hwp	과학기술정보통신부	2017	hwp	4	2	2	0
w2_edit_insert_page_break-005003	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/문화체육관광부/2017/edit-insert-page-break-005003.hwpx	문화체육관광부	2017	hwpx	5	3	2	0
w2_edit_insert_page_break-005004	edit-insert-page-break	mutate	MUTATE_DRIFT	samples/wave2/환경부/2017/edit-insert-page-break-005004.hwp	환경부	2017	hwp	6	1	4	0
w2_edit_insert_page_break-005005	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/해양수산부/2017/edit-insert-page-break-005005.hwpx	해양수산부	2017	hwpx	7	2	9	1
w2_edit_insert_page_break-005006	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/서울특별시/2017/edit-insert-page-break-005006.hwp	서울특별시	2017	hwp	8	3	11	1
w2_edit_insert_page_break-005007	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/경기도/2017/edit-insert-page-break-005007.hwpx	경기도	2017	hwpx	9	1	10	1
w2_edit_insert_page_break-005008	edit-insert-page-break	mutate	MUTATE_DRIFT	samples/wave2/부산광역시/2017/edit-insert-page-break-005008.hwp	부산광역시	2017	hwp	10	2	13	1
w2_edit_insert_page_break-005009	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/제주특별자치도/2017/edit-insert-page-break-005009.hwpx	제주특별자치도	2017	hwpx	11	3	8	0
w2_edit_insert_page_break-005010	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/법제처/2018/edit-insert-page-break-005010.hwp	법제처	2018	hwp	12	1	11	0
w2_edit_insert_page_break-005011	edit-insert-page-break	mutate	MUTATE_DRIFT	samples/wave2/행정안전부/2018/edit-insert-page-break-005011.hwpx	행정안전부	2018	hwpx	13	2	10	0
w2_edit_insert_page_break-005012	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/국세청/2018/edit-insert-page-break-005012.hwp	국세청	2018	hwp	14	3	17	1
w2_edit_insert_page_break-005013	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/대법원/2018/edit-insert-page-break-005013.hwpx	대법원	2018	hwpx	15	1	16	1
w2_edit_insert_page_break-005014	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/특허청/2018/edit-insert-page-break-005014.hwp	특허청	2018	hwp	16	2	18	1
w2_edit_insert_page_break-005015	edit-insert-page-break	mutate	MUTATE_DRIFT	samples/wave2/교육부/2018/edit-insert-page-break-005015.hwpx	교육부	2018	hwpx	17	3	21	1
w2_edit_insert_page_break-005016	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/보건복지부/2018/edit-insert-page-break-005016.hwp	보건복지부	2018	hwp	18	1	17	0
w2_edit_insert_page_break-005017	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/국토교통부/2018/edit-insert-page-break-005017.hwpx	국토교통부	2018	hwpx	19	2	17	0
w2_edit_insert_page_break-005018	edit-insert-page-break	mutate	MUTATE_DRIFT	samples/wave2/고용노동부/2018/edit-insert-page-break-005018.hwp	고용노동부	2018	hwp	20	3	16	0
w2_edit_insert_page_break-005019	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/외교부/2018/edit-insert-page-break-005019.hwpx	외교부	2018	hwpx	21	1	22	1
w2_edit_insert_page_break-005020	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/기획재정부/2018/edit-insert-page-break-005020.hwp	기획재정부	2018	hwp	2	2	4	1
w2_edit_insert_page_break-005021	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/공정거래위원회/2018/edit-insert-page-break-005021.hwpx	공정거래위원회	2018	hwpx	3	3	6	1
w2_edit_insert_page_break-005022	edit-insert-page-break	mutate	MUTATE_DRIFT	samples/wave2/금융위원회/2018/edit-insert-page-break-005022.hwp	금융위원회	2018	hwp	4	1	6	1
w2_edit_insert_page_break-005023	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/통계청/2018/edit-insert-page-break-005023.hwpx	통계청	2018	hwpx	5	2	3	0
w2_edit_insert_page_break-005024	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/기상청/2018/edit-insert-page-break-005024.hwp	기상청	2018	hwp	6	3	3	0
w2_edit_insert_page_break-005025	edit-insert-page-break	mutate	MUTATE_DRIFT	samples/wave2/관세청/2018/edit-insert-page-break-005025.hwpx	관세청	2018	hwpx	7	1	5	0
w2_edit_insert_page_break-005026	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/검찰청/2018/edit-insert-page-break-005026.hwp	검찰청	2018	hwp	8	2	10	1
w2_edit_insert_page_break-005027	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/경찰청/2018/edit-insert-page-break-005027.hwpx	경찰청	2018	hwpx	9	3	12	1
w2_edit_insert_page_break-005028	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/소방청/2018/edit-insert-page-break-005028.hwp	소방청	2018	hwp	10	1	11	1
w2_edit_insert_page_break-005029	edit-insert-page-break	mutate	MUTATE_DRIFT	samples/wave2/병무청/2018/edit-insert-page-break-005029.hwpx	병무청	2018	hwpx	11	2	14	1
w2_edit_insert_page_break-005030	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/산림청/2018/edit-insert-page-break-005030.hwp	산림청	2018	hwp	12	3	9	0
w2_edit_insert_page_break-005031	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/중소벤처기업부/2018/edit-insert-page-break-005031.hwpx	중소벤처기업부	2018	hwpx	13	1	12	0
w2_edit_insert_page_break-005032	edit-insert-page-break	mutate	MUTATE_DRIFT	samples/wave2/과학기술정보통신부/2018/edit-insert-page-break-005032.hwp	과학기술정보통신부	2018	hwp	14	2	11	0
w2_edit_insert_page_break-005033	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/문화체육관광부/2018/edit-insert-page-break-005033.hwpx	문화체육관광부	2018	hwpx	15	3	18	1
w2_edit_insert_page_break-005034	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/환경부/2018/edit-insert-page-break-005034.hwp	환경부	2018	hwp	16	1	17	1
w2_edit_insert_page_break-005035	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/해양수산부/2018/edit-insert-page-break-005035.hwpx	해양수산부	2018	hwpx	17	2	19	1
w2_edit_insert_page_break-005036	edit-insert-page-break	mutate	MUTATE_DRIFT	samples/wave2/서울특별시/2018/edit-insert-page-break-005036.hwp	서울특별시	2018	hwp	18	3	22	1
w2_edit_insert_page_break-005037	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/경기도/2018/edit-insert-page-break-005037.hwpx	경기도	2018	hwpx	19	1	18	0
w2_edit_insert_page_break-005038	edit-insert-page-break	mutate	MUTATE_OK	samples/wave2/부산광역시/2018/edit-insert-page-break-005038.hwp	부산광역시	2018	hwp	20	2	18	0
