case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_insert_paragraph-005000	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/산림청/2017/edit-insert-paragraph-005000.hwp	산림청	2017	hwp	2	3	5	1
w2_edit_insert_paragraph-005001	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/중소벤처기업부/2017/edit-insert-paragraph-005001.hwpx	중소벤처기업부	2017	hwpx	3	1	5	1
w2_edit_insert_paragraph-005002	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/과학기술정보통신부/2017/edit-insert-paragraph-005002.hwp	과학기술정보통신부	2017	hwp	4	2	2	0
w2_edit_insert_paragraph-005003	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/문화체육관광부/2017/edit-insert-paragraph-005003.hwpx	문화체육관광부	2017	hwpx	5	3	2	0
w2_edit_insert_paragraph-005004	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/환경부/2017/edit-insert-paragraph-005004.hwp	환경부	2017	hwp	6	1	4	0
w2_edit_insert_paragraph-005005	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/해양수산부/2017/edit-insert-paragraph-005005.hwpx	해양수산부	2017	hwpx	7	2	9	1
w2_edit_insert_paragraph-005006	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/서울특별시/2017/edit-insert-paragraph-005006.hwp	서울특별시	2017	hwp	8	3	11	1
w2_edit_insert_paragraph-005007	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/경기도/2017/edit-insert-paragraph-005007.hwpx	경기도	2017	hwpx	9	1	10	1
w2_edit_insert_paragraph-005008	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/부산광역시/2017/edit-insert-paragraph-005008.hwp	부산광역시	2017	hwp	10	2	13	1
w2_edit_insert_paragraph-005009	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/제주특별자치도/2017/edit-insert-paragraph-005009.hwpx	제주특별자치도	2017	hwpx	11	3	8	0
w2_edit_insert_paragraph-005010	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/법제처/2018/edit-insert-paragraph-005010.hwp	법제처	2018	hwp	12	1	11	0
w2_edit_insert_paragraph-005011	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/행정안전부/2018/edit-insert-paragraph-005011.hwpx	행정안전부	2018	hwpx	13	2	10	0
w2_edit_insert_paragraph-005012	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/국세청/2018/edit-insert-paragraph-005012.hwp	국세청	2018	hwp	14	3	17	1
w2_edit_insert_paragraph-005013	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/대법원/2018/edit-insert-paragraph-005013.hwpx	대법원	2018	hwpx	15	1	16	1
w2_edit_insert_paragraph-005014	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/특허청/2018/edit-insert-paragraph-005014.hwp	특허청	2018	hwp	16	2	18	1
w2_edit_insert_paragraph-005015	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/교육부/2018/edit-insert-paragraph-005015.hwpx	교육부	2018	hwpx	17	3	21	1
w2_edit_insert_paragraph-005016	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/보건복지부/2018/edit-insert-paragraph-005016.hwp	보건복지부	2018	hwp	18	1	17	0
w2_edit_insert_paragraph-005017	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/국토교통부/2018/edit-insert-paragraph-005017.hwpx	국토교통부	2018	hwpx	19	2	17	0
w2_edit_insert_paragraph-005018	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/고용노동부/2018/edit-insert-paragraph-005018.hwp	고용노동부	2018	hwp	20	3	16	0
w2_edit_insert_paragraph-005019	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/외교부/2018/edit-insert-paragraph-005019.hwpx	외교부	2018	hwpx	21	1	22	1
w2_edit_insert_paragraph-005020	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/기획재정부/2018/edit-insert-paragraph-005020.hwp	기획재정부	2018	hwp	2	2	4	1
w2_edit_insert_paragraph-005021	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/공정거래위원회/2018/edit-insert-paragraph-005021.hwpx	공정거래위원회	2018	hwpx	3	3	6	1
w2_edit_insert_paragraph-005022	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/금융위원회/2018/edit-insert-paragraph-005022.hwp	금융위원회	2018	hwp	4	1	6	1
w2_edit_insert_paragraph-005023	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/통계청/2018/edit-insert-paragraph-005023.hwpx	통계청	2018	hwpx	5	2	3	0
w2_edit_insert_paragraph-005024	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/기상청/2018/edit-insert-paragraph-005024.hwp	기상청	2018	hwp	6	3	3	0
w2_edit_insert_paragraph-005025	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/관세청/2018/edit-insert-paragraph-005025.hwpx	관세청	2018	hwpx	7	1	5	0
w2_edit_insert_paragraph-005026	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/검찰청/2018/edit-insert-paragraph-005026.hwp	검찰청	2018	hwp	8	2	10	1
w2_edit_insert_paragraph-005027	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/경찰청/2018/edit-insert-paragraph-005027.hwpx	경찰청	2018	hwpx	9	3	12	1
w2_edit_insert_paragraph-005028	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/소방청/2018/edit-insert-paragraph-005028.hwp	소방청	2018	hwp	10	1	11	1
w2_edit_insert_paragraph-005029	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/병무청/2018/edit-insert-paragraph-005029.hwpx	병무청	2018	hwpx	11	2	14	1
w2_edit_insert_paragraph-005030	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/산림청/2018/edit-insert-paragraph-005030.hwp	산림청	2018	hwp	12	3	9	0
w2_edit_insert_paragraph-005031	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/중소벤처기업부/2018/edit-insert-paragraph-005031.hwpx	중소벤처기업부	2018	hwpx	13	1	12	0
w2_edit_insert_paragraph-005032	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/과학기술정보통신부/2018/edit-insert-paragraph-005032.hwp	과학기술정보통신부	2018	hwp	14	2	11	0
w2_edit_insert_paragraph-005033	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/문화체육관광부/2018/edit-insert-paragraph-005033.hwpx	문화체육관광부	2018	hwpx	15	3	18	1
w2_edit_insert_paragraph-005034	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/환경부/2018/edit-insert-paragraph-005034.hwp	환경부	2018	hwp	16	1	17	1
w2_edit_insert_paragraph-005035	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/해양수산부/2018/edit-insert-paragraph-005035.hwpx	해양수산부	2018	hwpx	17	2	19	1
w2_edit_insert_paragraph-005036	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/서울특별시/2018/edit-insert-paragraph-005036.hwp	서울특별시	2018	hwp	18	3	22	1
w2_edit_insert_paragraph-005037	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/경기도/2018/edit-insert-paragraph-005037.hwpx	경기도	2018	hwpx	19	1	18	0
w2_edit_insert_paragraph-005038	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/부산광역시/2018/edit-insert-paragraph-005038.hwp	부산광역시	2018	hwp	20	2	18	0
w2_edit_insert_paragraph-005039	edit-insert-paragraph	mutate	MUTATE_DRIFT	samples/wave2/제주특별자치도/2018/edit-insert-paragraph-005039.hwpx	제주특별자치도	2018	hwpx	21	3	17	0
w2_edit_insert_paragraph-005040	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/법제처/2019/edit-insert-paragraph-005040.hwp	법제처	2019	hwp	2	1	3	1
w2_edit_insert_paragraph-005041	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/행정안전부/2019/edit-insert-paragraph-005041.hwpx	행정안전부	2019	hwpx	3	2	5	1
w2_edit_insert_paragraph-005042	edit-insert-paragraph	mutate	MUTATE_OK	samples/wave2/국세청/2019/edit-insert-paragraph-005042.hwp	국세청	2019	hwp	4	3	7	1
