case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_insert_picture-010000	edit-insert-picture	bbox	BBOX_OK	samples/wave2/기획재정부/2019/edit-insert-picture-010000.hwp	기획재정부	2019	hwp	198	200	278	280
w2_edit_insert_picture-010001	edit-insert-picture	bbox	BBOX_OOB	samples/wave2/공정거래위원회/2019/edit-insert-picture-010001.hwpx	공정거래위원회	2019	hwpx	204	201	278	281
w2_edit_insert_picture-010002	edit-insert-picture	bbox	BBOX_OOB	samples/wave2/금융위원회/2019/edit-insert-picture-010002.hwp	금융위원회	2019	hwp	206	202	286	282
w2_edit_insert_picture-010003	edit-insert-picture	bbox	BBOX_OK	samples/wave2/통계청/2019/edit-insert-picture-010003.hwpx	통계청	2019	hwpx	198	203	278	283
w2_edit_insert_picture-010004	edit-insert-picture	bbox	BBOX_OK	samples/wave2/기상청/2019/edit-insert-picture-010004.hwp	기상청	2019	hwp	198	204	278	284
w2_edit_insert_picture-010005	edit-insert-picture	bbox	BBOX_OK	samples/wave2/관세청/2019/edit-insert-picture-010005.hwpx	관세청	2019	hwpx	198	205	278	285
w2_edit_insert_picture-010006	edit-insert-picture	bbox	BBOX_OK	samples/wave2/검찰청/2019/edit-insert-picture-010006.hwp	검찰청	2019	hwp	198	206	278	286
w2_edit_insert_picture-010007	edit-insert-picture	bbox	BBOX_OK	samples/wave2/경찰청/2019/edit-insert-picture-010007.hwpx	경찰청	2019	hwpx	198	207	278	287
w2_edit_insert_picture-010008	edit-insert-picture	bbox	BBOX_OOB	samples/wave2/소방청/2019/edit-insert-picture-010008.hwp	소방청	2019	hwp	209	208	287	288
w2_edit_insert_picture-010009	edit-insert-picture	bbox	BBOX_OOB	samples/wave2/병무청/2019/edit-insert-picture-010009.hwpx	병무청	2019	hwpx	211	209	291	289
w2_edit_insert_picture-010010	edit-insert-picture	bbox	BBOX_OK	samples/wave2/산림청/2019/edit-insert-picture-010010.hwp	산림청	2019	hwp	207	210	287	290
w2_edit_insert_picture-010011	edit-insert-picture	bbox	BBOX_OK	samples/wave2/중소벤처기업부/2019/edit-insert-picture-010011.hwpx	중소벤처기업부	2019	hwpx	207	211	287	291
