case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_insert_table-015000	edit-insert-table	dims	DIM_DRIFT	samples/wave2/법제처/2021/edit-insert-table-015000.hwp	법제처	2021	hwp	2	2	3	3
w2_edit_insert_table-015001	edit-insert-table	dims	DIM_OK	samples/wave2/행정안전부/2021/edit-insert-table-015001.hwpx	행정안전부	2021	hwpx	3	2	3	2
w2_edit_insert_table-015002	edit-insert-table	dims	DIM_OK	samples/wave2/국세청/2021/edit-insert-table-015002.hwp	국세청	2021	hwp	4	3	4	3
w2_edit_insert_table-015003	edit-insert-table	dims	DIM_OK	samples/wave2/대법원/2021/edit-insert-table-015003.hwpx	대법원	2021	hwpx	5	3	5	3
w2_edit_insert_table-015004	edit-insert-table	dims	DIM_OK	samples/wave2/특허청/2021/edit-insert-table-015004.hwp	특허청	2021	hwp	6	4	6	4
w2_edit_insert_table-015005	edit-insert-table	dims	DIM_OK	samples/wave2/교육부/2021/edit-insert-table-015005.hwpx	교육부	2021	hwpx	7	4	7	4
w2_edit_insert_table-015006	edit-insert-table	dims	DIM_DRIFT	samples/wave2/보건복지부/2021/edit-insert-table-015006.hwp	보건복지부	2021	hwp	8	5	9	5
w2_edit_insert_table-015007	edit-insert-table	dims	DIM_DRIFT	samples/wave2/국토교통부/2021/edit-insert-table-015007.hwpx	국토교통부	2021	hwpx	9	5	10	6
w2_edit_insert_table-015008	edit-insert-table	dims	DIM_OK	samples/wave2/고용노동부/2021/edit-insert-table-015008.hwp	고용노동부	2021	hwp	10	6	10	6
w2_edit_insert_table-015009	edit-insert-table	dims	DIM_OK	samples/wave2/외교부/2021/edit-insert-table-015009.hwpx	외교부	2021	hwpx	11	6	11	6
w2_edit_insert_table-015010	edit-insert-table	dims	DIM_OK	samples/wave2/기획재정부/2021/edit-insert-table-015010.hwp	기획재정부	2021	hwp	12	7	12	7
w2_edit_insert_table-015011	edit-insert-table	dims	DIM_OK	samples/wave2/공정거래위원회/2021/edit-insert-table-015011.hwpx	공정거래위원회	2021	hwpx	13	7	13	7
w2_edit_insert_table-015012	edit-insert-table	dims	DIM_OK	samples/wave2/금융위원회/2021/edit-insert-table-015012.hwp	금융위원회	2021	hwp	2	8	2	8
w2_edit_insert_table-015013	edit-insert-table	dims	DIM_DRIFT	samples/wave2/통계청/2021/edit-insert-table-015013.hwpx	통계청	2021	hwpx	3	8	4	8
w2_edit_insert_table-015014	edit-insert-table	dims	DIM_DRIFT	samples/wave2/기상청/2021/edit-insert-table-015014.hwp	기상청	2021	hwp	4	9	5	10
w2_edit_insert_table-015015	edit-insert-table	dims	DIM_OK	samples/wave2/관세청/2021/edit-insert-table-015015.hwpx	관세청	2021	hwpx	5	9	5	9
w2_edit_insert_table-015016	edit-insert-table	dims	DIM_OK	samples/wave2/검찰청/2021/edit-insert-table-015016.hwp	검찰청	2021	hwp	6	10	6	10
w2_edit_insert_table-015017	edit-insert-table	dims	DIM_OK	samples/wave2/경찰청/2021/edit-insert-table-015017.hwpx	경찰청	2021	hwpx	7	10	7	10
w2_edit_insert_table-015018	edit-insert-table	dims	DIM_OK	samples/wave2/소방청/2021/edit-insert-table-015018.hwp	소방청	2021	hwp	8	11	8	11
w2_edit_insert_table-015019	edit-insert-table	dims	DIM_OK	samples/wave2/병무청/2021/edit-insert-table-015019.hwpx	병무청	2021	hwpx	9	11	9	11
w2_edit_insert_table-015020	edit-insert-table	dims	DIM_DRIFT	samples/wave2/산림청/2021/edit-insert-table-015020.hwp	산림청	2021	hwp	10	2	11	2
w2_edit_insert_table-015021	edit-insert-table	dims	DIM_DRIFT	samples/wave2/중소벤처기업부/2021/edit-insert-table-015021.hwpx	중소벤처기업부	2021	hwpx	11	2	12	3
w2_edit_insert_table-015022	edit-insert-table	dims	DIM_OK	samples/wave2/과학기술정보통신부/2021/edit-insert-table-015022.hwp	과학기술정보통신부	2021	hwp	12	3	12	3
w2_edit_insert_table-015023	edit-insert-table	dims	DIM_OK	samples/wave2/문화체육관광부/2021/edit-insert-table-015023.hwpx	문화체육관광부	2021	hwpx	13	3	13	3
w2_edit_insert_table-015024	edit-insert-table	dims	DIM_OK	samples/wave2/환경부/2021/edit-insert-table-015024.hwp	환경부	2021	hwp	2	4	2	4
w2_edit_insert_table-015025	edit-insert-table	dims	DIM_OK	samples/wave2/해양수산부/2021/edit-insert-table-015025.hwpx	해양수산부	2021	hwpx	3	4	3	4
w2_edit_insert_table-015026	edit-insert-table	dims	DIM_OK	samples/wave2/서울특별시/2021/edit-insert-table-015026.hwp	서울특별시	2021	hwp	4	5	4	5
w2_edit_insert_table-015027	edit-insert-table	dims	DIM_DRIFT	samples/wave2/경기도/2021/edit-insert-table-015027.hwpx	경기도	2021	hwpx	5	5	6	5
w2_edit_insert_table-015028	edit-insert-table	dims	DIM_DRIFT	samples/wave2/부산광역시/2021/edit-insert-table-015028.hwp	부산광역시	2021	hwp	6	6	7	7
w2_edit_insert_table-015029	edit-insert-table	dims	DIM_OK	samples/wave2/제주특별자치도/2021/edit-insert-table-015029.hwpx	제주특별자치도	2021	hwpx	7	6	7	6
w2_edit_insert_table-015030	edit-insert-table	dims	DIM_OK	samples/wave2/법제처/2022/edit-insert-table-015030.hwp	법제처	2022	hwp	8	7	8	7
w2_edit_insert_table-015031	edit-insert-table	dims	DIM_OK	samples/wave2/행정안전부/2022/edit-insert-table-015031.hwpx	행정안전부	2022	hwpx	9	7	9	7
w2_edit_insert_table-015032	edit-insert-table	dims	DIM_OK	samples/wave2/국세청/2022/edit-insert-table-015032.hwp	국세청	2022	hwp	10	8	10	8
w2_edit_insert_table-015033	edit-insert-table	dims	DIM_OK	samples/wave2/대법원/2022/edit-insert-table-015033.hwpx	대법원	2022	hwpx	11	8	11	8
w2_edit_insert_table-015034	edit-insert-table	dims	DIM_DRIFT	samples/wave2/특허청/2022/edit-insert-table-015034.hwp	특허청	2022	hwp	12	9	13	9
w2_edit_insert_table-015035	edit-insert-table	dims	DIM_DRIFT	samples/wave2/교육부/2022/edit-insert-table-015035.hwpx	교육부	2022	hwpx	13	9	14	10
w2_edit_insert_table-015036	edit-insert-table	dims	DIM_OK	samples/wave2/보건복지부/2022/edit-insert-table-015036.hwp	보건복지부	2022	hwp	2	10	2	10
w2_edit_insert_table-015037	edit-insert-table	dims	DIM_OK	samples/wave2/국토교통부/2022/edit-insert-table-015037.hwpx	국토교통부	2022	hwpx	3	10	3	10
w2_edit_insert_table-015038	edit-insert-table	dims	DIM_OK	samples/wave2/고용노동부/2022/edit-insert-table-015038.hwp	고용노동부	2022	hwp	4	11	4	11
w2_edit_insert_table-015039	edit-insert-table	dims	DIM_OK	samples/wave2/외교부/2022/edit-insert-table-015039.hwpx	외교부	2022	hwpx	5	11	5	11
