case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_merge_cells-015000	edit-merge-cells	span	SPAN_OOB	samples/wave2/법제처/2021/edit-merge-cells-015000.hwp	법제처	2021	hwp	2	2	3	1
w2_edit_merge_cells-015001	edit-merge-cells	span	SPAN_OK	samples/wave2/행정안전부/2021/edit-merge-cells-015001.hwpx	행정안전부	2021	hwpx	3	2	2	1
w2_edit_merge_cells-015002	edit-merge-cells	span	SPAN_OK	samples/wave2/국세청/2021/edit-merge-cells-015002.hwp	국세청	2021	hwp	4	2	3	2
w2_edit_merge_cells-015003	edit-merge-cells	span	SPAN_OK	samples/wave2/대법원/2021/edit-merge-cells-015003.hwpx	대법원	2021	hwpx	5	3	4	2
w2_edit_merge_cells-015004	edit-merge-cells	span	SPAN_OK	samples/wave2/특허청/2021/edit-merge-cells-015004.hwp	특허청	2021	hwp	6	3	5	3
w2_edit_merge_cells-015005	edit-merge-cells	span	SPAN_OK	samples/wave2/교육부/2021/edit-merge-cells-015005.hwpx	교육부	2021	hwpx	7	3	5	3
w2_edit_merge_cells-015006	edit-merge-cells	span	SPAN_OK	samples/wave2/보건복지부/2021/edit-merge-cells-015006.hwp	보건복지부	2021	hwp	8	4	7	4
w2_edit_merge_cells-015007	edit-merge-cells	span	SPAN_OOB	samples/wave2/국토교통부/2021/edit-merge-cells-015007.hwpx	국토교통부	2021	hwpx	9	4	10	4
w2_edit_merge_cells-015008	edit-merge-cells	span	SPAN_OK	samples/wave2/고용노동부/2021/edit-merge-cells-015008.hwp	고용노동부	2021	hwp	2	4	1	1
w2_edit_merge_cells-015009	edit-merge-cells	span	SPAN_OK	samples/wave2/외교부/2021/edit-merge-cells-015009.hwpx	외교부	2021	hwpx	3	5	1	5
w2_edit_merge_cells-015010	edit-merge-cells	span	SPAN_OK	samples/wave2/기획재정부/2021/edit-merge-cells-015010.hwp	기획재정부	2021	hwp	4	5	3	1
w2_edit_merge_cells-015011	edit-merge-cells	span	SPAN_OK	samples/wave2/공정거래위원회/2021/edit-merge-cells-015011.hwpx	공정거래위원회	2021	hwpx	5	5	2	1
w2_edit_merge_cells-015012	edit-merge-cells	span	SPAN_OK	samples/wave2/금융위원회/2021/edit-merge-cells-015012.hwp	금융위원회	2021	hwp	6	6	1	1
w2_edit_merge_cells-015013	edit-merge-cells	span	SPAN_OK	samples/wave2/통계청/2021/edit-merge-cells-015013.hwpx	통계청	2021	hwpx	7	6	6	1
w2_edit_merge_cells-015014	edit-merge-cells	span	SPAN_OOB	samples/wave2/기상청/2021/edit-merge-cells-015014.hwp	기상청	2021	hwp	8	6	9	2
w2_edit_merge_cells-015015	edit-merge-cells	span	SPAN_OK	samples/wave2/관세청/2021/edit-merge-cells-015015.hwpx	관세청	2021	hwpx	9	7	4	4
w2_edit_merge_cells-015016	edit-merge-cells	span	SPAN_OK	samples/wave2/검찰청/2021/edit-merge-cells-015016.hwp	검찰청	2021	hwp	2	7	1	5
w2_edit_merge_cells-015017	edit-merge-cells	span	SPAN_OK	samples/wave2/경찰청/2021/edit-merge-cells-015017.hwpx	경찰청	2021	hwpx	3	7	3	5
w2_edit_merge_cells-015018	edit-merge-cells	span	SPAN_OK	samples/wave2/소방청/2021/edit-merge-cells-015018.hwp	소방청	2021	hwp	4	8	3	6
w2_edit_merge_cells-015019	edit-merge-cells	span	SPAN_OK	samples/wave2/병무청/2021/edit-merge-cells-015019.hwpx	병무청	2021	hwpx	5	8	5	6
w2_edit_merge_cells-015020	edit-merge-cells	span	SPAN_OK	samples/wave2/산림청/2021/edit-merge-cells-015020.hwp	산림청	2021	hwp	6	8	3	7
w2_edit_merge_cells-015021	edit-merge-cells	span	SPAN_OOB	samples/wave2/중소벤처기업부/2021/edit-merge-cells-015021.hwpx	중소벤처기업부	2021	hwpx	7	9	8	5
w2_edit_merge_cells-015022	edit-merge-cells	span	SPAN_OK	samples/wave2/과학기술정보통신부/2021/edit-merge-cells-015022.hwp	과학기술정보통신부	2021	hwp	8	9	7	6
w2_edit_merge_cells-015023	edit-merge-cells	span	SPAN_OK	samples/wave2/문화체육관광부/2021/edit-merge-cells-015023.hwpx	문화체육관광부	2021	hwpx	9	9	3	6
w2_edit_merge_cells-015024	edit-merge-cells	span	SPAN_OK	samples/wave2/환경부/2021/edit-merge-cells-015024.hwp	환경부	2021	hwp	2	2	1	1
w2_edit_merge_cells-015025	edit-merge-cells	span	SPAN_OK	samples/wave2/해양수산부/2021/edit-merge-cells-015025.hwpx	해양수산부	2021	hwpx	3	2	2	1
w2_edit_merge_cells-015026	edit-merge-cells	span	SPAN_OK	samples/wave2/서울특별시/2021/edit-merge-cells-015026.hwp	서울특별시	2021	hwp	4	2	3	2
w2_edit_merge_cells-015027	edit-merge-cells	span	SPAN_OK	samples/wave2/경기도/2021/edit-merge-cells-015027.hwpx	경기도	2021	hwpx	5	3	3	2
w2_edit_merge_cells-015028	edit-merge-cells	span	SPAN_OOB	samples/wave2/부산광역시/2021/edit-merge-cells-015028.hwp	부산광역시	2021	hwp	6	3	7	3
w2_edit_merge_cells-015029	edit-merge-cells	span	SPAN_OK	samples/wave2/제주특별자치도/2021/edit-merge-cells-015029.hwpx	제주특별자치도	2021	hwpx	7	3	1	3
w2_edit_merge_cells-015030	edit-merge-cells	span	SPAN_OK	samples/wave2/법제처/2022/edit-merge-cells-015030.hwp	법제처	2022	hwp	8	4	7	4
w2_edit_merge_cells-015031	edit-merge-cells	span	SPAN_OK	samples/wave2/행정안전부/2022/edit-merge-cells-015031.hwpx	행정안전부	2022	hwpx	9	4	2	4
w2_edit_merge_cells-015032	edit-merge-cells	span	SPAN_OK	samples/wave2/국세청/2022/edit-merge-cells-015032.hwp	국세청	2022	hwp	2	4	1	1
w2_edit_merge_cells-015033	edit-merge-cells	span	SPAN_OK	samples/wave2/대법원/2022/edit-merge-cells-015033.hwpx	대법원	2022	hwpx	3	5	1	2
w2_edit_merge_cells-015034	edit-merge-cells	span	SPAN_OK	samples/wave2/특허청/2022/edit-merge-cells-015034.hwp	특허청	2022	hwp	4	5	3	3
w2_edit_merge_cells-015035	edit-merge-cells	span	SPAN_OOB	samples/wave2/교육부/2022/edit-merge-cells-015035.hwpx	교육부	2022	hwpx	5	5	6	3
w2_edit_merge_cells-015036	edit-merge-cells	span	SPAN_OK	samples/wave2/보건복지부/2022/edit-merge-cells-015036.hwp	보건복지부	2022	hwp	6	6	1	1
w2_edit_merge_cells-015037	edit-merge-cells	span	SPAN_OK	samples/wave2/국토교통부/2022/edit-merge-cells-015037.hwpx	국토교통부	2022	hwpx	7	6	2	1
w2_edit_merge_cells-015038	edit-merge-cells	span	SPAN_OK	samples/wave2/고용노동부/2022/edit-merge-cells-015038.hwp	고용노동부	2022	hwp	8	6	7	2
w2_edit_merge_cells-015039	edit-merge-cells	span	SPAN_OK	samples/wave2/외교부/2022/edit-merge-cells-015039.hwpx	외교부	2022	hwpx	9	7	1	2
w2_edit_merge_cells-015040	edit-merge-cells	span	SPAN_OK	samples/wave2/기획재정부/2022/edit-merge-cells-015040.hwp	기획재정부	2022	hwp	2	7	1	3
w2_edit_merge_cells-015041	edit-merge-cells	span	SPAN_OK	samples/wave2/공정거래위원회/2022/edit-merge-cells-015041.hwpx	공정거래위원회	2022	hwpx	3	7	3	3
w2_edit_merge_cells-015042	edit-merge-cells	span	SPAN_OOB	samples/wave2/금융위원회/2022/edit-merge-cells-015042.hwp	금융위원회	2022	hwp	4	8	5	2
w2_edit_merge_cells-015043	edit-merge-cells	span	SPAN_OK	samples/wave2/통계청/2022/edit-merge-cells-015043.hwpx	통계청	2022	hwpx	5	8	4	2
w2_edit_merge_cells-015044	edit-merge-cells	span	SPAN_OK	samples/wave2/기상청/2022/edit-merge-cells-015044.hwp	기상청	2022	hwp	6	8	3	3
w2_edit_merge_cells-015045	edit-merge-cells	span	SPAN_OK	samples/wave2/관세청/2022/edit-merge-cells-015045.hwpx	관세청	2022	hwpx	7	9	3	8
w2_edit_merge_cells-015046	edit-merge-cells	span	SPAN_OK	samples/wave2/검찰청/2022/edit-merge-cells-015046.hwp	검찰청	2022	hwp	8	9	7	9
w2_edit_merge_cells-015047	edit-merge-cells	span	SPAN_OK	samples/wave2/경찰청/2022/edit-merge-cells-015047.hwpx	경찰청	2022	hwpx	9	9	9	9
w2_edit_merge_cells-015048	edit-merge-cells	span	SPAN_OK	samples/wave2/소방청/2022/edit-merge-cells-015048.hwp	소방청	2022	hwp	2	2	1	1
w2_edit_merge_cells-015049	edit-merge-cells	span	SPAN_OOB	samples/wave2/병무청/2022/edit-merge-cells-015049.hwpx	병무청	2022	hwpx	3	2	4	1
w2_edit_merge_cells-015050	edit-merge-cells	span	SPAN_OK	samples/wave2/산림청/2022/edit-merge-cells-015050.hwp	산림청	2022	hwp	4	2	3	2
w2_edit_merge_cells-015051	edit-merge-cells	span	SPAN_OK	samples/wave2/중소벤처기업부/2022/edit-merge-cells-015051.hwpx	중소벤처기업부	2022	hwpx	5	3	2	2
w2_edit_merge_cells-015052	edit-merge-cells	span	SPAN_OK	samples/wave2/과학기술정보통신부/2022/edit-merge-cells-015052.hwp	과학기술정보통신부	2022	hwp	6	3	5	3
w2_edit_merge_cells-015053	edit-merge-cells	span	SPAN_OK	samples/wave2/문화체육관광부/2022/edit-merge-cells-015053.hwpx	문화체육관광부	2022	hwpx	7	3	4	3
w2_edit_merge_cells-015054	edit-merge-cells	span	SPAN_OK	samples/wave2/환경부/2022/edit-merge-cells-015054.hwp	환경부	2022	hwp	8	4	7	4
