case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_set_column_widths-015000	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/법제처/2021/edit-set-column-widths-015000.hwp	법제처	2021	hwp	2	2	3	3
w2_edit_set_column_widths-015001	edit-set-column-widths	dims	DIM_OK	samples/wave2/행정안전부/2021/edit-set-column-widths-015001.hwpx	행정안전부	2021	hwpx	3	2	3	2
w2_edit_set_column_widths-015002	edit-set-column-widths	dims	DIM_OK	samples/wave2/국세청/2021/edit-set-column-widths-015002.hwp	국세청	2021	hwp	4	3	4	3
w2_edit_set_column_widths-015003	edit-set-column-widths	dims	DIM_OK	samples/wave2/대법원/2021/edit-set-column-widths-015003.hwpx	대법원	2021	hwpx	5	3	5	3
w2_edit_set_column_widths-015004	edit-set-column-widths	dims	DIM_OK	samples/wave2/특허청/2021/edit-set-column-widths-015004.hwp	특허청	2021	hwp	6	4	6	4
w2_edit_set_column_widths-015005	edit-set-column-widths	dims	DIM_OK	samples/wave2/교육부/2021/edit-set-column-widths-015005.hwpx	교육부	2021	hwpx	7	4	7	4
w2_edit_set_column_widths-015006	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/보건복지부/2021/edit-set-column-widths-015006.hwp	보건복지부	2021	hwp	8	5	9	5
w2_edit_set_column_widths-015007	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/국토교통부/2021/edit-set-column-widths-015007.hwpx	국토교통부	2021	hwpx	9	5	10	6
w2_edit_set_column_widths-015008	edit-set-column-widths	dims	DIM_OK	samples/wave2/고용노동부/2021/edit-set-column-widths-015008.hwp	고용노동부	2021	hwp	10	6	10	6
w2_edit_set_column_widths-015009	edit-set-column-widths	dims	DIM_OK	samples/wave2/외교부/2021/edit-set-column-widths-015009.hwpx	외교부	2021	hwpx	11	6	11	6
w2_edit_set_column_widths-015010	edit-set-column-widths	dims	DIM_OK	samples/wave2/기획재정부/2021/edit-set-column-widths-015010.hwp	기획재정부	2021	hwp	12	7	12	7
w2_edit_set_column_widths-015011	edit-set-column-widths	dims	DIM_OK	samples/wave2/공정거래위원회/2021/edit-set-column-widths-015011.hwpx	공정거래위원회	2021	hwpx	13	7	13	7
w2_edit_set_column_widths-015012	edit-set-column-widths	dims	DIM_OK	samples/wave2/금융위원회/2021/edit-set-column-widths-015012.hwp	금융위원회	2021	hwp	2	8	2	8
w2_edit_set_column_widths-015013	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/통계청/2021/edit-set-column-widths-015013.hwpx	통계청	2021	hwpx	3	8	4	8
w2_edit_set_column_widths-015014	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/기상청/2021/edit-set-column-widths-015014.hwp	기상청	2021	hwp	4	9	5	10
w2_edit_set_column_widths-015015	edit-set-column-widths	dims	DIM_OK	samples/wave2/관세청/2021/edit-set-column-widths-015015.hwpx	관세청	2021	hwpx	5	9	5	9
w2_edit_set_column_widths-015016	edit-set-column-widths	dims	DIM_OK	samples/wave2/검찰청/2021/edit-set-column-widths-015016.hwp	검찰청	2021	hwp	6	10	6	10
w2_edit_set_column_widths-015017	edit-set-column-widths	dims	DIM_OK	samples/wave2/경찰청/2021/edit-set-column-widths-015017.hwpx	경찰청	2021	hwpx	7	10	7	10
w2_edit_set_column_widths-015018	edit-set-column-widths	dims	DIM_OK	samples/wave2/소방청/2021/edit-set-column-widths-015018.hwp	소방청	2021	hwp	8	11	8	11
w2_edit_set_column_widths-015019	edit-set-column-widths	dims	DIM_OK	samples/wave2/병무청/2021/edit-set-column-widths-015019.hwpx	병무청	2021	hwpx	9	11	9	11
w2_edit_set_column_widths-015020	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/산림청/2021/edit-set-column-widths-015020.hwp	산림청	2021	hwp	10	2	11	2
w2_edit_set_column_widths-015021	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/중소벤처기업부/2021/edit-set-column-widths-015021.hwpx	중소벤처기업부	2021	hwpx	11	2	12	3
w2_edit_set_column_widths-015022	edit-set-column-widths	dims	DIM_OK	samples/wave2/과학기술정보통신부/2021/edit-set-column-widths-015022.hwp	과학기술정보통신부	2021	hwp	12	3	12	3
w2_edit_set_column_widths-015023	edit-set-column-widths	dims	DIM_OK	samples/wave2/문화체육관광부/2021/edit-set-column-widths-015023.hwpx	문화체육관광부	2021	hwpx	13	3	13	3
w2_edit_set_column_widths-015024	edit-set-column-widths	dims	DIM_OK	samples/wave2/환경부/2021/edit-set-column-widths-015024.hwp	환경부	2021	hwp	2	4	2	4
w2_edit_set_column_widths-015025	edit-set-column-widths	dims	DIM_OK	samples/wave2/해양수산부/2021/edit-set-column-widths-015025.hwpx	해양수산부	2021	hwpx	3	4	3	4
w2_edit_set_column_widths-015026	edit-set-column-widths	dims	DIM_OK	samples/wave2/서울특별시/2021/edit-set-column-widths-015026.hwp	서울특별시	2021	hwp	4	5	4	5
w2_edit_set_column_widths-015027	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/경기도/2021/edit-set-column-widths-015027.hwpx	경기도	2021	hwpx	5	5	6	5
w2_edit_set_column_widths-015028	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/부산광역시/2021/edit-set-column-widths-015028.hwp	부산광역시	2021	hwp	6	6	7	7
w2_edit_set_column_widths-015029	edit-set-column-widths	dims	DIM_OK	samples/wave2/제주특별자치도/2021/edit-set-column-widths-015029.hwpx	제주특별자치도	2021	hwpx	7	6	7	6
w2_edit_set_column_widths-015030	edit-set-column-widths	dims	DIM_OK	samples/wave2/법제처/2022/edit-set-column-widths-015030.hwp	법제처	2022	hwp	8	7	8	7
w2_edit_set_column_widths-015031	edit-set-column-widths	dims	DIM_OK	samples/wave2/행정안전부/2022/edit-set-column-widths-015031.hwpx	행정안전부	2022	hwpx	9	7	9	7
w2_edit_set_column_widths-015032	edit-set-column-widths	dims	DIM_OK	samples/wave2/국세청/2022/edit-set-column-widths-015032.hwp	국세청	2022	hwp	10	8	10	8
w2_edit_set_column_widths-015033	edit-set-column-widths	dims	DIM_OK	samples/wave2/대법원/2022/edit-set-column-widths-015033.hwpx	대법원	2022	hwpx	11	8	11	8
w2_edit_set_column_widths-015034	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/특허청/2022/edit-set-column-widths-015034.hwp	특허청	2022	hwp	12	9	13	9
w2_edit_set_column_widths-015035	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/교육부/2022/edit-set-column-widths-015035.hwpx	교육부	2022	hwpx	13	9	14	10
w2_edit_set_column_widths-015036	edit-set-column-widths	dims	DIM_OK	samples/wave2/보건복지부/2022/edit-set-column-widths-015036.hwp	보건복지부	2022	hwp	2	10	2	10
w2_edit_set_column_widths-015037	edit-set-column-widths	dims	DIM_OK	samples/wave2/국토교통부/2022/edit-set-column-widths-015037.hwpx	국토교통부	2022	hwpx	3	10	3	10
w2_edit_set_column_widths-015038	edit-set-column-widths	dims	DIM_OK	samples/wave2/고용노동부/2022/edit-set-column-widths-015038.hwp	고용노동부	2022	hwp	4	11	4	11
w2_edit_set_column_widths-015039	edit-set-column-widths	dims	DIM_OK	samples/wave2/외교부/2022/edit-set-column-widths-015039.hwpx	외교부	2022	hwpx	5	11	5	11
w2_edit_set_column_widths-015040	edit-set-column-widths	dims	DIM_OK	samples/wave2/기획재정부/2022/edit-set-column-widths-015040.hwp	기획재정부	2022	hwp	6	2	6	2
w2_edit_set_column_widths-015041	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/공정거래위원회/2022/edit-set-column-widths-015041.hwpx	공정거래위원회	2022	hwpx	7	2	8	2
w2_edit_set_column_widths-015042	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/금융위원회/2022/edit-set-column-widths-015042.hwp	금융위원회	2022	hwp	8	3	9	4
w2_edit_set_column_widths-015043	edit-set-column-widths	dims	DIM_OK	samples/wave2/통계청/2022/edit-set-column-widths-015043.hwpx	통계청	2022	hwpx	9	3	9	3
w2_edit_set_column_widths-015044	edit-set-column-widths	dims	DIM_OK	samples/wave2/기상청/2022/edit-set-column-widths-015044.hwp	기상청	2022	hwp	10	4	10	4
w2_edit_set_column_widths-015045	edit-set-column-widths	dims	DIM_OK	samples/wave2/관세청/2022/edit-set-column-widths-015045.hwpx	관세청	2022	hwpx	11	4	11	4
w2_edit_set_column_widths-015046	edit-set-column-widths	dims	DIM_OK	samples/wave2/검찰청/2022/edit-set-column-widths-015046.hwp	검찰청	2022	hwp	12	5	12	5
w2_edit_set_column_widths-015047	edit-set-column-widths	dims	DIM_OK	samples/wave2/경찰청/2022/edit-set-column-widths-015047.hwpx	경찰청	2022	hwpx	13	5	13	5
w2_edit_set_column_widths-015048	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/소방청/2022/edit-set-column-widths-015048.hwp	소방청	2022	hwp	2	6	3	6
w2_edit_set_column_widths-015049	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/병무청/2022/edit-set-column-widths-015049.hwpx	병무청	2022	hwpx	3	6	4	7
w2_edit_set_column_widths-015050	edit-set-column-widths	dims	DIM_OK	samples/wave2/산림청/2022/edit-set-column-widths-015050.hwp	산림청	2022	hwp	4	7	4	7
w2_edit_set_column_widths-015051	edit-set-column-widths	dims	DIM_OK	samples/wave2/중소벤처기업부/2022/edit-set-column-widths-015051.hwpx	중소벤처기업부	2022	hwpx	5	7	5	7
w2_edit_set_column_widths-015052	edit-set-column-widths	dims	DIM_OK	samples/wave2/과학기술정보통신부/2022/edit-set-column-widths-015052.hwp	과학기술정보통신부	2022	hwp	6	8	6	8
w2_edit_set_column_widths-015053	edit-set-column-widths	dims	DIM_OK	samples/wave2/문화체육관광부/2022/edit-set-column-widths-015053.hwpx	문화체육관광부	2022	hwpx	7	8	7	8
w2_edit_set_column_widths-015054	edit-set-column-widths	dims	DIM_OK	samples/wave2/환경부/2022/edit-set-column-widths-015054.hwp	환경부	2022	hwp	8	9	8	9
w2_edit_set_column_widths-015055	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/해양수산부/2022/edit-set-column-widths-015055.hwpx	해양수산부	2022	hwpx	9	9	10	9
w2_edit_set_column_widths-015056	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/서울특별시/2022/edit-set-column-widths-015056.hwp	서울특별시	2022	hwp	10	10	11	11
w2_edit_set_column_widths-015057	edit-set-column-widths	dims	DIM_OK	samples/wave2/경기도/2022/edit-set-column-widths-015057.hwpx	경기도	2022	hwpx	11	10	11	10
w2_edit_set_column_widths-015058	edit-set-column-widths	dims	DIM_OK	samples/wave2/부산광역시/2022/edit-set-column-widths-015058.hwp	부산광역시	2022	hwp	12	11	12	11
w2_edit_set_column_widths-015059	edit-set-column-widths	dims	DIM_OK	samples/wave2/제주특별자치도/2022/edit-set-column-widths-015059.hwpx	제주특별자치도	2022	hwpx	13	11	13	11
w2_edit_set_column_widths-015060	edit-set-column-widths	dims	DIM_OK	samples/wave2/법제처/2023/edit-set-column-widths-015060.hwp	법제처	2023	hwp	2	2	2	2
w2_edit_set_column_widths-015061	edit-set-column-widths	dims	DIM_OK	samples/wave2/행정안전부/2023/edit-set-column-widths-015061.hwpx	행정안전부	2023	hwpx	3	2	3	2
w2_edit_set_column_widths-015062	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/국세청/2023/edit-set-column-widths-015062.hwp	국세청	2023	hwp	4	3	5	3
w2_edit_set_column_widths-015063	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/대법원/2023/edit-set-column-widths-015063.hwpx	대법원	2023	hwpx	5	3	6	4
w2_edit_set_column_widths-015064	edit-set-column-widths	dims	DIM_OK	samples/wave2/특허청/2023/edit-set-column-widths-015064.hwp	특허청	2023	hwp	6	4	6	4
w2_edit_set_column_widths-015065	edit-set-column-widths	dims	DIM_OK	samples/wave2/교육부/2023/edit-set-column-widths-015065.hwpx	교육부	2023	hwpx	7	4	7	4
w2_edit_set_column_widths-015066	edit-set-column-widths	dims	DIM_OK	samples/wave2/보건복지부/2023/edit-set-column-widths-015066.hwp	보건복지부	2023	hwp	8	5	8	5
w2_edit_set_column_widths-015067	edit-set-column-widths	dims	DIM_OK	samples/wave2/국토교통부/2023/edit-set-column-widths-015067.hwpx	국토교통부	2023	hwpx	9	5	9	5
w2_edit_set_column_widths-015068	edit-set-column-widths	dims	DIM_OK	samples/wave2/고용노동부/2023/edit-set-column-widths-015068.hwp	고용노동부	2023	hwp	10	6	10	6
w2_edit_set_column_widths-015069	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/외교부/2023/edit-set-column-widths-015069.hwpx	외교부	2023	hwpx	11	6	12	6
w2_edit_set_column_widths-015070	edit-set-column-widths	dims	DIM_DRIFT	samples/wave2/기획재정부/2023/edit-set-column-widths-015070.hwp	기획재정부	2023	hwp	12	7	13	8
w2_edit_set_column_widths-015071	edit-set-column-widths	dims	DIM_OK	samples/wave2/공정거래위원회/2023/edit-set-column-widths-015071.hwpx	공정거래위원회	2023	hwpx	13	7	13	7
w2_edit_set_column_widths-015072	edit-set-column-widths	dims	DIM_OK	samples/wave2/금융위원회/2023/edit-set-column-widths-015072.hwp	금융위원회	2023	hwp	2	8	2	8
