case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_set_header_footer_text-005000	edit-set-header-footer-text	reread	REREAD_OK	samples/wave2/산림청/2017/edit-set-header-footer-text-005000.hwp	산림청	2017	hwp	1	6	6	
w2_edit_set_header_footer_text-005001	edit-set-header-footer-text	reread	REREAD_OK	samples/wave2/중소벤처기업부/2017/edit-set-header-footer-text-005001.hwpx	중소벤처기업부	2017	hwpx	1	7	7	
w2_edit_set_header_footer_text-005002	edit-set-header-footer-text	reread	REREAD_OK	samples/wave2/과학기술정보통신부/2017/edit-set-header-footer-text-005002.hwp	과학기술정보통신부	2017	hwp	1	8	8	
w2_edit_set_header_footer_text-005003	edit-set-header-footer-text	reread	REREAD_DRIFT	samples/wave2/문화체육관광부/2017/edit-set-header-footer-text-005003.hwpx	문화체육관광부	2017	hwpx	1	9	10	
w2_edit_set_header_footer_text-005004	edit-set-header-footer-text	reread	NOT_EVIDENCE	samples/wave2/환경부/2017/edit-set-header-footer-text-005004.hwp	환경부	2017	hwp	0	1	2	
w2_edit_set_header_footer_text-005005	edit-set-header-footer-text	reread	REREAD_OK	samples/wave2/해양수산부/2017/edit-set-header-footer-text-005005.hwpx	해양수산부	2017	hwpx	1	2	2	
w2_edit_set_header_footer_text-005006	edit-set-header-footer-text	reread	REREAD_OK	samples/wave2/서울특별시/2017/edit-set-header-footer-text-005006.hwp	서울특별시	2017	hwp	1	3	3	
w2_edit_set_header_footer_text-005007	edit-set-header-footer-text	reread	REREAD_OK	samples/wave2/경기도/2017/edit-set-header-footer-text-005007.hwpx	경기도	2017	hwpx	1	4	4	
w2_edit_set_header_footer_text-005008	edit-set-header-footer-text	reread	REREAD_OK	samples/wave2/부산광역시/2017/edit-set-header-footer-text-005008.hwp	부산광역시	2017	hwp	1	5	5	
w2_edit_set_header_footer_text-005009	edit-set-header-footer-text	reread	REREAD_OK	samples/wave2/제주특별자치도/2017/edit-set-header-footer-text-005009.hwpx	제주특별자치도	2017	hwpx	1	6	6	
w2_edit_set_header_footer_text-005010	edit-set-header-footer-text	reread	REREAD_DRIFT	samples/wave2/법제처/2018/edit-set-header-footer-text-005010.hwp	법제처	2018	hwp	1	7	8	
w2_edit_set_header_footer_text-005011	edit-set-header-footer-text	reread	NOT_EVIDENCE	samples/wave2/행정안전부/2018/edit-set-header-footer-text-005011.hwpx	행정안전부	2018	hwpx	0	8	9	
w2_edit_set_header_footer_text-005012	edit-set-header-footer-text	reread	REREAD_OK	samples/wave2/국세청/2018/edit-set-header-footer-text-005012.hwp	국세청	2018	hwp	1	9	9	
w2_edit_set_header_footer_text-005013	edit-set-header-footer-text	reread	REREAD_OK	samples/wave2/대법원/2018/edit-set-header-footer-text-005013.hwpx	대법원	2018	hwpx	1	1	1	
w2_edit_set_header_footer_text-005014	edit-set-header-footer-text	reread	REREAD_OK	samples/wave2/특허청/2018/edit-set-header-footer-text-005014.hwp	특허청	2018	hwp	1	2	2	
