case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_set_hf_picture-000000	edit-set-hf-picture	bbox	BBOX_OK	samples/wave2/법제처/2016/edit-set-hf-picture-000000.hwp	법제처	2016	hwp	199	200	279	280
w2_edit_set_hf_picture-000001	edit-set-hf-picture	bbox	BBOX_OK	samples/wave2/행정안전부/2016/edit-set-hf-picture-000001.hwpx	행정안전부	2016	hwpx	199	201	279	281
w2_edit_set_hf_picture-000002	edit-set-hf-picture	bbox	BBOX_OK	samples/wave2/국세청/2016/edit-set-hf-picture-000002.hwp	국세청	2016	hwp	199	202	279	282
w2_edit_set_hf_picture-000003	edit-set-hf-picture	bbox	BBOX_OK	samples/wave2/대법원/2016/edit-set-hf-picture-000003.hwpx	대법원	2016	hwpx	199	203	279	283
w2_edit_set_hf_picture-000004	edit-set-hf-picture	bbox	BBOX_OK	samples/wave2/특허청/2016/edit-set-hf-picture-000004.hwp	특허청	2016	hwp	199	204	279	284
w2_edit_set_hf_picture-000005	edit-set-hf-picture	bbox	BBOX_OOB	samples/wave2/교육부/2016/edit-set-hf-picture-000005.hwpx	교육부	2016	hwpx	211	205	279	285
w2_edit_set_hf_picture-000006	edit-set-hf-picture	bbox	BBOX_OOB	samples/wave2/보건복지부/2016/edit-set-hf-picture-000006.hwp	보건복지부	2016	hwp	213	206	293	286
w2_edit_set_hf_picture-000007	edit-set-hf-picture	bbox	BBOX_OK	samples/wave2/국토교통부/2016/edit-set-hf-picture-000007.hwpx	국토교통부	2016	hwpx	199	207	279	287
w2_edit_set_hf_picture-000008	edit-set-hf-picture	bbox	BBOX_OK	samples/wave2/고용노동부/2016/edit-set-hf-picture-000008.hwp	고용노동부	2016	hwp	199	208	279	288
w2_edit_set_hf_picture-000009	edit-set-hf-picture	bbox	BBOX_OK	samples/wave2/외교부/2016/edit-set-hf-picture-000009.hwpx	외교부	2016	hwpx	208	209	288	289
w2_edit_set_hf_picture-000010	edit-set-hf-picture	bbox	BBOX_OK	samples/wave2/기획재정부/2016/edit-set-hf-picture-000010.hwp	기획재정부	2016	hwp	208	210	288	290
w2_edit_set_hf_picture-000011	edit-set-hf-picture	bbox	BBOX_OK	samples/wave2/공정거래위원회/2016/edit-set-hf-picture-000011.hwpx	공정거래위원회	2016	hwpx	208	211	288	291
