case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_set_page_hide-005000	edit-set-page-hide	reread	REREAD_OK	samples/wave2/산림청/2017/edit-set-page-hide-005000.hwp	산림청	2017	hwp	1	6	6	
w2_edit_set_page_hide-005001	edit-set-page-hide	reread	REREAD_OK	samples/wave2/중소벤처기업부/2017/edit-set-page-hide-005001.hwpx	중소벤처기업부	2017	hwpx	1	7	7	
w2_edit_set_page_hide-005002	edit-set-page-hide	reread	REREAD_OK	samples/wave2/과학기술정보통신부/2017/edit-set-page-hide-005002.hwp	과학기술정보통신부	2017	hwp	1	8	8	
w2_edit_set_page_hide-005003	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/문화체육관광부/2017/edit-set-page-hide-005003.hwpx	문화체육관광부	2017	hwpx	1	9	10	
w2_edit_set_page_hide-005004	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/환경부/2017/edit-set-page-hide-005004.hwp	환경부	2017	hwp	0	1	2	
w2_edit_set_page_hide-005005	edit-set-page-hide	reread	REREAD_OK	samples/wave2/해양수산부/2017/edit-set-page-hide-005005.hwpx	해양수산부	2017	hwpx	1	2	2	
w2_edit_set_page_hide-005006	edit-set-page-hide	reread	REREAD_OK	samples/wave2/서울특별시/2017/edit-set-page-hide-005006.hwp	서울특별시	2017	hwp	1	3	3	
w2_edit_set_page_hide-005007	edit-set-page-hide	reread	REREAD_OK	samples/wave2/경기도/2017/edit-set-page-hide-005007.hwpx	경기도	2017	hwpx	1	4	4	
w2_edit_set_page_hide-005008	edit-set-page-hide	reread	REREAD_OK	samples/wave2/부산광역시/2017/edit-set-page-hide-005008.hwp	부산광역시	2017	hwp	1	5	5	
w2_edit_set_page_hide-005009	edit-set-page-hide	reread	REREAD_OK	samples/wave2/제주특별자치도/2017/edit-set-page-hide-005009.hwpx	제주특별자치도	2017	hwpx	1	6	6	
w2_edit_set_page_hide-005010	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/법제처/2018/edit-set-page-hide-005010.hwp	법제처	2018	hwp	1	7	8	
w2_edit_set_page_hide-005011	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/행정안전부/2018/edit-set-page-hide-005011.hwpx	행정안전부	2018	hwpx	0	8	9	
w2_edit_set_page_hide-005012	edit-set-page-hide	reread	REREAD_OK	samples/wave2/국세청/2018/edit-set-page-hide-005012.hwp	국세청	2018	hwp	1	9	9	
w2_edit_set_page_hide-005013	edit-set-page-hide	reread	REREAD_OK	samples/wave2/대법원/2018/edit-set-page-hide-005013.hwpx	대법원	2018	hwpx	1	1	1	
w2_edit_set_page_hide-005014	edit-set-page-hide	reread	REREAD_OK	samples/wave2/특허청/2018/edit-set-page-hide-005014.hwp	특허청	2018	hwp	1	2	2	
w2_edit_set_page_hide-005015	edit-set-page-hide	reread	REREAD_OK	samples/wave2/교육부/2018/edit-set-page-hide-005015.hwpx	교육부	2018	hwpx	1	3	3	
w2_edit_set_page_hide-005016	edit-set-page-hide	reread	REREAD_OK	samples/wave2/보건복지부/2018/edit-set-page-hide-005016.hwp	보건복지부	2018	hwp	1	4	4	
w2_edit_set_page_hide-005017	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/국토교통부/2018/edit-set-page-hide-005017.hwpx	국토교통부	2018	hwpx	1	5	6	
w2_edit_set_page_hide-005018	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/고용노동부/2018/edit-set-page-hide-005018.hwp	고용노동부	2018	hwp	0	6	7	
w2_edit_set_page_hide-005019	edit-set-page-hide	reread	REREAD_OK	samples/wave2/외교부/2018/edit-set-page-hide-005019.hwpx	외교부	2018	hwpx	1	7	7	
w2_edit_set_page_hide-005020	edit-set-page-hide	reread	REREAD_OK	samples/wave2/기획재정부/2018/edit-set-page-hide-005020.hwp	기획재정부	2018	hwp	1	8	8	
w2_edit_set_page_hide-005021	edit-set-page-hide	reread	REREAD_OK	samples/wave2/공정거래위원회/2018/edit-set-page-hide-005021.hwpx	공정거래위원회	2018	hwpx	1	9	9	
w2_edit_set_page_hide-005022	edit-set-page-hide	reread	REREAD_OK	samples/wave2/금융위원회/2018/edit-set-page-hide-005022.hwp	금융위원회	2018	hwp	1	1	1	
w2_edit_set_page_hide-005023	edit-set-page-hide	reread	REREAD_OK	samples/wave2/통계청/2018/edit-set-page-hide-005023.hwpx	통계청	2018	hwpx	1	2	2	
w2_edit_set_page_hide-005024	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/기상청/2018/edit-set-page-hide-005024.hwp	기상청	2018	hwp	1	3	4	
w2_edit_set_page_hide-005025	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/관세청/2018/edit-set-page-hide-005025.hwpx	관세청	2018	hwpx	0	4	5	
w2_edit_set_page_hide-005026	edit-set-page-hide	reread	REREAD_OK	samples/wave2/검찰청/2018/edit-set-page-hide-005026.hwp	검찰청	2018	hwp	1	5	5	
w2_edit_set_page_hide-005027	edit-set-page-hide	reread	REREAD_OK	samples/wave2/경찰청/2018/edit-set-page-hide-005027.hwpx	경찰청	2018	hwpx	1	6	6	
w2_edit_set_page_hide-005028	edit-set-page-hide	reread	REREAD_OK	samples/wave2/소방청/2018/edit-set-page-hide-005028.hwp	소방청	2018	hwp	1	7	7	
w2_edit_set_page_hide-005029	edit-set-page-hide	reread	REREAD_OK	samples/wave2/병무청/2018/edit-set-page-hide-005029.hwpx	병무청	2018	hwpx	1	8	8	
w2_edit_set_page_hide-005030	edit-set-page-hide	reread	REREAD_OK	samples/wave2/산림청/2018/edit-set-page-hide-005030.hwp	산림청	2018	hwp	1	9	9	
w2_edit_set_page_hide-005031	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/중소벤처기업부/2018/edit-set-page-hide-005031.hwpx	중소벤처기업부	2018	hwpx	1	1	2	
w2_edit_set_page_hide-005032	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/과학기술정보통신부/2018/edit-set-page-hide-005032.hwp	과학기술정보통신부	2018	hwp	0	2	3	
w2_edit_set_page_hide-005033	edit-set-page-hide	reread	REREAD_OK	samples/wave2/문화체육관광부/2018/edit-set-page-hide-005033.hwpx	문화체육관광부	2018	hwpx	1	3	3	
w2_edit_set_page_hide-005034	edit-set-page-hide	reread	REREAD_OK	samples/wave2/환경부/2018/edit-set-page-hide-005034.hwp	환경부	2018	hwp	1	4	4	
w2_edit_set_page_hide-005035	edit-set-page-hide	reread	REREAD_OK	samples/wave2/해양수산부/2018/edit-set-page-hide-005035.hwpx	해양수산부	2018	hwpx	1	5	5	
w2_edit_set_page_hide-005036	edit-set-page-hide	reread	REREAD_OK	samples/wave2/서울특별시/2018/edit-set-page-hide-005036.hwp	서울특별시	2018	hwp	1	6	6	
w2_edit_set_page_hide-005037	edit-set-page-hide	reread	REREAD_OK	samples/wave2/경기도/2018/edit-set-page-hide-005037.hwpx	경기도	2018	hwpx	1	7	7	
w2_edit_set_page_hide-005038	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/부산광역시/2018/edit-set-page-hide-005038.hwp	부산광역시	2018	hwp	1	8	9	
w2_edit_set_page_hide-005039	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/제주특별자치도/2018/edit-set-page-hide-005039.hwpx	제주특별자치도	2018	hwpx	0	9	10	
w2_edit_set_page_hide-005040	edit-set-page-hide	reread	REREAD_OK	samples/wave2/법제처/2019/edit-set-page-hide-005040.hwp	법제처	2019	hwp	1	1	1	
w2_edit_set_page_hide-005041	edit-set-page-hide	reread	REREAD_OK	samples/wave2/행정안전부/2019/edit-set-page-hide-005041.hwpx	행정안전부	2019	hwpx	1	2	2	
w2_edit_set_page_hide-005042	edit-set-page-hide	reread	REREAD_OK	samples/wave2/국세청/2019/edit-set-page-hide-005042.hwp	국세청	2019	hwp	1	3	3	
w2_edit_set_page_hide-005043	edit-set-page-hide	reread	REREAD_OK	samples/wave2/대법원/2019/edit-set-page-hide-005043.hwpx	대법원	2019	hwpx	1	4	4	
w2_edit_set_page_hide-005044	edit-set-page-hide	reread	REREAD_OK	samples/wave2/특허청/2019/edit-set-page-hide-005044.hwp	특허청	2019	hwp	1	5	5	
w2_edit_set_page_hide-005045	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/교육부/2019/edit-set-page-hide-005045.hwpx	교육부	2019	hwpx	1	6	7	
w2_edit_set_page_hide-005046	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/보건복지부/2019/edit-set-page-hide-005046.hwp	보건복지부	2019	hwp	0	7	8	
w2_edit_set_page_hide-005047	edit-set-page-hide	reread	REREAD_OK	samples/wave2/국토교통부/2019/edit-set-page-hide-005047.hwpx	국토교통부	2019	hwpx	1	8	8	
w2_edit_set_page_hide-005048	edit-set-page-hide	reread	REREAD_OK	samples/wave2/고용노동부/2019/edit-set-page-hide-005048.hwp	고용노동부	2019	hwp	1	9	9	
w2_edit_set_page_hide-005049	edit-set-page-hide	reread	REREAD_OK	samples/wave2/외교부/2019/edit-set-page-hide-005049.hwpx	외교부	2019	hwpx	1	1	1	
w2_edit_set_page_hide-005050	edit-set-page-hide	reread	REREAD_OK	samples/wave2/기획재정부/2019/edit-set-page-hide-005050.hwp	기획재정부	2019	hwp	1	2	2	
w2_edit_set_page_hide-005051	edit-set-page-hide	reread	REREAD_OK	samples/wave2/공정거래위원회/2019/edit-set-page-hide-005051.hwpx	공정거래위원회	2019	hwpx	1	3	3	
w2_edit_set_page_hide-005052	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/금융위원회/2019/edit-set-page-hide-005052.hwp	금융위원회	2019	hwp	1	4	5	
w2_edit_set_page_hide-005053	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/통계청/2019/edit-set-page-hide-005053.hwpx	통계청	2019	hwpx	0	5	6	
w2_edit_set_page_hide-005054	edit-set-page-hide	reread	REREAD_OK	samples/wave2/기상청/2019/edit-set-page-hide-005054.hwp	기상청	2019	hwp	1	6	6	
w2_edit_set_page_hide-005055	edit-set-page-hide	reread	REREAD_OK	samples/wave2/관세청/2019/edit-set-page-hide-005055.hwpx	관세청	2019	hwpx	1	7	7	
w2_edit_set_page_hide-005056	edit-set-page-hide	reread	REREAD_OK	samples/wave2/검찰청/2019/edit-set-page-hide-005056.hwp	검찰청	2019	hwp	1	8	8	
w2_edit_set_page_hide-005057	edit-set-page-hide	reread	REREAD_OK	samples/wave2/경찰청/2019/edit-set-page-hide-005057.hwpx	경찰청	2019	hwpx	1	9	9	
w2_edit_set_page_hide-005058	edit-set-page-hide	reread	REREAD_OK	samples/wave2/소방청/2019/edit-set-page-hide-005058.hwp	소방청	2019	hwp	1	1	1	
w2_edit_set_page_hide-005059	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/병무청/2019/edit-set-page-hide-005059.hwpx	병무청	2019	hwpx	1	2	3	
w2_edit_set_page_hide-005060	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/산림청/2019/edit-set-page-hide-005060.hwp	산림청	2019	hwp	0	3	4	
w2_edit_set_page_hide-005061	edit-set-page-hide	reread	REREAD_OK	samples/wave2/중소벤처기업부/2019/edit-set-page-hide-005061.hwpx	중소벤처기업부	2019	hwpx	1	4	4	
w2_edit_set_page_hide-005062	edit-set-page-hide	reread	REREAD_OK	samples/wave2/과학기술정보통신부/2019/edit-set-page-hide-005062.hwp	과학기술정보통신부	2019	hwp	1	5	5	
w2_edit_set_page_hide-005063	edit-set-page-hide	reread	REREAD_OK	samples/wave2/문화체육관광부/2019/edit-set-page-hide-005063.hwpx	문화체육관광부	2019	hwpx	1	6	6	
w2_edit_set_page_hide-005064	edit-set-page-hide	reread	REREAD_OK	samples/wave2/환경부/2019/edit-set-page-hide-005064.hwp	환경부	2019	hwp	1	7	7	
w2_edit_set_page_hide-005065	edit-set-page-hide	reread	REREAD_OK	samples/wave2/해양수산부/2019/edit-set-page-hide-005065.hwpx	해양수산부	2019	hwpx	1	8	8	
w2_edit_set_page_hide-005066	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/서울특별시/2019/edit-set-page-hide-005066.hwp	서울특별시	2019	hwp	1	9	10	
w2_edit_set_page_hide-005067	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/경기도/2019/edit-set-page-hide-005067.hwpx	경기도	2019	hwpx	0	1	2	
w2_edit_set_page_hide-005068	edit-set-page-hide	reread	REREAD_OK	samples/wave2/부산광역시/2019/edit-set-page-hide-005068.hwp	부산광역시	2019	hwp	1	2	2	
w2_edit_set_page_hide-005069	edit-set-page-hide	reread	REREAD_OK	samples/wave2/제주특별자치도/2019/edit-set-page-hide-005069.hwpx	제주특별자치도	2019	hwpx	1	3	3	
w2_edit_set_page_hide-005070	edit-set-page-hide	reread	REREAD_OK	samples/wave2/법제처/2020/edit-set-page-hide-005070.hwp	법제처	2020	hwp	1	4	4	
w2_edit_set_page_hide-005071	edit-set-page-hide	reread	REREAD_OK	samples/wave2/행정안전부/2020/edit-set-page-hide-005071.hwpx	행정안전부	2020	hwpx	1	5	5	
w2_edit_set_page_hide-005072	edit-set-page-hide	reread	REREAD_OK	samples/wave2/국세청/2020/edit-set-page-hide-005072.hwp	국세청	2020	hwp	1	6	6	
w2_edit_set_page_hide-005073	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/대법원/2020/edit-set-page-hide-005073.hwpx	대법원	2020	hwpx	1	7	8	
w2_edit_set_page_hide-005074	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/특허청/2020/edit-set-page-hide-005074.hwp	특허청	2020	hwp	0	8	9	
w2_edit_set_page_hide-005075	edit-set-page-hide	reread	REREAD_OK	samples/wave2/교육부/2020/edit-set-page-hide-005075.hwpx	교육부	2020	hwpx	1	9	9	
w2_edit_set_page_hide-005076	edit-set-page-hide	reread	REREAD_OK	samples/wave2/보건복지부/2020/edit-set-page-hide-005076.hwp	보건복지부	2020	hwp	1	1	1	
w2_edit_set_page_hide-005077	edit-set-page-hide	reread	REREAD_OK	samples/wave2/국토교통부/2020/edit-set-page-hide-005077.hwpx	국토교통부	2020	hwpx	1	2	2	
w2_edit_set_page_hide-005078	edit-set-page-hide	reread	REREAD_OK	samples/wave2/고용노동부/2020/edit-set-page-hide-005078.hwp	고용노동부	2020	hwp	1	3	3	
w2_edit_set_page_hide-005079	edit-set-page-hide	reread	REREAD_OK	samples/wave2/외교부/2020/edit-set-page-hide-005079.hwpx	외교부	2020	hwpx	1	4	4	
w2_edit_set_page_hide-005080	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/기획재정부/2020/edit-set-page-hide-005080.hwp	기획재정부	2020	hwp	1	5	6	
w2_edit_set_page_hide-005081	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/공정거래위원회/2020/edit-set-page-hide-005081.hwpx	공정거래위원회	2020	hwpx	0	6	7	
w2_edit_set_page_hide-005082	edit-set-page-hide	reread	REREAD_OK	samples/wave2/금융위원회/2020/edit-set-page-hide-005082.hwp	금융위원회	2020	hwp	1	7	7	
w2_edit_set_page_hide-005083	edit-set-page-hide	reread	REREAD_OK	samples/wave2/통계청/2020/edit-set-page-hide-005083.hwpx	통계청	2020	hwpx	1	8	8	
w2_edit_set_page_hide-005084	edit-set-page-hide	reread	REREAD_OK	samples/wave2/기상청/2020/edit-set-page-hide-005084.hwp	기상청	2020	hwp	1	9	9	
w2_edit_set_page_hide-005085	edit-set-page-hide	reread	REREAD_OK	samples/wave2/관세청/2020/edit-set-page-hide-005085.hwpx	관세청	2020	hwpx	1	1	1	
w2_edit_set_page_hide-005086	edit-set-page-hide	reread	REREAD_OK	samples/wave2/검찰청/2020/edit-set-page-hide-005086.hwp	검찰청	2020	hwp	1	2	2	
w2_edit_set_page_hide-005087	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/경찰청/2020/edit-set-page-hide-005087.hwpx	경찰청	2020	hwpx	1	3	4	
w2_edit_set_page_hide-005088	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/소방청/2020/edit-set-page-hide-005088.hwp	소방청	2020	hwp	0	4	5	
w2_edit_set_page_hide-005089	edit-set-page-hide	reread	REREAD_OK	samples/wave2/병무청/2020/edit-set-page-hide-005089.hwpx	병무청	2020	hwpx	1	5	5	
w2_edit_set_page_hide-005090	edit-set-page-hide	reread	REREAD_OK	samples/wave2/산림청/2020/edit-set-page-hide-005090.hwp	산림청	2020	hwp	1	6	6	
w2_edit_set_page_hide-005091	edit-set-page-hide	reread	REREAD_OK	samples/wave2/중소벤처기업부/2020/edit-set-page-hide-005091.hwpx	중소벤처기업부	2020	hwpx	1	7	7	
w2_edit_set_page_hide-005092	edit-set-page-hide	reread	REREAD_OK	samples/wave2/과학기술정보통신부/2020/edit-set-page-hide-005092.hwp	과학기술정보통신부	2020	hwp	1	8	8	
w2_edit_set_page_hide-005093	edit-set-page-hide	reread	REREAD_OK	samples/wave2/문화체육관광부/2020/edit-set-page-hide-005093.hwpx	문화체육관광부	2020	hwpx	1	9	9	
w2_edit_set_page_hide-005094	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/환경부/2020/edit-set-page-hide-005094.hwp	환경부	2020	hwp	1	1	2	
w2_edit_set_page_hide-005095	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/해양수산부/2020/edit-set-page-hide-005095.hwpx	해양수산부	2020	hwpx	0	2	3	
w2_edit_set_page_hide-005096	edit-set-page-hide	reread	REREAD_OK	samples/wave2/서울특별시/2020/edit-set-page-hide-005096.hwp	서울특별시	2020	hwp	1	3	3	
w2_edit_set_page_hide-005097	edit-set-page-hide	reread	REREAD_OK	samples/wave2/경기도/2020/edit-set-page-hide-005097.hwpx	경기도	2020	hwpx	1	4	4	
w2_edit_set_page_hide-005098	edit-set-page-hide	reread	REREAD_OK	samples/wave2/부산광역시/2020/edit-set-page-hide-005098.hwp	부산광역시	2020	hwp	1	5	5	
w2_edit_set_page_hide-005099	edit-set-page-hide	reread	REREAD_OK	samples/wave2/제주특별자치도/2020/edit-set-page-hide-005099.hwpx	제주특별자치도	2020	hwpx	1	6	6	
w2_edit_set_page_hide-005100	edit-set-page-hide	reread	REREAD_OK	samples/wave2/법제처/2021/edit-set-page-hide-005100.hwp	법제처	2021	hwp	1	7	7	
w2_edit_set_page_hide-005101	edit-set-page-hide	reread	REREAD_DRIFT	samples/wave2/행정안전부/2021/edit-set-page-hide-005101.hwpx	행정안전부	2021	hwpx	1	8	9	
w2_edit_set_page_hide-005102	edit-set-page-hide	reread	NOT_EVIDENCE	samples/wave2/국세청/2021/edit-set-page-hide-005102.hwp	국세청	2021	hwp	0	9	10	
