case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_set_table_props-000000	edit-set-table-props	reread	REREAD_OK	samples/wave2/법제처/2016/edit-set-table-props-000000.hwp	법제처	2016	hwp	1	1	1	
w2_edit_set_table_props-000001	edit-set-table-props	reread	REREAD_OK	samples/wave2/행정안전부/2016/edit-set-table-props-000001.hwpx	행정안전부	2016	hwpx	1	2	2	
w2_edit_set_table_props-000002	edit-set-table-props	reread	REREAD_OK	samples/wave2/국세청/2016/edit-set-table-props-000002.hwp	국세청	2016	hwp	1	3	3	
w2_edit_set_table_props-000003	edit-set-table-props	reread	REREAD_OK	samples/wave2/대법원/2016/edit-set-table-props-000003.hwpx	대법원	2016	hwpx	1	4	4	
w2_edit_set_table_props-000004	edit-set-table-props	reread	REREAD_OK	samples/wave2/특허청/2016/edit-set-table-props-000004.hwp	특허청	2016	hwp	1	5	5	
w2_edit_set_table_props-000005	edit-set-table-props	reread	REREAD_DRIFT	samples/wave2/교육부/2016/edit-set-table-props-000005.hwpx	교육부	2016	hwpx	1	6	7	
w2_edit_set_table_props-000006	edit-set-table-props	reread	NOT_EVIDENCE	samples/wave2/보건복지부/2016/edit-set-table-props-000006.hwp	보건복지부	2016	hwp	0	7	8	
w2_edit_set_table_props-000007	edit-set-table-props	reread	REREAD_OK	samples/wave2/국토교통부/2016/edit-set-table-props-000007.hwpx	국토교통부	2016	hwpx	1	8	8	
w2_edit_set_table_props-000008	edit-set-table-props	reread	REREAD_OK	samples/wave2/고용노동부/2016/edit-set-table-props-000008.hwp	고용노동부	2016	hwp	1	9	9	
w2_edit_set_table_props-000009	edit-set-table-props	reread	REREAD_OK	samples/wave2/외교부/2016/edit-set-table-props-000009.hwpx	외교부	2016	hwpx	1	1	1	
w2_edit_set_table_props-000010	edit-set-table-props	reread	REREAD_OK	samples/wave2/기획재정부/2016/edit-set-table-props-000010.hwp	기획재정부	2016	hwp	1	2	2	
w2_edit_set_table_props-000011	edit-set-table-props	reread	REREAD_OK	samples/wave2/공정거래위원회/2016/edit-set-table-props-000011.hwpx	공정거래위원회	2016	hwpx	1	3	3	
w2_edit_set_table_props-000012	edit-set-table-props	reread	REREAD_DRIFT	samples/wave2/금융위원회/2016/edit-set-table-props-000012.hwp	금융위원회	2016	hwp	1	4	5	
w2_edit_set_table_props-000013	edit-set-table-props	reread	NOT_EVIDENCE	samples/wave2/통계청/2016/edit-set-table-props-000013.hwpx	통계청	2016	hwpx	0	5	6	
w2_edit_set_table_props-000014	edit-set-table-props	reread	REREAD_OK	samples/wave2/기상청/2016/edit-set-table-props-000014.hwp	기상청	2016	hwp	1	6	6	
w2_edit_set_table_props-000015	edit-set-table-props	reread	REREAD_OK	samples/wave2/관세청/2016/edit-set-table-props-000015.hwpx	관세청	2016	hwpx	1	7	7	
