case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_split_cell-015000	edit-split-cell	coord	COORD_OOB	samples/wave2/법제처/2021/edit-split-cell-015000.hwp	법제처	2021	hwp	2	7	2	6
w2_edit_split_cell-015001	edit-split-cell	coord	COORD_OK	samples/wave2/행정안전부/2021/edit-split-cell-015001.hwpx	행정안전부	2021	hwpx	1	2	3	6
w2_edit_split_cell-015002	edit-split-cell	coord	COORD_OK	samples/wave2/국세청/2021/edit-split-cell-015002.hwp	국세청	2021	hwp	2	2	4	7
w2_edit_split_cell-015003	edit-split-cell	coord	COORD_OK	samples/wave2/대법원/2021/edit-split-cell-015003.hwpx	대법원	2021	hwpx	3	3	5	7
w2_edit_split_cell-015004	edit-split-cell	coord	COORD_OK	samples/wave2/특허청/2021/edit-split-cell-015004.hwp	특허청	2021	hwp	4	1	6	8
w2_edit_split_cell-015005	edit-split-cell	coord	COORD_OK	samples/wave2/교육부/2021/edit-split-cell-015005.hwpx	교육부	2021	hwpx	4	1	7	8
w2_edit_split_cell-015006	edit-split-cell	coord	COORD_OOB	samples/wave2/보건복지부/2021/edit-split-cell-015006.hwp	보건복지부	2021	hwp	9	7	8	9
w2_edit_split_cell-015007	edit-split-cell	coord	COORD_OOB	samples/wave2/국토교통부/2021/edit-split-cell-015007.hwpx	국토교통부	2021	hwpx	9	10	9	9
w2_edit_split_cell-015008	edit-split-cell	coord	COORD_OK	samples/wave2/고용노동부/2021/edit-split-cell-015008.hwp	고용노동부	2021	hwp	8	0	10	2
w2_edit_split_cell-015009	edit-split-cell	coord	COORD_OK	samples/wave2/외교부/2021/edit-split-cell-015009.hwpx	외교부	2021	hwpx	5	1	11	2
w2_edit_split_cell-015010	edit-split-cell	coord	COORD_OK	samples/wave2/기획재정부/2021/edit-split-cell-015010.hwp	기획재정부	2021	hwp	0	2	2	3
w2_edit_split_cell-015011	edit-split-cell	coord	COORD_OK	samples/wave2/공정거래위원회/2021/edit-split-cell-015011.hwpx	공정거래위원회	2021	hwpx	2	2	3	3
w2_edit_split_cell-015012	edit-split-cell	coord	COORD_OK	samples/wave2/금융위원회/2021/edit-split-cell-015012.hwp	금융위원회	2021	hwp	0	0	4	4
w2_edit_split_cell-015013	edit-split-cell	coord	COORD_OOB	samples/wave2/통계청/2021/edit-split-cell-015013.hwpx	통계청	2021	hwpx	6	0	5	4
w2_edit_split_cell-015014	edit-split-cell	coord	COORD_OOB	samples/wave2/기상청/2021/edit-split-cell-015014.hwp	기상청	2021	hwp	6	6	6	5
w2_edit_split_cell-015015	edit-split-cell	coord	COORD_OK	samples/wave2/관세청/2021/edit-split-cell-015015.hwpx	관세청	2021	hwpx	0	0	7	5
w2_edit_split_cell-015016	edit-split-cell	coord	COORD_OK	samples/wave2/검찰청/2021/edit-split-cell-015016.hwp	검찰청	2021	hwp	0	1	8	6
w2_edit_split_cell-015017	edit-split-cell	coord	COORD_OK	samples/wave2/경찰청/2021/edit-split-cell-015017.hwpx	경찰청	2021	hwpx	5	1	9	6
w2_edit_split_cell-015018	edit-split-cell	coord	COORD_OK	samples/wave2/소방청/2021/edit-split-cell-015018.hwp	소방청	2021	hwp	8	1	10	7
w2_edit_split_cell-015019	edit-split-cell	coord	COORD_OK	samples/wave2/병무청/2021/edit-split-cell-015019.hwpx	병무청	2021	hwpx	4	1	11	7
w2_edit_split_cell-015020	edit-split-cell	coord	COORD_OOB	samples/wave2/산림청/2021/edit-split-cell-015020.hwp	산림청	2021	hwp	3	6	2	8
w2_edit_split_cell-015021	edit-split-cell	coord	COORD_OOB	samples/wave2/중소벤처기업부/2021/edit-split-cell-015021.hwpx	중소벤처기업부	2021	hwpx	3	9	3	8
w2_edit_split_cell-015022	edit-split-cell	coord	COORD_OK	samples/wave2/과학기술정보통신부/2021/edit-split-cell-015022.hwp	과학기술정보통신부	2021	hwp	2	3	4	9
w2_edit_split_cell-015023	edit-split-cell	coord	COORD_OK	samples/wave2/문화체육관광부/2021/edit-split-cell-015023.hwpx	문화체육관광부	2021	hwpx	3	3	5	9
w2_edit_split_cell-015024	edit-split-cell	coord	COORD_OK	samples/wave2/환경부/2021/edit-split-cell-015024.hwp	환경부	2021	hwp	0	0	6	2
w2_edit_split_cell-015025	edit-split-cell	coord	COORD_OK	samples/wave2/해양수산부/2021/edit-split-cell-015025.hwpx	해양수산부	2021	hwpx	3	0	7	2
w2_edit_split_cell-015026	edit-split-cell	coord	COORD_OK	samples/wave2/서울특별시/2021/edit-split-cell-015026.hwp	서울특별시	2021	hwp	2	1	8	3
w2_edit_split_cell-015027	edit-split-cell	coord	COORD_OOB	samples/wave2/경기도/2021/edit-split-cell-015027.hwpx	경기도	2021	hwpx	10	2	9	3
w2_edit_split_cell-015028	edit-split-cell	coord	COORD_OOB	samples/wave2/부산광역시/2021/edit-split-cell-015028.hwp	부산광역시	2021	hwp	10	5	10	4
w2_edit_split_cell-015029	edit-split-cell	coord	COORD_OK	samples/wave2/제주특별자치도/2021/edit-split-cell-015029.hwpx	제주특별자치도	2021	hwpx	3	1	11	4
w2_edit_split_cell-015030	edit-split-cell	coord	COORD_OK	samples/wave2/법제처/2022/edit-split-cell-015030.hwp	법제처	2022	hwp	0	0	2	5
w2_edit_split_cell-015031	edit-split-cell	coord	COORD_OK	samples/wave2/행정안전부/2022/edit-split-cell-015031.hwpx	행정안전부	2022	hwpx	1	0	3	5
w2_edit_split_cell-015032	edit-split-cell	coord	COORD_OK	samples/wave2/국세청/2022/edit-split-cell-015032.hwp	국세청	2022	hwp	0	0	4	6
w2_edit_split_cell-015033	edit-split-cell	coord	COORD_OK	samples/wave2/대법원/2022/edit-split-cell-015033.hwpx	대법원	2022	hwpx	3	1	5	6
w2_edit_split_cell-015034	edit-split-cell	coord	COORD_OOB	samples/wave2/특허청/2022/edit-split-cell-015034.hwp	특허청	2022	hwp	7	6	6	7
w2_edit_split_cell-015035	edit-split-cell	coord	COORD_OOB	samples/wave2/교육부/2022/edit-split-cell-015035.hwpx	교육부	2022	hwpx	7	8	7	7
w2_edit_split_cell-015036	edit-split-cell	coord	COORD_OK	samples/wave2/보건복지부/2022/edit-split-cell-015036.hwp	보건복지부	2022	hwp	4	4	8	8
w2_edit_split_cell-015037	edit-split-cell	coord	COORD_OK	samples/wave2/국토교통부/2022/edit-split-cell-015037.hwpx	국토교통부	2022	hwpx	7	4	9	8
w2_edit_split_cell-015038	edit-split-cell	coord	COORD_OK	samples/wave2/고용노동부/2022/edit-split-cell-015038.hwp	고용노동부	2022	hwp	8	8	10	9
w2_edit_split_cell-015039	edit-split-cell	coord	COORD_OK	samples/wave2/외교부/2022/edit-split-cell-015039.hwpx	외교부	2022	hwpx	2	0	11	9
w2_edit_split_cell-015040	edit-split-cell	coord	COORD_OK	samples/wave2/기획재정부/2022/edit-split-cell-015040.hwp	기획재정부	2022	hwp	0	1	2	2
w2_edit_split_cell-015041	edit-split-cell	coord	COORD_OOB	samples/wave2/공정거래위원회/2022/edit-split-cell-015041.hwpx	공정거래위원회	2022	hwpx	4	1	3	2
w2_edit_split_cell-015042	edit-split-cell	coord	COORD_OOB	samples/wave2/금융위원회/2022/edit-split-cell-015042.hwp	금융위원회	2022	hwp	4	4	4	3
w2_edit_split_cell-015043	edit-split-cell	coord	COORD_OK	samples/wave2/통계청/2022/edit-split-cell-015043.hwpx	통계청	2022	hwpx	3	1	5	3
w2_edit_split_cell-015044	edit-split-cell	coord	COORD_OK	samples/wave2/기상청/2022/edit-split-cell-015044.hwp	기상청	2022	hwp	2	2	6	4
w2_edit_split_cell-015045	edit-split-cell	coord	COORD_OK	samples/wave2/관세청/2022/edit-split-cell-015045.hwpx	관세청	2022	hwpx	2	3	7	4
w2_edit_split_cell-015046	edit-split-cell	coord	COORD_OK	samples/wave2/검찰청/2022/edit-split-cell-015046.hwp	검찰청	2022	hwp	6	0	8	5
w2_edit_split_cell-015047	edit-split-cell	coord	COORD_OK	samples/wave2/경찰청/2022/edit-split-cell-015047.hwpx	경찰청	2022	hwpx	8	0	9	5
w2_edit_split_cell-015048	edit-split-cell	coord	COORD_OOB	samples/wave2/소방청/2022/edit-split-cell-015048.hwp	소방청	2022	hwp	11	0	10	6
w2_edit_split_cell-015049	edit-split-cell	coord	COORD_OOB	samples/wave2/병무청/2022/edit-split-cell-015049.hwpx	병무청	2022	hwpx	11	7	11	6
w2_edit_split_cell-015050	edit-split-cell	coord	COORD_OK	samples/wave2/산림청/2022/edit-split-cell-015050.hwp	산림청	2022	hwp	0	4	2	7
w2_edit_split_cell-015051	edit-split-cell	coord	COORD_OK	samples/wave2/중소벤처기업부/2022/edit-split-cell-015051.hwpx	중소벤처기업부	2022	hwpx	0	5	3	7
w2_edit_split_cell-015052	edit-split-cell	coord	COORD_OK	samples/wave2/과학기술정보통신부/2022/edit-split-cell-015052.hwp	과학기술정보통신부	2022	hwp	0	1	4	8
w2_edit_split_cell-015053	edit-split-cell	coord	COORD_OK	samples/wave2/문화체육관광부/2022/edit-split-cell-015053.hwpx	문화체육관광부	2022	hwpx	3	1	5	8
w2_edit_split_cell-015054	edit-split-cell	coord	COORD_OK	samples/wave2/환경부/2022/edit-split-cell-015054.hwp	환경부	2022	hwp	0	5	6	9
w2_edit_split_cell-015055	edit-split-cell	coord	COORD_OOB	samples/wave2/해양수산부/2022/edit-split-cell-015055.hwpx	해양수산부	2022	hwpx	8	5	7	9
w2_edit_split_cell-015056	edit-split-cell	coord	COORD_OOB	samples/wave2/서울특별시/2022/edit-split-cell-015056.hwp	서울특별시	2022	hwp	8	3	8	2
w2_edit_split_cell-015057	edit-split-cell	coord	COORD_OK	samples/wave2/경기도/2022/edit-split-cell-015057.hwpx	경기도	2022	hwpx	0	1	9	2
w2_edit_split_cell-015058	edit-split-cell	coord	COORD_OK	samples/wave2/부산광역시/2022/edit-split-cell-015058.hwp	부산광역시	2022	hwp	8	0	10	3
w2_edit_split_cell-015059	edit-split-cell	coord	COORD_OK	samples/wave2/제주특별자치도/2022/edit-split-cell-015059.hwpx	제주특별자치도	2022	hwpx	0	0	11	3
w2_edit_split_cell-015060	edit-split-cell	coord	COORD_OK	samples/wave2/법제처/2023/edit-split-cell-015060.hwp	법제처	2023	hwp	0	0	2	4
w2_edit_split_cell-015061	edit-split-cell	coord	COORD_OK	samples/wave2/행정안전부/2023/edit-split-cell-015061.hwpx	행정안전부	2023	hwpx	1	0	3	4
w2_edit_split_cell-015062	edit-split-cell	coord	COORD_OOB	samples/wave2/국세청/2023/edit-split-cell-015062.hwp	국세청	2023	hwp	5	0	4	5
w2_edit_split_cell-015063	edit-split-cell	coord	COORD_OOB	samples/wave2/대법원/2023/edit-split-cell-015063.hwpx	대법원	2023	hwpx	5	6	5	5
w2_edit_split_cell-015064	edit-split-cell	coord	COORD_OK	samples/wave2/특허청/2023/edit-split-cell-015064.hwp	특허청	2023	hwp	4	5	6	6
w2_edit_split_cell-015065	edit-split-cell	coord	COORD_OK	samples/wave2/교육부/2023/edit-split-cell-015065.hwpx	교육부	2023	hwpx	1	5	7	6
w2_edit_split_cell-015066	edit-split-cell	coord	COORD_OK	samples/wave2/보건복지부/2023/edit-split-cell-015066.hwp	보건복지부	2023	hwp	2	3	8	7
w2_edit_split_cell-015067	edit-split-cell	coord	COORD_OK	samples/wave2/국토교통부/2023/edit-split-cell-015067.hwpx	국토교통부	2023	hwpx	1	3	9	7
w2_edit_split_cell-015068	edit-split-cell	coord	COORD_OK	samples/wave2/고용노동부/2023/edit-split-cell-015068.hwp	고용노동부	2023	hwp	8	6	10	8
