case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_split_table-010000	edit-split-table	mutate	MUTATE_OK	samples/wave2/기획재정부/2019/edit-split-table-010000.hwp	기획재정부	2019	hwp	2	2	0	0
w2_edit_split_table-010001	edit-split-table	mutate	MUTATE_OK	samples/wave2/공정거래위원회/2019/edit-split-table-010001.hwpx	공정거래위원회	2019	hwpx	3	3	0	0
w2_edit_split_table-010002	edit-split-table	mutate	MUTATE_DRIFT	samples/wave2/금융위원회/2019/edit-split-table-010002.hwp	금융위원회	2019	hwp	4	1	2	0
w2_edit_split_table-010003	edit-split-table	mutate	MUTATE_OK	samples/wave2/통계청/2019/edit-split-table-010003.hwpx	통계청	2019	hwpx	5	2	7	1
w2_edit_split_table-010004	edit-split-table	mutate	MUTATE_OK	samples/wave2/기상청/2019/edit-split-table-010004.hwp	기상청	2019	hwp	6	3	9	1
w2_edit_split_table-010005	edit-split-table	mutate	MUTATE_OK	samples/wave2/관세청/2019/edit-split-table-010005.hwpx	관세청	2019	hwpx	7	1	8	1
w2_edit_split_table-010006	edit-split-table	mutate	MUTATE_DRIFT	samples/wave2/검찰청/2019/edit-split-table-010006.hwp	검찰청	2019	hwp	8	2	11	1
w2_edit_split_table-010007	edit-split-table	mutate	MUTATE_OK	samples/wave2/경찰청/2019/edit-split-table-010007.hwpx	경찰청	2019	hwpx	9	3	6	0
w2_edit_split_table-010008	edit-split-table	mutate	MUTATE_OK	samples/wave2/소방청/2019/edit-split-table-010008.hwp	소방청	2019	hwp	10	1	9	0
w2_edit_split_table-010009	edit-split-table	mutate	MUTATE_DRIFT	samples/wave2/병무청/2019/edit-split-table-010009.hwpx	병무청	2019	hwpx	11	2	8	0
w2_edit_split_table-010010	edit-split-table	mutate	MUTATE_OK	samples/wave2/산림청/2019/edit-split-table-010010.hwp	산림청	2019	hwp	12	3	15	1
w2_edit_split_table-010011	edit-split-table	mutate	MUTATE_OK	samples/wave2/중소벤처기업부/2019/edit-split-table-010011.hwpx	중소벤처기업부	2019	hwpx	13	1	14	1
w2_edit_split_table-010012	edit-split-table	mutate	MUTATE_OK	samples/wave2/과학기술정보통신부/2019/edit-split-table-010012.hwp	과학기술정보통신부	2019	hwp	14	2	16	1
w2_edit_split_table-010013	edit-split-table	mutate	MUTATE_DRIFT	samples/wave2/문화체육관광부/2019/edit-split-table-010013.hwpx	문화체육관광부	2019	hwpx	15	3	19	1
w2_edit_split_table-010014	edit-split-table	mutate	MUTATE_OK	samples/wave2/환경부/2019/edit-split-table-010014.hwp	환경부	2019	hwp	16	1	15	0
w2_edit_split_table-010015	edit-split-table	mutate	MUTATE_OK	samples/wave2/해양수산부/2019/edit-split-table-010015.hwpx	해양수산부	2019	hwpx	17	2	15	0
w2_edit_split_table-010016	edit-split-table	mutate	MUTATE_DRIFT	samples/wave2/서울특별시/2019/edit-split-table-010016.hwp	서울특별시	2019	hwp	18	3	14	0
w2_edit_split_table-010017	edit-split-table	mutate	MUTATE_OK	samples/wave2/경기도/2019/edit-split-table-010017.hwpx	경기도	2019	hwpx	19	1	20	1
w2_edit_split_table-010018	edit-split-table	mutate	MUTATE_OK	samples/wave2/부산광역시/2019/edit-split-table-010018.hwp	부산광역시	2019	hwp	20	2	22	1
w2_edit_split_table-010019	edit-split-table	mutate	MUTATE_OK	samples/wave2/제주특별자치도/2019/edit-split-table-010019.hwpx	제주특별자치도	2019	hwpx	21	3	24	1
w2_edit_split_table-010020	edit-split-table	mutate	MUTATE_DRIFT	samples/wave2/법제처/2020/edit-split-table-010020.hwp	법제처	2020	hwp	2	1	4	1
w2_edit_split_table-010021	edit-split-table	mutate	MUTATE_OK	samples/wave2/행정안전부/2020/edit-split-table-010021.hwpx	행정안전부	2020	hwpx	3	2	1	0
w2_edit_split_table-010022	edit-split-table	mutate	MUTATE_OK	samples/wave2/국세청/2020/edit-split-table-010022.hwp	국세청	2020	hwp	4	3	1	0
w2_edit_split_table-010023	edit-split-table	mutate	MUTATE_DRIFT	samples/wave2/대법원/2020/edit-split-table-010023.hwpx	대법원	2020	hwpx	5	1	3	0
w2_edit_split_table-010024	edit-split-table	mutate	MUTATE_OK	samples/wave2/특허청/2020/edit-split-table-010024.hwp	특허청	2020	hwp	6	2	8	1
w2_edit_split_table-010025	edit-split-table	mutate	MUTATE_OK	samples/wave2/교육부/2020/edit-split-table-010025.hwpx	교육부	2020	hwpx	7	3	10	1
