case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_exam_ingest-010000	exam-ingest	count_eq	COUNT_OK	samples/wave2/기획재정부/2019/exam-ingest-010000.hwp	기획재정부	2019	hwp	16	16		
w2_exam_ingest-010001	exam-ingest	count_eq	COUNT_DRIFT	samples/wave2/공정거래위원회/2019/exam-ingest-010001.hwpx	공정거래위원회	2019	hwpx	17	18		
w2_exam_ingest-010002	exam-ingest	count_eq	COUNT_DRIFT	samples/wave2/금융위원회/2019/exam-ingest-010002.hwp	금융위원회	2019	hwp	18	17		
w2_exam_ingest-010003	exam-ingest	count_eq	COUNT_OK	samples/wave2/통계청/2019/exam-ingest-010003.hwpx	통계청	2019	hwpx	19	19		
w2_exam_ingest-010004	exam-ingest	count_eq	COUNT_OK	samples/wave2/기상청/2019/exam-ingest-010004.hwp	기상청	2019	hwp	20	20		
w2_exam_ingest-010005	exam-ingest	count_eq	COUNT_OK	samples/wave2/관세청/2019/exam-ingest-010005.hwpx	관세청	2019	hwpx	21	21		
w2_exam_ingest-010006	exam-ingest	count_eq	COUNT_OK	samples/wave2/검찰청/2019/exam-ingest-010006.hwp	검찰청	2019	hwp	22	22		
w2_exam_ingest-010007	exam-ingest	count_eq	COUNT_OK	samples/wave2/경찰청/2019/exam-ingest-010007.hwpx	경찰청	2019	hwpx	23	23		
w2_exam_ingest-010008	exam-ingest	count_eq	COUNT_DRIFT	samples/wave2/소방청/2019/exam-ingest-010008.hwp	소방청	2019	hwp	0	1		
w2_exam_ingest-010009	exam-ingest	count_eq	COUNT_DRIFT	samples/wave2/병무청/2019/exam-ingest-010009.hwpx	병무청	2019	hwpx	1	0		
w2_exam_ingest-010010	exam-ingest	count_eq	COUNT_OK	samples/wave2/산림청/2019/exam-ingest-010010.hwp	산림청	2019	hwp	2	2		
w2_exam_ingest-010011	exam-ingest	count_eq	COUNT_OK	samples/wave2/중소벤처기업부/2019/exam-ingest-010011.hwpx	중소벤처기업부	2019	hwpx	3	3		
w2_exam_ingest-010012	exam-ingest	count_eq	COUNT_OK	samples/wave2/과학기술정보통신부/2019/exam-ingest-010012.hwp	과학기술정보통신부	2019	hwp	4	4		
w2_exam_ingest-010013	exam-ingest	count_eq	COUNT_OK	samples/wave2/문화체육관광부/2019/exam-ingest-010013.hwpx	문화체육관광부	2019	hwpx	5	5		
w2_exam_ingest-010014	exam-ingest	count_eq	COUNT_OK	samples/wave2/환경부/2019/exam-ingest-010014.hwp	환경부	2019	hwp	6	6		
w2_exam_ingest-010015	exam-ingest	count_eq	COUNT_DRIFT	samples/wave2/해양수산부/2019/exam-ingest-010015.hwpx	해양수산부	2019	hwpx	7	8		
w2_exam_ingest-010016	exam-ingest	count_eq	COUNT_DRIFT	samples/wave2/서울특별시/2019/exam-ingest-010016.hwp	서울특별시	2019	hwp	8	7		
w2_exam_ingest-010017	exam-ingest	count_eq	COUNT_OK	samples/wave2/경기도/2019/exam-ingest-010017.hwpx	경기도	2019	hwpx	9	9		
w2_exam_ingest-010018	exam-ingest	count_eq	COUNT_OK	samples/wave2/부산광역시/2019/exam-ingest-010018.hwp	부산광역시	2019	hwp	10	10		
w2_exam_ingest-010019	exam-ingest	count_eq	COUNT_OK	samples/wave2/제주특별자치도/2019/exam-ingest-010019.hwpx	제주특별자치도	2019	hwpx	11	11		
w2_exam_ingest-010020	exam-ingest	count_eq	COUNT_OK	samples/wave2/법제처/2020/exam-ingest-010020.hwp	법제처	2020	hwp	12	12		
w2_exam_ingest-010021	exam-ingest	count_eq	COUNT_OK	samples/wave2/행정안전부/2020/exam-ingest-010021.hwpx	행정안전부	2020	hwpx	13	13		
