case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_explore_menu-015000	explore-menu	count_eq	USAGE	samples/wave2/법제처/2021/explore-menu-015000.hwp	법제처	2021	hwp	0	-1		
w2_explore_menu-015001	explore-menu	count_eq	COUNT_OK	samples/wave2/행정안전부/2021/explore-menu-015001.hwpx	행정안전부	2021	hwpx	1	1		
w2_explore_menu-015002	explore-menu	count_eq	COUNT_OK	samples/wave2/국세청/2021/explore-menu-015002.hwp	국세청	2021	hwp	2	2		
w2_explore_menu-015003	explore-menu	count_eq	COUNT_OK	samples/wave2/대법원/2021/explore-menu-015003.hwpx	대법원	2021	hwpx	3	3		
w2_explore_menu-015004	explore-menu	count_eq	COUNT_OK	samples/wave2/특허청/2021/explore-menu-015004.hwp	특허청	2021	hwp	4	4		
w2_explore_menu-015005	explore-menu	count_eq	COUNT_OK	samples/wave2/교육부/2021/explore-menu-015005.hwpx	교육부	2021	hwpx	5	5		
w2_explore_menu-015006	explore-menu	count_eq	COUNT_DRIFT	samples/wave2/보건복지부/2021/explore-menu-015006.hwp	보건복지부	2021	hwp	6	7		
w2_explore_menu-015007	explore-menu	count_eq	COUNT_DRIFT	samples/wave2/국토교통부/2021/explore-menu-015007.hwpx	국토교통부	2021	hwpx	7	6		
w2_explore_menu-015008	explore-menu	count_eq	COUNT_OK	samples/wave2/고용노동부/2021/explore-menu-015008.hwp	고용노동부	2021	hwp	8	8		
w2_explore_menu-015009	explore-menu	count_eq	COUNT_OK	samples/wave2/외교부/2021/explore-menu-015009.hwpx	외교부	2021	hwpx	9	9		
w2_explore_menu-015010	explore-menu	count_eq	COUNT_OK	samples/wave2/기획재정부/2021/explore-menu-015010.hwp	기획재정부	2021	hwp	10	10		
w2_explore_menu-015011	explore-menu	count_eq	COUNT_OK	samples/wave2/공정거래위원회/2021/explore-menu-015011.hwpx	공정거래위원회	2021	hwpx	11	11		
w2_explore_menu-015012	explore-menu	count_eq	COUNT_OK	samples/wave2/금융위원회/2021/explore-menu-015012.hwp	금융위원회	2021	hwp	12	12		
w2_explore_menu-015013	explore-menu	count_eq	COUNT_DRIFT	samples/wave2/통계청/2021/explore-menu-015013.hwpx	통계청	2021	hwpx	13	14		
w2_explore_menu-015014	explore-menu	count_eq	COUNT_DRIFT	samples/wave2/기상청/2021/explore-menu-015014.hwp	기상청	2021	hwp	14	13		
w2_explore_menu-015015	explore-menu	count_eq	COUNT_OK	samples/wave2/관세청/2021/explore-menu-015015.hwpx	관세청	2021	hwpx	15	15		
w2_explore_menu-015016	explore-menu	count_eq	COUNT_OK	samples/wave2/검찰청/2021/explore-menu-015016.hwp	검찰청	2021	hwp	16	16		
w2_explore_menu-015017	explore-menu	count_eq	COUNT_OK	samples/wave2/경찰청/2021/explore-menu-015017.hwpx	경찰청	2021	hwpx	17	17		
w2_explore_menu-015018	explore-menu	count_eq	COUNT_OK	samples/wave2/소방청/2021/explore-menu-015018.hwp	소방청	2021	hwp	18	18		
w2_explore_menu-015019	explore-menu	count_eq	COUNT_OK	samples/wave2/병무청/2021/explore-menu-015019.hwpx	병무청	2021	hwpx	19	19		
w2_explore_menu-015020	explore-menu	count_eq	COUNT_DRIFT	samples/wave2/산림청/2021/explore-menu-015020.hwp	산림청	2021	hwp	20	21		
