case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_export_text_max_chars-000000	export-text-max-chars	bound	BOUND_OK	samples/wave2/법제처/2016/export-text-max-chars-000000.hwp	법제처	2016	hwp	20	19	0	
w2_export_text_max_chars-000001	export-text-max-chars	bound	BOUND_OK	samples/wave2/행정안전부/2016/export-text-max-chars-000001.hwpx	행정안전부	2016	hwpx	21	19	0	
w2_export_text_max_chars-000002	export-text-max-chars	bound	BOUND_FALSE_POS	samples/wave2/국세청/2016/export-text-max-chars-000002.hwp	국세청	2016	hwp	22	19	1	
w2_export_text_max_chars-000003	export-text-max-chars	bound	BOUND_FALSE_POS	samples/wave2/대법원/2016/export-text-max-chars-000003.hwpx	대법원	2016	hwpx	23	19	1	
w2_export_text_max_chars-000004	export-text-max-chars	bound	BOUND_LIE	samples/wave2/특허청/2016/export-text-max-chars-000004.hwp	특허청	2016	hwp	24	29	0	
w2_export_text_max_chars-000005	export-text-max-chars	bound	BOUND_OK	samples/wave2/교육부/2016/export-text-max-chars-000005.hwpx	교육부	2016	hwpx	25	31	1	
w2_export_text_max_chars-000006	export-text-max-chars	bound	BOUND_OK	samples/wave2/보건복지부/2016/export-text-max-chars-000006.hwp	보건복지부	2016	hwp	26	26	0	
w2_export_text_max_chars-000007	export-text-max-chars	bound	BOUND_OK	samples/wave2/국토교통부/2016/export-text-max-chars-000007.hwpx	국토교통부	2016	hwpx	27	19	0	
w2_export_text_max_chars-000008	export-text-max-chars	bound	BOUND_OK	samples/wave2/고용노동부/2016/export-text-max-chars-000008.hwp	고용노동부	2016	hwp	28	19	0	
w2_export_text_max_chars-000009	export-text-max-chars	bound	BOUND_FALSE_POS	samples/wave2/외교부/2016/export-text-max-chars-000009.hwpx	외교부	2016	hwpx	29	28	1	
w2_export_text_max_chars-000010	export-text-max-chars	bound	BOUND_FALSE_POS	samples/wave2/기획재정부/2016/export-text-max-chars-000010.hwp	기획재정부	2016	hwp	30	28	1	
w2_export_text_max_chars-000011	export-text-max-chars	bound	BOUND_LIE	samples/wave2/공정거래위원회/2016/export-text-max-chars-000011.hwpx	공정거래위원회	2016	hwpx	31	34	0	
w2_export_text_max_chars-000012	export-text-max-chars	bound	BOUND_OK	samples/wave2/금융위원회/2016/export-text-max-chars-000012.hwp	금융위원회	2016	hwp	32	36	1	
w2_export_text_max_chars-000013	export-text-max-chars	bound	BOUND_OK	samples/wave2/통계청/2016/export-text-max-chars-000013.hwpx	통계청	2016	hwpx	33	33	0	
w2_export_text_max_chars-000014	export-text-max-chars	bound	BOUND_OK	samples/wave2/기상청/2016/export-text-max-chars-000014.hwp	기상청	2016	hwp	34	28	0	
w2_export_text_max_chars-000015	export-text-max-chars	bound	BOUND_OK	samples/wave2/관세청/2016/export-text-max-chars-000015.hwpx	관세청	2016	hwpx	35	28	0	
w2_export_text_max_chars-000016	export-text-max-chars	bound	BOUND_FALSE_POS	samples/wave2/검찰청/2016/export-text-max-chars-000016.hwp	검찰청	2016	hwp	36	28	1	
w2_export_text_max_chars-000017	export-text-max-chars	bound	BOUND_FALSE_POS	samples/wave2/경찰청/2016/export-text-max-chars-000017.hwpx	경찰청	2016	hwpx	37	28	1	
w2_export_text_max_chars-000018	export-text-max-chars	bound	BOUND_LIE	samples/wave2/소방청/2016/export-text-max-chars-000018.hwp	소방청	2016	hwp	38	39	0	
w2_export_text_max_chars-000019	export-text-max-chars	bound	BOUND_OK	samples/wave2/병무청/2016/export-text-max-chars-000019.hwpx	병무청	2016	hwpx	39	41	1	
w2_export_text_max_chars-000020	export-text-max-chars	bound	BOUND_OK	samples/wave2/산림청/2016/export-text-max-chars-000020.hwp	산림청	2016	hwp	40	40	0	
w2_export_text_max_chars-000021	export-text-max-chars	bound	BOUND_OK	samples/wave2/중소벤처기업부/2016/export-text-max-chars-000021.hwpx	중소벤처기업부	2016	hwpx	41	37	0	
w2_export_text_max_chars-000022	export-text-max-chars	bound	BOUND_OK	samples/wave2/과학기술정보통신부/2016/export-text-max-chars-000022.hwp	과학기술정보통신부	2016	hwp	42	37	0	
w2_export_text_max_chars-000023	export-text-max-chars	bound	BOUND_FALSE_POS	samples/wave2/문화체육관광부/2016/export-text-max-chars-000023.hwpx	문화체육관광부	2016	hwpx	43	37	1	
w2_export_text_max_chars-000024	export-text-max-chars	bound	BOUND_FALSE_POS	samples/wave2/환경부/2016/export-text-max-chars-000024.hwp	환경부	2016	hwp	44	37	1	
w2_export_text_max_chars-000025	export-text-max-chars	bound	BOUND_LIE	samples/wave2/해양수산부/2016/export-text-max-chars-000025.hwpx	해양수산부	2016	hwpx	45	53	0	
w2_export_text_max_chars-000026	export-text-max-chars	bound	BOUND_OK	samples/wave2/서울특별시/2016/export-text-max-chars-000026.hwp	서울특별시	2016	hwp	46	55	1	
w2_export_text_max_chars-000027	export-text-max-chars	bound	BOUND_OK	samples/wave2/경기도/2016/export-text-max-chars-000027.hwpx	경기도	2016	hwpx	47	47	0	
w2_export_text_max_chars-000028	export-text-max-chars	bound	BOUND_OK	samples/wave2/부산광역시/2016/export-text-max-chars-000028.hwp	부산광역시	2016	hwp	48	46	0	
w2_export_text_max_chars-000029	export-text-max-chars	bound	BOUND_OK	samples/wave2/제주특별자치도/2016/export-text-max-chars-000029.hwpx	제주특별자치도	2016	hwpx	49	46	0	
w2_export_text_max_chars-000030	export-text-max-chars	bound	BOUND_FALSE_POS	samples/wave2/법제처/2017/export-text-max-chars-000030.hwp	법제처	2017	hwp	50	46	1	
w2_export_text_max_chars-000031	export-text-max-chars	bound	BOUND_FALSE_POS	samples/wave2/행정안전부/2017/export-text-max-chars-000031.hwpx	행정안전부	2017	hwpx	51	46	1	
w2_export_text_max_chars-000032	export-text-max-chars	bound	BOUND_LIE	samples/wave2/국세청/2017/export-text-max-chars-000032.hwp	국세청	2017	hwp	52	58	0	
w2_export_text_max_chars-000033	export-text-max-chars	bound	BOUND_OK	samples/wave2/대법원/2017/export-text-max-chars-000033.hwpx	대법원	2017	hwpx	53	60	1	
w2_export_text_max_chars-000034	export-text-max-chars	bound	BOUND_OK	samples/wave2/특허청/2017/export-text-max-chars-000034.hwp	특허청	2017	hwp	54	54	0	
w2_export_text_max_chars-000035	export-text-max-chars	bound	BOUND_OK	samples/wave2/교육부/2017/export-text-max-chars-000035.hwpx	교육부	2017	hwpx	55	46	0	
