case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_fde_triage-010000	fde-triage	route	ROUTE_OK	samples/wave2/기획재정부/2019/fde-triage-010000.hwp	기획재정부	2019	hwp	fde			
w2_fde_triage-010001	fde-triage	route	ROUTE_OK	samples/wave2/공정거래위원회/2019/fde-triage-010001.hwpx	공정거래위원회	2019	hwpx	pdf			
w2_fde_triage-010002	fde-triage	route	ROUTE_UNKNOWN	samples/wave2/금융위원회/2019/fde-triage-010002.hwp	금융위원회	2019	hwp	email			
w2_fde_triage-010003	fde-triage	route	ROUTE_OK	samples/wave2/통계청/2019/fde-triage-010003.hwpx	통계청	2019	hwpx	pdf			
w2_fde_triage-010004	fde-triage	route	ROUTE_OK	samples/wave2/기상청/2019/fde-triage-010004.hwp	기상청	2019	hwp	fill			
w2_fde_triage-010005	fde-triage	route	ROUTE_OK	samples/wave2/관세청/2019/fde-triage-010005.hwpx	관세청	2019	hwpx	table			
w2_fde_triage-010006	fde-triage	route	ROUTE_OK	samples/wave2/검찰청/2019/fde-triage-010006.hwp	검찰청	2019	hwp	needs-agent			
w2_fde_triage-010007	fde-triage	route	ROUTE_OK	samples/wave2/경찰청/2019/fde-triage-010007.hwpx	경찰청	2019	hwpx	fde			
w2_fde_triage-010008	fde-triage	route	ROUTE_OK	samples/wave2/소방청/2019/fde-triage-010008.hwp	소방청	2019	hwp	pdf			
w2_fde_triage-010009	fde-triage	route	ROUTE_UNKNOWN	samples/wave2/병무청/2019/fde-triage-010009.hwpx	병무청	2019	hwpx	email			
w2_fde_triage-010010	fde-triage	route	ROUTE_OK	samples/wave2/산림청/2019/fde-triage-010010.hwp	산림청	2019	hwp	pdf			
w2_fde_triage-010011	fde-triage	route	ROUTE_OK	samples/wave2/중소벤처기업부/2019/fde-triage-010011.hwpx	중소벤처기업부	2019	hwpx	fill			
w2_fde_triage-010012	fde-triage	route	ROUTE_OK	samples/wave2/과학기술정보통신부/2019/fde-triage-010012.hwp	과학기술정보통신부	2019	hwp	table			
