case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_fidelity_compare-000000	fidelity-compare	px	PX_OK	samples/wave2/법제처/2016/fidelity-compare-000000.hwp	법제처	2016	hwp	0	2	0	
w2_fidelity_compare-000001	fidelity-compare	px	PX_OK	samples/wave2/행정안전부/2016/fidelity-compare-000001.hwpx	행정안전부	2016	hwpx	1	3	0	
w2_fidelity_compare-000002	fidelity-compare	px	PX_OK	samples/wave2/국세청/2016/fidelity-compare-000002.hwp	국세청	2016	hwp	2	4	0	
w2_fidelity_compare-000003	fidelity-compare	px	PX_OK	samples/wave2/대법원/2016/fidelity-compare-000003.hwpx	대법원	2016	hwpx	3	5	0	
w2_fidelity_compare-000004	fidelity-compare	px	PX_OK	samples/wave2/특허청/2016/fidelity-compare-000004.hwp	특허청	2016	hwp	4	6	0	
w2_fidelity_compare-000005	fidelity-compare	px	PX_OK	samples/wave2/교육부/2016/fidelity-compare-000005.hwpx	교육부	2016	hwpx	5	7	0	
w2_fidelity_compare-000006	fidelity-compare	px	STRUCT	samples/wave2/보건복지부/2016/fidelity-compare-000006.hwp	보건복지부	2016	hwp	0	2	1	
w2_fidelity_compare-000007	fidelity-compare	px	PX_OK	samples/wave2/국토교통부/2016/fidelity-compare-000007.hwpx	국토교통부	2016	hwpx	0	3	0	
w2_fidelity_compare-000008	fidelity-compare	px	PX_OK	samples/wave2/고용노동부/2016/fidelity-compare-000008.hwp	고용노동부	2016	hwp	0	4	0	
w2_fidelity_compare-000009	fidelity-compare	px	PX_OK	samples/wave2/외교부/2016/fidelity-compare-000009.hwpx	외교부	2016	hwpx	0	5	0	
w2_fidelity_compare-000010	fidelity-compare	px	PX_OK	samples/wave2/기획재정부/2016/fidelity-compare-000010.hwp	기획재정부	2016	hwp	0	6	0	
w2_fidelity_compare-000011	fidelity-compare	px	PX_OK	samples/wave2/공정거래위원회/2016/fidelity-compare-000011.hwpx	공정거래위원회	2016	hwpx	0	7	0	
w2_fidelity_compare-000012	fidelity-compare	px	PX_OK	samples/wave2/금융위원회/2016/fidelity-compare-000012.hwp	금융위원회	2016	hwp	0	2	0	
w2_fidelity_compare-000013	fidelity-compare	px	STRUCT	samples/wave2/통계청/2016/fidelity-compare-000013.hwpx	통계청	2016	hwpx	6	3	1	
w2_fidelity_compare-000014	fidelity-compare	px	PX_FAIL	samples/wave2/기상청/2016/fidelity-compare-000014.hwp	기상청	2016	hwp	6	4	0	
w2_fidelity_compare-000015	fidelity-compare	px	PX_FAIL	samples/wave2/관세청/2016/fidelity-compare-000015.hwpx	관세청	2016	hwpx	6	5	0	
w2_fidelity_compare-000016	fidelity-compare	px	PX_OK	samples/wave2/검찰청/2016/fidelity-compare-000016.hwp	검찰청	2016	hwp	6	6	0	
w2_fidelity_compare-000017	fidelity-compare	px	PX_OK	samples/wave2/경찰청/2016/fidelity-compare-000017.hwpx	경찰청	2016	hwpx	6	7	0	
w2_fidelity_compare-000018	fidelity-compare	px	PX_OK	samples/wave2/소방청/2016/fidelity-compare-000018.hwp	소방청	2016	hwp	0	2	0	
w2_fidelity_compare-000019	fidelity-compare	px	PX_FAIL	samples/wave2/병무청/2016/fidelity-compare-000019.hwpx	병무청	2016	hwpx	5	3	0	
w2_fidelity_compare-000020	fidelity-compare	px	STRUCT	samples/wave2/산림청/2016/fidelity-compare-000020.hwp	산림청	2016	hwp	4	4	1	
w2_fidelity_compare-000021	fidelity-compare	px	PX_OK	samples/wave2/중소벤처기업부/2016/fidelity-compare-000021.hwpx	중소벤처기업부	2016	hwpx	3	5	0	
w2_fidelity_compare-000022	fidelity-compare	px	PX_OK	samples/wave2/과학기술정보통신부/2016/fidelity-compare-000022.hwp	과학기술정보통신부	2016	hwp	2	6	0	
w2_fidelity_compare-000023	fidelity-compare	px	PX_OK	samples/wave2/문화체육관광부/2016/fidelity-compare-000023.hwpx	문화체육관광부	2016	hwpx	1	7	0	
w2_fidelity_compare-000024	fidelity-compare	px	PX_OK	samples/wave2/환경부/2016/fidelity-compare-000024.hwp	환경부	2016	hwp	0	2	0	
w2_fidelity_compare-000025	fidelity-compare	px	PX_FAIL	samples/wave2/해양수산부/2016/fidelity-compare-000025.hwpx	해양수산부	2016	hwpx	4	3	0	
w2_fidelity_compare-000026	fidelity-compare	px	PX_OK	samples/wave2/서울특별시/2016/fidelity-compare-000026.hwp	서울특별시	2016	hwp	2	4	0	
w2_fidelity_compare-000027	fidelity-compare	px	STRUCT	samples/wave2/경기도/2016/fidelity-compare-000027.hwpx	경기도	2016	hwpx	0	5	1	
w2_fidelity_compare-000028	fidelity-compare	px	PX_FAIL	samples/wave2/부산광역시/2016/fidelity-compare-000028.hwp	부산광역시	2016	hwp	8	6	0	
w2_fidelity_compare-000029	fidelity-compare	px	PX_OK	samples/wave2/제주특별자치도/2016/fidelity-compare-000029.hwpx	제주특별자치도	2016	hwpx	7	7	0	
w2_fidelity_compare-000030	fidelity-compare	px	PX_OK	samples/wave2/법제처/2017/fidelity-compare-000030.hwp	법제처	2017	hwp	0	2	0	
w2_fidelity_compare-000031	fidelity-compare	px	PX_OK	samples/wave2/행정안전부/2017/fidelity-compare-000031.hwpx	행정안전부	2017	hwpx	3	3	0	
w2_fidelity_compare-000032	fidelity-compare	px	PX_OK	samples/wave2/국세청/2017/fidelity-compare-000032.hwp	국세청	2017	hwp	0	4	0	
w2_fidelity_compare-000033	fidelity-compare	px	PX_FAIL	samples/wave2/대법원/2017/fidelity-compare-000033.hwpx	대법원	2017	hwpx	6	5	0	
w2_fidelity_compare-000034	fidelity-compare	px	STRUCT	samples/wave2/특허청/2017/fidelity-compare-000034.hwp	특허청	2017	hwp	4	6	1	
w2_fidelity_compare-000035	fidelity-compare	px	PX_OK	samples/wave2/교육부/2017/fidelity-compare-000035.hwpx	교육부	2017	hwpx	2	7	0	
w2_fidelity_compare-000036	fidelity-compare	px	PX_OK	samples/wave2/보건복지부/2017/fidelity-compare-000036.hwp	보건복지부	2017	hwp	0	2	0	
w2_fidelity_compare-000037	fidelity-compare	px	PX_OK	samples/wave2/국토교통부/2017/fidelity-compare-000037.hwpx	국토교통부	2017	hwpx	2	3	0	
w2_fidelity_compare-000038	fidelity-compare	px	PX_FAIL	samples/wave2/고용노동부/2017/fidelity-compare-000038.hwp	고용노동부	2017	hwp	6	4	0	
w2_fidelity_compare-000039	fidelity-compare	px	PX_OK	samples/wave2/외교부/2017/fidelity-compare-000039.hwpx	외교부	2017	hwpx	3	5	0	
w2_fidelity_compare-000040	fidelity-compare	px	PX_OK	samples/wave2/기획재정부/2017/fidelity-compare-000040.hwp	기획재정부	2017	hwp	0	6	0	
w2_fidelity_compare-000041	fidelity-compare	px	STRUCT	samples/wave2/공정거래위원회/2017/fidelity-compare-000041.hwpx	공정거래위원회	2017	hwpx	8	7	1	
w2_fidelity_compare-000042	fidelity-compare	px	PX_OK	samples/wave2/금융위원회/2017/fidelity-compare-000042.hwp	금융위원회	2017	hwp	0	2	0	
w2_fidelity_compare-000043	fidelity-compare	px	PX_OK	samples/wave2/통계청/2017/fidelity-compare-000043.hwpx	통계청	2017	hwpx	1	3	0	
w2_fidelity_compare-000044	fidelity-compare	px	PX_OK	samples/wave2/기상청/2017/fidelity-compare-000044.hwp	기상청	2017	hwp	4	4	0	
w2_fidelity_compare-000045	fidelity-compare	px	PX_OK	samples/wave2/관세청/2017/fidelity-compare-000045.hwpx	관세청	2017	hwpx	0	5	0	
w2_fidelity_compare-000046	fidelity-compare	px	PX_OK	samples/wave2/검찰청/2017/fidelity-compare-000046.hwp	검찰청	2017	hwp	6	6	0	
w2_fidelity_compare-000047	fidelity-compare	px	PX_OK	samples/wave2/경찰청/2017/fidelity-compare-000047.hwpx	경찰청	2017	hwpx	3	7	0	
w2_fidelity_compare-000048	fidelity-compare	px	STRUCT	samples/wave2/소방청/2017/fidelity-compare-000048.hwp	소방청	2017	hwp	0	2	1	
w2_fidelity_compare-000049	fidelity-compare	px	PX_OK	samples/wave2/병무청/2017/fidelity-compare-000049.hwpx	병무청	2017	hwpx	0	3	0	
w2_fidelity_compare-000050	fidelity-compare	px	PX_OK	samples/wave2/산림청/2017/fidelity-compare-000050.hwp	산림청	2017	hwp	2	4	0	
w2_fidelity_compare-000051	fidelity-compare	px	PX_FAIL	samples/wave2/중소벤처기업부/2017/fidelity-compare-000051.hwpx	중소벤처기업부	2017	hwpx	6	5	0	
