case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_fields_repeat_index-005000	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/산림청/2017/fields-repeat-index-005000.hwp	산림청	2017	hwp	8	8		
w2_fields_repeat_index-005001	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/중소벤처기업부/2017/fields-repeat-index-005001.hwpx	중소벤처기업부	2017	hwpx	9	9		
w2_fields_repeat_index-005002	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/과학기술정보통신부/2017/fields-repeat-index-005002.hwp	과학기술정보통신부	2017	hwp	10	10		
w2_fields_repeat_index-005003	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/문화체육관광부/2017/fields-repeat-index-005003.hwpx	문화체육관광부	2017	hwpx	11	12		
w2_fields_repeat_index-005004	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/환경부/2017/fields-repeat-index-005004.hwp	환경부	2017	hwp	12	11		
w2_fields_repeat_index-005005	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/해양수산부/2017/fields-repeat-index-005005.hwpx	해양수산부	2017	hwpx	13	13		
w2_fields_repeat_index-005006	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/서울특별시/2017/fields-repeat-index-005006.hwp	서울특별시	2017	hwp	14	14		
w2_fields_repeat_index-005007	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/경기도/2017/fields-repeat-index-005007.hwpx	경기도	2017	hwpx	15	15		
w2_fields_repeat_index-005008	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/부산광역시/2017/fields-repeat-index-005008.hwp	부산광역시	2017	hwp	16	16		
w2_fields_repeat_index-005009	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/제주특별자치도/2017/fields-repeat-index-005009.hwpx	제주특별자치도	2017	hwpx	17	17		
w2_fields_repeat_index-005010	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/법제처/2018/fields-repeat-index-005010.hwp	법제처	2018	hwp	18	19		
w2_fields_repeat_index-005011	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/행정안전부/2018/fields-repeat-index-005011.hwpx	행정안전부	2018	hwpx	19	18		
w2_fields_repeat_index-005012	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/국세청/2018/fields-repeat-index-005012.hwp	국세청	2018	hwp	20	20		
w2_fields_repeat_index-005013	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/대법원/2018/fields-repeat-index-005013.hwpx	대법원	2018	hwpx	21	21		
w2_fields_repeat_index-005014	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/특허청/2018/fields-repeat-index-005014.hwp	특허청	2018	hwp	22	22		
w2_fields_repeat_index-005015	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/교육부/2018/fields-repeat-index-005015.hwpx	교육부	2018	hwpx	23	23		
w2_fields_repeat_index-005016	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/보건복지부/2018/fields-repeat-index-005016.hwp	보건복지부	2018	hwp	0	0		
w2_fields_repeat_index-005017	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/국토교통부/2018/fields-repeat-index-005017.hwpx	국토교통부	2018	hwpx	1	2		
w2_fields_repeat_index-005018	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/고용노동부/2018/fields-repeat-index-005018.hwp	고용노동부	2018	hwp	2	1		
w2_fields_repeat_index-005019	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/외교부/2018/fields-repeat-index-005019.hwpx	외교부	2018	hwpx	3	3		
w2_fields_repeat_index-005020	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/기획재정부/2018/fields-repeat-index-005020.hwp	기획재정부	2018	hwp	4	4		
w2_fields_repeat_index-005021	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/공정거래위원회/2018/fields-repeat-index-005021.hwpx	공정거래위원회	2018	hwpx	5	5		
w2_fields_repeat_index-005022	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/금융위원회/2018/fields-repeat-index-005022.hwp	금융위원회	2018	hwp	6	6		
w2_fields_repeat_index-005023	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/통계청/2018/fields-repeat-index-005023.hwpx	통계청	2018	hwpx	7	7		
w2_fields_repeat_index-005024	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/기상청/2018/fields-repeat-index-005024.hwp	기상청	2018	hwp	8	9		
w2_fields_repeat_index-005025	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/관세청/2018/fields-repeat-index-005025.hwpx	관세청	2018	hwpx	9	8		
w2_fields_repeat_index-005026	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/검찰청/2018/fields-repeat-index-005026.hwp	검찰청	2018	hwp	10	10		
w2_fields_repeat_index-005027	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/경찰청/2018/fields-repeat-index-005027.hwpx	경찰청	2018	hwpx	11	11		
w2_fields_repeat_index-005028	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/소방청/2018/fields-repeat-index-005028.hwp	소방청	2018	hwp	12	12		
w2_fields_repeat_index-005029	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/병무청/2018/fields-repeat-index-005029.hwpx	병무청	2018	hwpx	13	13		
w2_fields_repeat_index-005030	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/산림청/2018/fields-repeat-index-005030.hwp	산림청	2018	hwp	14	14		
w2_fields_repeat_index-005031	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/중소벤처기업부/2018/fields-repeat-index-005031.hwpx	중소벤처기업부	2018	hwpx	15	16		
w2_fields_repeat_index-005032	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/과학기술정보통신부/2018/fields-repeat-index-005032.hwp	과학기술정보통신부	2018	hwp	16	15		
w2_fields_repeat_index-005033	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/문화체육관광부/2018/fields-repeat-index-005033.hwpx	문화체육관광부	2018	hwpx	17	17		
w2_fields_repeat_index-005034	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/환경부/2018/fields-repeat-index-005034.hwp	환경부	2018	hwp	18	18		
w2_fields_repeat_index-005035	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/해양수산부/2018/fields-repeat-index-005035.hwpx	해양수산부	2018	hwpx	19	19		
w2_fields_repeat_index-005036	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/서울특별시/2018/fields-repeat-index-005036.hwp	서울특별시	2018	hwp	20	20		
w2_fields_repeat_index-005037	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/경기도/2018/fields-repeat-index-005037.hwpx	경기도	2018	hwpx	21	21		
w2_fields_repeat_index-005038	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/부산광역시/2018/fields-repeat-index-005038.hwp	부산광역시	2018	hwp	22	23		
w2_fields_repeat_index-005039	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/제주특별자치도/2018/fields-repeat-index-005039.hwpx	제주특별자치도	2018	hwpx	23	22		
w2_fields_repeat_index-005040	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/법제처/2019/fields-repeat-index-005040.hwp	법제처	2019	hwp	0	0		
w2_fields_repeat_index-005041	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/행정안전부/2019/fields-repeat-index-005041.hwpx	행정안전부	2019	hwpx	1	1		
w2_fields_repeat_index-005042	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/국세청/2019/fields-repeat-index-005042.hwp	국세청	2019	hwp	2	2		
w2_fields_repeat_index-005043	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/대법원/2019/fields-repeat-index-005043.hwpx	대법원	2019	hwpx	3	3		
w2_fields_repeat_index-005044	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/특허청/2019/fields-repeat-index-005044.hwp	특허청	2019	hwp	4	4		
w2_fields_repeat_index-005045	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/교육부/2019/fields-repeat-index-005045.hwpx	교육부	2019	hwpx	5	6		
w2_fields_repeat_index-005046	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/보건복지부/2019/fields-repeat-index-005046.hwp	보건복지부	2019	hwp	6	5		
w2_fields_repeat_index-005047	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/국토교통부/2019/fields-repeat-index-005047.hwpx	국토교통부	2019	hwpx	7	7		
w2_fields_repeat_index-005048	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/고용노동부/2019/fields-repeat-index-005048.hwp	고용노동부	2019	hwp	8	8		
w2_fields_repeat_index-005049	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/외교부/2019/fields-repeat-index-005049.hwpx	외교부	2019	hwpx	9	9		
w2_fields_repeat_index-005050	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/기획재정부/2019/fields-repeat-index-005050.hwp	기획재정부	2019	hwp	10	10		
w2_fields_repeat_index-005051	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/공정거래위원회/2019/fields-repeat-index-005051.hwpx	공정거래위원회	2019	hwpx	11	11		
w2_fields_repeat_index-005052	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/금융위원회/2019/fields-repeat-index-005052.hwp	금융위원회	2019	hwp	12	13		
w2_fields_repeat_index-005053	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/통계청/2019/fields-repeat-index-005053.hwpx	통계청	2019	hwpx	13	12		
w2_fields_repeat_index-005054	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/기상청/2019/fields-repeat-index-005054.hwp	기상청	2019	hwp	14	14		
w2_fields_repeat_index-005055	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/관세청/2019/fields-repeat-index-005055.hwpx	관세청	2019	hwpx	15	15		
w2_fields_repeat_index-005056	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/검찰청/2019/fields-repeat-index-005056.hwp	검찰청	2019	hwp	16	16		
w2_fields_repeat_index-005057	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/경찰청/2019/fields-repeat-index-005057.hwpx	경찰청	2019	hwpx	17	17		
w2_fields_repeat_index-005058	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/소방청/2019/fields-repeat-index-005058.hwp	소방청	2019	hwp	18	18		
w2_fields_repeat_index-005059	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/병무청/2019/fields-repeat-index-005059.hwpx	병무청	2019	hwpx	19	20		
w2_fields_repeat_index-005060	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/산림청/2019/fields-repeat-index-005060.hwp	산림청	2019	hwp	20	19		
w2_fields_repeat_index-005061	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/중소벤처기업부/2019/fields-repeat-index-005061.hwpx	중소벤처기업부	2019	hwpx	21	21		
w2_fields_repeat_index-005062	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/과학기술정보통신부/2019/fields-repeat-index-005062.hwp	과학기술정보통신부	2019	hwp	22	22		
w2_fields_repeat_index-005063	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/문화체육관광부/2019/fields-repeat-index-005063.hwpx	문화체육관광부	2019	hwpx	23	23		
w2_fields_repeat_index-005064	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/환경부/2019/fields-repeat-index-005064.hwp	환경부	2019	hwp	0	0		
w2_fields_repeat_index-005065	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/해양수산부/2019/fields-repeat-index-005065.hwpx	해양수산부	2019	hwpx	1	1		
w2_fields_repeat_index-005066	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/서울특별시/2019/fields-repeat-index-005066.hwp	서울특별시	2019	hwp	2	3		
w2_fields_repeat_index-005067	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/경기도/2019/fields-repeat-index-005067.hwpx	경기도	2019	hwpx	3	2		
w2_fields_repeat_index-005068	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/부산광역시/2019/fields-repeat-index-005068.hwp	부산광역시	2019	hwp	4	4		
w2_fields_repeat_index-005069	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/제주특별자치도/2019/fields-repeat-index-005069.hwpx	제주특별자치도	2019	hwpx	5	5		
w2_fields_repeat_index-005070	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/법제처/2020/fields-repeat-index-005070.hwp	법제처	2020	hwp	6	6		
w2_fields_repeat_index-005071	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/행정안전부/2020/fields-repeat-index-005071.hwpx	행정안전부	2020	hwpx	7	7		
w2_fields_repeat_index-005072	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/국세청/2020/fields-repeat-index-005072.hwp	국세청	2020	hwp	8	8		
w2_fields_repeat_index-005073	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/대법원/2020/fields-repeat-index-005073.hwpx	대법원	2020	hwpx	9	10		
w2_fields_repeat_index-005074	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/특허청/2020/fields-repeat-index-005074.hwp	특허청	2020	hwp	10	9		
w2_fields_repeat_index-005075	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/교육부/2020/fields-repeat-index-005075.hwpx	교육부	2020	hwpx	11	11		
w2_fields_repeat_index-005076	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/보건복지부/2020/fields-repeat-index-005076.hwp	보건복지부	2020	hwp	12	12		
w2_fields_repeat_index-005077	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/국토교통부/2020/fields-repeat-index-005077.hwpx	국토교통부	2020	hwpx	13	13		
w2_fields_repeat_index-005078	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/고용노동부/2020/fields-repeat-index-005078.hwp	고용노동부	2020	hwp	14	14		
w2_fields_repeat_index-005079	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/외교부/2020/fields-repeat-index-005079.hwpx	외교부	2020	hwpx	15	15		
w2_fields_repeat_index-005080	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/기획재정부/2020/fields-repeat-index-005080.hwp	기획재정부	2020	hwp	16	17		
w2_fields_repeat_index-005081	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/공정거래위원회/2020/fields-repeat-index-005081.hwpx	공정거래위원회	2020	hwpx	17	16		
w2_fields_repeat_index-005082	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/금융위원회/2020/fields-repeat-index-005082.hwp	금융위원회	2020	hwp	18	18		
w2_fields_repeat_index-005083	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/통계청/2020/fields-repeat-index-005083.hwpx	통계청	2020	hwpx	19	19		
w2_fields_repeat_index-005084	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/기상청/2020/fields-repeat-index-005084.hwp	기상청	2020	hwp	20	20		
w2_fields_repeat_index-005085	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/관세청/2020/fields-repeat-index-005085.hwpx	관세청	2020	hwpx	21	21		
w2_fields_repeat_index-005086	fields-repeat-index	count_eq	COUNT_OK	samples/wave2/검찰청/2020/fields-repeat-index-005086.hwp	검찰청	2020	hwp	22	22		
w2_fields_repeat_index-005087	fields-repeat-index	count_eq	COUNT_DRIFT	samples/wave2/경찰청/2020/fields-repeat-index-005087.hwpx	경찰청	2020	hwpx	23	24		
w2_fields_repeat_index-005088	fields-repeat-index	count_eq	USAGE	samples/wave2/소방청/2020/fields-repeat-index-005088.hwp	소방청	2020	hwp	0	-1		
