case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_gym_certify-015000	gym-certify	rate	RATE_IMPOSSIBLE	samples/wave2/법제처/2021/gym-certify-015000.hwp	법제처	2021	hwp	2	1		
w2_gym_certify-015001	gym-certify	rate	RATE_OK	samples/wave2/행정안전부/2021/gym-certify-015001.hwpx	행정안전부	2021	hwpx	2	2		
w2_gym_certify-015002	gym-certify	rate	RATE_OK	samples/wave2/국세청/2021/gym-certify-015002.hwp	국세청	2021	hwp	3	3		
w2_gym_certify-015003	gym-certify	rate	RATE_OK	samples/wave2/대법원/2021/gym-certify-015003.hwpx	대법원	2021	hwpx	4	4		
w2_gym_certify-015004	gym-certify	rate	RATE_OK	samples/wave2/특허청/2021/gym-certify-015004.hwp	특허청	2021	hwp	5	5		
w2_gym_certify-015005	gym-certify	rate	RATE_OK	samples/wave2/교육부/2021/gym-certify-015005.hwpx	교육부	2021	hwpx	5	6		
w2_gym_certify-015006	gym-certify	rate	RATE_OK	samples/wave2/보건복지부/2021/gym-certify-015006.hwp	보건복지부	2021	hwp	5	7		
w2_gym_certify-015007	gym-certify	rate	RATE_IMPOSSIBLE	samples/wave2/국토교통부/2021/gym-certify-015007.hwpx	국토교통부	2021	hwpx	9	8		
w2_gym_certify-015008	gym-certify	rate	RATE_OK	samples/wave2/고용노동부/2021/gym-certify-015008.hwp	고용노동부	2021	hwp	9	9		
w2_gym_certify-015009	gym-certify	rate	RATE_OK	samples/wave2/외교부/2021/gym-certify-015009.hwpx	외교부	2021	hwpx	10	10		
w2_gym_certify-015010	gym-certify	rate	RATE_OK	samples/wave2/기획재정부/2021/gym-certify-015010.hwp	기획재정부	2021	hwp	11	11		
w2_gym_certify-015011	gym-certify	rate	RATE_OK	samples/wave2/공정거래위원회/2021/gym-certify-015011.hwpx	공정거래위원회	2021	hwpx	12	12		
w2_gym_certify-015012	gym-certify	rate	RATE_OK	samples/wave2/금융위원회/2021/gym-certify-015012.hwp	금융위원회	2021	hwp	10	13		
w2_gym_certify-015013	gym-certify	rate	RATE_OK	samples/wave2/통계청/2021/gym-certify-015013.hwpx	통계청	2021	hwpx	5	14		
w2_gym_certify-015014	gym-certify	rate	RATE_IMPOSSIBLE	samples/wave2/기상청/2021/gym-certify-015014.hwp	기상청	2021	hwp	16	15		
w2_gym_certify-015015	gym-certify	rate	RATE_OK	samples/wave2/관세청/2021/gym-certify-015015.hwpx	관세청	2021	hwpx	16	16		
w2_gym_certify-015016	gym-certify	rate	RATE_OK	samples/wave2/검찰청/2021/gym-certify-015016.hwp	검찰청	2021	hwp	17	17		
w2_gym_certify-015017	gym-certify	rate	RATE_OK	samples/wave2/경찰청/2021/gym-certify-015017.hwpx	경찰청	2021	hwpx	18	18		
w2_gym_certify-015018	gym-certify	rate	RATE_OK	samples/wave2/소방청/2021/gym-certify-015018.hwp	소방청	2021	hwp	19	19		
w2_gym_certify-015019	gym-certify	rate	RATE_OK	samples/wave2/병무청/2021/gym-certify-015019.hwpx	병무청	2021	hwpx	19	20		
w2_gym_certify-015020	gym-certify	rate	RATE_OK	samples/wave2/산림청/2021/gym-certify-015020.hwp	산림청	2021	hwp	0	1		
w2_gym_certify-015021	gym-certify	rate	RATE_IMPOSSIBLE	samples/wave2/중소벤처기업부/2021/gym-certify-015021.hwpx	중소벤처기업부	2021	hwpx	3	2		
w2_gym_certify-015022	gym-certify	rate	RATE_OK	samples/wave2/과학기술정보통신부/2021/gym-certify-015022.hwp	과학기술정보통신부	2021	hwp	3	3		
w2_gym_certify-015023	gym-certify	rate	RATE_OK	samples/wave2/문화체육관광부/2021/gym-certify-015023.hwpx	문화체육관광부	2021	hwpx	4	4		
w2_gym_certify-015024	gym-certify	rate	RATE_OK	samples/wave2/환경부/2021/gym-certify-015024.hwp	환경부	2021	hwp	5	5		
w2_gym_certify-015025	gym-certify	rate	RATE_OK	samples/wave2/해양수산부/2021/gym-certify-015025.hwpx	해양수산부	2021	hwpx	6	6		
w2_gym_certify-015026	gym-certify	rate	RATE_OK	samples/wave2/서울특별시/2021/gym-certify-015026.hwp	서울특별시	2021	hwp	4	7		
w2_gym_certify-015027	gym-certify	rate	RATE_OK	samples/wave2/경기도/2021/gym-certify-015027.hwpx	경기도	2021	hwpx	3	8		
