case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_handoff_incoming-005000	handoff-incoming	triad	TRIAD_OK	samples/wave2/산림청/2017/handoff-incoming-005000.hwp	산림청	2017	hwp	f5bc57f65b36b4e7e3c54662d59d2ae3afaec1722d8163c621462d763909cf3f	06c9432fe1e1e1c8123191e4b8dc5ec6a6e6a3b135f129befe0d59e08ca2500b	91002bc94a6a9c05e6bfc35f8556562add0c545a92a6f56cc661e16b78bd44c8	
w2_handoff_incoming-005001	handoff-incoming	triad	TRIAD_OK	samples/wave2/중소벤처기업부/2017/handoff-incoming-005001.hwpx	중소벤처기업부	2017	hwpx	0ea3ffc937d79f1d8844bf94ca4c98229469cf82414ca739b3bcc7312a8041bc	9698cf1377515634078c839492e8efcc8b9be12d8994db65319ed9d666f8b26d	d316cb5878de0699a32d88adda4de1b545f3e1c4eb79a3c68b9418f1d64c9356	
w2_handoff_incoming-005002	handoff-incoming	triad	TRIAD_OK	samples/wave2/과학기술정보통신부/2017/handoff-incoming-005002.hwp	과학기술정보통신부	2017	hwp	b750d9d2414370328a105f08f87d50de5a32dd1b21bf2b09c01a06db0c300df2	36ed1f676a0d18181db13feaad357709f37b268b448a243ef739b14662251ab2	dfc1334f96613e98549c7af61556bff15d80093855e92e231dede956a62f2a9d	
w2_handoff_incoming-005003	handoff-incoming	triad	TRIAD_MISS	samples/wave2/문화체육관광부/2017/handoff-incoming-005003.hwpx	문화체육관광부	2017	hwpx		c84b04dfcebc675753b383704d521a034cf08f469a9c1c57b1fd5b2ed38f10c9	0f56880f77492f7e9ed818b7370642968ff55ac20c1f7e65ffcfe2fb93cebf58	
w2_handoff_incoming-005004	handoff-incoming	triad	HASH_DEFECT	samples/wave2/환경부/2017/handoff-incoming-005004.hwp	환경부	2017	hwp	944425b3a320d7718366021d54155dc89b3322e577cd49fbeb67939696fa9421	60a89563a7e8deb50ca7a8b62ff9ccba5e07ad6557e1958acef13d7df230463e	nope	
w2_handoff_incoming-005005	handoff-incoming	triad	TRIAD_OK	samples/wave2/해양수산부/2017/handoff-incoming-005005.hwpx	해양수산부	2017	hwpx	e47e4518d481a50aa93b22f272b2990581217acc5fb00004c31b930e3bb78482	15685343bf7b070455221fdca67fcf2de8fbb47260256ffeb9c456c4843a704f	44035e0604cb2ba889dd47078b3736df634c2c400f64e09d0b2d231376009f6b	
w2_handoff_incoming-005006	handoff-incoming	triad	TRIAD_OK	samples/wave2/서울특별시/2017/handoff-incoming-005006.hwp	서울특별시	2017	hwp	119fce6bba43ce06811c82ca6ea3ebc07b146ec0b06496c9ba46c8d1f5e761cf	83deaf4974db12219f2cd68a94957ab43eac3617e90369701826b7a03e1ebd8f	7eda597f4a5987777aa5d17d6bf7c9f1b3538b103a6be42ac6981d9c9155b9b4	
w2_handoff_incoming-005007	handoff-incoming	triad	TRIAD_OK	samples/wave2/경기도/2017/handoff-incoming-005007.hwpx	경기도	2017	hwpx	d6561ff6b88625e3927439723465de96ec70063238b4ecae7cd0ee20f72da363	63871950e450574e2354e75818c3e926268d2a1fdd907ce65d643734d74c7280	d906fe633cfc587ea3f46c1e2c074aa0667c93d4098563614769e126e7845b5e	
w2_handoff_incoming-005008	handoff-incoming	triad	TRIAD_OK	samples/wave2/부산광역시/2017/handoff-incoming-005008.hwp	부산광역시	2017	hwp	fa71565a366acece72493a1ccc33ed0727439fdd96286379d6cf7776ceb8795e	f91a1603d42ddfb0e14d922cdf67e2f9a946126a74fbe1a2bf721adcac58f1af	00f577809c27a4f3257e16af89e5a463074d61d8e4a578bc26f3f0092763cdff	
w2_handoff_incoming-005009	handoff-incoming	triad	TRIAD_OK	samples/wave2/제주특별자치도/2017/handoff-incoming-005009.hwpx	제주특별자치도	2017	hwpx	0a6df5f7311b0557e7f962a566776ebe1eaf64f84d16ce3e20f70dc906b17058	a69a74976da108a6d618ae878685ac2b9bf2845fb7bcd46cd68d20d7e743d707	6c6647ce122c5ca1fce5d704eec05324ef3436bde6a2b573723a18979d993158	
w2_handoff_incoming-005010	handoff-incoming	triad	TRIAD_MISS	samples/wave2/법제처/2018/handoff-incoming-005010.hwp	법제처	2018	hwp		9b618cfc0f9af3f0ed18ec57b0f9789f794b2f49acc7958bdd70a648b6077d98	a612bdebdfb8d6484b5fa77376b1aaf5c83fccda8d5184cd12ded6d1f1de3c66	
w2_handoff_incoming-005011	handoff-incoming	triad	HASH_DEFECT	samples/wave2/행정안전부/2018/handoff-incoming-005011.hwpx	행정안전부	2018	hwpx	6d6419b0a10b26cdb5247e5d2cd2bfe6f2eef023334372d5194919c4f955c316	51a84d47fb11038fffb97b4cf17cf46fd06792de6efd721bf5f55a09fedf2eba	nope	
w2_handoff_incoming-005012	handoff-incoming	triad	TRIAD_OK	samples/wave2/국세청/2018/handoff-incoming-005012.hwp	국세청	2018	hwp	21b051352bb7ab64fa31a1a1255f0f871a519746485e9c92463c36e45005783f	01748d2be9e5a2f74f953ad23a0563dd174e2370a8adc60e372962dcde6ddced	52ae8d3226762502abea88763710e9ef2fd8b9c2257118aa022d2b76d8737c08	
w2_handoff_incoming-005013	handoff-incoming	triad	TRIAD_OK	samples/wave2/대법원/2018/handoff-incoming-005013.hwpx	대법원	2018	hwpx	87d72981565c6f3b31db4ce3c288db6788723bfa3fb632cf777d55119ad4de85	da78d133619a27ae61e273bf0129835d7926b15fa0894c68546236da531bb5c7	f5bab78a2bb8134308932e6bfb7ba2380a94a4b1888d36132ccaf3463e108022	
w2_handoff_incoming-005014	handoff-incoming	triad	TRIAD_OK	samples/wave2/특허청/2018/handoff-incoming-005014.hwp	특허청	2018	hwp	b7704b88cea0297d43bae25d4a88fc106581006133617a54a218889eae8d67e8	e88c339e3f42e53741a83a830e4ff6dc539b5071954d100d6aef8bf5a37de0e6	46e3333b63696a3ce0db99e627851d86e75aadacb3deddbe683c1c6ffbbf9b23	
w2_handoff_incoming-005015	handoff-incoming	triad	TRIAD_OK	samples/wave2/교육부/2018/handoff-incoming-005015.hwpx	교육부	2018	hwpx	bab332c0a06d3d6a52e3b9e18400498889a0281b3782db1a449627f09b93edcd	eb21d867e9f30fbb9b64f58727daa64af278f6cb128e82f92f2b7291ce6593de	92743a55d29b67af800964a63d9dd003cd9550fd47037d1cc16c7d9a8b6030a0	
