case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_handoff_outgoing-010000	handoff-outgoing	triad	TRIAD_OK	samples/wave2/기획재정부/2019/handoff-outgoing-010000.hwp	기획재정부	2019	hwp	86a2006f632b56bd468559b43a99395272f12c88aa56b49e35d4e25ed1d6f5ab	04a3e23c19d9ccdf8992a0c1a3246573c3be49a28508e589eee37f9c8a6f770b	7989296bd890550a943a94ffae61b150394e4cc6984e94704a95d8759821ce9a	
w2_handoff_outgoing-010001	handoff-outgoing	triad	TRIAD_MISS	samples/wave2/공정거래위원회/2019/handoff-outgoing-010001.hwpx	공정거래위원회	2019	hwpx		4958a73efe73d1d1424edc7c2c78175ae778e780393bc893ae4900453710369e	711092b1de160811085ea3c3e2ce72bb8f02c19fd9ede8a15f3813e054ed3e62	
w2_handoff_outgoing-010002	handoff-outgoing	triad	HASH_DEFECT	samples/wave2/금융위원회/2019/handoff-outgoing-010002.hwp	금융위원회	2019	hwp	c14dd7600ad53e5c6e0de83f0e28848e8e48c12636db58e38e0e5d5b5ce84ff0	a07eff0f41435704feb72e78ff93e76b42b5a936ae21d58b0c813ffd2bd8bcbb	nope	
w2_handoff_outgoing-010003	handoff-outgoing	triad	TRIAD_OK	samples/wave2/통계청/2019/handoff-outgoing-010003.hwpx	통계청	2019	hwpx	0355d7e8baed9dcedb3b43a4f68121cda6b88458faa6e6247ea5418de1bc3275	0d063cbf3707011d485961333ef77226650d9315b38ea46557133d694a5bfb6b	60fb200c4d19567384375a376ccffc4b79ec6ccfd10f89d225ce7f1b41bc029e	
w2_handoff_outgoing-010004	handoff-outgoing	triad	TRIAD_OK	samples/wave2/기상청/2019/handoff-outgoing-010004.hwp	기상청	2019	hwp	0b11c5959160c6dabf763af2f775c467d85da14e81d8472289f46bbcbea962b1	bde45aca0ef554fe6c7c1ddeaf912742ceb1c9bf10092f3b36186843f4ea7b14	919a01731dca07b0a4ec82dd7816f784d7160136ee5f59a0229e1ec8601d8099	
w2_handoff_outgoing-010005	handoff-outgoing	triad	TRIAD_OK	samples/wave2/관세청/2019/handoff-outgoing-010005.hwpx	관세청	2019	hwpx	db4ad23dfc92cad824bcfb97510e6c3650c24411cb17989d18a51fc0a23b411e	7d908325c2e6a5f3ff48e65517fc915ad8b35bf6074b88ce3f7c079c41b5d518	bdca3fb715082cae408467b573cdcb69c192cbf20f3bed4626a306e97749575e	
w2_handoff_outgoing-010006	handoff-outgoing	triad	TRIAD_OK	samples/wave2/검찰청/2019/handoff-outgoing-010006.hwp	검찰청	2019	hwp	2a6226714fa6eef7cc168133432a1d7686be6388acfe875659bb51cc84eec70e	2e2544f6641ec91bcd8d045ca53adf284064ec3e82536fa731c3edaff68c70b8	52993fe9322acbf486022601783d5c51f30bc839d1954d98b58301cd504ff90a	
w2_handoff_outgoing-010007	handoff-outgoing	triad	TRIAD_OK	samples/wave2/경찰청/2019/handoff-outgoing-010007.hwpx	경찰청	2019	hwpx	9342891e375cfc6e9a45d3e53799cb951b4049a992ead018d1b966ffceedca41	8d7c340ca74ee41091351cc6e2d372f78c917dcc476e576ca4c30182b704df90	2f944b6da74475b07b67833c9ec22afdbcd9defc9c8d597aaf72b02d8a1dd438	
w2_handoff_outgoing-010008	handoff-outgoing	triad	TRIAD_MISS	samples/wave2/소방청/2019/handoff-outgoing-010008.hwp	소방청	2019	hwp		1ff776ace418497918ce4cfb1d4ad6ac962dad46ab1dbef315db93c8be0e0911	b75df9cf2d3b937ae08870362d69c29304e239ac8d65141e5aee47b2b8b945a9	
w2_handoff_outgoing-010009	handoff-outgoing	triad	HASH_DEFECT	samples/wave2/병무청/2019/handoff-outgoing-010009.hwpx	병무청	2019	hwpx	02d094b875f6035eb409fca29fc745de562fd2363c68361c744bb6568e8a27c4	539e9123790be3ada018082f84bc07f1777529c6864818625427d45b427a126f	nope	
