case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_info_section_count-000000	info-section-count	count_eq	COUNT_OK	samples/wave2/법제처/2016/info-section-count-000000.hwp	법제처	2016	hwp	0	0		
w2_info_section_count-000001	info-section-count	count_eq	COUNT_OK	samples/wave2/행정안전부/2016/info-section-count-000001.hwpx	행정안전부	2016	hwpx	1	1		
w2_info_section_count-000002	info-section-count	count_eq	COUNT_OK	samples/wave2/국세청/2016/info-section-count-000002.hwp	국세청	2016	hwp	2	2		
w2_info_section_count-000003	info-section-count	count_eq	COUNT_OK	samples/wave2/대법원/2016/info-section-count-000003.hwpx	대법원	2016	hwpx	3	3		
w2_info_section_count-000004	info-section-count	count_eq	COUNT_OK	samples/wave2/특허청/2016/info-section-count-000004.hwp	특허청	2016	hwp	4	4		
w2_info_section_count-000005	info-section-count	count_eq	COUNT_DRIFT	samples/wave2/교육부/2016/info-section-count-000005.hwpx	교육부	2016	hwpx	5	6		
w2_info_section_count-000006	info-section-count	count_eq	COUNT_DRIFT	samples/wave2/보건복지부/2016/info-section-count-000006.hwp	보건복지부	2016	hwp	6	5		
w2_info_section_count-000007	info-section-count	count_eq	COUNT_OK	samples/wave2/국토교통부/2016/info-section-count-000007.hwpx	국토교통부	2016	hwpx	7	7		
w2_info_section_count-000008	info-section-count	count_eq	COUNT_OK	samples/wave2/고용노동부/2016/info-section-count-000008.hwp	고용노동부	2016	hwp	8	8		
w2_info_section_count-000009	info-section-count	count_eq	COUNT_OK	samples/wave2/외교부/2016/info-section-count-000009.hwpx	외교부	2016	hwpx	9	9		
w2_info_section_count-000010	info-section-count	count_eq	COUNT_OK	samples/wave2/기획재정부/2016/info-section-count-000010.hwp	기획재정부	2016	hwp	10	10		
w2_info_section_count-000011	info-section-count	count_eq	COUNT_OK	samples/wave2/공정거래위원회/2016/info-section-count-000011.hwpx	공정거래위원회	2016	hwpx	11	11		
w2_info_section_count-000012	info-section-count	count_eq	COUNT_DRIFT	samples/wave2/금융위원회/2016/info-section-count-000012.hwp	금융위원회	2016	hwp	12	13		
w2_info_section_count-000013	info-section-count	count_eq	COUNT_DRIFT	samples/wave2/통계청/2016/info-section-count-000013.hwpx	통계청	2016	hwpx	13	12		
w2_info_section_count-000014	info-section-count	count_eq	COUNT_OK	samples/wave2/기상청/2016/info-section-count-000014.hwp	기상청	2016	hwp	14	14		
