case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_info_table_count-000000	info-table-count	count_eq	COUNT_OK	samples/wave2/법제처/2016/info-table-count-000000.hwp	법제처	2016	hwp	0	0		
w2_info_table_count-000001	info-table-count	count_eq	COUNT_OK	samples/wave2/행정안전부/2016/info-table-count-000001.hwpx	행정안전부	2016	hwpx	1	1		
w2_info_table_count-000002	info-table-count	count_eq	COUNT_OK	samples/wave2/국세청/2016/info-table-count-000002.hwp	국세청	2016	hwp	2	2		
w2_info_table_count-000003	info-table-count	count_eq	COUNT_OK	samples/wave2/대법원/2016/info-table-count-000003.hwpx	대법원	2016	hwpx	3	3		
w2_info_table_count-000004	info-table-count	count_eq	COUNT_OK	samples/wave2/특허청/2016/info-table-count-000004.hwp	특허청	2016	hwp	4	4		
w2_info_table_count-000005	info-table-count	count_eq	COUNT_DRIFT	samples/wave2/교육부/2016/info-table-count-000005.hwpx	교육부	2016	hwpx	5	6		
w2_info_table_count-000006	info-table-count	count_eq	COUNT_DRIFT	samples/wave2/보건복지부/2016/info-table-count-000006.hwp	보건복지부	2016	hwp	6	5		
w2_info_table_count-000007	info-table-count	count_eq	COUNT_OK	samples/wave2/국토교통부/2016/info-table-count-000007.hwpx	국토교통부	2016	hwpx	7	7		
w2_info_table_count-000008	info-table-count	count_eq	COUNT_OK	samples/wave2/고용노동부/2016/info-table-count-000008.hwp	고용노동부	2016	hwp	8	8		
w2_info_table_count-000009	info-table-count	count_eq	COUNT_OK	samples/wave2/외교부/2016/info-table-count-000009.hwpx	외교부	2016	hwpx	9	9		
w2_info_table_count-000010	info-table-count	count_eq	COUNT_OK	samples/wave2/기획재정부/2016/info-table-count-000010.hwp	기획재정부	2016	hwp	10	10		
w2_info_table_count-000011	info-table-count	count_eq	COUNT_OK	samples/wave2/공정거래위원회/2016/info-table-count-000011.hwpx	공정거래위원회	2016	hwpx	11	11		
w2_info_table_count-000012	info-table-count	count_eq	COUNT_DRIFT	samples/wave2/금융위원회/2016/info-table-count-000012.hwp	금융위원회	2016	hwp	12	13		
w2_info_table_count-000013	info-table-count	count_eq	COUNT_DRIFT	samples/wave2/통계청/2016/info-table-count-000013.hwpx	통계청	2016	hwpx	13	12		
w2_info_table_count-000014	info-table-count	count_eq	COUNT_OK	samples/wave2/기상청/2016/info-table-count-000014.hwp	기상청	2016	hwp	14	14		
w2_info_table_count-000015	info-table-count	count_eq	COUNT_OK	samples/wave2/관세청/2016/info-table-count-000015.hwpx	관세청	2016	hwpx	15	15		
w2_info_table_count-000016	info-table-count	count_eq	COUNT_OK	samples/wave2/검찰청/2016/info-table-count-000016.hwp	검찰청	2016	hwp	16	16		
w2_info_table_count-000017	info-table-count	count_eq	COUNT_OK	samples/wave2/경찰청/2016/info-table-count-000017.hwpx	경찰청	2016	hwpx	17	17		
w2_info_table_count-000018	info-table-count	count_eq	COUNT_OK	samples/wave2/소방청/2016/info-table-count-000018.hwp	소방청	2016	hwp	18	18		
w2_info_table_count-000019	info-table-count	count_eq	COUNT_DRIFT	samples/wave2/병무청/2016/info-table-count-000019.hwpx	병무청	2016	hwpx	19	20		
w2_info_table_count-000020	info-table-count	count_eq	COUNT_DRIFT	samples/wave2/산림청/2016/info-table-count-000020.hwp	산림청	2016	hwp	20	19		
w2_info_table_count-000021	info-table-count	count_eq	COUNT_OK	samples/wave2/중소벤처기업부/2016/info-table-count-000021.hwpx	중소벤처기업부	2016	hwpx	21	21		
w2_info_table_count-000022	info-table-count	count_eq	COUNT_OK	samples/wave2/과학기술정보통신부/2016/info-table-count-000022.hwp	과학기술정보통신부	2016	hwp	22	22		
w2_info_table_count-000023	info-table-count	count_eq	COUNT_OK	samples/wave2/문화체육관광부/2016/info-table-count-000023.hwpx	문화체육관광부	2016	hwpx	23	23		
w2_info_table_count-000024	info-table-count	count_eq	COUNT_OK	samples/wave2/환경부/2016/info-table-count-000024.hwp	환경부	2016	hwp	0	0		
w2_info_table_count-000025	info-table-count	count_eq	COUNT_OK	samples/wave2/해양수산부/2016/info-table-count-000025.hwpx	해양수산부	2016	hwpx	1	1		
