case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_large_doc_page_cap-010000	large-doc-page-cap	limit	OVER_REJECT	samples/wave2/기획재정부/2019/large-doc-page-cap-010000.hwp	기획재정부	2019	hwp	1074	1024	0	
w2_large_doc_page_cap-010001	large-doc-page-cap	limit	OVER_ACCEPTED	samples/wave2/공정거래위원회/2019/large-doc-page-cap-010001.hwpx	공정거래위원회	2019	hwpx	2098	2048	1	
w2_large_doc_page_cap-010002	large-doc-page-cap	limit	OVER_REJECT	samples/wave2/금융위원회/2019/large-doc-page-cap-010002.hwp	금융위원회	2019	hwp	3122	3072	0	
w2_large_doc_page_cap-010003	large-doc-page-cap	limit	UNDER_OK	samples/wave2/통계청/2019/large-doc-page-cap-010003.hwpx	통계청	2019	hwpx	4086	4096	1	
w2_large_doc_page_cap-010004	large-doc-page-cap	limit	UNDER_OK	samples/wave2/기상청/2019/large-doc-page-cap-010004.hwp	기상청	2019	hwp	5110	5120	1	
w2_large_doc_page_cap-010005	large-doc-page-cap	limit	UNDER_OK	samples/wave2/관세청/2019/large-doc-page-cap-010005.hwpx	관세청	2019	hwpx	6134	6144	1	
w2_large_doc_page_cap-010006	large-doc-page-cap	limit	UNDER_REJECT	samples/wave2/검찰청/2019/large-doc-page-cap-010006.hwp	검찰청	2019	hwp	7158	7168	0	
w2_large_doc_page_cap-010007	large-doc-page-cap	limit	OVER_REJECT	samples/wave2/경찰청/2019/large-doc-page-cap-010007.hwpx	경찰청	2019	hwpx	8242	8192	0	
w2_large_doc_page_cap-010008	large-doc-page-cap	limit	OVER_ACCEPTED	samples/wave2/소방청/2019/large-doc-page-cap-010008.hwp	소방청	2019	hwp	1074	1024	1	
w2_large_doc_page_cap-010009	large-doc-page-cap	limit	OVER_REJECT	samples/wave2/병무청/2019/large-doc-page-cap-010009.hwpx	병무청	2019	hwpx	2098	2048	0	
w2_large_doc_page_cap-010010	large-doc-page-cap	limit	UNDER_OK	samples/wave2/산림청/2019/large-doc-page-cap-010010.hwp	산림청	2019	hwp	3062	3072	1	
w2_large_doc_page_cap-010011	large-doc-page-cap	limit	UNDER_OK	samples/wave2/중소벤처기업부/2019/large-doc-page-cap-010011.hwpx	중소벤처기업부	2019	hwpx	4086	4096	1	
